week,demand,capacity,base_capacity,grid_factor,base_grid_factor,main_supply_availability,base_main_supply_availability,backup_supply_availability,base_backup_supply_availability,backlog_end,capacity_utilization,backup_consumed_raw_units,scrap_units,outbound_mode,climate_event,operational_feedback_event,combined_event_context,environmental_regime
1,10,28.0,28.0,1.12,1.12,1.0,1.0,1.0,1.0,0.0,0.42857142857142855,0.0,0.0,truck,aucun,aucun,aucun,nominal
2,10,28.0,28.0,1.132,1.132,1.0,1.0,1.0,1.0,0.0,0.35714285714285715,0.0,0.0,truck,aucun,aucun,aucun,nominal
3,10,28.0,28.0,1.14,1.14,1.0,1.0,1.0,1.0,0.0,0.2857142857142857,0.0,0.0,truck,aucun,aucun,aucun,nominal
4,10,28.0,28.0,1.143,1.143,1.0,1.0,1.0,1.0,0.0,0.42857142857142855,0.0,0.0,truck,aucun,aucun,aucun,nominal
5,10,28.0,28.0,1.136,1.136,1.0,1.0,1.0,1.0,0.0,0.35714285714285715,0.0,0.0,truck,aucun,aucun,aucun,nominal
6,10,28.0,28.0,1.121,1.121,1.0,1.0,1.0,1.0,0.0,0.35714285714285715,0.0,0.0,truck,aucun,aucun,aucun,nominal
7,11,28.0,28.0,1.196,1.196,1.0,1.0,1.0,1.0,0.0,0.39285714285714285,0.0,0.0,truck,canicule et tension reseau,aucun,canicule et tension reseau,nominal
8,11,20.0,20.0,1.164,1.164,1.0,1.0,1.0,1.0,0.0,0.55,0.0,0.0,truck,canicule et tension reseau,aucun,canicule et tension reseau,nominal
9,11,20.0,20.0,1.126,1.126,1.0,1.0,1.0,1.0,0.0,0.55,0.0,0.0,truck,canicule et tension reseau,aucun,canicule et tension reseau,nominal
10,11,20.0,20.0,0.987,0.987,1.0,1.0,1.0,1.0,0.0,0.55,0.0,0.0,truck,aucun,aucun,aucun,nominal
11,12,28.0,28.0,0.95,0.95,0.62,0.62,1.0,1.0,0.0,0.42857142857142855,0.0,0.0,truck,aucun,aucun,aucun,tendu
12,12,28.0,28.0,0.917,0.917,0.62,0.62,1.0,1.0,0.0,0.42857142857142855,0.0,0.0,truck,aucun,aucun,aucun,tendu
13,12,17.0,17.0,0.793,0.793,0.62,0.62,1.0,1.0,0.0,0.7058823529411765,0.0,0.0,truck,secheresse et penurie matieres,aucun,secheresse et penurie matieres,tendu
14,12,17.0,17.0,0.777,0.777,0.62,0.62,1.0,1.0,0.0,0.7058823529411765,0.0,0.0,truck,secheresse et penurie matieres,aucun,secheresse et penurie matieres,tendu
15,14,17.0,17.0,0.771,0.771,0.62,0.62,1.0,1.0,0.0,0.8235294117647058,0.0,0.0,truck,secheresse et penurie matieres,aucun,secheresse et penurie matieres,tendu
16,14,17.0,17.0,0.773,0.773,0.62,0.62,1.0,1.0,0.0,0.8235294117647058,0.0,0.0,truck,secheresse et penurie matieres,aucun,secheresse et penurie matieres,tendu
17,14,25.0,25.0,0.781,0.781,1.0,1.0,1.0,1.0,0.0,0.5127748416,0.0,0.0,truck,aucun,aucun,aucun,nominal
18,14,25.0,25.0,0.793,0.793,1.0,1.0,1.0,1.0,0.0,0.475679598208,0.0,0.0,truck,aucun,aucun,aucun,nominal
19,14,25.0,25.0,0.805,0.805,1.0,1.0,1.0,1.0,0.0,0.5279582473190402,0.0,0.0,truck,aucun,aucun,aucun,nominal
20,14,25.0,25.0,0.814,0.814,1.0,1.0,1.0,1.0,0.0,0.72358731287296,0.0,0.0,truck,aucun,aucun,aucun,nominal
