week,classical_material,classical_inbound_transport,classical_production_energy,classical_outbound_transport,classical_storage,classical_scrap,classical_total,dynamic_material,dynamic_inbound_transport,dynamic_production_energy,dynamic_outbound_transport,dynamic_storage,dynamic_scrap,dynamic_total,sdd_material,sdd_inbound_transport,sdd_production_energy,sdd_outbound_transport,sdd_storage,sdd_scrap,sdd_total,backup_sourcing_premium,energy_premium,air_premium,scrap_premium,total_premium_vs_dynamic,backlog_end,good_output_units,outbound_shipments,grid_factor,average_grid_factor,total_stock_units,backup_output_units,capacity_utilization_pct,air_shipments_units,other_premium
1,249.96923076923073,10.586769230769232,72.22153846153847,18.796153846153846,1.5,0.0,353.07369230769234,268.79999999999995,12.600000000000001,107.52000000000001,21.7,1.5,0.0,412.11999999999995,268.79999999999995,12.600000000000001,107.52000000000001,21.7,1.5,0.0,412.11999999999995,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,1.12,0.7523076923076923,34.0,0.0,42.857142857142854,0.0,0.0
2,208.30769230769226,8.822307692307694,60.184615384615384,18.796153846153846,1.2,0.0,297.3107692307692,224.3,10.57,90.55999999999999,21.78,1.2,0.0,348.41,224.3,10.57,90.55999999999999,21.78,1.2,0.0,348.41,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.132,0.7523076923076923,24.0,0.0,35.714285714285715,0.0,0.0
3,166.64615384615382,7.057846153846155,48.14769230769231,18.796153846153846,0.84,0.0,241.48784615384616,179.648,8.504,72.96,21.840000000000003,0.84,0.0,283.792,179.648,8.504,72.96,21.840000000000003,0.84,0.0,283.792,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,1.14,0.7523076923076923,14.0,0.0,28.57142857142857,0.0,0.0
4,249.96923076923073,10.586769230769232,72.22153846153847,18.796153846153846,1.5,0.0,353.07369230769234,269.652,12.792000000000002,109.72800000000001,21.85,1.5,0.0,415.522,269.652,12.792000000000002,109.72800000000001,21.85,1.5,0.0,415.522,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,1.143,0.7523076923076923,34.0,0.0,42.857142857142854,0.0,0.0
5,208.30769230769226,8.822307692307694,60.184615384615384,18.796153846153846,1.56,0.0,297.6707692307692,224.72000000000003,10.67,90.88,21.810000000000002,1.56,0.0,349.64,224.72000000000003,10.67,90.88,21.810000000000002,1.56,0.0,349.64,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.136,0.7523076923076923,36.0,0.0,35.714285714285715,0.0,0.0
6,208.30769230769226,8.822307692307694,60.184615384615384,18.796153846153846,1.56,0.0,297.6707692307692,224.56,10.64,89.68,21.69,1.56,0.0,348.13,224.56,10.64,89.68,21.69,1.56,0.0,348.13,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.121,0.7523076923076923,36.0,0.0,35.714285714285715,0.0,0.0
7,229.1384615384615,9.704538461538464,66.20307692307692,20.67576923076923,1.47,0.0,327.1918461538461,246.609,11.626999999999999,105.24799999999999,25.641,1.47,0.0,390.595,246.609,11.626999999999999,105.24799999999999,25.641,1.47,0.0,390.595,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,1.196,0.7523076923076923,33.0,0.0,39.285714285714285,0.0,0.0
8,229.1384615384615,9.704538461538464,66.20307692307692,20.67576923076923,1.5,0.0,327.2218461538461,245.98199999999997,11.506,102.43199999999999,25.387999999999998,1.5,0.0,386.80799999999994,245.98199999999997,11.506,102.43199999999999,25.387999999999998,1.5,0.0,386.80799999999994,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,1.164,0.7523076923076923,34.0,0.0,55.00000000000001,0.0,0.0
9,229.1384615384615,9.704538461538464,66.20307692307692,20.67576923076923,1.47,0.0,327.1918461538461,245.113,11.363,99.088,25.091,1.47,0.0,382.125,245.113,11.363,99.088,25.091,1.47,0.0,382.125,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,1.126,0.7523076923076923,33.0,0.0,55.00000000000001,0.0,0.0
10,229.1384615384615,9.704538461538464,66.20307692307692,20.67576923076923,1.44,0.0,327.1618461538461,244.035,11.187,86.856,22.803,1.44,0.0,366.32099999999997,244.035,11.187,86.856,22.803,1.44,0.0,366.32099999999997,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.987,0.7523076923076923,32.0,0.0,55.00000000000001,0.0,0.0
11,249.96923076923073,10.586769230769232,72.22153846153847,22.555384615384614,1.41,0.0,356.7429230769231,264.84000000000003,12.0,91.19999999999999,24.552,1.41,0.0,394.00200000000007,264.84000000000003,12.0,91.19999999999999,24.552,1.41,0.0,394.00200000000007,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.95,0.7523076923076923,31.0,0.0,42.857142857142854,0.0,0.0
12,249.96923076923073,10.586769230769232,72.22153846153847,22.555384615384614,1.38,0.0,356.7129230769231,263.304,11.783999999999999,88.03200000000001,24.263999999999996,1.38,0.0,388.764,263.304,11.783999999999999,88.03200000000001,24.263999999999996,1.38,0.0,388.764,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.917,0.7523076923076923,30.0,0.0,42.857142857142854,0.0,0.0
13,249.96923076923073,10.586769230769232,72.22153846153847,22.555384615384614,1.35,0.0,356.6829230769231,278.46,11.58,76.128,24.048000000000002,1.35,0.0,391.566,278.46,11.58,90.402,24.048000000000002,1.35,0.0,405.84,0.0,14.274000000000001,0.0,0.0,14.274000000000001,0.0,12.0,12.0,0.793,0.7523076923076923,29.0,0.0,70.58823529411765,0.0,0.0
14,249.96923076923073,10.586769230769232,72.22153846153847,22.555384615384614,1.1945999999999999,0.0,356.5275230769231,276.78000000000003,11.411999999999999,74.592,23.916,1.1945999999999999,0.0,387.89459999999997,276.78000000000003,11.411999999999999,88.578,23.916,1.1945999999999999,0.0,401.88059999999996,0.0,13.986000000000004,0.0,0.0,13.98599999999999,0.0,12.0,12.0,0.777,0.7523076923076923,23.82,0.0,70.58823529411765,0.0,-1.4210854715202004e-14
15,291.6307692307692,12.35123076923077,84.25846153846155,26.314615384615383,1.075548,0.0,415.6306249230769,320.95,13.145999999999999,86.352,27.832,1.075548,0.0,449.355548,320.95,13.145999999999999,102.543,27.832,1.075548,0.0,465.54654800000003,0.0,16.191000000000003,0.0,0.0,16.19100000000003,0.0,14.0,14.0,0.771,0.7523076923076923,19.851599999999998,0.0,82.35294117647058,0.0,2.842170943040401e-14
16,291.6307692307692,12.35123076923077,84.25846153846155,26.314615384615383,0.99310824,0.0,415.5481851630769,319.088,13.034,86.57600000000001,27.846,0.99310824,0.0,447.53710824000007,319.088,13.034,102.809,27.846,0.99310824,0.0,463.77010824000007,0.0,16.23299999999999,0.0,0.0,16.233000000000004,0.0,14.0,14.0,0.773,0.7523076923076923,17.103608,0.0,82.35294117647058,0.0,1.4210854715202004e-14
17,267.0373598178461,11.309643573673847,77.1528915515077,26.314615384615383,0.8891622624,0.0,382.703672590043,272.6680220208,11.87073758304,80.09543025792,27.93,0.8891622624,0.0,393.45335212416,272.6680220208,11.87073758304,80.09543025792,27.93,0.8891622624,0.0,393.45335212416,0.0,0.0,0.0,0.0,0.0,0.0,12.81937104,14.0,0.781,0.7523076923076923,14.81937104,0.0,51.27748416,0.0,0.0
18,247.7192984513969,10.491479445860678,71.57148416114215,26.314615384615383,0.762681659712,0.0,356.8595591027271,251.68207541185282,11.00009070856,75.4427842757888,28.042,0.762681659712,0.0,366.9296320559136,251.68207541185282,11.00009070856,75.4427842757888,28.042,0.762681659712,0.0,366.9296320559136,0.0,0.0,0.0,0.0,0.0,0.0,11.8919899552,14.0,0.793,0.7523076923076923,12.7113609952,0.0,47.5679598208,0.0,0.0
19,274.94441033460777,11.644525266350138,79.4374101350802,26.314615384615383,0.7146190306905601,0.0,393.05558015134403,264.96904537324326,10.92873571950413,85.00127781836547,26.488,0.7146190306905601,0.0,388.1016779418034,264.96904537324326,10.92873571950413,85.00127781836547,26.488,0.7146190306905601,0.0,388.1016779418034,0.0,0.0,0.0,0.0,0.0,0.0,13.198956182976003,14.0,0.805,0.7523076923076923,11.910317178176003,0.0,52.79582473190402,0.0,0.0
20,376.82200831922603,15.959274791038421,108.87206030611614,26.314615384615383,1.08,0.0,529.0479588009961,361.92028421623274,15.06870579057939,117.80001453571788,26.558,1.08,0.0,522.4270045425301,361.92028421623274,15.06870579057939,139.887517261165,26.558,1.08,0.0,544.5145072679771,0.0,22.08750272544711,0.0,0.0,22.087502725447052,0.0,18.089682821824,14.0,0.814,0.7523076923076923,20.0,0.0,72.358731287296,0.0,-5.684341886080802e-14
21,333.29230769230765,14.11569230769231,96.29538461538462,30.07384615384615,0.9845811311999998,0.0,474.76181190043076,319.36,13.424,104.448,30.384,0.9845811311999998,0.0,468.6005811312,319.36,13.424,104.448,30.384,0.9845811311999998,0.0,468.6005811312,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.816,0.7523076923076923,16.819371039999993,0.0,64.0,0.0,0.0
22,264.7874275000122,11.21435378876529,76.50283725111136,30.07384615384615,0.7626816597119997,0.0,383.34114635344696,253.38827007831674,10.753811401939197,82.36961924889599,30.304,0.7626816597119997,0.0,377.5783823888639,253.38827007831674,10.753811401939197,82.36961924889599,30.304,0.7626816597119997,0.0,377.5783823888639,0.0,0.0,0.0,0.0,0.0,0.0,12.711360995199996,16.0,0.81,0.7523076923076923,12.711360995199996,0.0,50.845443980799985,0.0,0.0
23,274.9444103346078,11.64452526635014,79.4374101350802,30.07384615384615,0.59461903069056,0.0,396.69481092057487,263.00240090197985,11.245510667895555,83.8397696742636,30.112,0.59461903069056,0.0,388.7943002748296,263.00240090197985,11.245510667895555,83.8397696742636,30.112,0.59461903069056,0.0,388.7943002748296,0.0,0.0,0.0,0.0,0.0,0.0,13.198956182976005,16.0,0.794,0.7523076923076923,9.910317178176001,0.0,52.79582473190402,0.0,0.0
24,262.4676923076923,11.116107692307693,75.83261538461538,30.07384615384615,0.51330951534528,0.0,380.0035710538068,268.821,13.066199999999998,85.5792,32.704,0.51330951534528,0.0,400.6837095153453,268.821,13.066199999999998,128.3688,32.704,0.51330951534528,45.58400000000001,489.05730951534525,0.0,42.78959999999999,0.0,45.58400000000001,88.37359999999995,0.0,12.6,16.0,0.849,0.7523076923076923,10.6,0.0,100.0,0.0,-4.973799150320701e-14
25,221.7327064615384,9.39088777846154,64.06339347692308,30.07384615384615,0.31716231534528,0.0,325.5779961861145,227.32351488,11.059614719999999,71.27543808,32.336,0.31716231534528,0.0,342.31172999534533,227.32351488,11.059614719999999,106.91315712,32.336,0.31716231534528,38.36625408000001,416.31570311534534,0.0,35.63771903999999,0.0,38.36625408000001,74.00397312000001,0.0,10.64448,16.0,0.837,0.7523076923076923,9.41728,0.0,100.0,0.0,7.105427357601002e-15
26,221.7327064615384,9.39088777846154,64.06339347692308,22.17810291144081,0.27439931451071986,0.0,317.6394899428746,227.62156032,11.03832576,68.124672,23.527758693282944,0.27439931451071986,0.0,330.58671608779366,227.62156032,11.03832576,102.18700799999999,23.527758693282944,0.27439931451071986,37.87187712,402.52092920779364,0.0,34.06233599999999,0.0,37.87187712,71.93421311999998,4.200722821824,10.64448,11.799277178176,0.8,0.7523076923076923,9.146643817023996,0.0,100.0,0.0,-7.105427357601002e-15
27,221.7327064615384,9.39088777846154,64.06339347692308,20.007528369230766,0.10964828354557438,0.0,315.30416436969944,227.96218368,10.98510336,64.7184384,20.927047679999998,0.10964828354557438,0.0,324.7024214035456,227.96218368,10.98510336,97.0776576,106.4448,0.10964828354557438,37.33610496,479.9154978835456,0.0,32.3592192,85.51775232,37.33610496,155.21307647999998,10.556242821824002,10.64448,10.64448,0.76,0.7523076923076923,3.654942784852479,0.0,100.0,10.64448,-1.4210854715202004e-14
28,284.74416375321425,12.059567260286617,82.2687716840897,25.693218764068654,0.0,0.0,404.7657214616592,293.1266618087557,11.52330609516793,74.68961388374565,24.04447855444886,0.0,0.0,403.3840603421182,293.1266618087557,11.52330609516793,74.68961388374565,136.69402248123288,0.0,0.0,516.0336042689022,0.0,0.0,112.64954392678402,0.0,112.64954392678402,13.886840573700713,13.669402248123287,13.669402248123287,0.683,0.7523076923076923,0.0,0.0,64.72254852331102,13.669402248123287,0.0
29,226.73406835230327,9.602706905216273,65.50839552394464,20.45881447632397,0.0,0.0,322.30398525778816,233.63740067713616,9.034197184347683,54.94533420070736,18.895622062683827,0.0,0.0,316.512554124875,233.63740067713616,9.034197184347683,54.94533420070736,108.84574920900823,0.0,0.0,406.4626812711995,0.0,0.0,89.9501271463244,0.0,89.95012714632446,20.002265652799892,10.884574920900823,10.884574920900823,0.631,0.7523076923076923,0.0,0.0,43.53829968360329,10.884574920900823,5.684341886080802e-14
30,236.15915898935148,10.001881072558614,68.2315088601435,21.309265324611534,0.0,0.0,335.70181424666515,243.45148870674058,9.239683491477766,57.68283387072254,19.477026059335955,0.0,0.0,329.85103212827687,243.45148870674058,9.239683491477766,57.68283387072254,113.37034958868426,0.0,0.0,423.7443556576252,0.0,0.0,93.89332352934831,0.0,93.89332352934832,25.665230693931466,11.337034958868426,11.337034958868426,0.6359999999999999,0.7523076923076923,0.0,0.0,48.761440683305054,11.337034958868426,1.4210854715202004e-14
31,231.41779787579193,9.80107357399357,66.86162668316825,20.881439775092232,0.0,0.0,328.96193790804597,222.92165405569918,8.876427867562228,55.10273119287692,18.952673269162904,0.0,0.0,305.85348638530127,222.92165405569918,8.876427867562228,65.43449329154133,111.09421611467118,0.0,0.0,408.32679132947396,0.0,10.331762098664413,92.14154284550828,0.0,102.4733049441727,29.555809082464343,11.109421611467118,11.109421611467118,0.6200000000000001,0.7523076923076923,0.0,0.0,74.66009147491343,11.109421611467118,0.0
32,255.99058727210817,10.841787464637406,73.96123909959286,23.09870753321257,0.0,0.0,363.892321369551,246.27277620431914,9.597756397982698,60.36386610357365,20.90369223171392,0.0,0.0,337.1380909375894,246.27277620431914,9.597756397982698,71.68209099799371,122.89060688838282,0.0,0.0,450.44323048867835,0.0,11.318224894420062,101.9869146566689,0.0,113.30513955108893,32.26674839362606,12.289060688838282,12.289060688838282,0.6140000000000001,0.7523076923076923,0.0,0.0,82.58777344649383,12.289060688838282,-4.263256414560601e-14
33,242.50918335386208,10.27081914285615,70.06616877993417,21.8822448125983,0.0,0.0,344.7284160892507,232.7559798239252,8.894391466287145,57.37115333228148,19.82611082079451,0.0,0.0,318.8476354432883,232.7559798239252,8.894391466287145,68.12824458208426,116.41873646972701,0.0,0.0,426.1973523420236,0.0,10.757091249802784,96.5926256489325,0.0,107.34971689873527,35.62487474665336,11.641873646972702,11.641873646972702,0.6160000000000001,0.7523076923076923,0.0,0.0,78.23839816513912,11.641873646972702,-1.4210854715202004e-14
34,435.8838461538461,18.46067884615385,125.93630769230771,39.330951923076924,0.02133774871839062,0.0,619.6331223641029,416.930625,15.651900000000001,104.625,35.7399,0.02133774871839062,0.0,572.9687627487184,416.930625,15.651900000000001,156.9375,209.25,0.02133774871839062,65.50222500000001,864.2935877487184,0.0,52.3125,173.5101,65.50222500000001,291.32482500000003,29.69987474665336,20.925,20.925,0.625,0.7523076923076923,0.7112582906130207,0.0,100.0,20.925,2.842170943040401e-14
35,256.9424009532161,10.882098953221702,74.23623873921578,23.184592198271183,0.0,0.0,365.24533084392476,244.67216783236316,9.066043726395792,64.83146370875684,21.17877153499534,0.0,0.0,339.7484468025111,244.67216783236316,9.066043726395792,64.83146370875684,123.34753369245975,0.0,0.0,441.91720895997554,0.0,0.0,102.16876215746441,0.0,102.16876215746441,32.36512137740739,12.334753369245975,12.334753369245975,0.6569999999999999,0.7523076923076923,0.0,0.0,62.799127205757046,12.334753369245975,0.0
36,255.43601752674337,10.818300166226813,73.80101185853917,23.048667238796067,0.0,0.0,363.10399679030536,241.93790301120538,8.902530034776234,63.66657843052095,21.15270566114188,0.0,0.0,335.6597171376444,241.93790301120538,8.902530034776234,63.66657843052095,122.62438064430074,0.0,0.0,437.1313921208033,0.0,0.0,101.47167498315886,0.0,101.47167498315889,35.10268331297732,12.262438064430075,12.262438064430075,0.649,0.7523076923076923,0.0,0.0,52.74166909432291,12.262438064430075,2.842170943040401e-14
37,243.02625672077733,10.292718383790975,70.21556250307837,21.92890170964621,0.0,0.0,345.46343931729285,228.7605795537409,8.400021281043117,61.32015535161476,20.195051163174497,0.0,0.0,318.67580734957323,228.7605795537409,8.400021281043117,61.32015535161476,116.66696223670996,0.0,0.0,415.1477184231087,0.0,0.0,96.47191107353547,0.0,96.47191107353547,36.43598708930632,11.666696223670996,11.666696223670996,0.657,0.7523076923076923,0.0,0.0,50.1793385964344,11.666696223670996,0.0
