severity_label,severity_value,air_label,air_multiplier,classical_total_kgCO2e,dynamic_total_kgCO2e,sddlca_total_kgCO2e,hidden_carbon_vs_dynamic,hidden_carbon_vs_classical,total_shipments,total_good_output,classical_kg_per_shipped_unit,dynamic_kg_per_shipped_unit,sddlca_kg_per_shipped_unit,sddlca_to_classical_ratio,sddlca_to_dynamic_ratio,same_week_service_pct,final_backlog_units
none,0.0,0.8x,0.8,19986.02,19803.74,21874.88,2071.13,1888.85,674.0,676.0,29.652848664688428,29.382403560830863,32.455311572700296,1.0945090618342221,1.10458327568429,93.42,0.0
none,0.0,1.0x,1.0,19986.02,19803.74,22422.32,2618.57,2436.29,674.0,676.0,29.652848664688428,29.382403560830863,33.26753709198813,1.1219002082455636,1.1322265390274766,93.42,0.0
none,0.0,1.2x,1.2,19986.02,19803.74,22969.76,3166.02,2983.74,674.0,676.0,29.652848664688428,29.382403560830863,34.07976261127596,1.149291354656905,1.159869802370663,93.42,0.0
none,0.0,1.5x,1.5,19986.02,19803.74,23790.92,3987.18,3804.9,674.0,676.0,29.652848664688428,29.382403560830863,35.298100890207714,1.1903780742739174,1.201334697385443,93.42,0.0
mild,0.6,0.8x,0.8,19949.77,19755.14,22260.06,2504.92,2310.29,673.9999999999999,673.5607637961926,29.599065281899115,29.310296735905048,33.026795252225526,1.1158053451242798,1.1267983927220968,94.08,0.0
mild,0.6,1.0x,1.0,19949.77,19755.14,22877.37,3122.23,2927.6,673.9999999999999,673.5607637961926,29.599065281899115,29.310296735905048,33.942685459940655,1.1467485590059434,1.1580464628446066,94.08,0.0
mild,0.6,1.2x,1.2,19949.77,19755.14,23494.69,3739.55,3544.92,673.9999999999999,673.5607637961926,29.599065281899115,29.310296735905048,34.858590504451044,1.1776922741465188,1.1892950391644908,94.08,0.0
mild,0.6,1.5x,1.5,19949.77,19755.14,24420.66,4665.52,4470.89,673.9999999999999,673.5607637961926,29.599065281899115,29.310296735905048,36.23243323442137,1.2241073455984706,1.236167397446943,94.08,0.0
baseline,1.0,0.8x,0.8,19673.48,19457.82,22477.4,3019.58,2803.92,674.0000000000001,662.6969577781628,29.189139465875364,28.86916913946587,33.34925816023738,1.1425228276847819,1.1551859355261793,93.25,0.0
baseline,1.0,1.0x,1.0,19673.48,19457.82,23169.8,3711.98,3496.33,674.0000000000001,662.6969577781628,29.189139465875364,28.86916913946587,34.376557863501475,1.1777174145092784,1.1907706002008447,93.25,0.0
baseline,1.0,1.2x,1.2,19673.48,19457.82,23862.21,4404.38,4188.73,674.0000000000001,662.6969577781628,29.189139465875364,28.86916913946587,35.403872403560825,1.2129125096322562,1.2263557788076977,93.25,0.0
baseline,1.0,1.5x,1.5,19673.48,19457.82,24900.81,5442.98,5227.33,674.0000000000001,662.6969577781628,29.189139465875364,28.86916913946587,36.94482195845697,1.2657043898690015,1.2797327758196961,93.25,0.0
severe,1.4,0.8x,0.8,18298.13,18091.03,21713.85,3622.83,3415.73,628.6963298518665,614.6963298518665,29.10487803278796,28.775466216356964,34.53789845586695,1.1866704411871594,1.2002550435215684,85.34,45.3
severe,1.4,1.0x,1.0,18298.13,18091.03,22382.53,4291.5,4084.4,628.6963298518665,614.6963298518665,29.10487803278796,28.775466216356964,35.60149620290256,1.2232140661368127,1.237217007544623,85.34,45.3
severe,1.4,1.2x,1.2,18298.13,18091.03,23051.2,4960.18,4753.08,628.6963298518665,614.6963298518665,29.10487803278796,28.775466216356964,36.66507804400787,1.2597571445825337,1.274178418807553,85.34,45.3
severe,1.4,1.5x,1.5,18298.13,18091.03,24054.22,5963.19,5756.09,628.6963298518665,614.6963298518665,29.10487803278796,28.775466216356964,38.26047466456128,1.3145725820070138,1.3296213648421347,85.34,45.3
