policy_name,policy_label,week,material,inbound_transport,production_energy,outbound_transport,storage,backlog_penalty,total
baseline,Reference,1,1500.0,60.0,33.6,18.0,22.55,0.0,1634.1499999999999
baseline,Reference,2,0.0,0.0,0.0,18.0,20.900000000000002,0.0,38.900000000000006
baseline,Reference,3,680.0,90.0,11.200000000000001,18.0,24.750000000000004,0.0,823.95
baseline,Reference,4,1500.0,60.0,33.6,18.0,78.1,0.0,1689.6999999999998
baseline,Reference,5,150.0,6.0,3.3600000000000003,18.0,87.55,0.0,264.91
baseline,Reference,6,150.0,6.0,3.3600000000000003,18.0,86.5,0.0,263.86
baseline,Reference,7,150.0,6.0,3.3600000000000003,18.0,85.44999999999999,0.0,262.81
baseline,Reference,8,150.0,6.0,3.3600000000000003,18.0,94.9,0.0,272.26
baseline,Reference,9,180.0,7.2,6.048000000000001,120.0,85.53,0.0,398.778
baseline,Reference,10,180.0,7.2,6.048000000000001,120.0,76.16,0.0,389.408
baseline,Reference,11,180.0,7.2,6.048000000000001,120.0,66.79,0.0,380.038
baseline,Reference,12,180.0,7.2,6.048000000000001,120.0,57.42,0.0,370.668
baseline,Reference,13,180.0,7.2,6.048000000000001,240.0,53.9,180.0,667.1479999999999
baseline,Reference,14,180.0,7.2,6.048000000000001,86.4,53.9,475.2,808.748
baseline,Reference,15,180.0,7.2,6.048000000000001,86.4,53.9,770.4,1103.9479999999999
baseline,Reference,16,180.0,7.2,6.048000000000001,86.4,53.9,1065.6,1399.148
baseline,Reference,17,360.0,14.4,12.096000000000002,172.8,52.5,1043.9999999999998,1655.7959999999998
baseline,Reference,18,360.0,14.4,12.096000000000002,172.8,51.099999999999994,1022.3999999999996,1632.7959999999998
baseline,Reference,19,360.0,14.4,12.096000000000002,172.8,49.699999999999996,1000.7999999999996,1609.7959999999998
baseline,Reference,20,360.0,14.4,12.096000000000002,172.8,48.3,979.1999999999996,1586.7959999999996
backup_early,Backup anticipe,1,150.0,6.0,3.3600000000000003,18.0,17.15,0.0,194.51000000000002
backup_early,Backup anticipe,2,150.0,6.0,3.3600000000000003,18.0,16.1,0.0,193.46
backup_early,Backup anticipe,3,150.0,6.0,3.3600000000000003,18.0,15.05,0.0,192.41000000000003
backup_early,Backup anticipe,4,150.0,6.0,3.3600000000000003,18.0,14.0,0.0,191.36
backup_early,Backup anticipe,5,150.0,6.0,3.3600000000000003,18.0,12.950000000000001,0.0,190.31
backup_early,Backup anticipe,6,150.0,6.0,3.3600000000000003,18.0,11.9,0.0,189.26000000000002
backup_early,Backup anticipe,7,150.0,6.0,3.3600000000000003,18.0,11.9,0.0,189.26000000000002
backup_early,Backup anticipe,8,150.0,6.0,3.3600000000000003,18.0,11.9,0.0,189.26000000000002
backup_early,Backup anticipe,9,180.0,7.2,6.048000000000001,105.60000000000001,3.8499999999999996,43.199999999999974,345.898
backup_early,Backup anticipe,10,180.0,7.2,6.048000000000001,86.4,3.5,338.4,621.548
backup_early,Backup anticipe,11,180.0,7.2,6.048000000000001,86.4,3.15,633.5999999999999,916.3979999999999
backup_early,Backup anticipe,12,180.0,7.2,6.048000000000001,86.4,2.8,928.8,1211.248
backup_early,Backup anticipe,13,180.0,7.2,6.048000000000001,86.4,2.8,1224.0,1506.448
backup_early,Backup anticipe,14,180.0,7.2,6.048000000000001,86.4,2.8,1519.2,1801.6480000000001
backup_early,Backup anticipe,15,180.0,7.2,6.048000000000001,86.4,2.8,1814.4,2096.848
backup_early,Backup anticipe,16,180.0,7.2,6.048000000000001,86.4,2.8,2109.6000000000004,2392.0480000000002
backup_early,Backup anticipe,17,360.0,14.4,12.096000000000002,172.8,1.4,2088.0000000000005,2648.6960000000004
backup_early,Backup anticipe,18,360.0,14.4,12.096000000000002,172.8,0.0,2066.4,2625.696
backup_early,Backup anticipe,19,200.0,8.0,4.48,96.0,0.0,2102.4,2410.88
backup_early,Backup anticipe,20,424.8,39.6,12.096000000000002,172.8,3.5,2080.8,2733.5960000000005
inventory_buffer,Stock tampon,1,150.0,6.0,3.3600000000000003,18.0,17.15,0.0,194.51000000000002
inventory_buffer,Stock tampon,2,150.0,6.0,3.3600000000000003,18.0,16.1,0.0,193.46
inventory_buffer,Stock tampon,3,150.0,6.0,3.3600000000000003,18.0,15.05,0.0,192.41000000000003
inventory_buffer,Stock tampon,4,150.0,6.0,3.3600000000000003,18.0,14.700000000000001,0.0,192.06
inventory_buffer,Stock tampon,5,150.0,6.0,3.3600000000000003,18.0,14.700000000000001,0.0,192.06
inventory_buffer,Stock tampon,6,150.0,6.0,3.3600000000000003,18.0,14.700000000000001,0.0,192.06
inventory_buffer,Stock tampon,7,150.0,6.0,3.3600000000000003,18.0,14.700000000000001,0.0,192.06
inventory_buffer,Stock tampon,8,150.0,6.0,3.3600000000000003,18.0,14.700000000000001,0.0,192.06
inventory_buffer,Stock tampon,9,180.0,7.2,6.048000000000001,105.60000000000001,6.6499999999999995,43.199999999999974,348.698
inventory_buffer,Stock tampon,10,180.0,7.2,6.048000000000001,86.4,6.3,338.4,624.348
inventory_buffer,Stock tampon,11,180.0,7.2,6.048000000000001,86.4,5.949999999999999,633.5999999999999,919.1979999999999
inventory_buffer,Stock tampon,12,180.0,7.2,6.048000000000001,86.4,5.6,928.8,1214.048
inventory_buffer,Stock tampon,13,180.0,7.2,6.048000000000001,86.4,5.6,1224.0,1509.248
inventory_buffer,Stock tampon,14,180.0,7.2,6.048000000000001,86.4,5.6,1519.2,1804.448
inventory_buffer,Stock tampon,15,180.0,7.2,6.048000000000001,86.4,5.6,1814.4,2099.648
inventory_buffer,Stock tampon,16,180.0,7.2,6.048000000000001,86.4,5.6,2109.6000000000004,2394.8480000000004
inventory_buffer,Stock tampon,17,360.0,14.4,12.096000000000002,172.8,4.199999999999999,2088.0000000000005,2651.4960000000005
inventory_buffer,Stock tampon,18,360.0,14.4,12.096000000000002,172.8,2.8,2066.4,2628.496
inventory_buffer,Stock tampon,19,360.0,14.4,12.096000000000002,172.8,1.4,2044.8000000000002,2605.496
inventory_buffer,Stock tampon,20,360.0,14.4,12.096000000000002,172.8,0.0,2023.2,2582.496
low_carbon,Discipline carbone,1,150.0,6.0,3.3600000000000003,18.0,17.15,0.0,194.51000000000002
low_carbon,Discipline carbone,2,150.0,6.0,3.3600000000000003,18.0,16.1,0.0,193.46
low_carbon,Discipline carbone,3,150.0,6.0,3.3600000000000003,18.0,15.05,0.0,192.41000000000003
low_carbon,Discipline carbone,4,150.0,6.0,3.3600000000000003,18.0,14.0,0.0,191.36
low_carbon,Discipline carbone,5,150.0,6.0,3.3600000000000003,18.0,12.950000000000001,0.0,190.31
low_carbon,Discipline carbone,6,150.0,6.0,3.3600000000000003,18.0,11.9,0.0,189.26000000000002
low_carbon,Discipline carbone,7,150.0,6.0,3.3600000000000003,18.0,11.9,0.0,189.26000000000002
low_carbon,Discipline carbone,8,150.0,6.0,3.3600000000000003,18.0,11.9,0.0,189.26000000000002
low_carbon,Discipline carbone,9,180.0,7.2,6.048000000000001,105.60000000000001,3.8499999999999996,43.199999999999974,345.898
