metric,value
Weeks with air outbound,8.0
Weeks with backup supplier activated,1.0
Weeks with backup material consumed,1.0
Weeks with carbon-aware throttling,0.0
Total scrap units,6.4
Peak backlog,59.2
Ending backlog,54.4
Weeks with backlog,8.0
Peak capacity utilization,1.0
Same-week service level,71.54
Demand fill rate incl. backlog shipments,73.85
Peak backup share in raw stock,0.0
