policy_name,policy_label,same_week_service_pct,fill_rate_pct,final_backlog_units,peak_backlog_units,total_cost,classical_total_kgCO2e,time_dependent_dlca_total_kgCO2e,dynamic_total_kgCO2e,sddlca_total_kgCO2e,hidden_carbon_vs_td_dlca,hidden_carbon_vs_dynamic,hidden_carbon_vs_classical
baseline,Reference,93.25,100.0,0.0,36.44,57053.41,19673.48,19457.82,19457.82,23169.8,3711.98,3711.98,3496.33
backup_early,Backup anticipe,93.25,100.0,0.0,36.44,57053.41,19673.48,19457.82,19457.82,23169.8,3711.98,3711.98,3496.33
inventory_buffer,Stock tampon,98.42,100.0,0.0,10.66,43496.93,20118.31,20022.8,20022.8,21968.63,1945.84,1945.84,1850.32
low_carbon,Discipline carbone,91.19,98.54,9.83,46.76,61978.37,19324.08,19079.28,19079.28,22802.94,3723.66,3723.66,3478.86
service_first,Service prioritaire,97.29,100.0,0.0,16.8,45756.57,20075.52,19944.45,19944.45,22514.27,2569.83,2569.83,2438.75
