day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:007923,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,SDC-1450 | item:021081
101,85.281638,22712.043801,1440.298637,762.281321,5.98715,264.814999,3.06,2992.96258,3.561867,2.211797,14.361561,1.698095,156.9344,0.611742,0.054455,0.033191,6.872102,0.098471,1.5631,1620.669854,680.670281,8.04375,702.418623,983214.176641
102,84.866033,24899.441301,1472.436946,768.531321,5.98715,272.955799,3.06,2992.96258,3.561867,2.18287,14.287295,1.659525,204.5176,0.600171,0.053491,0.034155,6.836425,0.098471,1.5631,1655.715099,695.320281,8.04375,692.776123,983212.465539
103,84.450427,25276.578801,1493.194661,774.781321,5.798812,269.219448,3.06,2763.663027,3.556788,2.21469,14.140729,1.681221,376.824,0.600171,0.052526,0.034155,6.800747,0.099821,1.514888,1631.965099,733.720281,7.7825,683.133623,983212.154176
104,84.472301,23843.456301,1469.444661,781.031321,5.798812,264.184448,2.87,2763.663027,3.518218,2.212254,14.415541,1.657114,424.4072,0.5886,0.051562,0.034155,6.76507,0.098455,1.466675,1629.375099,747.340393,7.7825,689.081523,983211.934826
105,84.056696,22410.333801,1445.694661,757.281321,5.798812,259.149448,3.63,2763.663027,3.518218,2.203576,14.360578,1.647472,347.2672,0.577029,0.050598,0.033191,6.729393,0.099729,1.466675,1663.779476,846.757715,7.52125,679.439023,983209.799474
106,84.043571,22842.421594,1421.944661,763.531321,5.610475,267.555248,3.63,2763.663027,3.479648,2.191726,14.342258,1.681221,394.8504,0.5886,0.050598,0.032226,6.731271,0.101657,1.418463,1640.029476,823.007715,7.52125,669.796523,983207.664122
107,84.065445,25029.819094,1398.194661,795.685026,5.422137,262.520248,4.01,2534.363475,3.441078,2.191726,14.305616,1.652293,567.1568,0.577029,0.052501,0.031262,6.733148,0.105514,1.418463,1616.279476,799.257715,7.26,660.154023,983208.288748
108,84.087319,25406.956594,1451.244661,801.935026,5.2338,257.485248,4.2,2763.663027,3.402508,2.183048,14.159049,1.618544,490.0168,0.589209,0.052501,0.033191,6.697471,0.103586,1.514888,1592.529476,813.907715,7.52125,650.511523,983206.260023
109,83.671714,25784.094094,1427.494661,808.185026,5.422137,266.888911,4.39,3451.561685,3.404538,2.17437,14.104087,1.625776,498.1368,0.60078,0.052501,0.034155,6.661794,0.102814,1.5631,1568.779476,815.157715,7.7825,640.869023,983204.124671
110,83.256108,24556.576325,1427.494661,814.435026,5.422137,276.224096,4.2,3222.262132,3.445138,2.165692,13.975842,1.666757,622.86,0.589209,0.053465,0.035119,6.660667,0.101464,1.611313,1575.029476,815.157715,8.305,640.869023,983201.989319
111,82.840503,24933.713825,1403.744661,880.685026,5.610475,276.089052,4.2,2992.96258,3.406568,2.185941,14.268974,1.630598,622.86,0.577638,0.053516,0.035119,6.62499,0.100886,1.611313,1664.279476,829.807715,8.305,631.226523,983200.532703
112,82.424898,23500.591325,1421.222158,886.935026,5.422137,271.054052,4.2,2763.663027,3.367998,2.165692,14.122408,1.594438,622.86,0.577638,0.053516,0.034155,6.589313,0.101449,1.5631,1640.529476,806.057715,8.04375,621.584023,983199.987749
113,82.009292,23877.728825,1397.472158,863.185026,5.2338,279.464904,4.2,2763.663027,3.329428,2.136764,14.195691,1.584796,622.86,0.566067,0.053389,0.033191,6.553636,0.101449,1.611313,1616.779476,858.931318,8.04375,611.941523,983201.057154
114,81.593687,22444.606325,1373.722158,869.435026,5.2338,283.894832,4.39,2534.363475,3.329428,2.107837,14.156637,1.543815,546.804832,0.577638,0.05344,0.035119,6.588356,0.101449,1.611313,1593.029476,835.181318,7.7825,602.299023,983199.133125
115,81.178081,22821.743825,1411.496678,905.685026,5.422137,292.035632,4.39,2534.363475,3.329428,2.128086,14.046712,1.575153,469.664832,0.566067,0.05344,0.035119,6.588356,0.100871,1.707737,1569.279476,811.431318,7.52125,592.656523,983198.563899
116,80.762476,25009.141325,1406.830128,881.935026,5.422137,287.000632,4.2,2305.063922,3.290858,2.148335,14.156637,1.577564,392.524832,0.566067,0.053491,0.035119,6.552679,0.102221,1.659525,1570.529476,911.981318,7.52125,583.014023,983196.428547
117,80.34687,23576.018825,1383.080128,858.185026,5.2338,281.965632,4.2,2305.063922,3.331458,2.157013,13.99175,1.5631,315.384832,0.577638,0.053491,0.035119,6.552679,0.100871,1.707737,1546.779476,950.381318,7.7825,582.380616,983200.917964
118,79.931265,23953.156325,1359.330128,834.435026,5.2338,276.930632,4.2,2075.76437,3.292888,2.168584,13.826863,1.676399,238.244832,0.589209,0.052526,0.034155,6.517001,0.100292,1.707737,1553.029476,967.073603,7.7825,572.738116,983203.255837
119,79.51566,22520.033825,1335.580128,810.685026,5.422137,280.036432,4.01,2075.76437,3.254318,2.159906,13.955109,1.686042,234.0744,0.599256,0.053491,0.034155,6.481324,0.101642,1.707737,1529.279476,1020.123603,8.04375,578.686016,983202.721996
120,79.100054,26517.691325,1350.230128,816.935026,5.2338,275.001432,4.01,1846.464817,3.215748,2.226439,13.973429,1.700506,156.9344,0.587685,0.056383,0.033191,6.445647,0.103571,1.707737,1535.529476,1034.773603,7.7825,569.043516,983202.294331
121,78.684449,25084.568825,1326.480128,823.185026,5.422137,277.398586,3.82,1846.464817,3.177178,2.217761,13.808543,1.657114,79.7944,0.576114,0.055419,0.035119,6.475691,0.103378,1.659525,1541.779476,1036.696197,8.04375,559.401016,983200.756311
122,78.268843,25461.706325,1370.202631,799.435026,5.422137,280.504386,4.01,1846.464817,3.138608,2.197969,13.699582,1.736665,376.824,0.576114,0.054455,0.035119,6.440014,0.102799,1.707737,1518.029476,1012.946197,8.04375,549.758516,983198.834483
123,78.268843,24028.583825,1371.452631,835.685026,5.610475,275.469386,3.82,2305.063922,3.100038,2.177719,13.681262,1.707738,424.4072,0.564543,0.053491,0.035119,6.404336,0.102028,1.707737,1494.279476,989.196197,8.04375,540.116016,983199.326111
124,77.853238,22595.461325,1371.452631,841.935026,5.610475,270.434386,3.82,2075.76437,3.137574,2.195076,13.498054,1.768003,347.2672,0.552972,0.053491,0.034155,6.368659,0.103185,1.659525,1470.529476,989.196197,8.04375,540.338387,983197.711481
125,77.437632,22972.598825,1386.102631,818.185026,5.422137,265.399386,3.63,2075.76437,3.099004,2.166148,13.443092,1.813805,519.5736,0.541401,0.052526,0.033191,6.332982,0.105306,1.707737,1476.779476,965.446197,7.7825,530.695887,983198.877859
126,77.437632,21539.476325,1400.752631,794.435026,5.798812,260.364386,3.63,2305.063922,3.099004,2.174827,13.553016,1.787288,567.1568,0.541401,0.051562,0.032226,6.297305,0.109356,1.659525,1483.029476,941.696197,7.7825,540.338387,983196.742506
127,77.022027,20106.353825,1503.445337,796.636731,5.798812,268.505186,3.44,2992.96258,3.060434,2.174827,13.553016,1.806573,614.74,0.552972,0.050598,0.032226,6.261627,0.108006,1.611312,1459.279476,956.346197,7.7825,546.286287,983198.533011
128,76.606422,18673.231325,1541.845337,832.886731,5.98715,263.470186,3.44,2763.663027,3.021864,2.180612,13.515892,1.796931,622.86,0.541401,0.051562,0.032226,6.22595,0.106078,1.659525,1495.529476,932.596197,8.04375,567.824587,983196.397659
129,76.190816,20883.881764,1541.845337,809.136731,5.798812,275.969329,3.44,3222.262132,3.060434,2.169041,13.918949,1.751129,622.86,0.52983,0.053491,0.031262,6.190273,0.104728,1.707737,1529.981853,947.246197,7.7825,558.182087,983194.686913
130,75.775211,21261.019264,1518.095337,785.386731,5.98715,270.934329,3.25,2992.96258,3.139604,2.18929,14.010553,1.751129,545.72,0.552972,0.052526,0.030298,6.154596,0.104149,1.707737,1536.231853,1025.303032,7.7825,548.787294,983195.747429
131,75.359605,19827.896764,1532.745337,761.636731,5.98715,274.040129,3.25,2992.96258,3.139604,2.168813,14.120477,1.705327,545.72,0.564543,0.052526,0.031262,6.118918,0.104149,1.75595,1542.481853,1039.953032,7.7825,554.735194,983193.71646
132,74.944,21699.503309,1570.96894,771.279321,5.798812,275.209462,3.25,2992.96258,3.141634,2.209311,14.303685,1.700506,622.86,0.564543,0.051562,0.030298,6.118917,0.102799,1.804162,1548.731853,1102.480642,8.04375,545.092694,983192.916788
133,74.932853,23886.900809,1547.21894,747.529321,5.798812,270.174462,3.06,2992.96258,3.180204,2.200633,14.157119,1.736665,546.804832,0.576114,0.050598,0.031262,6.08324,0.103378,1.804162,1524.981853,1078.730642,8.04375,551.040594,983191.315231
134,74.517247,26074.298309,1585.61894,723.779321,5.98715,270.174462,3.06,2992.96258,3.141634,2.200633,14.486892,1.727023,469.664832,0.576114,0.050598,0.030298,6.047562,0.102799,1.75595,1501.231853,1141.549479,8.04375,561.473692,983189.39525
135,74.932853,26451.435809,1561.86894,700.029321,5.798812,273.280262,3.06,2763.663027,3.103064,2.217989,14.358647,1.67881,392.524832,0.599256,0.051562,0.031262,6.011885,0.106656,1.75595,1477.481853,1117.799479,8.8275,551.831192,983187.900402
136,74.932853,26857.61908,1538.11894,678.135026,5.798812,285.085329,3.06,2534.363475,3.103064,2.238239,14.322005,1.676399,315.384832,0.599256,0.051562,0.031262,6.011885,0.104728,1.707737,1483.731853,1094.049479,8.56625,557.701901,983186.626335
137,74.878126,29045.01658,1552.76894,714.385026,5.98715,280.050329,2.87,2305.063922,3.064494,2.226667,14.468571,1.652293,238.244832,0.587685,0.051562,0.031262,6.085117,0.102799,1.659525,1494.13623,1070.299479,8.305,589.390201,983185.876902
138,74.46252,27611.89408,1529.01894,720.635026,5.98715,275.015329,3.06,2075.76437,3.064494,2.226667,14.43193,1.712559,161.104832,0.576114,0.052526,0.031262,6.04944,0.104149,1.659525,1500.38623,1046.549479,8.56625,590.107729,983183.741549
139,74.462083,27989.03158,1505.26894,696.885026,5.798812,269.980329,3.44,2075.76437,3.103064,2.215096,14.505213,1.683631,156.9344,0.564543,0.051562,0.030298,6.013763,0.106271,1.659525,1505.623476,1024.148265,8.305,605.155585,983183.314281
140,74.046477,26590.747683,1505.26894,733.135026,5.798812,284.270632,3.44,2305.063922,3.103064,2.226667,14.395288,1.67881,329.2408,0.552972,0.051562,0.029334,6.013763,0.106849,1.707737,1541.873476,1024.148265,8.305,595.513085,983181.50383
141,74.046477,28980.853497,1531.663759,739.385026,5.798812,279.235632,3.63,2075.76437,3.141634,2.235345,14.248722,1.666757,376.824,0.576114,0.050598,0.029334,6.012823,0.10897,1.75595,1518.123476,1022.461977,8.305,585.870585,983180.843225
142,73.630872,29357.990997,1547.662545,775.635026,5.610475,274.200632,3.44,2305.063922,3.141634,2.226667,14.358647,1.661936,299.684,0.564543,0.051562,0.029334,6.048501,0.108392,1.852375,1494.373476,998.711977,8.8275,601.460985,983178.813617
143,73.215266,31545.388497,1523.912545,781.885026,5.798812,269.165632,3.25,2763.663027,3.141634,2.244015,14.212081,1.616134,471.9904,0.576114,0.052526,0.028369,6.048501,0.109163,1.804162,1500.623476,974.961977,9.35,617.558885,983177.522596
144,73.160539,30112.265997,1500.162545,758.135026,5.610475,267.711689,3.25,2763.663027,3.135544,2.223764,14.047194,1.592028,519.5736,0.564543,0.052526,0.028369,6.012823,0.107235,1.804162,1536.873476,951.948265,9.08875,633.149285,983175.597678
145,73.160539,30489.403497,1476.412545,734.385026,5.610475,262.676689,3.25,2763.663027,3.096974,2.223764,13.93727,1.572743,567.1568,0.552972,0.053491,0.028369,6.012823,0.108392,1.852375,1513.123476,928.198265,9.08875,623.506785,983175.042534
146,73.105813,30866.540997,1491.062545,710.635026,5.98715,257.641689,3.06,2763.663027,3.134528,2.264262,13.918949,1.575153,614.74,0.541401,0.053491,0.027405,5.977146,0.106463,1.900587,1489.373476,966.598265,8.8275,613.864285,983174.828437
147,72.690207,29433.418497,1467.312545,802.692731,5.798812,252.606689,3.44,2534.363475,3.173098,2.27294,13.900628,1.541404,537.6,0.52983,0.054455,0.028369,5.941469,0.106463,1.900587,1495.623476,942.848265,8.56625,604.221785,983173.324294
148,72.712081,28000.295997,1481.962545,780.750437,5.610475,247.571689,3.44,2534.363475,3.134528,2.29319,13.845666,1.608902,622.86,0.518259,0.054455,0.028369,5.905792,0.104535,1.852375,1501.873476,919.098265,8.305,594.579285,983171.40272
149,72.296476,28377.433497,1458.212545,758.904142,5.422137,247.571689,3.63,2763.663027,3.095958,2.264262,13.790704,1.611313,622.86,0.518259,0.054455,0.028369,5.907669,0.104535,1.852375,1478.123476,895.348265,8.04375,604.221785,983169.376103
150,72.296476,28754.570997,1434.462545,735.154142,5.2338,247.571689,3.44,2534.363475,3.057388,2.244013,13.900628,1.611313,545.72,0.52983,0.054455,0.028369,5.871992,0.102606,1.900587,1454.373476,871.598265,8.04375,614.318879,983168.950676
151,72.296476,27321.448497,1449.112545,741.404142,5.045462,242.536689,3.63,2534.363475,3.095958,2.255584,13.863987,1.60167,545.72,0.518259,0.054455,0.029334,5.836315,0.102606,1.852375,1519.706722,886.248265,7.7825,604.676379,983166.922092
152,72.296476,27698.585997,1426.098833,721.238731,5.2338,237.501689,3.82,2534.363475,3.134528,2.275833,14.028873,1.64024,546.804832,0.506688,0.054455,0.029334,5.800638,0.103956,1.804162,1495.956722,939.298265,7.52125,595.033879,983167.011783
153,71.88087,28275.535396,1402.348833,757.488731,5.2338,236.281134,3.63,2763.663027,3.095958,2.246906,13.882307,1.630598,469.664832,0.506688,0.055419,0.029334,5.76496,0.105113,1.75595,1472.206722,915.548265,7.7825,585.391379,983165.842957
154,71.878681,28652.672896,1416.998833,733.738731,5.422137,231.246134,3.63,2763.663027,3.095958,2.226656,13.809024,1.630598,392.524832,0.52983,0.055419,0.030298,5.729283,0.103763,1.75595,1478.456722,891.798265,8.04375,575.748879,983165.192547
155,71.463076,27219.550396,1393.248833,739.988731,5.422137,226.211134,3.63,2763.663027,3.057388,2.238227,13.827345,1.60167,315.384832,0.518259,0.054455,0.030298,5.764003,0.104535,1.75595,1484.706722,906.448265,8.04375,566.106379,983164.658688
156,71.878681,29406.947896,1407.898833,746.238731,5.610475,237.457734,3.44,2992.96258,3.018818,2.255584,13.973911,1.553458,238.244832,0.506688,0.053491,0.029334,5.728326,0.103185,1.75595,1489.015099,921.098265,7.7825,587.644679,983164.018082
157,71.463076,29784.085396,1384.148833,752.488731,5.422137,232.422734,3.63,2763.663027,3.057388,2.244013,13.95559,1.548636,234.0744,0.518259,0.053491,0.029334,5.692649,0.106463,1.707737,1465.265099,897.348265,7.52125,578.002179,983162.203031
158,71.463076,30161.222896,1360.398833,756.354142,5.2338,239.748788,3.63,2534.363475,3.057388,2.244013,13.900628,1.510066,281.6576,0.518259,0.053491,0.030298,5.692649,0.107813,1.804162,1441.515099,873.598265,7.7825,568.359679,983161.988175
159,71.408349,28728.100396,1336.648833,732.604142,5.2338,256.030388,3.63,2763.663027,3.095958,2.235335,13.900628,1.517298,204.5176,0.52983,0.054455,0.030298,5.656972,0.106463,1.852375,1507.765099,872.674852,7.52125,558.717179,983160.386661
160,71.823954,32725.757896,1314.941118,828.854142,5.045462,250.995388,3.63,2763.663027,3.057388,2.215085,13.754062,1.52453,376.824,0.52983,0.053491,0.030298,5.621294,0.107813,1.9488,1514.015099,848.924852,7.26,558.717179,983159.046559
161,71.408349,34913.155396,1291.191118,805.104142,5.422137,245.960388,4.01,2763.663027,3.057388,2.194836,13.772383,1.512477,299.684,0.541401,0.055419,0.032226,5.621106,0.107813,1.900587,1520.265099,901.974852,7.26,564.665079,983158.042416
162,71.408349,33480.032896,1288.892332,811.354142,5.610475,240.925388,4.01,2534.363475,3.018818,2.165909,13.735741,1.536583,471.9904,0.541401,0.054455,0.031262,5.585429,0.109549,1.852375,1584.621476,878.224852,7.26,555.022579,983157.828878
163,70.992743,32046.910396,1303.542332,817.604142,5.798812,235.890388,3.82,2534.363475,3.018818,2.165909,14.065515,1.558279,519.5736,0.52983,0.054455,0.030298,5.620167,0.10897,1.804162,1560.871476,892.874852,7.52125,585.920926,983161.817731
164,71.014617,30613.787896,1303.542332,913.854142,5.610475,230.855388,4.01,2305.063922,2.980248,2.255584,13.95559,1.5631,442.4336,0.52983,0.054455,0.032226,5.622045,0.108199,1.804162,1567.121476,969.674852,7.26,576.278426,983162.991361
165,71.430223,30990.925396,1341.942332,920.104142,5.422137,225.820388,4.01,2305.063922,2.941678,2.235335,14.065515,1.577564,614.74,0.52983,0.054455,0.033191,5.586367,0.106849,1.804162,1543.371476,993.424852,6.99875,566.635926,983162.967012
166,71.430222,31368.062896,1356.592332,926.354142,5.422137,220.785388,4.01,2534.363475,2.941678,2.29319,13.93727,1.633008,537.6,0.52983,0.053491,0.035119,5.586367,0.106656,1.852375,1549.621476,1008.074852,7.26,556.993426,983162.964378
167,71.014616,31745.200396,1354.906044,902.604142,5.2338,215.750388,4.01,2763.663027,3.057185,2.313439,13.918949,1.60167,545.72,0.52983,0.053491,0.035119,5.55069,0.104728,1.852375,1525.871476,1009.318018,6.99875,594.278971,983160.935794
168,71.014616,30312.077896,1356.737208,912.342731,5.2338,210.715388,4.2,2534.363475,3.057185,2.333688,13.809024,1.5631,622.86,0.52983,0.053491,0.034155,5.515013,0.104149,1.804162,1532.121476,985.568018,7.26,584.636471,983158.90418
169,70.599011,28878.955396,1336.703757,918.592731,5.2338,205.680388,4.01,2305.063922,3.018615,2.365508,13.93727,1.596849,622.86,0.587685,0.053491,0.033191,5.479336,0.106271,1.900587,1597.550722,985.568018,7.7825,574.993971,983161.966057
170,70.183406,27445.832896,1312.953757,894.842731,5.045462,209.805343,3.82,2305.063922,3.057185,2.336581,13.918949,1.616134,622.86,0.587685,0.052526,0.034155,5.479336,0.106271,1.852375,1603.800722,985.568018,7.52125,574.472667,983163.247257
171,69.7678,26012.710396,1312.953757,871.092731,4.857125,221.855609,3.63,2534.363475,3.018615,2.336581,13.918949,1.635419,545.72,0.599256,0.051562,0.034155,5.479336,0.105499,1.804162,1580.050722,961.818018,7.26,575.634569,983163.167356
172,69.789674,26227.607794,1289.203757,851.023321,5.045462,221.855609,3.44,2763.663027,2.980045,2.316332,13.93727,1.693274,469.664832,0.622398,0.051562,0.033191,5.515005,0.103571,1.75595,1556.300722,938.068018,7.26,575.634569,983163.144887
173,69.374069,24794.485294,1265.453757,827.273321,4.857125,224.961409,3.63,2992.96258,2.941475,2.287404,14.157119,1.727023,392.524832,0.657111,0.051562,0.034155,5.515005,0.104342,1.75595,1562.550722,976.468018,6.99875,565.992069,983162.718846
174,69.395943,23361.362794,1241.703757,803.523321,4.668787,236.208009,3.63,3222.262132,2.941475,2.267155,13.973911,1.719791,315.384832,0.64554,0.051562,0.033191,5.479328,0.104921,1.75595,1538.800722,952.718018,6.7375,556.349569,983162.381789
175,68.980337,25548.760294,1217.953757,779.773321,5.045462,236.971472,3.44,3222.262132,2.902905,2.304761,14.120477,1.743897,238.244832,0.668682,0.050598,0.033191,5.443651,0.103571,1.804162,1543.941968,967.368018,6.47625,556.235023,983162.39701
176,68.564732,24115.637794,1219.196922,756.023321,5.045462,240.077272,3.25,3222.262132,2.902905,2.275833,14.230402,1.705327,161.104832,0.657111,0.051562,0.033191,5.407974,0.102221,1.804162,1550.191968,991.054494,7.26,556.235023,983162.610544
177,69.395943,24492.775294,1219.774329,763.985026,5.610475,235.042272,3.06,2992.96258,2.864335,2.322117,14.322005,1.731844,156.9344,0.64554,0.050598,0.034155,5.483084,0.103571,1.852375,1526.441968,1005.704494,7.52125,562.182923,983161.949013
