case_id,case_input,case_output_dir,guard::backlog_days,guard::max_daily_backlog_qty,guard::min_daily_service_rate,guard::raw_material_max_safety_floor_gap_qty,guard::raw_material_max_target_gap_qty,guard::raw_material_safety_floor_breach_days,guard::raw_material_safety_floor_breach_pairs,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_inventory_risk,kpi::cost_share_production,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::cost_share_warehouse_operating,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::measured_required_total,kpi::measurement_starting_backlog,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_estimated_source_ordered_qty,kpi::total_estimated_source_rejected_qty,kpi::total_estimated_source_replenished_qty,kpi::total_explicit_initialization_pipeline_qty,kpi::total_explicit_initialization_stock_qty,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_inventory_cost_legacy_raw_holding,kpi::total_inventory_risk_cost,kpi::total_logistics_cost,kpi::total_opening_open_order_qty,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_production_cost,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,kpi::total_warehouse_operating_cost,kpi::warmup_backlog_cleared_qty,level,parameter_group,parameter_key,parameter_label,safe_direction,status
baseline,etudecas\simulation\sensibility\active_supplier_parameter_result_upstream_constrained\cases\baseline\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_upstream_constrained\cases\baseline\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,136.0,8.0,664489123.4272,0.127112,0.072635,0.3,0.24618,0.090643,0.16343,0.0,620121663.3403,1.0,25762139.9999,0.0,888545020.1141,61148958.3234,25762139.9999,0.0,0.0,0.0,303596232.9482,208012846.7465,711625905.8924,546130595.645,546130595.645,2083708171.834,53329985.2626,7772769.5122,22207912.892,4441582.5784,27750608.4457,68338188.0,0.0,106327600.0,18344687.497,15053662.3807,25762139.9999,823730758.808,0.0,5542695.5537,0.0,9993560.8014,0.0,1.0,baseline,baseline,Baseline,baseline,ok
supplier_stock_scale_0_01,etudecas\simulation\sensibility\active_supplier_parameter_result_upstream_constrained\cases\supplier_stock_scale_0_01\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_upstream_constrained\cases\supplier_stock_scale_0_01\simulation_output,36.0,151557.272252,0.0,7595955.6435,21126077.4487,156.0,9.0,664364058.9711,0.137765,0.078723,0.3,0.231742,0.074644,0.177126,0.0,625329575.2102,1.0,25762139.9999,0.0,904156664.8726,73146715.7573,25762139.9999,0.0,0.0,0.0,303596232.9482,208018727.3465,782510905.8023,547380772.9935,547380772.9935,2175085847.1986,57256928.3825,10077053.7216,28791582.0617,5758316.4123,34251522.6459,68338188.0,0.0,117423200.0,21944014.7272,16951178.3842,25762139.9999,836482783.8726,0.0,5459940.5843,0.0,12956211.9278,0.0,0.01,supplier_stock_global,supplier_stock_scale,Stock fournisseur global,lower_is_riskier,ok
supplier_stock_scale_0_25,etudecas\simulation\sensibility\active_supplier_parameter_result_upstream_constrained\cases\supplier_stock_scale_0_25\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_upstream_constrained\cases\supplier_stock_scale_0_25\simulation_output,2.0,5653.408164,0.0,7263350.6084,41845599.600001,100.0,8.0,643998753.1329,0.122523,0.070013,0.3,0.263423,0.086512,0.157529,0.0,663367892.7573,1.0,25762139.9999,0.0,896464392.9953,62476799.4388,25762139.9999,0.0,0.0,0.0,303596232.9482,208017301.7465,802288732.5107,569391987.5624,569391987.5624,2539941226.9735,57486820.6081,7654833.932,21870954.0914,4374190.8183,27275955.5595,68338188.0,0.0,113799000.0,18743039.8316,16457804.0477,25762139.9999,829835888.0259,0.0,5405001.4681,0.0,9841929.3411,0.0,0.25,supplier_stock_global,supplier_stock_scale,Stock fournisseur global,lower_is_riskier,ok
supplier_stock_scale_0_5,etudecas\simulation\sensibility\active_supplier_parameter_result_upstream_constrained\cases\supplier_stock_scale_0_5\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_upstream_constrained\cases\supplier_stock_scale_0_5\simulation_output,2.0,5653.408164,0.0,7263350.6084,22330996.800001,95.0,8.0,653263120.8685,0.128746,0.073569,0.3,0.23945,0.092706,0.16553,0.0,648721589.4333,1.0,25762139.9999,0.0,883268420.4214,58101790.321,25762139.9999,0.0,0.0,0.0,303596232.9482,208015816.7465,777538728.772,543987866.8974,543987866.8974,2084675515.5369,50864463.7667,7480354.1208,21372440.345,4274488.069,26758800.4227,68338188.0,0.0,113482600.0,17430537.0963,13912452.8019,25762139.9999,818189791.1612,0.0,5386360.0777,0.0,9617598.1553,0.0,0.5,supplier_stock_global,supplier_stock_scale,Stock fournisseur global,lower_is_riskier,ok
supplier_stock_scale_0_75,etudecas\simulation\sensibility\active_supplier_parameter_result_upstream_constrained\cases\supplier_stock_scale_0_75\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_upstream_constrained\cases\supplier_stock_scale_0_75\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,112.0,8.0,667649138.14,0.130484,0.074563,0.3,0.230151,0.097036,0.167766,0.0,670946343.5726,1.0,25762139.9999,0.0,887245879.8438,57868153.9705,25762139.9999,0.0,0.0,0.0,303596232.9482,208014331.7465,773559867.5547,540652677.3073,540652677.3073,2047983400.9706,50013424.2112,7550890.65,21573973.2857,4314794.6571,27189293.1588,68338188.0,0.0,109844000.0,17360446.1912,13318414.6206,25762139.9999,820304615.8438,0.0,5615319.8731,0.0,9708287.9786,0.0,0.75,supplier_stock_global,supplier_stock_scale,Stock fournisseur global,lower_is_riskier,ok
supplier_stock_scale_0_9,etudecas\simulation\sensibility\active_supplier_parameter_result_upstream_constrained\cases\supplier_stock_scale_0_9\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_upstream_constrained\cases\supplier_stock_scale_0_9\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,136.0,8.0,675271988.9739,0.123832,0.070761,0.3,0.257324,0.088869,0.159213,0.0,665102520.8798,1.0,25762139.9999,0.0,881840368.4187,60438368.0936,25762139.9999,0.0,0.0,0.0,303596232.9482,208013440.7465,772328413.4862,545945433.3113,545945433.3113,2057746804.894,55265906.6169,7484222.8404,21383493.8297,4276698.7659,26754620.0587,68338188.0,0.0,106478600.0,18131510.4281,15552237.6068,25762139.9999,822497567.4187,0.0,5371126.229,0.0,9622572.2233,0.0,0.9,supplier_stock_global,supplier_stock_scale,Stock fournisseur global,lower_is_riskier,ok
supplier_stock_scale_1_0,etudecas\simulation\sensibility\active_supplier_parameter_result_upstream_constrained\cases\supplier_stock_scale_1_0\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_upstream_constrained\cases\supplier_stock_scale_1_0\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,136.0,8.0,664489123.4272,0.127112,0.072635,0.3,0.24618,0.090643,0.16343,0.0,620121663.3403,1.0,25762139.9999,0.0,888545020.1141,61148958.3234,25762139.9999,0.0,0.0,0.0,303596232.9482,208012846.7465,711625905.8924,546130595.645,546130595.645,2083708171.834,53329985.2626,7772769.5122,22207912.892,4441582.5784,27750608.4457,68338188.0,0.0,106327600.0,18344687.497,15053662.3807,25762139.9999,823730758.808,0.0,5542695.5537,0.0,9993560.8014,0.0,1.0,supplier_stock_global,supplier_stock_scale,Stock fournisseur global,lower_is_riskier,ok
supplier_capacity_scale_0_01,etudecas\simulation\sensibility\active_supplier_parameter_result_upstream_constrained\cases\supplier_capacity_scale_0_01\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_upstream_constrained\cases\supplier_capacity_scale_0_01\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,122.0,8.0,660013504.6019,0.127037,0.072593,0.3,0.246138,0.090899,0.163334,0.0,614399905.0994,1.0,25762139.9999,0.0,887228066.9019,60548615.2103,25762139.9999,0.0,0.0,0.0,303596359.9729,208012846.7465,708947339.9576,547558102.6856,547558102.6856,2059940266.9147,54002914.7843,7691936.3431,21976960.9804,4395392.1961,27480744.3696,68338188.0,0.0,106327600.0,18164584.5631,14903286.2777,25762139.9999,821796997.9019,6431765.604,5503783.3892,0.0,9889632.4412,0.0,0.01,supplier_capacity_global,supplier_capacity_scale,Capacite fournisseur globale,lower_is_riskier,ok
supplier_capacity_scale_0_05,etudecas\simulation\sensibility\active_supplier_parameter_result_upstream_constrained\cases\supplier_capacity_scale_0_05\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_upstream_constrained\cases\supplier_capacity_scale_0_05\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,143.0,8.0,663489706.4596,0.126833,0.072476,0.3,0.247281,0.090338,0.163071,0.0,614943520.2714,1.0,25762139.9999,0.0,888203486.7442,61312999.5636,25762139.9999,0.0,0.0,0.0,303596892.7214,208012846.7465,711075955.1297,550154994.9089,550154994.9089,2079010940.0963,54669554.3973,7776534.0892,22218668.8264,4443733.7653,27757571.6789,68338188.0,0.0,106327600.0,18393899.8691,15161528.0157,25762139.9999,824367417.7442,3098113.004,5538902.8525,0.0,9998400.9719,0.0,0.05,supplier_capacity_global,supplier_capacity_scale,Capacite fournisseur globale,lower_is_riskier,ok
supplier_capacity_scale_0_1,etudecas\simulation\sensibility\active_supplier_parameter_result_upstream_constrained\cases\supplier_capacity_scale_0_1\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_upstream_constrained\cases\supplier_capacity_scale_0_1\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,136.0,8.0,664489123.4272,0.127112,0.072635,0.3,0.24618,0.090643,0.16343,0.0,620121663.3403,1.0,25762139.9999,0.0,888545020.1141,61148958.3234,25762139.9999,0.0,0.0,0.0,303596232.9482,208012846.7465,711625905.8924,546130595.645,546130595.645,2083708171.834,53329985.2626,7772769.5122,22207912.892,4441582.5784,27750608.4457,68338188.0,0.0,106327600.0,18344687.497,15053662.3807,25762139.9999,823730758.808,453981.0,5542695.5537,0.0,9993560.8014,0.0,0.1,supplier_capacity_global,supplier_capacity_scale,Capacite fournisseur globale,lower_is_riskier,ok
