acceptable_levels,baseline_fill_rate,baseline_total_cost,cost_warning_level,ending_backlog_cross_threshold_at,ending_backlog_monotonicity,fill_rate_cross_service_threshold_at,fill_rate_max,fill_rate_min,fill_rate_monotonicity,first_unacceptable_level,levels,max_external_procured_qty_delta,max_fill_rate_drop,max_total_cost_increase,parameter_group,parameter_key,parameter_label,safe_band_high,safe_band_low,safe_direction,total_cost_cross_threshold_at,total_cost_monotonicity
"[0.01, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,61148958.3234,,,flat,0.05,1.0,1.0,flat,0.05,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1413464.2426999807,0.0,17665.28860000521,supplier_capacity_node,supplier_capacity_node::SDC-VD0520115A,Capacite fournisseur SDC-VD0520115A,1.0,0.01,lower_is_riskier,,non_monotonic
"[0.01, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,61148958.3234,,,flat,0.05,1.0,1.0,flat,0.05,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1187823.2022000551,0.0,53264.84650000185,supplier_capacity_node,supplier_capacity_node::SDC-VD1095770A,Capacite fournisseur SDC-VD1095770A,1.0,0.01,lower_is_riskier,,non_monotonic
"[0.01, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,61148958.3234,,,flat,0.05,1.0,1.0,flat,0.05,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",4024399.2639000416,0.0,164041.24020000547,supplier_capacity_global,supplier_capacity_scale,Capacite fournisseur globale,1.0,0.01,lower_is_riskier,,non_monotonic
[1.0],1.0,61148958.3234,,0.01,decreasing,0.01,1.0,0.502754,increasing,0.01,"[0.01, 1.0]",0.0,0.49724599999999997,0.0,external_market,external_procurement_enabled,External market active,1.0,1.0,lower_is_riskier,,increasing
"[0.1, 0.25, 0.5, 0.75, 1.0]",1.0,61148958.3234,,,flat,0.01,1.0,1.0,flat,0.01,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1187823.2022000551,0.0,60163.388400003314,supplier_capacity_node,supplier_capacity_node::SDC-VD0508918A,Capacite fournisseur SDC-VD0508918A,1.0,0.1,lower_is_riskier,,decreasing
"[0.25, 0.5, 0.75, 1.0]",1.0,61148958.3234,,,flat,0.01,1.0,1.0,flat,0.01,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",4940663.913800001,0.0,155992.04510000348,supplier_capacity_node,supplier_capacity_node::SDC-VD0518684A,Capacite fournisseur SDC-VD0518684A,1.0,0.25,lower_is_riskier,,non_monotonic
"[0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,61148958.3234,,,flat,0.01,1.0,1.0,flat,0.01,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",19870.119099974632,0.0,0.0,supplier_capacity_node,supplier_capacity_node::SDC-VD0525412A,Capacite fournisseur SDC-VD0525412A,1.0,0.05,lower_is_riskier,,increasing
"[0.25, 0.5, 0.75, 1.0]",1.0,61148958.3234,,,flat,0.01,1.0,1.0,flat,0.01,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",4407543.739600062,0.0,284450.11630000174,supplier_capacity_node,supplier_capacity_node::SDC-VD0910216A,Capacite fournisseur SDC-VD0910216A,1.0,0.25,lower_is_riskier,,decreasing
"[0.25, 0.5, 0.75, 1.0]",1.0,61148958.3234,,,flat,0.01,1.0,1.0,flat,0.01,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1288281.9223999977,0.0,165561.28840000182,supplier_capacity_node,supplier_capacity_node::SDC-VD0914320A,Capacite fournisseur SDC-VD0914320A,1.0,0.25,lower_is_riskier,,non_monotonic
"[0.1, 0.25, 0.5, 0.75, 1.0]",1.0,61148958.3234,,,flat,0.01,1.0,1.0,flat,0.01,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",4340039.3301000595,0.0,101189.56270000339,supplier_capacity_node,supplier_capacity_node::SDC-VD0993480A,Capacite fournisseur SDC-VD0993480A,1.0,0.1,lower_is_riskier,,decreasing
"[0.25, 0.5, 0.75, 0.9, 1.0]",1.0,61148958.3234,0.01,,flat,0.01,1.0,1.0,flat,0.01,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",23261391.917400002,0.0,11997757.433900006,supplier_stock_global,supplier_stock_scale,Stock fournisseur global,1.0,0.25,lower_is_riskier,0.01,non_monotonic
"[0.25, 0.5, 0.75, 1.0]",1.0,61148958.3234,,,flat,,1.0,1.0,flat,,"[0.25, 0.5, 0.75, 1.0]",0.0,0.0,0.0,external_market,external_procurement_daily_cap_days_scale,Capacite external market,1.0,0.25,lower_is_riskier,,increasing
