week_index,supplier_id,supplier_name,dst_node_id,item_id,shipped_qty,pulled_qty,shipment_count,mrp_order_count,mrp_release_qty,mrp_planned_receipt_qty,lead_days_avg_week,lead_days_q50,lead_days_q90,lead_days_q95,lead_interval_width_days,reliability_avg_week,capacity_qty_week,capacity_used_qty_week,capacity_utilization_avg_week,capacity_utilization_max_week,stock_end_of_week,stock_min_of_week,stock_coverage_days,trailing_4w_shipped_qty,trailing_12w_avg_shipped_qty,flow_velocity_4w,flow_cv_12w,capacity_utilization_trailing_4w,capacity_utilization_acceleration_4w,criticality_score,local_criticality_score,mono_source_score,performance_distance_score,performance_score_current,stock_pressure,capacity_pressure,lead_time_pressure,flow_exposure_pressure,flow_volatility_pressure,dynamic_pressure,change_point_score,change_point_flag,early_warning_score,early_warning_flag,resilience_score,performance_drop_proxy,time_to_recover_weeks_proxy,sensitivity_external_qty_delta,sensitivity_external_qty_delta_pressure,sensitivity_fill_rate_drop,sensitivity_fill_rate_drop_pressure,sensitivity_lowest_acceptable_scale,sensitivity_first_unacceptable_level,sensitivity_pressure,lead_uncertainty_pressure,lead_observation_count,capacity_observations,stock_observations,active_week_count,data_quality_lead_score,data_quality_capacity_score,data_quality_stock_score,data_quality_criticality_score,data_quality_active_score,uncertainty_pressure,data_quality_score,risk_signal,risk_probability_proxy_4w,risk_probability_low_proxy_4w,risk_probability_high_proxy_4w,action_priority_score,expected_exposure_qty_4w_proxy,cvar_exposure_qty_4w_proxy,action_level,decision_zone,recommended_action,robust_decision
272,SDC-VD0525412A,Supplier of Packaging - VD0525412A,M-1430,item:333362,0.0,0.0,0,0,0.0,0.0,60.0,60.0,63.0,64.0,3.0,1.0,0.0,0.0,0.0,0.0,10377994.6667,10377994.6667,,0.0,0.0,0.0,0.0,0.0,0.0,0.17875,0.325,1.0,0.064496,0.935504,0.0,0.0,0.257985,0.979967,0.0,0.0,0.0,0,0.011808,0,0.792463,0.107383,3.9622,84059.8841,0.82602,0.0,0.0,0.01,0.0,0.536913,0.05,2344,1825,1825,21,1.0,1.0,1.0,1.0,0.807692,0.043077,0.961538,0.325484,0.202203,0.151003,0.253403,0.100348,65668.0606,295262.5419,green,jaune,standard_monitoring,watch_collect_data_and_confirm_supplier_status
272,SDC-VD0993480A,Supplier of Packaging - VD0993480A,M-1430,item:344135,0.0,0.0,0,0,0.0,0.0,51.0,51.0,59.0,61.0,8.0,1.0,0.0,0.0,0.0,0.0,6468000.0,6468000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.06875,0.125,1.0,0.060401,0.939599,0.0,0.0,0.241605,0.85043,0.0,0.0,0.0,0,0.035342,0,0.780435,0.120668,3.9617,341869.5209,0.928214,0.0,0.0,0.01,0.0,0.603339,0.156863,111,1825,1825,14,1.0,1.0,1.0,1.0,0.538462,0.11813,0.907692,0.3013,0.183397,0.112683,0.254111,0.071247,19126.6797,39613.7207,green,jaune,standard_monitoring,watch_collect_data_and_confirm_supplier_status
272,SDC-VD0508918A,Supplier of Packaging - VD0508918A,M-1430,item:730384,0.0,0.0,0,0,0.0,0.0,66.0,66.0,67.0,67.0,1.0,1.0,0.0,0.0,0.0,0.0,1860946.6667,1860946.6667,,0.0,0.0,0.0,0.0,0.0,0.0,0.154302,0.280549,1.0,0.068591,0.931409,0.0,0.0,0.274365,0.0,0.0,0.0,0.0,0,0.010263,0,0.778821,0.117743,3.7702,251019.5833,0.905712,0.0,0.0,0.01,0.0,0.588713,0.015152,11,1825,1825,10,1.0,1.0,1.0,1.0,0.384615,0.079907,0.876923,0.250188,0.148166,0.08739,0.208942,0.070767,5099.5266,5657.2662,green,vert,standard_monitoring,routine_monitoring
272,SDC-VD0520132A,Supplier of Raw Materials - VD0520132A,M-1430,item:038005,0.0,0.0,0,0,0.0,0.0,169.0,169.0,174.6,177.4,5.6,1.0,0.0,0.0,0.0,0.0,433874.5697,433874.5697,,0.0,0.0,0.0,0.0,0.0,0.0,0.1375,0.25,1.0,0.178747,0.821253,0.0,0.0,0.714988,0.0,0.0,0.0,0.0,0,0.015988,0,0.833846,0.0,3.3117,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.033136,25,1825,1825,5,1.0,1.0,1.0,1.0,0.192308,0.110178,0.838462,0.245609,0.1453,0.076653,0.213946,0.05585,302.7076,332.6457,green,vert,standard_monitoring,routine_monitoring
272,SDC-VD0901566A,Supplier of Packaging - VD0901566A,M-1810,item:338928,100000.0,100000.0,4,4,100000.0,100000.0,70.5,70.0,75.8,78.0,5.8,1.0,0.0,0.0,0.0,0.0,10373350.0,10373350.0,252.5685,775000.0,287500.0,-106250.0,0.310497,0.0,0.0,0.06875,0.125,1.0,0.13976,0.86024,0.0,0.0,0.310401,0.948411,0.310497,0.155849,0.582482,0,0.108892,0,0.81883,0.03117,3.5498,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.082857,843,1825,1825,139,1.0,1.0,1.0,1.0,1.0,0.033143,1.0,0.27512,0.164599,0.115982,0.213216,0.053237,101151.0127,133324.9046,green,vert,standard_monitoring,routine_monitoring
272,SDC-VD0520132A,Supplier of Raw Materials - VD0520132A,M-1810,item:049371,0.0,0.0,0,0,0.0,0.0,147.0,147.0,147.7,150.85,0.7,1.0,0.0,0.0,0.0,0.0,47089.0127,47089.0127,,0.0,0.0,0.0,0.0,0.0,0.0,0.1375,0.25,1.0,0.151208,0.848792,0.0,0.0,0.604832,0.0,0.0,0.0,0.0,0,0.011059,0,0.833077,0.0,3.2721,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.004762,10,1825,1825,4,1.0,1.0,1.0,1.0,0.153846,0.103443,0.830769,0.23419,0.138351,0.071456,0.205247,0.053179,18.4468,20.2713,green,vert,standard_monitoring,routine_monitoring
272,SDC-VD0520115A,Supplier of Packaging - VD0520115A,M-1430,item:708073,0.0,0.0,0,0,0.0,0.0,28.0,28.0,30.0,30.0,2.0,1.0,0.0,0.0,0.0,0.0,42742.7,42742.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.06875,0.125,1.0,0.030713,0.969287,0.0,0.0,0.12285,0.0,0.0,0.0,0.0,0,0.019571,0,0.778192,0.123615,3.6576,466703.0407,0.950888,0.0,0.0,0.01,0.0,0.618077,0.071429,20,1825,1825,13,1.0,1.0,1.0,1.0,0.5,0.088571,0.9,0.220795,0.130559,0.067531,0.193588,0.050928,102.2236,107.6038,green,vert,standard_monitoring,routine_monitoring
272,SDC-VD0914360C,Supplier of Packaging - VD0914360C,M-1810,item:338929,0.0,0.0,0,0,0.0,0.0,42.0,42.0,43.0,45.0,1.0,1.0,0.0,0.0,0.0,0.0,9973950.0,9973950.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.06875,0.125,1.0,0.044021,0.955979,0.0,0.0,0.176085,1.0,0.0,0.0,0.0,0,0.004524,0,0.85,0.0,3.2077,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02381,4097,1825,1825,39,1.0,1.0,1.0,1.0,1.0,0.009524,1.0,0.25193,0.149268,0.106792,0.191745,0.048279,57590.5665,242486.5959,green,vert,standard_monitoring,routine_monitoring
272,SDC-VD1095770A,Supplier of Packaging - VD1095770A,M-1430,item:734545,0.0,0.0,0,0,0.0,0.0,21.0,21.0,22.7,27.2,1.7,1.0,0.0,0.0,0.0,0.0,34496.0,34496.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.06875,0.125,1.0,0.023239,0.976761,0.0,0.0,0.092957,0.0,0.0,0.0,0.0,0,0.022766,0,0.789099,0.097186,3.5204,28640.5654,0.747588,0.0,0.0,0.01,0.0,0.485932,0.080952,14,1825,1825,10,1.0,1.0,1.0,1.0,0.384615,0.106227,0.876923,0.208294,0.123626,0.056007,0.191245,0.046462,85.3734,89.8667,green,vert,standard_monitoring,routine_monitoring
272,SDC-VD0989480A,Supplier of Packaging - VD0989480A,M-1810,item:426331,0.0,0.0,0,0,0.0,0.0,29.5,29.5,48.2,49.0,18.7,1.0,0.0,0.0,0.0,0.0,78366.75,78366.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.06875,0.125,1.0,0.049345,0.950655,0.0,0.0,0.197379,0.0,0.0,0.0,0.0,0,0.129671,0,0.834615,0.0,3.1,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.633898,12,1825,1825,6,1.0,1.0,1.0,1.0,0.230769,0.345867,0.846154,0.19424,0.116212,0.0,0.246138,0.037587,209.6415,220.6753,green,vert,standard_monitoring,routine_monitoring
