day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_qty
0,44.0,44.0,0.0,0.0,44.0,1625.2054,36923.8896,1175.825,3.8976,21.7196,1039.9344
1,44.0,44.0,0.0,77.952,44.0,1731.702,35094.3668,1114.4039,3.6378,21.8041,1511.9291
2,44.0,44.0,0.0,0.0,44.0,1859.4979,33065.6938,1048.3117,3.326,21.9056,1646.3228
3,48.0,48.0,0.0,143.5151,46.696,1976.0213,31052.4762,978.1985,3.5234,23.2498,1749.9179
4,52.0,52.0,0.0,139.0662,48.5392,2008.3371,28989.8645,909.3973,3.8228,24.1154,1749.9179
5,56.0,56.0,0.0,298.3247,50.0,1998.0979,27085.9114,839.4137,4.06,24.8014,1749.9179
6,56.0,32.0,24.0,1312.0467,50.0,2069.7939,26147.9843,818.5101,4.06,24.8014,1749.9179
7,56.0,0.0,80.0,742.6372,50.0,2067.2179,24709.694,752.7036,4.06,24.8014,1784.3883
8,52.0,50.0,82.0,245.9875,49.492,1960.891,22896.2273,693.6699,4.06,24.536,1813.3437
9,48.0,0.0,130.0,141.5838,47.4984,1887.2753,21100.4682,637.8202,4.06,23.4945,1669.811
10,44.0,66.816,107.184,3473.0023,44.9917,1685.5705,22770.8707,697.7336,3.9775,22.2117,1524.8937
11,44.0,71.4,79.784,3270.4183,44.1983,1789.679,24136.2486,763.2884,3.6537,21.9025,1607.321
12,44.0,25.0,98.784,544.2631,44.0397,1885.5853,22732.7136,706.2854,3.3291,21.9253,1735.8012
13,48.0,20.48,126.304,437.0686,46.6999,1998.546,21111.4262,645.6698,3.5241,23.2517,1843.3178
14,52.0,25.0,153.304,189.6971,48.54,2059.38,19172.4788,583.8201,3.8229,24.1158,1846.9979
15,56.0,119.4888,89.8152,2221.2454,50.0,1998.0979,19227.9576,582.3758,4.06,24.8014,1849.9179
16,56.0,0.0,145.8152,1607.7418,50.0,2072.5899,18714.9295,572.7393,4.06,24.8014,1849.9179
17,56.0,23.5392,178.276,1790.4216,50.0,2073.0979,18360.5341,572.2645,4.06,24.8014,1849.9179
18,52.0,74.492,155.784,3537.6138,49.492,2056.131,19721.5988,633.3738,4.06,24.536,1815.981
19,48.0,50.0,153.784,4894.3731,47.4984,1860.375,22665.6794,744.3349,4.06,23.4945,1679.961
20,44.0,120.2399,77.5441,333.6447,44.9917,1665.0905,21173.724,696.0757,3.9775,22.2117,1534.8374
21,44.0,0.0,121.5441,339.6594,44.1983,1809.9189,19668.6375,643.6201,3.6537,21.9025,1616.4553
22,44.0,0.0,165.5441,2025.7226,44.0397,1958.5917,19706.8784,648.5935,3.3291,21.9253,1744.1241
23,48.0,0.0,213.5441,3405.8962,46.6999,2043.5377,21038.7172,704.0065,3.5241,23.2517,1852.128
24,52.0,95.4997,170.0444,429.5387,48.54,2008.8421,19329.2068,639.4642,3.8229,24.1158,1856.5552
25,56.0,42.9981,183.0463,4856.924,50.0,2018.5976,22086.5052,753.231,4.06,24.8014,1860.0679
26,56.0,70.2399,168.8064,1635.0919,50.0,2047.5899,21565.7374,744.8845,4.06,24.8014,1860.0679
27,56.0,24.492,200.3144,3386.3731,50.0,2023.0979,22866.4907,800.1831,4.06,24.8014,1860.0679
28,52.0,67.9981,184.3163,434.1306,49.492,1982.591,21211.6189,740.6873,4.06,24.536,1823.4938
29,48.0,49.492,182.8243,2141.5302,47.4984,1888.4153,21375.3242,746.5199,4.06,23.4945,1679.961
