capacity_node::M-1430,capacity_node::M-1810,capacity_node::SDC-1450,demand_item::item:268091,demand_item::item:268967,error,factor::capacity_scale,factor::demand_scale,factor::external_procurement_cost_multiplier_scale,factor::external_procurement_daily_cap_days_scale,factor::external_procurement_lead_days_scale,factor::external_procurement_transport_cost_scale,factor::fg_target_days_scale,factor::holding_cost_scale,factor::lead_time_scale,factor::production_gap_gain_scale,factor::production_smoothing_scale,factor::production_stock_scale,factor::purchase_cost_floor_scale,factor::review_period_scale,factor::safety_stock_days_scale,factor::supplier_reliability_scale,factor::supplier_stock_scale,factor::transport_cost_scale,is_baseline,is_corner_case,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,run_id,status
1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,1045717.0788,0.980377,0.002157,0.017466,315.8476,1035949.2243,0.787666,15989.339,1273360.3167,1487.5,42489.9504,42871.1216,42871.1216,18148.2001,3318.2119,1248373.7888,1270613.7549,1060029.4897,2610.2267,2746.5618,1171.6524,45988.6462,22239.9661,0.0,full_run_0000,ok
1.0,1.0,1.0,1.0,1.0,,0.85,0.85,1.0,0.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,712967.3753,0.979212,0.002377,0.018411,575.5411,708966.0052,0.544802,15226.4366,868549.2272,1264.375,32641.3641,32794.7466,32794.7466,73391.7576,2504.973,850494.0394,866484.8255,724622.9465,2331.717,2064.4018,688.8339,33208.8231,15990.7861,5860.3805,full_run_0001,ok
1.0,1.0,1.0,1.0,1.0,,1.2,0.85,1.0,0.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,1009471.4223,0.980905,0.002181,0.016914,482.4327,1004820.0103,0.618442,22124.9647,1228271.8961,1264.375,44369.4386,44550.9901,44550.9901,15754.0486,3403.3849,1204818.4808,1225593.5086,1023071.2186,2499.3661,2678.3875,781.9423,42579.5746,20775.0278,7514.0426,full_run_0002,ok
1.0,1.0,1.0,1.0,1.0,,0.85,1.2,1.0,0.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,712954.2275,0.979033,0.002394,0.018573,1089.3612,710659.9233,0.389714,17805.1339,868866.1943,1785.0,32698.9254,32852.3079,32852.3079,81393.8443,2512.0831,850649.0555,866786.0958,724622.9465,2369.3044,2080.0985,695.6388,33630.3054,16137.0403,5934.7598,full_run_0003,ok
1.0,1.0,1.0,1.0,1.0,,1.2,1.2,1.0,0.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,1004552.9953,0.980687,0.002304,0.017009,826.5459,1005457.7793,0.536949,23989.2517,1223846.7393,1785.0,44442.3516,44894.9376,44894.9376,96670.4453,3500.3943,1200211.0507,1221027.1254,1023071.2186,2712.4475,2819.6139,958.4541,43134.3855,20816.0747,7611.9504,full_run_0004,ok
1.0,1.0,1.0,1.0,1.0,,0.85,0.85,1.0,1.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,714692.8272,0.979737,0.002536,0.017727,606.2474,715160.2069,0.520516,20659.3148,870206.3741,1264.375,30997.4788,33775.5139,33775.5139,0.0445,2688.9765,852573.4856,867999.7779,724622.9465,2319.8316,2206.5962,658.1276,31910.225,15426.2923,5631.2162,full_run_0005,ok
1.0,1.0,1.0,1.0,1.0,,1.2,0.85,1.0,1.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,1009011.4155,0.980685,0.002245,0.017069,449.6445,999099.2769,0.644374,14331.2692,1227974.0146,1264.375,46930.9352,47398.1287,47398.1287,0.0,3609.4087,1204255.8892,1225216.6794,1023071.2186,2503.3279,2757.3351,814.7305,42727.0494,20960.7902,7540.0675,full_run_0006,ok
1.0,1.0,1.0,1.0,1.0,,0.85,1.2,1.0,1.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,713072.5884,0.97937,0.002565,0.018065,1074.0081,707142.9909,0.398315,13071.5674,868710.4893,1785.0,31731.346,32182.5865,32182.5865,131.5444,2622.9213,850788.6938,866481.8837,724622.9465,2353.4572,2228.6056,710.9919,32720.3125,15693.19,5774.1728,full_run_0007,ok
1.0,1.0,1.0,1.0,1.0,,1.2,1.2,1.0,1.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,1004871.2205,0.980272,0.002511,0.017217,862.5451,1000198.0034,0.516781,21204.1976,1224764.8455,1785.0,43422.4937,45219.6255,45219.6255,0.2512,3712.9372,1200602.8115,1221690.0386,1023071.2186,2724.3329,3074.807,922.4549,43681.89,21087.2271,7708.5688,full_run_0008,ok
1.0,1.0,1.0,1.0,1.0,,0.85,0.85,1.0,0.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,712648.2751,0.979505,0.002559,0.017936,579.4447,707060.4539,0.541715,13323.6214,867947.2387,1264.375,30562.669,39774.4486,39774.4486,176293.9666,2982.6922,850158.6084,865726.1221,724622.9465,2327.7552,2221.1166,684.9303,31687.4856,15567.5137,5591.9092,full_run_0009,ok
