day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,estimated_source_ordered_qty,estimated_source_arrived_qty,estimated_source_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,0.0,40.0,554.1983,2577804.1398,101886.1974,227.4023,22.0504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,47.5,0.0,87.5,0.0,86.228,448.9037,2575630.1501,101822.6035,176.7952,27.8748,0.0,0.0,0.0,336.1499,0.0,0.0,0.0
2,52.5,0.0,140.0,178.064,137.6902,536.8862,2573391.0223,101751.7976,225.627,35.9619,0.0,0.0,0.0,190.2971,0.0,0.0,0.0
3,60.0,18.432,181.568,123.6608,188.1764,590.2542,2570799.2734,101671.231,244.6453,44.1542,0.0,0.0,0.0,212.1974,0.0,0.0,0.0
4,55.0,18.432,218.136,409.6835,226.8583,615.7787,2568606.2615,101594.2271,273.1075,47.8552,0.0,0.0,0.0,241.6683,0.0,0.0,0.0
5,50.0,71.6268,196.5092,289.2971,252.3178,523.9541,2566536.5562,101523.4414,224.9273,48.3519,0.0,0.0,0.0,231.351,0.0,0.0,0.0
6,45.0,21.1968,220.3124,248.0494,264.5931,463.7373,2564741.9376,101461.0972,209.5539,41.5646,0.0,0.0,0.0,212.9748,0.0,0.0,0.0
7,40.0,23.593,236.7195,100.6444,265.8641,395.6558,2563063.7106,101407.3842,188.6942,33.1717,0.0,0.0,0.0,150.9647,0.0,0.0,0.0
8,47.5,101.6827,182.5368,218.7397,268.6748,400.7695,2561295.6994,101347.1802,179.6744,33.546,0.0,0.0,0.0,86.4553,67.6667,0.0,0.0
9,52.5,23.5605,211.4763,187.8396,275.2644,420.5387,2559376.2029,101280.4846,181.1246,34.4802,0.0,0.0,0.0,96.6698,77.8167,0.0,0.0
10,60.0,40.3067,231.1696,62.6911,289.3214,474.8703,2557008.2672,101204.6961,202.0416,36.5832,0.0,0.0,0.0,106.9133,86.6133,0.0,0.0
11,55.0,21.3009,264.8687,415.1855,300.5004,473.847,2555137.1626,101132.2825,208.7559,37.7879,0.0,0.0,0.0,121.2972,98.5227,0.0,0.0
