day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055
10,4.068732,9798.932457,213.989918,233.989918,1.684252,43.992103,1.311919,1776.370777,0.483299,0.339478,1.939012,0.553374,0.101348,0.011161,0.011161,0.378042,0.018561,0.605059,253.962759,251.362759,2.76499,120.418771
11,3.689001,8489.514918,192.289982,237.289982,1.512172,44.691716,1.29832,1566.864014,0.488824,0.369928,2.299225,0.553374,0.135012,0.011161,0.012042,0.378042,0.022135,0.605059,275.658759,251.362759,2.76499,120.418771
12,3.277071,8788.41366,212.269995,228.629995,1.325499,39.701239,1.51,1788.307312,0.488824,0.397212,2.492075,0.553374,0.135012,0.013057,0.013057,0.415597,0.022135,0.605059,298.058759,301.362759,3.003646,120.418771
13,3.670774,12627.19086,212.269995,203.629995,1.325499,34.401239,1.71,1560.033722,0.488824,0.397212,2.492075,0.61103,0.147192,0.013057,0.013057,0.453152,0.024165,0.605059,298.058759,308.477959,3.003646,130.568771
14,3.233295,14135.74086,187.269995,203.629995,1.305662,38.747171,1.51,1318.665772,0.5278,0.397212,2.492075,0.61103,0.158885,0.013057,0.013195,0.453152,0.024165,0.605059,321.597959,308.477959,3.278646,130.568771
15,3.233295,12627.19086,162.269995,202.149995,1.492175,43.939475,1.51,2020.350119,0.5278,0.427662,2.866507,0.66178,0.168863,0.014072,0.013195,0.522854,0.024165,0.662715,321.597959,308.477959,4.087578,130.568771
16,2.795815,12539.090768,162.269995,177.149995,1.293925,43.939475,1.679535,2261.718069,0.5278,0.427662,2.866507,0.76125,0.168863,0.015087,0.013195,0.522854,0.028144,0.662715,321.597959,308.477959,4.087578,140.718771
17,4.041616,11030.540768,137.269995,162.269995,1.266963,43.939475,1.479535,2020.350119,0.5278,0.427662,2.866507,0.76125,0.181043,0.015087,0.01421,0.560409,0.028144,0.662715,350.0,308.477959,4.087578,150.868771
18,3.971753,11061.194349,127.657993,137.777993,1.270992,43.347557,1.283599,2462.033392,0.5684,0.427662,3.059357,0.76125,0.1827,0.016102,0.01624,0.560409,0.028144,0.662715,350.0,308.477959,4.087578,150.868771
19,4.015529,10940.587559,115.279592,115.279592,1.26466,43.877896,1.291772,2244.81768,0.5684,0.452606,3.059357,0.812,0.1827,0.016102,0.01624,0.560409,0.028144,0.812,350.0,332.017159,4.362578,161.018771
20,4.506211,11013.013401,94.779912,119.779912,1.296319,39.531964,1.291772,2046.899049,0.6496,0.45675,3.0856,0.812,0.1827,0.016102,0.01624,0.560409,0.028144,0.812,350.0,332.017159,4.362578,162.4
21,4.12648,9703.595862,123.079976,98.079976,1.310911,34.931578,1.318173,1837.392286,0.6496,0.45675,3.0856,0.812,0.1827,0.01624,0.01624,0.560409,0.028144,0.812,350.0,360.4192,4.4,162.4
22,3.71455,11300.245954,177.657992,109.15199,1.124239,40.010761,1.30984,1808.038978,0.6496,0.45675,3.0856,0.812,0.1827,0.01624,0.01624,0.60088,0.030174,0.812,367.8848,360.4192,4.4,162.4
23,3.277071,10893.842186,187.269994,84.15199,1.302651,34.710761,1.30984,1680.229787,0.6496,0.45675,3.0856,0.812,0.1827,0.01624,0.01624,0.60088,0.030174,0.812,375.0,360.4192,4.4,162.4
24,2.839591,9385.292186,186.761996,109.15199,1.302651,29.410761,1.678147,1438.861837,0.6496,0.4872,3.0856,0.812,0.19488,0.01624,0.01624,0.60088,0.03045,0.812,375.0,360.4192,4.4,162.4
25,2.839591,8283.145954,161.761996,84.15199,1.302651,34.293543,1.874083,1197.493887,0.6496,0.4872,3.0856,0.812,0.19488,0.01624,0.01624,0.60088,0.03248,0.812,400.0,360.4192,4.4,162.4
26,2.760839,6774.595954,136.761996,90.279591,1.857685,28.993543,2.038081,1197.493887,0.6496,0.4872,3.0856,0.812,0.19488,0.01624,0.01624,0.60088,0.03248,0.812,400.0,378.304,4.4,162.4
27,2.760839,6774.595954,161.761996,165.895995,1.659435,28.993543,1.838081,1433.957268,0.6496,0.4872,3.0856,0.812,0.19488,0.01624,0.01624,0.60088,0.03248,0.812,400.0,378.304,4.4,162.4
28,2.332249,5296.699536,184.768394,191.403992,1.627776,23.801239,1.642145,1325.303081,0.6496,0.4872,3.0856,0.812,0.19488,0.01624,0.01624,0.60088,0.03248,0.812,400.0,378.304,4.4,162.4
29,2.804615,6956.201052,207.509917,168.905591,1.647614,33.447171,1.662157,1590.823269,0.6496,0.4872,3.0856,0.812,0.19488,0.01624,0.01624,0.60088,0.03248,0.812,400.0,400.0,4.4,162.4
