pair_key,edge_id,supplier_id,supplier_name,factory_id,factory_name,item_id,lead_mean_days,otif,uom,is_assumed_edge,assumption_label,supplier_count_for_item,criticality_score,cover_days,total_consumed,avg_cons_per_day,downstream_outputs,downstream_demand_total,outage5d_fill_rate,outage5d_backlog,outage5d_total_cost,delayx3_fill_rate,delayx3_backlog,delayx3_total_cost,otif50_fill_rate,otif50_backlog,otif50_total_cost,baseline_fill_rate,baseline_backlog,baseline_total_cost,mono_source_risk,demand_exposure_norm,volume_exposure_norm,cover_risk_norm,lead_time_risk_norm,criticality_norm,uncertainty_penalty,outage5d_fill_loss,delayx3_fill_loss,otif50_fill_loss,outage5d_backlog_delta,delayx3_backlog_delta,otif50_backlog_delta,expected_fill_loss_proxy,expected_backlog_delta_proxy,structural_proxy_score,impact_proxy_score,combined_proxy_risk_score,p_incident_30d_proxy,p_service_hit_30d_proxy,p_major_service_hit_30d_proxy,expected_fill_loss_30d_proxy,expected_backlog_30d_proxy,incident_probability_band,service_hit_probability_band
SDC-1450|item:773474|M-1430,edge:SDC-1450_TO_M-1430_773474,SDC-1450,Supplier of Raw Materials - D1450,M-1430,Manufacturer of Drugs - D1430,item:773474,10.0,1.0,G,False,,1,0.472112,10.214765,5851.108999,195.036967,item:268967,743.75,0.748994,373.3714,1271927.9312,0.798091,300.3394,1273958.5874,0.761423,354.8836,1272844.4448,0.787666,315.8476,1273360.3167,1.0,0.5,0.825125,0.99526,0.058824,0.424712,0.0,0.038672,0.0,0.026243,57.5238,0.0,39.036,0.017541,26.09175,0.704977,1.0,0.86724,0.118697,0.118697,0.041641,0.002082,3.097006,high,high
SDC-1450|item:007923|M-1810,edge:SDC-1450_TO_M-1810_007923_Q,SDC-1450,Supplier of Raw Materials - D1450,M-1810,Manufacturer of Cosmetics - D1810,item:007923,1.0,1.0,G,True,GAILLAC?,1,0.425239,8.674297,2307.510518,76.917017,item:268091,743.75,0.761459,354.8304,1272467.6466,0.787666,315.8476,1273360.1402,0.754052,365.8476,1273424.96,0.787666,315.8476,1273360.3167,1.0,0.5,0.736353,1.0,0.0,0.344238,1.0,0.026207,0.0,0.033614,38.9828,0.0,50.0,0.016636,24.7457,0.729755,0.94841,0.850015,0.122166,0.115863,0.040647,0.002032,3.023077,high,high
SDC-VD0508918A|item:730384|M-1430,edge:SDC-VD0508918A_TO_M-1430_730384,SDC-VD0508918A,Supplier of Packaging - VD0508918A,M-1430,Manufacturer of Drugs - D1430,item:730384,56.0,1.0,M,False,,1,0.407213,112.913416,128.479684,4.282656,item:268967,743.75,0.757184,361.1881,1272015.4666,0.787666,315.8476,1273413.5287,0.758446,359.3111,1273400.1731,0.787666,315.8476,1273360.3167,1.0,0.5,0.461427,0.679242,0.359477,0.31329,0.6,0.030482,0.0,0.02922,45.3405,0.0,43.4635,0.016387,24.374175,0.649763,0.934181,0.806193,0.110967,0.103663,0.036367,0.001818,2.704724,high,high
SDC-1450|item:693055|M-1810,edge:SDC-1450_TO_M-1810_693055,SDC-1450,Supplier of Raw Materials - D1450,M-1810,Manufacturer of Cosmetics - D1810,item:693055,70.0,1.0,G,False,,1,0.418639,121.685757,288.438815,9.614627,item:268091,743.75,0.754052,365.8476,1272052.1355,0.787666,315.8476,1273360.4628,0.778386,329.6502,1273219.7973,0.787666,315.8476,1273360.3167,1.0,0.5,0.538195,0.652248,0.45098,0.332906,0.0,0.033614,0.0,0.00928,50.0,0.0,13.8026,0.011187,16.64078,0.639933,0.637788,0.638753,0.109591,0.069896,0.024521,0.001226,1.823674,high,medium
SDC-VD0914690A|item:042342|M-1430,edge:SDC-VD0914690A_TO_M-1430_042342,SDC-VD0914690A,Supplier of Raw Materials - VD0914690A,M-1430,Manufacturer of Drugs - D1430,item:042342,21.0,1.0,UN,False,,1,0.807193,35.571352,36569.438823,1218.981294,item:268967,743.75,0.778385,329.6517,1271908.9459,0.787666,315.8476,1275083.5733,0.773992,336.1866,1272391.6081,0.787666,315.8476,1273360.3167,1.0,0.5,1.0,0.917234,0.130719,1.0,0.0,0.009281,0.0,0.013674,13.8041,0.0,20.339,0.006422,9.552725,0.761485,0.366132,0.544041,0.126608,0.046355,0.016263,0.000813,1.20945,high,low
SDC-VD0989480A|item:426331|M-1810,edge:SDC-VD0989480A_TO_M-1810_426331,SDC-VD0989480A,Supplier of Packaging - VD0989480A,M-1810,Manufacturer of Cosmetics - D1810,item:426331,28.0,1.0,UN,False,,1,0.410571,43.305578,7.814848,0.260495,item:268091,743.75,0.754052,365.8476,1272052.2231,0.787666,315.8476,1273361.1238,0.787666,315.8476,1273355.4723,0.787666,315.8476,1273360.3167,1.0,0.5,0.20499,0.893435,0.176471,0.319055,0.0,0.033614,0.0,0.0,50.0,0.0,0.0,0.008404,12.5,0.585579,0.47908,0.527004,0.101981,0.048857,0.01714,0.000857,1.274763,high,low
SDC-VD0505677A|item:099439|M-1810,edge:SDC-VD0505677A_TO_M-1810_099439,SDC-VD0505677A,Supplier of Raw Materials - VD0505677A,M-1810,Manufacturer of Cosmetics - D1810,item:099439,35.0,1.0,KG,False,,1,0.411511,55.986938,1.442194,0.048073,item:268091,743.75,0.754052,365.8476,1272059.7992,0.787666,315.8476,1273360.5745,0.787666,315.8476,1273359.4227,0.787666,315.8476,1273360.3167,1.0,0.5,0.082498,0.854412,0.222222,0.320669,0.0,0.033614,0.0,0.0,50.0,0.0,0.0,0.008404,12.5,0.562723,0.47908,0.516719,0.098781,0.047324,0.016602,0.00083,1.234765,medium,low
SDC-VD0951020A|item:001757|M-1810,edge:SDC-VD0951020A_TO_M-1810_001757,SDC-VD0951020A,Supplier of Raw Materials - VD0951020A,M-1810,Manufacturer of Cosmetics - D1810,item:001757,84.0,1.0,KG,False,,1,0.416523,149.198651,1.153755,0.038458,item:268091,743.75,0.754052,365.8476,1272059.8953,0.787666,315.8476,1273360.9958,0.787666,315.8476,1273359.6015,0.787666,315.8476,1273360.3167,1.0,0.5,0.070504,0.567587,0.542484,0.329274,0.0,0.033614,0.0,0.0,50.0,0.0,0.0,0.008404,12.5,0.552865,0.47908,0.512283,0.097401,0.046663,0.01637,0.000819,1.217514,medium,low
SDC-VD0514881A|item:016332|M-1810,edge:SDC-VD0514881A_TO_M-1810_016332,SDC-VD0514881A,Supplier of Raw Materials - VD0514881A,M-1810,Manufacturer of Cosmetics - D1810,item:016332,49.0,1.0,KG,False,,1,0.413186,82.067629,0.346126,0.011538,item:268091,743.75,0.754052,365.8476,1272059.7739,0.787666,315.8476,1273360.4267,0.787666,315.8476,1273360.1021,0.787666,315.8476,1273360.3167,1.0,0.5,0.025652,0.774158,0.313725,0.323544,0.0,0.033614,0.0,0.0,50.0,0.0,0.0,0.008404,12.5,0.550549,0.47908,0.511241,0.097077,0.046508,0.016316,0.000816,1.213461,medium,low
SDC-VD1096202A|item:039668|M-1810,edge:SDC-VD1096202A_TO_M-1810_039668,SDC-VD1096202A,Supplier of Raw Materials - VD1096202A,M-1810,Manufacturer of Cosmetics - D1810,item:039668,35.0,1.0,KG,False,,1,0.411634,55.686083,0.028842,0.000961,item:268091,743.75,0.754052,365.8476,1272059.7714,0.787666,315.8476,1273360.3222,0.787666,315.8476,1273360.2988,0.787666,315.8476,1273360.3167,1.0,0.5,0.0,0.855338,0.222222,0.32088,0.0,0.033614,0.0,0.0,50.0,0.0,0.0,0.008404,12.5,0.548014,0.47908,0.5101,0.096722,0.046337,0.016256,0.000813,1.209024,medium,low
