supplier_id,supplier_name,material_count,assumed_material_count,max_pair_combined_proxy_risk_score,mean_p_incident_30d_proxy,mean_p_service_hit_30d_proxy,expected_fill_loss_30d_proxy_sum,expected_backlog_30d_proxy_sum,materials
SDC-1450,Supplier of Raw Materials - D1450,3,1,0.86724,0.116818,0.101485,0.00534,7.943757,"item:007923, item:693055, item:773474"
SDC-VD0508918A,Supplier of Packaging - VD0508918A,1,0,0.806193,0.110967,0.103663,0.001818,2.704724,item:730384
SDC-VD0520132A,Supplier of Raw Materials - VD0520132A,2,0,0.507188,0.096175,0.043921,0.001541,2.291936,"item:038005, item:049371"
SDC-VD0989480A,Supplier of Packaging - VD0989480A,1,0,0.527004,0.101981,0.048857,0.000857,1.274763,item:426331
SDC-VD0505677A,Supplier of Raw Materials - VD0505677A,1,0,0.516719,0.098781,0.047324,0.00083,1.234765,item:099439
SDC-VD0951020A,Supplier of Raw Materials - VD0951020A,2,0,0.512283,0.088321,0.023332,0.000819,1.217514,"item:001757, item:001848"
SDC-VD0514881A,Supplier of Raw Materials - VD0514881A,1,0,0.511241,0.097077,0.046508,0.000816,1.213461,item:016332
SDC-VD0914690A,Supplier of Raw Materials - VD0914690A,1,0,0.544041,0.126608,0.046355,0.000813,1.20945,item:042342
SDC-VD1096202A,Supplier of Raw Materials - VD1096202A,1,0,0.5101,0.096722,0.046337,0.000813,1.209024,item:039668
SDC-VD0519670A,Supplier of Raw Materials - VD0519670A,2,0,0.508686,0.08616,0.023064,0.000809,1.203525,"item:001848, item:029313"
SDC-VD1095770A,Supplier of Packaging - VD1095770A,1,0,0.498603,0.100784,0.043784,0.000768,1.142395,item:734545
SDC-VD0520115A,Supplier of Packaging - VD0520115A,1,0,0.497644,0.100485,0.043655,0.000766,1.139015,item:708073
SDC-VD0993480A,Supplier of Packaging - VD0993480A,1,0,0.349346,0.111536,0.011179,0.000196,0.291649,item:344135
SDC-VD0525412A,Supplier of Packaging - VD0525412A,1,0,0.345822,0.11044,0.011069,0.000194,0.288782,item:333362
SDC-VD0914360C,Supplier of Packaging - VD0914360C,1,0,0.327687,0.112442,0.006246,0.00011,0.162956,item:338929
SDC-VD0901566A,Supplier of Packaging - VD0901566A,1,0,0.325505,0.111764,0.006208,0.000109,0.161972,item:338928
SDC-VD0964290A,Supplier of Raw Materials - VD0964290A,1,0,0.187273,0.078263,0.0,0.0,0.0,item:055703
SDC-VD0914320A,Supplier of Raw Materials - VD0914320A,1,0,0.181096,0.076341,0.0,0.0,0.0,item:055703
SDC-VD0518684A,Supplier of Raw Materials - VD0518684A,1,0,0.158228,0.069227,0.0,0.0,0.0,item:001893
SDC-VD1091642A,Supplier of Raw Materials - VD1091642A,2,0,0.154111,0.064439,0.0,0.0,0.0,"item:001893, item:002612"
SDC-VD0910216A,Supplier of Raw Materials - VD0910216A,2,0,0.149993,0.063798,0.0,0.0,0.0,"item:001893, item:002612"
SDC-VD0990780A,Supplier of Raw Materials - VD0990780A,1,0,0.131565,0.060931,0.0,0.0,0.0,item:002612
SDC-VD0500655A,Supplier of Raw Materials - VD0500655A,1,0,0.129506,0.060291,0.0,0.0,0.0,item:002612
