case_id,category,description,total_demand,total_served,ending_backlog,fill_rate,total_shipped,total_arrived,total_produced,avg_inventory,ending_inventory,total_transport_cost,total_holding_cost,total_purchase_cost,total_logistics_cost,total_cost,total_external_procured_ordered_qty,total_external_procured_arrived_qty,total_external_procured_rejected_qty,total_external_procured_qty,total_external_procurement_cost,total_opening_stock_bootstrap_qty,total_unreliable_loss_qty,cost_share_holding,cost_share_transport,cost_share_purchase,review_period_days,safety_stock_days,production_gap_gain,production_smoothing,opening_stock_bootstrap_scale,assumed_supply_edges,output_dir
strict_raw_supported_only,strict_mode,"Strict mode: no external procurement, no assumed supplier for 007923, no bootstrap.",1487.5,0.0,1487.5,0.0,3658.3307,1833.7792,1293.75,4464.6278,5577.6323,7432.279,4832.7586,10349.5742,12265.0376,22614.6118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213701,0.328649,0.45765,1.0,7.0,0.25,0.2,0.0,,/workspaces/lca-simu/etudecas/simulation/result/model_assumption_review/cases/strict_raw_supported_only/simulation_output
policy_review_2d,policy,Periodic review every 2 days.,1487.5,942.7072,544.7928,0.633753,43053.8004,15324.0969,2406.7608,1051730.791,1037821.4483,20951.5142,1254848.5621,2470.8725,1275800.0762,1278270.9487,42086.12,36130.708,10332.2111,42086.12,3113.7484,1066366.3876,0.0,0.981677,0.016391,0.001933,2.0,7.0,0.25,0.2,1.0,edge:SDC-1450_TO_M-1810_007923_Q,/workspaces/lca-simu/etudecas/simulation/result/model_assumption_review/cases/policy_review_2d/simulation_output
policy_review_7d,policy,Periodic review every 7 days.,1487.5,469.16,1018.34,0.315402,14748.526,5664.3224,1434.3586,1092659.6928,1080369.8421,6946.303,1300377.905,847.8434,1307324.208,1308172.0514,13542.92,10325.82,22045.5854,13542.92,946.962,1098081.677,0.0,0.994042,0.00531,0.000648,7.0,7.0,0.25,0.2,1.0,edge:SDC-1450_TO_M-1810_007923_Q,/workspaces/lca-simu/etudecas/simulation/result/model_assumption_review/cases/policy_review_7d/simulation_output
policy_stock_buffered,policy,More buffered policy: higher safety stock and FG target.,1487.5,1136.7997,350.7003,0.764235,45036.7141,16326.9044,2370.1921,1045789.9855,1039775.4187,21766.8195,1248598.626,2737.7195,1270365.4455,1273103.165,44570.813,44300.813,19063.5,44570.813,3401.4056,1060141.4897,0.0,0.980752,0.017097,0.00215,1.0,10.0,0.2,0.3,1.0,edge:SDC-1450_TO_M-1810_007923_Q,/workspaces/lca-simu/etudecas/simulation/result/model_assumption_review/cases/policy_stock_buffered/simulation_output
policy_reactive_mrp,policy,"More reactive policy: daily review, higher gap gain, lower smoothing.",1487.5,1225.0,262.5,0.823529,54451.0806,17883.863,4606.9093,1043171.7615,1024236.759,26510.1664,1245343.439,3293.3093,1271853.6054,1275146.9147,48166.1266,44641.5,19363.5,48166.1266,3727.8535,1060029.4897,0.0,0.976627,0.02079,0.002583,1.0,6.0,0.6,0.05,1.0,edge:SDC-1450_TO_M-1810_007923_Q,/workspaces/lca-simu/etudecas/simulation/result/model_assumption_review/cases/policy_reactive_mrp/simulation_output
disrupt_042342_outage_5d,targeted_disruption,Temporary 5-day outage of supplier lane for 042342.,1487.5,1157.8483,329.6517,0.778385,45979.3243,12557.1023,2610.2267,1044571.8788,1028663.0743,22202.5897,1246977.7869,2728.5693,1269180.3765,1271908.9459,42098.8417,38612.9112,19776.3043,42098.8417,3269.4215,1060029.4897,0.0,0.980399,0.017456,0.002145,1.0,7.0,0.25,0.2,1.0,edge:SDC-1450_TO_M-1810_007923_Q,/workspaces/lca-simu/etudecas/simulation/result/model_assumption_review/cases/disrupt_042342_outage_5d/simulation_output
disrupt_042342_extreme_delay,targeted_disruption,Extreme delay on 042342 lane.,1487.5,1171.6524,315.8476,0.787666,45988.6462,9889.0044,2610.2267,1047153.126,1034374.5397,22239.9661,1250097.0454,2746.5618,1272337.0115,1275083.5733,42871.1216,42489.9504,18148.2001,42871.1216,3318.2119,1064555.1397,0.0,0.980404,0.017442,0.002154,1.0,7.0,0.25,0.2,1.0,edge:SDC-1450_TO_M-1810_007923_Q,/workspaces/lca-simu/etudecas/simulation/result/model_assumption_review/cases/disrupt_042342_extreme_delay/simulation_output
disrupt_773474_outage_5d,targeted_disruption,Temporary 5-day outage of 773474 lane from Gaillac.,1487.5,1114.1286,373.3714,0.748994,45611.4816,9887.2846,2480.5132,1044675.1276,1030417.6093,22048.1237,1247158.175,2721.6326,1269206.2987,1271927.9312,42849.4286,42485.0202,18080.4764,42849.4286,3311.2005,1060029.4897,0.0,0.980526,0.017334,0.00214,1.0,7.0,0.25,0.2,1.0,edge:SDC-1450_TO_M-1810_007923_Q,/workspaces/lca-simu/etudecas/simulation/result/model_assumption_review/cases/disrupt_773474_outage_5d/simulation_output
disrupt_007923_gaillac_outage_5d,targeted_disruption,Temporary 5-day outage of assumed 007923 lane from Gaillac.,1487.5,1132.6696,354.8304,0.761459,45657.9475,13954.711,2605.5657,1045111.4627,1034614.8383,22078.9194,1247649.8591,2738.8681,1269728.7785,1272467.6466,42861.7997,42488.4561,18101.9306,42861.7997,3315.199,1060029.4897,0.0,0.980496,0.017351,0.002152,1.0,7.0,0.25,0.2,1.0,edge:SDC-1450_TO_M-1810_007923_Q,/workspaces/lca-simu/etudecas/simulation/result/model_assumption_review/cases/disrupt_007923_gaillac_outage_5d/simulation_output
disrupt_730384_outage_5d,targeted_disruption,Temporary 5-day outage of 730384 lane (unit M).,1487.5,1126.3119,361.1881,0.757184,46581.3998,10033.0439,2619.5485,1044357.0562,1028781.4063,22514.0158,1246742.2282,2759.2226,1269256.244,1272015.4666,42882.5624,42489.9504,18138.8722,42882.5624,3321.9097,1060029.4897,0.0,0.980131,0.017699,0.002169,1.0,7.0,0.25,0.2,1.0,edge:SDC-1450_TO_M-1810_007923_Q,/workspaces/lca-simu/etudecas/simulation/result/model_assumption_review/cases/disrupt_730384_outage_5d/simulation_output
disrupt_333362_outage_5d,targeted_disruption,Temporary 5-day outage of packaging item 333362.,1487.5,1166.99,320.51,0.784531,45675.3517,12912.1938,2605.5657,1045821.8375,1033420.2154,22086.4235,1248500.8278,2663.854,1270587.2512,1273251.1052,42721.1216,42388.075,18360.506,42721.1216,3235.1561,1060029.4897,0.0,0.980561,0.017346,0.002092,1.0,7.0,0.25,0.2,1.0,edge:SDC-1450_TO_M-1810_007923_Q,/workspaces/lca-simu/etudecas/simulation/result/model_assumption_review/cases/disrupt_333362_outage_5d/simulation_output
disrupt_M1810_capacity_down30,targeted_disruption,Targeted capacity reduction of 30% on M-1810.,1487.5,971.0803,516.4197,0.652827,43857.9121,14977.5622,2415.4644,1044932.9908,1036244.1221,21493.5193,1247405.3195,2452.0361,1268898.8389,1271350.8749,42324.2671,41897.0051,17989.9964,42324.2671,3126.0576,1058065.5047,0.0,0.981165,0.016906,0.001929,1.0,7.0,0.25,0.2,1.0,edge:SDC-1450_TO_M-1810_007923_Q,/workspaces/lca-simu/etudecas/simulation/result/model_assumption_review/cases/disrupt_M1810_capacity_down30/simulation_output
