day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_qty
0,50.0,0.0,50.0,0.0,45.0,1631.8871,18831.6572,548.2651,4.06,22.1892,1039.9344
1,50.0,0.0,100.0,81.2,45.0,1631.8871,17139.0173,492.3315,4.06,22.1892,1399.9344
2,50.0,0.0,150.0,81.2,45.0,1631.8871,15446.3774,436.3979,4.06,22.1892,1399.9344
3,50.0,0.0,200.0,81.2,45.0,1631.8871,13753.7374,380.4643,4.06,22.1892,1399.9344
4,50.0,0.0,250.0,81.2,45.0,1631.8871,12061.0975,324.5306,4.06,22.1892,1399.9344
5,50.0,0.0,300.0,126.2,45.0,1676.8871,10368.4576,268.597,4.06,22.1892,1399.9344
6,50.0,0.0,350.0,126.2,45.0,1676.8871,8675.8177,212.6634,4.06,22.1892,1399.9344
7,50.0,0.0,400.0,126.2,45.0,1676.8871,7023.1778,158.3298,4.06,22.1892,1439.9344
8,50.0,45.0,405.0,1676.8871,45.0,1676.8871,6886.225,156.5021,4.06,22.1892,1449.9344
9,50.0,45.0,410.0,1676.8871,45.0,1676.8871,6789.2722,156.2743,4.06,22.1892,1489.9344
10,50.0,45.0,415.0,1676.8871,45.0,1676.8871,6692.3194,156.0465,4.06,22.1892,1489.9344
11,50.0,45.0,420.0,1676.8871,45.0,1676.8871,6595.3667,155.8188,4.06,22.1892,1489.9344
12,50.0,45.0,425.0,1676.8871,45.0,1676.8871,6498.4139,155.591,4.06,22.1892,1489.9344
13,50.0,45.0,430.0,1676.8871,45.0,1676.8871,6401.4611,155.3632,4.06,22.1892,1489.9344
14,50.0,45.0,435.0,1676.8871,45.0,1676.8871,6304.5083,155.1355,4.06,22.1892,1489.9344
15,50.0,45.0,440.0,1676.8871,45.0,1676.8871,6207.5555,154.9077,4.06,22.1892,1489.9344
16,50.0,45.0,445.0,1676.8871,45.0,1676.8871,6110.6028,154.6799,4.06,22.1892,1489.9344
17,50.0,45.0,450.0,1676.8871,45.0,1676.8871,6016.35,154.4523,4.06,22.1892,1492.6344
18,50.0,45.0,455.0,1676.8871,45.0,1676.8871,5929.5472,154.2249,4.06,22.1892,1500.0844
19,50.0,45.0,460.0,1676.8871,45.0,1676.8871,5842.7444,153.9976,4.06,22.1892,1500.0844
20,50.0,45.0,465.0,1676.8871,45.0,1676.8871,5755.9417,153.7702,4.06,22.1892,1500.0844
21,50.0,45.0,470.0,1676.8871,45.0,1676.8871,5669.1389,153.5429,4.06,22.1892,1500.0844
22,50.0,45.0,475.0,1676.8871,45.0,1676.8871,5582.3361,153.3155,4.06,22.1892,1500.0844
23,50.0,45.0,480.0,1676.8871,45.0,1676.8871,5495.5333,153.0881,4.06,22.1892,1500.0844
24,50.0,45.0,485.0,1676.8871,45.0,1676.8871,5408.7305,152.8608,4.06,22.1892,1500.0844
25,50.0,45.0,490.0,1676.8871,45.0,1676.8871,5321.9278,152.6334,4.06,22.1892,1500.0844
26,50.0,45.0,495.0,1676.8871,45.0,1676.8871,5235.125,152.4061,4.06,22.1892,1500.0844
27,50.0,45.0,500.0,1676.8871,45.0,1676.8871,5148.3222,152.1787,4.06,22.1892,1500.0844
28,50.0,45.0,505.0,1676.8871,45.0,1676.8871,5061.5194,151.9513,4.06,22.1892,1500.0844
29,50.0,45.0,510.0,1676.8871,45.0,1676.8871,4974.7166,151.724,4.06,22.1892,1500.0844
