event_id,risk_type,supplier_id,item_id,dst_node_id,edge_id,start_day,end_day,multiplier,notes
pf268967_combined_extreme_180d_no_external_capacity_SDC_VD0520132A_038005_1_cap,capacity,SDC-VD0520132A,item:038005,M-1430,,0,179,0.2,pf268967_combined_extreme_180d_no_external: capacity on 038005 MP for 180d
pf268967_combined_extreme_180d_no_external_availability_SDC_VD0520132A_038005_1_avl,availability,SDC-VD0520132A,item:038005,M-1430,,0,179,0.2,pf268967_combined_extreme_180d_no_external: availability on 038005 MP for 180d
pf268967_combined_extreme_180d_no_external_lead_time_extra_days_SDC_VD0520132A_038005_1_lead,lead_time_extra_days,SDC-VD0520132A,item:038005,M-1430,,0,179,90.0,pf268967_combined_extreme_180d_no_external: lead_time_extra_days on 038005 MP for 180d
pf268967_combined_extreme_180d_no_external_quality_yield_SDC_VD0520132A_038005_1_qty,quality_yield,SDC-VD0520132A,item:038005,M-1430,,0,179,0.5,pf268967_combined_extreme_180d_no_external: quality_yield on 038005 MP for 180d
pf268967_combined_extreme_180d_no_external_capacity_SDC_VD0914690A_042342_2_cap,capacity,SDC-VD0914690A,item:042342,M-1430,,0,179,0.2,pf268967_combined_extreme_180d_no_external: capacity on 042342 composant for 180d
pf268967_combined_extreme_180d_no_external_availability_SDC_VD0914690A_042342_2_avl,availability,SDC-VD0914690A,item:042342,M-1430,,0,179,0.2,pf268967_combined_extreme_180d_no_external: availability on 042342 composant for 180d
pf268967_combined_extreme_180d_no_external_lead_time_extra_days_SDC_VD0914690A_042342_2_lead,lead_time_extra_days,SDC-VD0914690A,item:042342,M-1430,,0,179,90.0,pf268967_combined_extreme_180d_no_external: lead_time_extra_days on 042342 composant for 180d
pf268967_combined_extreme_180d_no_external_quality_yield_SDC_VD0914690A_042342_2_qty,quality_yield,SDC-VD0914690A,item:042342,M-1430,,0,179,0.5,pf268967_combined_extreme_180d_no_external: quality_yield on 042342 composant for 180d
pf268967_combined_extreme_180d_no_external_capacity_SDC_VD0525412A_333362_3_cap,capacity,SDC-VD0525412A,item:333362,M-1430,,0,179,0.2,pf268967_combined_extreme_180d_no_external: capacity on 333362 composant for 180d
pf268967_combined_extreme_180d_no_external_availability_SDC_VD0525412A_333362_3_avl,availability,SDC-VD0525412A,item:333362,M-1430,,0,179,0.2,pf268967_combined_extreme_180d_no_external: availability on 333362 composant for 180d
pf268967_combined_extreme_180d_no_external_lead_time_extra_days_SDC_VD0525412A_333362_3_lead,lead_time_extra_days,SDC-VD0525412A,item:333362,M-1430,,0,179,90.0,pf268967_combined_extreme_180d_no_external: lead_time_extra_days on 333362 composant for 180d
pf268967_combined_extreme_180d_no_external_quality_yield_SDC_VD0525412A_333362_3_qty,quality_yield,SDC-VD0525412A,item:333362,M-1430,,0,179,0.5,pf268967_combined_extreme_180d_no_external: quality_yield on 333362 composant for 180d
pf268967_combined_extreme_180d_no_external_capacity_SDC_VD0993480A_344135_4_cap,capacity,SDC-VD0993480A,item:344135,M-1430,,0,179,0.2,pf268967_combined_extreme_180d_no_external: capacity on 344135 composant for 180d
pf268967_combined_extreme_180d_no_external_availability_SDC_VD0993480A_344135_4_avl,availability,SDC-VD0993480A,item:344135,M-1430,,0,179,0.2,pf268967_combined_extreme_180d_no_external: availability on 344135 composant for 180d
pf268967_combined_extreme_180d_no_external_lead_time_extra_days_SDC_VD0993480A_344135_4_lead,lead_time_extra_days,SDC-VD0993480A,item:344135,M-1430,,0,179,90.0,pf268967_combined_extreme_180d_no_external: lead_time_extra_days on 344135 composant for 180d
pf268967_combined_extreme_180d_no_external_quality_yield_SDC_VD0993480A_344135_4_qty,quality_yield,SDC-VD0993480A,item:344135,M-1430,,0,179,0.5,pf268967_combined_extreme_180d_no_external: quality_yield on 344135 composant for 180d
pf268967_combined_extreme_180d_no_external_capacity_SDC_VD0520115A_708073_5_cap,capacity,SDC-VD0520115A,item:708073,M-1430,,0,179,0.2,pf268967_combined_extreme_180d_no_external: capacity on 708073 composant for 180d
pf268967_combined_extreme_180d_no_external_availability_SDC_VD0520115A_708073_5_avl,availability,SDC-VD0520115A,item:708073,M-1430,,0,179,0.2,pf268967_combined_extreme_180d_no_external: availability on 708073 composant for 180d
pf268967_combined_extreme_180d_no_external_lead_time_extra_days_SDC_VD0520115A_708073_5_lead,lead_time_extra_days,SDC-VD0520115A,item:708073,M-1430,,0,179,90.0,pf268967_combined_extreme_180d_no_external: lead_time_extra_days on 708073 composant for 180d
pf268967_combined_extreme_180d_no_external_quality_yield_SDC_VD0520115A_708073_5_qty,quality_yield,SDC-VD0520115A,item:708073,M-1430,,0,179,0.5,pf268967_combined_extreme_180d_no_external: quality_yield on 708073 composant for 180d
pf268967_combined_extreme_180d_no_external_capacity_SDC_VD0508918A_730384_6_cap,capacity,SDC-VD0508918A,item:730384,M-1430,,0,179,0.2,pf268967_combined_extreme_180d_no_external: capacity on 730384 composant for 180d
pf268967_combined_extreme_180d_no_external_availability_SDC_VD0508918A_730384_6_avl,availability,SDC-VD0508918A,item:730384,M-1430,,0,179,0.2,pf268967_combined_extreme_180d_no_external: availability on 730384 composant for 180d
pf268967_combined_extreme_180d_no_external_lead_time_extra_days_SDC_VD0508918A_730384_6_lead,lead_time_extra_days,SDC-VD0508918A,item:730384,M-1430,,0,179,90.0,pf268967_combined_extreme_180d_no_external: lead_time_extra_days on 730384 composant for 180d
pf268967_combined_extreme_180d_no_external_quality_yield_SDC_VD0508918A_730384_6_qty,quality_yield,SDC-VD0508918A,item:730384,M-1430,,0,179,0.5,pf268967_combined_extreme_180d_no_external: quality_yield on 730384 composant for 180d
pf268967_combined_extreme_180d_no_external_capacity_SDC_VD1095770A_734545_7_cap,capacity,SDC-VD1095770A,item:734545,M-1430,,0,179,0.2,pf268967_combined_extreme_180d_no_external: capacity on 734545 composant for 180d
pf268967_combined_extreme_180d_no_external_availability_SDC_VD1095770A_734545_7_avl,availability,SDC-VD1095770A,item:734545,M-1430,,0,179,0.2,pf268967_combined_extreme_180d_no_external: availability on 734545 composant for 180d
pf268967_combined_extreme_180d_no_external_lead_time_extra_days_SDC_VD1095770A_734545_7_lead,lead_time_extra_days,SDC-VD1095770A,item:734545,M-1430,,0,179,90.0,pf268967_combined_extreme_180d_no_external: lead_time_extra_days on 734545 composant for 180d
