variant,node_id,supplier,role_hint,country,region,lat,lon,is_primary,supplier_status,source_ids,geocode_status
primary,"alcoa@40.4406,-79.9959",Alcoa,tier4_raw_material,United States,Outside_Europe,40.4406,-79.9959,True,baseline_primary,SRC_ALCOA_001,source_backed_site
primary,"amag_austria_metall@48.2267,13.0357",AMAG Austria Metall,tier3_first_transformation,Austria,Europe_non_FR,48.2266686,13.0356549,True,baseline_primary,SRC_AMAG_001,source_backed_site
primary,"espace@44.7776,-0.6475",ESPACE,tier1,France,France,44.7776436,-0.6475364,True,baseline_primary,,kept_from_source_json
primary,"safran_seats_safran_internal_group@48.8125,1.9495",Safran Seats / Safran internal group,oem,France,France,48.8125,1.9495,True,baseline_primary,SRC_SAFRAN_SEATS_001,source_backed_site
primary,"saarstahl@49.3594,7.1715",Saarstahl,tier4_raw_material,Germany,Europe_non_FR,49.3593951,7.1714727,True,baseline_primary,,kept_from_source_json
primary,"aubert_duval@45.7772,3.087",Aubert & Duval,tier3_first_transformation,France,France,45.7772,3.087,True,baseline_primary,SRC_AUBERT_001,source_backed_site
primary,"mga_villeneuve_st_lot@44.3975,0.7317",MGA Villeneuve St Lot,tier1,France,France,44.3974711,0.7316929,True,baseline_primary,,kept_from_source_json
primary,"mitsubishi_chemical@35.6812,139.7671",Mitsubishi Chemical,tier4_raw_material,Japan,Outside_Europe,35.6812,139.7671,True,baseline_primary,,fallback_site_needs_source
primary,"toray_industries@35.6866,139.7746",Toray Industries,tier3_first_transformation,Japan,Outside_Europe,35.6866,139.7746,True,baseline_primary,SRC_TORAY_001,source_backed_site
primary,"ensinger@48.501,8.8202",Ensinger,tier2_second_transformation,Germany,Europe_non_FR,48.5010122,8.8201999,True,baseline_primary,,kept_from_source_json
primary,"epodex@48.8456,2.3249",EPODEX,tier3_first_transformation,France,France,48.845562,2.3249361,True,baseline_primary,SRC_FORMICA_001,kept_from_source_json
primary,"combigo@48.8696,2.3222",Combigo,tier2_second_transformation,France,France,48.869635,2.3222214,True,baseline_primary,,kept_from_source_json
primary,"aurubis@50.7585,6.2343",Aurubis,tier3_first_transformation,Germany,Europe_non_FR,50.7584717,6.234312,True,baseline_primary,,kept_from_source_json
primary,"sumpar@49.3893,1.2086",SUMPAR,tier1,France,France,49.3892868,1.2085766,True,baseline_primary,SRC_SUMPAR_001,source_backed_site
primary,"gruppo_mastrotto@45.556,11.341",Gruppo Mastrotto,tier3_first_transformation,Italy,Europe_non_FR,45.556,11.341,True,baseline_primary_inferred_after_review,SRC_MASTROTTO_001,kept_from_source_json
primary,"maison_fichet@48.8706,2.3634",Maison Fichet,tier2_second_transformation,France,France,48.8706283,2.3633735,True,baseline_primary,SRC_MAISON_FICHET_001,kept_from_source_json
primary,"e2ip_technologies@45.455,-73.735",e2ip technologies,tier2_second_transformation,Canada,Outside_Europe,45.455,-73.735,True,baseline_primary_inferred_after_review,SRC_E2IP_001,source_backed_site
primary,"thales@43.5639,1.3821",Thales,tier1,France,France,43.5638842,1.3821146,True,baseline_primary_inferred_after_review,SRC_THALES_001,kept_from_source_json
primary,"klabin_s_a@-29.7858,-51.1144",Klabin S.A.,tier4_raw_material,Brazil,Outside_Europe,-29.7858184,-51.1144326,True,baseline_primary,SRC_KLABIN_001,kept_from_source_json
primary,"kronotex_gmbh_co@53.1472,12.3793",Kronotex GmbH & Co,tier3_first_transformation,Germany,Europe_non_FR,53.1471628,12.3793247,True,baseline_primary,SRC_KRONOTEX_001,kept_from_source_json
primary,"glatfelter@39.8712,-76.864",Glatfelter,tier2_second_transformation,United States,Outside_Europe,39.871164,-76.8640254,True,baseline_primary_inferred_after_review,SRC_GLATFELTER_001,kept_from_source_json
primary,"celso_sas@43.9363,1.3228",Celso SAS,tier1,France,France,43.9363,1.3228,True,baseline_primary,SRC_CELSO_001,source_backed_site
primary,"saint_gobain@49.5967,3.3759",Saint-Gobain,tier3_first_transformation,France,France,49.5967,3.3759,True,baseline_primary,SRC_SAINTGOBAIN_001,kept_from_source_json
primary,"silicone_engineering@53.7486,-2.4875",Silicone Engineering,tier2_second_transformation,"Blackburn, United Kingdom",Outside_Europe,53.7486,-2.4875,True,baseline_primary_inferred_after_review,SRC_SILICONE_ENGINEERING_001,source_backed_city_or_hq
primary,"3m@41.9519,-88.7122",3M,tier2_second_transformation,United States,Outside_Europe,41.9519215,-88.7122029,True,baseline_primary_inferred_after_review,SRC_3M_001,kept_from_source_json
primary,"zhejiang_yuxin_textile_co_ltd@30.5278,120.4306","Zhejiang Yuxin Textile Co.,Ltd.",tier3_first_transformation,China,Outside_Europe,30.5278,120.4306,True,baseline_primary,,kept_from_source_json
primary,"dupont_de_nemours@39.7391,-75.5398",DuPont de Nemours,tier2_second_transformation,United States,Outside_Europe,39.7391,-75.5398,True,baseline_primary,SRC_DUPONT_001,source_backed_site
primary,"ets_gattefin@47.1426,2.2372",ETS Gattefin,tier1,France,France,47.1426393,2.2372016,True,baseline_primary,SRC_GATTEFIN_001,source_backed_site
primary,"basf@49.481,8.435",BASF,tier4_raw_material,Germany,Europe_non_FR,49.481,8.435,True,baseline_primary,SRC_BASF_001,source_backed_site
primary,"mgr_foamtex_ltd@51.7396,-0.9665",MGR Foamtex Ltd,tier2_second_transformation,United Kingdom,Europe_non_FR,51.739561,-0.966526,True,baseline_primary,SRC_MGR_001,source_backed_site
primary,"ach@46.5802,0.3404",ACH,tier1,France,France,46.5802,0.3404,True,baseline_primary,SRC_ACH_001,source_backed_site
primary,"euralliage_ile_de_france@48.986,2.449",Euralliage Ile de France,tier3_first_transformation,France,France,48.986,2.449,True,baseline_primary,SRC_EURALLIAGE_001,source_backed_site
primary,"schroth_safety_products@26.18,-80.19",SCHROTH Safety Products,tier2_second_transformation,United States,Outside_Europe,26.18,-80.19,True,baseline_primary,SRC_SCHROTH_001,source_backed_site
primary,"lelievre_paris@48.8666,2.3391",Lelièvre Paris,tier2_second_transformation,France,France,48.8666,2.3391,True,baseline_primary,SRC_LELIEVRE_001,kept_from_source_json
primary,"senior_aerospace_thailand@13.0914,101.0108",Senior Aerospace Thailand,tier1,Thailand,Outside_Europe,13.0914,101.0108,True,baseline_primary,SRC_SENIOR_THAILAND_001,source_backed_site
primary,"groupe_segnere_segnere_ade@43.1576,-0.0191",Groupe Segnere / SEGNERE Ade,tier1,France,France,43.1576,-0.0191,True,baseline_primary,SRC_SEGNERE_001,source_backed_site
primary,"aluminium_corporation_of_china_chalco@39.9042,116.4074",Aluminium Corporation of China / Chalco,tier4_raw_material,China,Outside_Europe,39.9042,116.4074,True,baseline_primary,,fallback_site_needs_source
primary,"te_connectivity@40.044,-75.4388",TE Connectivity,tier1,"Berwyn, United States",Outside_Europe,40.044,-75.4388,True,baseline_primary_inferred_after_review,SRC_TE_001,source_backed_city_or_hq
primary,"liebherr_aerospace@47.6031,9.8896",Liebherr Aerospace,tier1,"Lindenberg im Allgau, Germany",Outside_Europe,47.6031,9.8896,True,baseline_primary,SRC_LIEBHERR_001,source_backed_city_or_hq
primary,"sabic@24.7136,46.6753",SABIC,tier4_raw_material,Arabie Saoudite,Outside_Europe,24.7136,46.6753,True,baseline_primary,SRC_SABIC_001,kept_from_source_json
primary,"krohne@51.1498,13.7978",Krohne,tier2_second_transformation,Germany,Europe_non_FR,51.1498261,13.7978466,True,baseline_primary,,kept_from_source_json
primary,"franklin@51.8215,20.5269",FRANKLIN,tier2_second_transformation,Poland,Europe_non_FR,51.8215327,20.5268712,True,baseline_primary,,kept_from_source_json
primary,"shandong_loyal_chemical_co_ltd@36.7059,117.0166","Shandong Loyal Chemical Co., Ltd.",tier4_raw_material,China,Outside_Europe,36.7059,117.0166,True,baseline_primary,SRC_SHANDONG_LOYAL_001,kept_from_source_json
primary,"amsafe@33.456,-112.16",AmSafe,tier1,United States,Outside_Europe,33.456,-112.16,True,baseline_primary,SRC_AMSAFE_001,source_backed_site
primary,"halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,tier4_raw_material,Cameroun,Outside_Europe,2.9406,9.9102,True,baseline_primary,SRC_HALCYON_001,kept_from_source_json
primary,"henkel@50.9878,13.8463",Henkel,tier3_first_transformation,Germany,Europe_non_FR,50.987772,13.8462669,True,baseline_primary,SRC_HENKEL_001,kept_from_source_json
