record_index,system,component,supplier,role_hint,action,detail
1,Ens. Equipements latéraux,A5086 - Aluminium,,,normalize_transport,from_supplier_to_safran: ['Camion'] -> ['truck']
1,Ens. Equipements latéraux,A5086 - Aluminium,,,normalize_transport,"to_first_transformation: ['Train', 'Camion', 'Bateau'] -> ['rail', 'truck', 'ship']"
1,Ens. Equipements latéraux,A5086 - Aluminium,,,normalize_transport,"mine_to_refinery: ['Bateau', 'Pipeline'] -> ['ship', 'pipeline']"
1,Ens. Equipements latéraux,A5086 - Aluminium,Alcoa,tier4_raw_material,clean_supplier,source/site normalization
1,Ens. Equipements latéraux,A5086 - Aluminium,Constellium,tier3_first_transformation,clean_supplier,source/site normalization
1,Ens. Equipements latéraux,A5086 - Aluminium,Austria metall,transformation,clean_supplier,name_normalized:Austria metall->AMAG Austria Metall
1,Ens. Equipements latéraux,A5086 - Aluminium,Hindalco,tier4_raw_material,clean_supplier,name_normalized:Hindalco->Hindalco Industries
1,Ens. Equipements latéraux,A5086 - Aluminium,Aluminium Corporation of China,material,clean_supplier,name_normalized:Aluminium Corporation of China->Aluminium Corporation of China / Chalco
1,Ens. Equipements latéraux,A5086 - Aluminium,Thyssen group,tier3_first_transformation,clean_supplier,name_normalized:Thyssen group->thyssenkrupp Materials France
1,Ens. Equipements latéraux,A5086 - Aluminium,TATA Steel,tier4_raw_material,clean_supplier,name_normalized:TATA Steel->Tata Steel
1,Ens. Equipements latéraux,A5086 - Aluminium,Euralliage,tier3_first_transformation,clean_supplier,name_normalized:Euralliage->Euralliage Ile de France
1,Ens. Equipements latéraux,A5086 - Aluminium,Thyssen group,tier3_first_transformation,clean_supplier,name_normalized:Thyssen group->thyssenkrupp Materials France
1,Ens. Equipements latéraux,A5086 - Aluminium,Figeac Aero,tier1,clean_supplier,source/site normalization
1,Ens. Equipements latéraux,A5086 - Aluminium,GATTEFIN,tier1,clean_supplier,name_normalized:GATTEFIN->ETS Gattefin
1,Ens. Equipements latéraux,A5086 - Aluminium,SUMPAR,tier2_second_transformation,clean_supplier,role_normalized:tier2_second_transformation->tier1
1,Ens. Equipements latéraux,A5086 - Aluminium,Segnere Aero SAS,tier1,clean_supplier,name_normalized:Segnere Aero SAS->Groupe Segnere / SEGNERE Ade
1,Ens. Equipements latéraux,A5086 - Aluminium,Figeac Aéro,tier1,clean_supplier,name_normalized:Figeac Aéro->Figeac Aero
1,Ens. Equipements latéraux,A5086 - Aluminium,SENIOR AEROSPACE,tier1,clean_supplier,name_normalized:SENIOR AEROSPACE->Senior Aerospace Thailand
1,Ens. Equipements latéraux,A5086 - Aluminium,SAFRAN,oem,clean_supplier,name_normalized:SAFRAN->Safran Seats / Safran internal group
1,Ens. Equipements latéraux,A5086 - Aluminium,Safran Seats / Safran internal group,oem,move_oem_out_of_suppliers,OEM/internal integrator moved to oem_sites
1,Ens. Equipements latéraux,A5086 - Aluminium,Lauak Group,tier1,clean_supplier,name_normalized:Lauak Group->Groupe LAUAK
1,Ens. Equipements latéraux,A5086 - Aluminium,GATTEFIN,tier1,clean_supplier,name_normalized:GATTEFIN->ETS Gattefin
1,Ens. Equipements latéraux,A5086 - Aluminium,Safran,oem,clean_supplier,name_normalized:Safran->Safran Seats / Safran internal group
1,Ens. Equipements latéraux,A5086 - Aluminium,Safran Seats / Safran internal group,oem,move_oem_out_of_suppliers,OEM/internal integrator moved to oem_sites
1,Ens. Equipements latéraux,A5086 - Aluminium,thyssenkrupp Materials France,tier3_first_transformation,dedupe_supplier,merged duplicate supplier/site/role entry
1,Ens. Equipements latéraux,A5086 - Aluminium,Figeac Aero,tier1,dedupe_supplier,merged duplicate supplier/site/role entry
1,Ens. Equipements latéraux,A5086 - Aluminium,JV Group,tier1,dedupe_supplier,merged duplicate supplier/site/role entry
1,Ens. Equipements latéraux,A5086 - Aluminium,ETS Gattefin,tier1,dedupe_supplier,merged duplicate supplier/site/role entry
1,Ens. Equipements latéraux,A5086 - Aluminium,Safran Seats / Safran internal group,oem,dedupe_oem,merged duplicate supplier/site/role entry
1,Ens. Equipements latéraux,A5086 - Aluminium,Alcoa,tier4_raw_material,resolve_multiple_primary,kept Alcoa as baseline primary; 1 suppliers retained as alternatives
1,Ens. Equipements latéraux,A5086 - Aluminium,AMAG Austria Metall,tier3_first_transformation,resolve_multiple_primary,kept AMAG Austria Metall as baseline primary; 1 suppliers retained as alternatives
1,Ens. Equipements latéraux,A5086 - Aluminium,ESPACE,tier1,resolve_multiple_primary,kept ESPACE as baseline primary; 6 suppliers retained as alternatives
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",,,normalize_transport,from_supplier_to_safran: ['Camion'] -> ['truck']
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",,,normalize_transport,"to_first_transformation: ['Train', 'Camion', 'Bateau'] -> ['rail', 'truck', 'ship']"
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",,,normalize_transport,mine_to_refinery: ['Bateau'] -> ['ship']
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",Saarstahl,tier4_raw_material,clean_supplier,source/site normalization
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",Arcelor Mittal,material,clean_supplier,name_normalized:Arcelor Mittal->ArcelorMittal
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",Krupp,tier3_first_transformation,clean_supplier,source/site normalization
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",China Baowu,material,clean_supplier,name_normalized:China Baowu->China Baowu / Baosteel
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",Thyssen group,tier3_first_transformation,clean_supplier,name_normalized:Thyssen group->thyssenkrupp Materials France
