record_index,system,component,mass_kg,mass_confidence,tier4_candidates,tier3_candidates,tier2_candidates,tier1_candidates,oem_candidates,tier4_primary,tier3_primary,tier2_primary,tier1_primary,weak_roles,minimum_non_oem_candidates
1,Ens. Equipements latéraux,A5086 - Aluminium,3.6360048,high,4,5,0,10,1,1,1,0,1,tier2_second_transformation,0
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",0.022,high,5,4,0,3,1,1,1,0,1,tier2_second_transformation,0
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,0.0001731,high,3,2,4,1,1,1,1,1,1,tier1,1
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,0.392,high,0,2,2,3,1,0,1,1,1,tier4_raw_material,0
5,Bumper version porte,alliage Cu,0.006,high,6,3,0,4,1,1,1,0,1,tier2_second_transformation,0
6,Ens. Stowage latéral,cuir,0.112,high,0,1,2,3,1,0,1,1,1,tier4_raw_material;tier3_first_transformation,0
7,lightning,lightning,0.8,high,0,0,2,3,1,0,0,1,1,tier4_raw_material;tier3_first_transformation,0
8,Padding (rembourrage),AIRVOLT LAMINAT,0.95,high,4,3,2,1,1,1,1,1,1,tier1,1
9,Stowage assemblé avec porte,Silicone,0.0007,high,0,2,2,3,1,0,1,1,1,tier4_raw_material,0
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,1.5,high,0,1,1,1,1,0,1,1,1,tier4_raw_material;tier3_first_transformation;tier2_second_transformation;tier1,0
11,Coussin ottoman,tissu,0.339,medium_high,0,7,3,4,1,0,1,1,1,tier4_raw_material,0
12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,0.039,high,7,6,4,2,1,1,1,1,1,,2
13,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),0.027,high,5,4,0,3,1,1,1,0,1,tier2_second_transformation,0
14,Ens. Palette optimisée,35NC6 (nickel-chrome),0.660743,medium_high,0,1,0,3,1,0,1,0,1,tier4_raw_material;tier3_first_transformation;tier2_second_transformation,0
15,Ens. Equipements latéraux,acier,0.0996449,high,5,4,1,17,1,1,1,1,1,tier2_second_transformation,1
16,Stowage assemblé avec porte,35NC6 (nickel-chrome),0.008,high,1,0,0,3,1,1,0,0,1,tier4_raw_material;tier3_first_transformation;tier2_second_transformation,0
17,Accoudoir allée,A2017 - Aluminium,2.43,high,4,5,1,10,1,1,1,1,1,tier2_second_transformation,1
18,Ens. Stowage latéral,A2017 - Aluminium,0.1033805,high,4,5,1,10,1,1,1,1,1,tier2_second_transformation,1
19,Ens. Palette optimisée,A2017 - Aluminium,12.333,high,4,5,1,10,1,1,1,1,1,tier2_second_transformation,1
20,Ens. Tablette cocktail,A2017 - Aluminium,3.523,high,4,5,1,10,1,1,1,1,1,tier2_second_transformation,1
21,Ens. Tablette repas,A2017 - Aluminium,2.125,high,4,5,1,10,1,1,1,1,1,tier2_second_transformation,1
22,Ens. Têtière,A2017 - Aluminium,0.4425,high,4,5,1,10,1,1,1,1,1,tier2_second_transformation,1
23,Stowage assemblé avec porte,A2017 - Aluminium,3.956,high,4,5,1,10,1,1,1,1,1,tier2_second_transformation,1
24,Support écran,A2017 - Aluminium,1.45,high,4,5,1,10,1,1,1,1,1,tier2_second_transformation,1
25,Accoudoir allée,A2024 - Aluminium,0.18,high,4,5,1,9,1,1,1,1,1,tier2_second_transformation,1
26,Ens. Tablette cocktail,A2024 - Aluminium,0.084,high,4,5,1,9,1,1,1,1,1,tier2_second_transformation,1
27,Ens. Tablette repas,A2024 - Aluminium,1.259,high,4,5,1,9,1,1,1,1,1,tier2_second_transformation,1
28,Ens. Têtière,A2024 - Aluminium,0.029,high,4,5,1,9,1,1,1,1,1,tier2_second_transformation,1
29,Accoudoir allée,A5086 - Aluminium,0.316,high,4,5,0,10,1,1,1,0,1,tier2_second_transformation,0
30,Bumper version porte,A5086 - Aluminium,0.024,high,4,5,0,10,1,1,1,0,1,tier2_second_transformation,0
31,Ens. Stowage latéral,A5086 - Aluminium,0.216,high,4,5,0,10,1,1,1,0,1,tier2_second_transformation,0
32,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",0.008,high,0,2,1,3,1,0,1,1,1,tier4_raw_material;tier2_second_transformation,0
33,Ens. Structure fauteuil,4140 (acier),0.002,high,4,4,0,4,1,1,1,0,1,tier2_second_transformation,0
34,Habillage sous fauteuil,A5086 - Aluminium,1.03,high,4,5,0,10,1,1,1,0,1,tier2_second_transformation,0
35,Manchette acc. Mobile,A5086 - Aluminium,0.105,high,4,5,0,10,1,1,1,0,1,tier2_second_transformation,0
36,Manchette équipée,A5086 - Aluminium,0.17,high,4,5,0,10,1,1,1,0,1,tier2_second_transformation,0
37,Renfort tubulaire,A5086 - Aluminium,0.931,high,4,5,0,10,1,1,1,0,1,tier2_second_transformation,0
38,Stowage assemblé avec porte,A5086 - Aluminium,2.457,high,4,5,0,10,1,1,1,0,1,tier2_second_transformation,0
39,Structure ottoman horizontale,A5086 - Aluminium,1.928,high,4,5,0,10,1,1,1,0,1,tier2_second_transformation,0
40,Support écran,A5086 - Aluminium,0.506,high,4,5,0,10,1,1,1,0,1,tier2_second_transformation,0
41,Support équipé,A5086 - Aluminium,0.099,high,4,5,0,10,1,1,1,0,1,tier2_second_transformation,0
42,Support manchette équipée,A5086 - Aluminium,0.117,high,4,5,0,10,1,1,1,0,1,tier2_second_transformation,0
43,Support NFC,A5086 - Aluminium,0.01,high,4,5,0,10,1,1,1,0,1,tier2_second_transformation,0
44,Renfort tubulaire,A6060 - Aluminium,0.404,high,4,5,0,4,1,1,1,0,1,tier2_second_transformation,0
45,Ceinture de sécurité,acier,0.72,medium_high,5,4,1,17,1,1,1,1,1,tier2_second_transformation,1
46,Support clamps,acier,1.284,medium_high,5,4,1,17,1,1,1,1,1,tier2_second_transformation,1
47,Accoudoir allée,acier,0.7096766,high,5,4,1,17,1,1,1,1,1,tier2_second_transformation,1
48,Bumper version porte,acier,0.024,high,5,4,1,17,1,1,1,1,1,tier2_second_transformation,1
49,Ens. Stowage latéral,acier,0.0151984,high,5,4,1,17,1,1,1,1,1,tier2_second_transformation,1
50,ens. coque,de: aluminium cast part machining + tth compris dans le steel tinplated,0.496,high,1,1,0,5,1,1,1,0,1,tier4_raw_material;tier3_first_transformation;tier2_second_transformation,0
51,Ens. Structure fauteuil,35NC6 (nickel-chrome),1.417,high,1,0,0,4,1,1,0,0,1,tier4_raw_material;tier3_first_transformation;tier2_second_transformation,0
52,Ens. Palette optimisée,acier,0.58,high,5,4,1,17,1,1,1,1,1,tier2_second_transformation,1
