case_id,case_input,case_output_dir,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_estimated_source_ordered_qty,kpi::total_estimated_source_rejected_qty,kpi::total_estimated_source_replenished_qty,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,level,parameter_group,parameter_key,parameter_label,realism_focus,status
baseline,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/baseline/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/baseline/simulation_output,8253511.0415,0.995563,0.000718,0.003719,843.2095,8024596.4229,0.95154,157399.3277,19256325.8659,17400.0,49570.1,0.0,47944.2243,0.0,0.0,0.0,0.0,0.0,19170880.3166,19242495.8784,8523781.9898,94445.1496,13829.9875,16556.7905,160731.6544,0.0,71615.5618,0.0,1.0,baseline,baseline,Baseline,baseline,ok
baseline_repeat,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/baseline_repeat/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/baseline_repeat/simulation_output,8253511.0415,0.995563,0.000718,0.003719,843.2095,8024596.4229,0.95154,157399.3277,19256325.8659,17400.0,49570.1,0.0,47944.2243,0.0,0.0,0.0,0.0,0.0,19170880.3166,19242495.8784,8523781.9898,94445.1496,13829.9875,16556.7905,160731.6544,0.0,71615.5618,0.0,1.0,baseline,baseline,Baseline repeat,baseline,ok
lead_time_scale_0_75,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/lead_time_scale_0_75/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/lead_time_scale_0_75/simulation_output,6185644.8784,0.9952,0.000777,0.004024,2682.8116,6056036.666,0.845815,135901.0254,14538454.5705,17400.0,49813.3849,0.0,48187.6477,0.0,0.0,0.0,0.0,0.0,14468667.4685,14527164.6631,6429839.0191,73345.3979,11289.9074,14717.1884,137980.1583,0.0,58497.1946,0.0,0.75,global,lead_time_scale,Lead time global,exogenous_network,ok
lead_time_scale_0_9,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/lead_time_scale_0_9/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/lead_time_scale_0_9/simulation_output,7444313.5031,0.995454,0.000735,0.00381,1542.2436,7258498.403,0.911365,148923.3517,17421204.6138,17400.0,49666.6052,0.0,48042.3129,0.0,0.0,0.0,0.0,0.0,17342011.8961,17408393.0343,7707533.0282,85981.4273,12811.5795,15857.7564,151653.9542,0.0,66381.1382,0.0,0.9,global,lead_time_scale,Lead time global,exogenous_network,ok
lead_time_scale_1_0,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/lead_time_scale_1_0/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/lead_time_scale_1_0/simulation_output,8253511.0415,0.995563,0.000718,0.003719,843.2095,8024596.4229,0.95154,157399.3277,19256325.8659,17400.0,49570.1,0.0,47944.2243,0.0,0.0,0.0,0.0,0.0,19170880.3166,19242495.8784,8523781.9898,94445.1496,13829.9875,16556.7905,160731.6544,0.0,71615.5618,0.0,1.0,global,lead_time_scale,Lead time global,exogenous_network,ok
lead_time_scale_1_1,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/lead_time_scale_1_1/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/lead_time_scale_1_1/simulation_output,9055721.0259,0.995727,0.000689,0.003584,330.8935,8787322.1859,0.980983,161801.2102,21089771.9155,17400.0,49580.8473,0.0,47794.4687,0.0,0.0,0.0,0.0,0.0,20999650.9298,21075241.4723,9327171.9267,100198.031,14530.4433,17069.1065,167712.637,0.0,75590.5425,0.0,1.1,global,lead_time_scale,Lead time global,exogenous_network,ok
lead_time_scale_1_25,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/lead_time_scale_1_25/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/lead_time_scale_1_25/simulation_output,9061681.4077,0.995726,0.00069,0.003584,289.8439,8793566.04,0.983342,160459.9357,21095938.281,17400.0,49583.0577,0.0,47800.2078,0.0,0.0,0.0,0.0,0.0,21005779.3557,21081392.1666,9334895.7011,100338.7209,14546.1144,17110.1561,167739.9329,0.0,75612.8108,0.0,1.25,global,lead_time_scale,Lead time global,exogenous_network,ok
lead_time_scale_1_5,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/lead_time_scale_1_5/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/lead_time_scale_1_5/simulation_output,9064632.423,0.995728,0.000689,0.003582,358.125,8798143.0036,0.979418,161040.4897,21098734.7608,17400.0,49583.2627,0.0,47801.1927,0.0,0.0,0.0,0.0,0.0,21008606.7648,21084187.247,9338757.5883,100355.919,14547.5139,17041.875,167691.7209,0.0,75580.4821,0.0,1.5,global,lead_time_scale,Lead time global,exogenous_network,ok
supplier_reliability_scale_0_85,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/supplier_reliability_scale_0_85/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/supplier_reliability_scale_0_85/simulation_output,8252105.768,0.995719,0.000777,0.003505,5408.5727,8022464.6555,0.689162,148381.8601,19252771.1199,17400.0,55220.0379,0.0,53496.8604,0.0,0.0,0.0,0.0,0.0,19170347.8454,19237820.316,8523781.9898,108098.4549,14950.8039,11991.4273,150999.124,21.6419,67472.4706,26646.9042,0.85,global,supplier_reliability_scale,Fiabilite fournisseur globale,exogenous_network,ok
supplier_reliability_scale_0_9,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/supplier_reliability_scale_0_9/input_case.json,/workspaces/lca-simu/etudecas/simulation/sensibility/reference_baseline_threshold_compact/cases/supplier_reliability_scale_0_9/simulation_output,8252478.5001,0.995675,0.000754,0.003571,3932.9786,8023188.828,0.773967,151276.7621,19253667.5208,17400.0,53122.8519,0.0,51436.2698,0.0,0.0,0.0,0.0,0.0,19170387.8983,19239145.2316,8523781.9898,103053.7363,14522.2892,13467.0214,154152.8589,3.7533,68757.3333,17128.0954,0.9,global,supplier_reliability_scale,Fiabilite fournisseur globale,exogenous_network,ok
