avg_inventory_max,avg_inventory_min,baseline_avg_inventory,baseline_backlog,baseline_external_procured_qty,baseline_fill_rate,baseline_total_cost,ending_backlog_cross_threshold_at,ending_backlog_max,ending_backlog_min,ending_backlog_monotonicity,external_procured_qty_max,external_procured_qty_min,fill_rate_cross_service_threshold_at,fill_rate_cross_soft_threshold_at,fill_rate_max,fill_rate_min,fill_rate_monotonicity,levels,max_backlog_increase,max_fill_rate_drop,max_total_cost_increase,parameter_group,parameter_key,parameter_label,realism_focus,safe_band_high,safe_band_low,steepest_fill_segment,total_cost_cross_threshold_at,total_cost_max,total_cost_min,total_cost_monotonicity
5104927.8259,1030979.3977,8253511.0415,843.2095,0.0,0.95154,19256325.8659,0.25,11634.354,3745.2266,decreasing,0.0,0.0,0.25,0.25,0.784757,0.331359,increasing,"[0.25, 0.5, 0.75, 1.0, 1.25]",10791.144499999999,0.6201810000000001,-7210137.3632,global,opening_stock_bootstrap_scale,Bootstrap stock initial,model_protection,,,"[0.25, 0.5]",,12046188.5027,2719922.0366,increasing
8287855.1544,8142250.2481,8253511.0415,843.2095,0.0,0.95154,19256325.8659,0.7,3198.5786,191.875,non_monotonic,0.0,0.0,0.7,0.7,0.988973,0.816174,non_monotonic,"[0.7, 0.85, 1.0, 1.2, 1.5]",2355.3691,0.1353660000000001,4552.50700000301,supplier_lead_time_node,supplier_lead_time_node::SDC-VD0914690A,Lead time fournisseur SDC-VD0914690A,supplier_lead_time,1.5,1.0,"[0.7, 0.85]",,19260878.3729,19238494.8332,non_monotonic
8431933.2494,8106704.1578,8253511.0415,843.2095,0.0,0.95154,19256325.8659,0.7,3168.9766,191.875,decreasing,0.0,0.0,0.7,0.7,0.988973,0.817875,increasing,"[0.7, 0.85, 1.0, 1.15, 1.3]",2325.7671,0.13366500000000003,26706.30640000105,capacity_node,capacity_node::M-1430,Capacite M-1430,operations_capacity,1.3,1.0,"[0.7, 0.85]",,19283032.1723,19216067.2808,increasing
9064632.423,6185644.8784,8253511.0415,843.2095,0.0,0.95154,19256325.8659,0.75,2682.8116,289.8439,non_monotonic,0.0,0.0,0.75,0.75,0.983342,0.845815,non_monotonic,"[0.75, 0.9, 1.0, 1.1, 1.25, 1.5]",1839.6021,0.10572500000000007,1842408.8949000016,global,lead_time_scale,Lead time global,exogenous_network,1.5,1.0,"[0.75, 0.9]",,21098734.7608,14538454.5705,increasing
8253511.0415,8252105.768,8253511.0415,843.2095,0.0,0.95154,19256325.8659,0.85,5408.5727,843.2095,decreasing,0.0,0.0,0.85,0.85,0.95154,0.689162,increasing,"[0.85, 0.9, 0.95, 1.0]",4565.3632,0.262378,0.0,global,supplier_reliability_scale,Fiabilite fournisseur globale,exogenous_network,1.0,1.0,"[0.95, 1.0]",,19256325.8659,19252771.1199,increasing
8307040.2724,8214739.0653,8253511.0415,843.2095,0.0,0.95154,19256325.8659,1.1,2508.9766,229.6875,increasing,0.0,0.0,1.1,1.1,0.985333,0.868914,decreasing,"[0.8, 0.9, 1.0, 1.1, 1.2]",1665.7671,0.08262600000000009,0.0,demand_item,demand_item::item:268967,Demande 268967,market_demand,1.0,0.8,"[1.0, 1.1]",,19256325.8659,19247909.938,non_monotonic
8708616.9734,8253511.0415,8253511.0415,843.2095,0.0,0.95154,19256325.8659,2.0,8979.5676,843.2095,increasing,0.0,0.0,2.0,2.0,0.95154,0.483933,decreasing,"[1.0, 2.0, 3.0, 5.0, 7.0]",8136.3581,0.46760700000000005,506206.39169999957,global,review_period_scale,Periode de revue,planning_policy,1.0,1.0,"[2.0, 3.0]",,19762532.2576,19256325.8659,increasing
8254000.2066,8253021.28,8253511.0415,843.2095,0.0,0.95154,19256325.8659,,852.7551,752.8684,non_monotonic,0.0,0.0,,,0.956732,0.950991,non_monotonic,"[0.6, 0.8, 1.0, 1.2, 1.4]",9.545599999999922,0.0005490000000000217,813.276399999857,supplier_stock_node,supplier_stock_node::SDC-VD0914690A,Stock fournisseur SDC-VD0914690A,supplier_buffer,1.4,0.6,"[1.2, 1.4]",,19257139.1423,19255611.4505,increasing
8253511.0415,8253327.4775,8253511.0415,843.2095,0.0,0.95154,19256325.8659,,850.3687,843.2095,decreasing,0.0,0.0,,,0.95154,0.951128,increasing,"[0.85, 0.9, 0.95, 1.0]",7.159199999999942,0.00041200000000007897,0.0,supplier_reliability_node,supplier_reliability_node::SDC-VD0914690A,Fiabilite fournisseur SDC-VD0914690A,supplier_reliability,1.0,0.85,"[0.9, 0.95]",,19256325.8659,19256039.4597,increasing
8255675.2064,8251275.3215,8253511.0415,843.2095,0.0,0.95154,19256325.8659,,843.2095,759.6798,non_monotonic,0.0,0.0,,,0.958325,0.951211,non_monotonic,"[0.8, 0.9, 1.0, 1.1, 1.2]",0.0,0.0003290000000000237,1675.723100002855,demand_item,demand_item::item:268091,Demande 268091,market_demand,1.2,0.8,"[1.0, 1.1]",,19258001.589,19254636.7265,increasing
8253511.0415,8253511.0415,8253511.0415,843.2095,0.0,0.95154,19256325.8659,,843.2095,843.2095,flat,0.0,0.0,,,0.95154,0.95154,flat,"[0.0, 1.0]",0.0,0.0,0.0,global,external_procurement_enabled,Appro externe activee,model_protection,1.0,0.0,"[0.0, 1.0]",,19256325.8659,19256325.8659,flat
8270587.0818,8236435.0012,8253511.0415,843.2095,0.0,0.95154,19256325.8659,,843.2095,843.2095,flat,0.0,0.0,,,0.95154,0.95154,flat,"[0.7, 0.85, 1.0, 1.15, 1.3]",0.0,0.0,4471.096900001168,capacity_node,capacity_node::M-1810,Capacite M-1810,operations_capacity,1.3,0.7,"[0.7, 0.85]",,19260796.9628,19251854.7689,increasing
8253511.0415,8253511.0415,8253511.0415,843.2095,0.0,0.95154,19256325.8659,,843.2095,843.2095,flat,0.0,0.0,,,0.95154,0.95154,flat,"[0.4, 0.7, 1.0, 1.3, 1.6]",0.0,0.0,0.0,global,external_procurement_daily_cap_days_scale,Capacite appro externe,model_protection,1.6,0.4,"[0.4, 0.7]",,19256325.8659,19256325.8659,flat
8253511.0415,8253511.0415,8253511.0415,843.2095,0.0,0.95154,19256325.8659,,843.2095,843.2095,flat,0.0,0.0,,,0.95154,0.95154,flat,"[0.5, 0.75, 1.0, 1.25, 1.5]",0.0,0.0,9585440.158300001,global,holding_cost_scale,Cout de stock,economic_penalty,1.0,0.5,"[0.5, 0.75]",1.25,28841766.0242,9670885.7076,increasing
8253511.0415,8253511.0415,8253511.0415,843.2095,0.0,0.95154,19256325.8659,,843.2095,843.2095,flat,0.0,0.0,,,0.95154,0.95154,flat,"[0.6, 0.8, 1.0, 1.2, 1.4]",0.0,0.0,0.0,supplier_capacity_node,supplier_capacity_node::SDC-1450,Debit fournisseur SDC-1450,supplier_capacity,1.4,0.6,"[0.6, 0.8]",,19256325.8659,19256325.8659,flat
8253511.4264,8253511.0415,8253511.0415,843.2095,0.0,0.95154,19256325.8659,,843.2095,843.2095,flat,0.0,0.0,,,0.95154,0.95154,flat,"[0.6, 0.8, 1.0, 1.2, 1.4]",0.0,0.0,0.021000001579523087,supplier_capacity_node,supplier_capacity_node::SDC-VD0525412A,Debit fournisseur SDC-VD0525412A,supplier_capacity,1.4,0.6,"[0.6, 0.8]",,19256325.8869,19256325.8659,decreasing
8253513.1298,8253492.6662,8253511.0415,843.2095,0.0,0.95154,19256325.8659,,843.2095,798.6784,increasing,0.0,0.0,,,0.954099,0.95154,decreasing,"[0.6, 0.8, 1.0, 1.2, 1.4]",0.0,0.0,41.65610000118613,supplier_capacity_node,supplier_capacity_node::SDC-VD0901566A,Debit fournisseur SDC-VD0901566A,supplier_capacity,1.4,0.6,"[0.6, 0.8]",,19256367.522,19256325.8659,decreasing
