day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_qty
0,50.0,0.0,50.0,0.0,50.0,1998.0979,22920.9052,672.9173,4.06,24.8014,1317.9179
1,50.0,0.0,100.0,81.2,50.0,1998.0979,20855.8274,604.0152,4.06,24.8014,1749.9179
2,50.0,0.0,150.0,81.2,50.0,1998.0979,18790.7496,535.1131,4.06,24.8014,1749.918
3,50.0,0.0,200.0,81.2,50.0,1998.0979,16725.6718,466.211,4.06,24.8014,1749.918
4,50.0,0.0,250.0,81.2,50.0,1998.0979,14660.594,397.3089,4.06,24.8014,1749.918
5,50.0,0.0,300.0,131.2,50.0,2048.0979,12595.5162,328.4068,4.06,24.8014,1749.918
6,50.0,0.0,350.0,131.2,50.0,2048.0979,10530.4384,259.5047,4.06,24.8014,1749.9179
7,50.0,0.0,400.0,131.2,50.0,2048.0979,8465.3606,190.6026,4.06,24.8014,1749.9179
8,50.0,50.0,400.0,2048.0979,50.0,2048.0979,8303.1807,187.7657,4.06,24.8014,1785.9179
9,50.0,50.0,400.0,2048.0979,50.0,2048.0979,8205.0008,187.4889,4.06,24.8014,1849.9179
10,50.0,50.0,400.0,2048.0979,50.0,2048.0979,8106.8208,187.212,4.06,24.8014,1849.9179
11,50.0,50.0,400.0,2048.0979,50.0,2048.0979,8008.6409,186.9352,4.06,24.8014,1849.9179
12,50.0,50.0,400.0,2048.0979,50.0,2048.0979,7910.461,186.6583,4.06,24.8014,1849.9179
13,50.0,50.0,400.0,2048.0979,50.0,2048.0979,7812.2811,186.3815,4.06,24.8014,1849.9179
14,50.0,50.0,400.0,2048.0979,50.0,2048.0979,7714.1011,186.1046,4.06,24.8014,1849.9179
15,50.0,50.0,400.0,2048.0979,50.0,2048.0979,7615.9212,185.8278,4.06,24.8014,1849.9179
16,50.0,50.0,400.0,2048.0979,50.0,2048.0979,7517.7413,185.5509,4.06,24.8014,1849.918
17,50.0,50.0,400.0,2048.0979,50.0,2048.0979,7419.5614,185.2741,4.06,24.8014,1849.9179
18,50.0,50.0,400.0,2048.0979,50.0,2048.0979,7321.3814,184.9972,4.06,24.8014,1849.9179
19,50.0,50.0,400.0,2048.0979,50.0,2048.0979,7223.2015,184.7204,4.06,24.8014,1849.9179
20,50.0,50.0,400.0,2048.0979,50.0,2048.0979,7125.0216,184.4435,4.06,24.8014,1849.9179
21,50.0,50.0,400.0,2048.0979,50.0,2048.0979,7034.1417,184.167,4.06,24.8014,1857.2179
22,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6946.1117,183.8905,4.06,24.8014,1860.0679
23,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6858.0818,183.6141,4.06,24.8014,1860.0679
24,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6770.0519,183.3376,4.06,24.8014,1860.0679
25,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6682.022,183.0612,4.06,24.8014,1860.068
26,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6593.992,182.7847,4.06,24.8014,1860.0679
27,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6505.9621,182.5083,4.06,24.8014,1860.0679
28,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6417.9322,182.2318,4.06,24.8014,1860.0679
29,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6329.9023,181.9554,4.06,24.8014,1860.0679
