category,delta::kpi::avg_inventory,delta::kpi::cost_share_holding,delta::kpi::cost_share_inventory_risk,delta::kpi::cost_share_purchase,delta::kpi::cost_share_transport,delta::kpi::cost_share_warehouse_operating,delta::kpi::ending_backlog,delta::kpi::ending_inventory,delta::kpi::fill_rate,delta::kpi::measured_required_total,delta::kpi::measurement_starting_backlog,delta::kpi::total_arrived,delta::kpi::total_cost,delta::kpi::total_demand,delta::kpi::total_estimated_source_ordered_qty,delta::kpi::total_estimated_source_rejected_qty,delta::kpi::total_estimated_source_replenished_qty,delta::kpi::total_explicit_initialization_pipeline_qty,delta::kpi::total_explicit_initialization_stock_qty,delta::kpi::total_external_procured_arrived_qty,delta::kpi::total_external_procured_ordered_qty,delta::kpi::total_external_procured_qty,delta::kpi::total_external_procured_rejected_qty,delta::kpi::total_external_procurement_cost,delta::kpi::total_holding_cost,delta::kpi::total_inventory_cost_legacy_raw_holding,delta::kpi::total_inventory_risk_cost,delta::kpi::total_logistics_cost,delta::kpi::total_opening_stock_bootstrap_qty,delta::kpi::total_produced,delta::kpi::total_purchase_cost,delta::kpi::total_served,delta::kpi::total_shipped,delta::kpi::total_supplier_capacity_binding_qty,delta::kpi::total_transport_cost,delta::kpi::total_unreliable_loss_qty,delta::kpi::total_warehouse_operating_cost,delta::kpi::warmup_backlog_cleared_qty,delta_pct::kpi::avg_inventory,delta_pct::kpi::cost_share_holding,delta_pct::kpi::cost_share_inventory_risk,delta_pct::kpi::cost_share_purchase,delta_pct::kpi::cost_share_transport,delta_pct::kpi::cost_share_warehouse_operating,delta_pct::kpi::ending_backlog,delta_pct::kpi::ending_inventory,delta_pct::kpi::fill_rate,delta_pct::kpi::measured_required_total,delta_pct::kpi::measurement_starting_backlog,delta_pct::kpi::total_arrived,delta_pct::kpi::total_cost,delta_pct::kpi::total_demand,delta_pct::kpi::total_estimated_source_ordered_qty,delta_pct::kpi::total_estimated_source_rejected_qty,delta_pct::kpi::total_estimated_source_replenished_qty,delta_pct::kpi::total_explicit_initialization_pipeline_qty,delta_pct::kpi::total_explicit_initialization_stock_qty,delta_pct::kpi::total_external_procured_arrived_qty,delta_pct::kpi::total_external_procured_ordered_qty,delta_pct::kpi::total_external_procured_qty,delta_pct::kpi::total_external_procured_rejected_qty,delta_pct::kpi::total_external_procurement_cost,delta_pct::kpi::total_holding_cost,delta_pct::kpi::total_inventory_cost_legacy_raw_holding,delta_pct::kpi::total_inventory_risk_cost,delta_pct::kpi::total_logistics_cost,delta_pct::kpi::total_opening_stock_bootstrap_qty,delta_pct::kpi::total_produced,delta_pct::kpi::total_purchase_cost,delta_pct::kpi::total_served,delta_pct::kpi::total_shipped,delta_pct::kpi::total_supplier_capacity_binding_qty,delta_pct::kpi::total_transport_cost,delta_pct::kpi::total_unreliable_loss_qty,delta_pct::kpi::total_warehouse_operating_cost,delta_pct::kpi::warmup_backlog_cleared_qty,description,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_inventory_risk,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::cost_share_warehouse_operating,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::measured_required_total,kpi::measurement_starting_backlog,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_estimated_source_ordered_qty,kpi::total_estimated_source_rejected_qty,kpi::total_estimated_source_replenished_qty,kpi::total_explicit_initialization_pipeline_qty,kpi::total_explicit_initialization_stock_qty,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_inventory_cost_legacy_raw_holding,kpi::total_inventory_risk_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,kpi::total_warehouse_operating_cost,kpi::warmup_backlog_cleared_qty,scenario_id
reference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,Reference run with current parameters.,19766465.3509,0.149954,0.085688,0.171575,0.399984,0.192798,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812449.8774,27920896.5609,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4186854.545,11962441.5571,2392488.3114,23130363.0215,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,5383098.7007,2131254.1763,baseline
inventory_policy,-113432.67860000208,-0.0010620000000000074,-0.0006069999999999964,0.0011919999999999986,0.0018420000000000103,-0.001365000000000005,23067.59879999992,-977824.8095999993,-0.004350999999999994,0.0,0.0,-3833074.8866000026,-293088.55579999834,0.0,-959858.8745000064,13111644.1587,-3974840.172600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73285.48080000002,-209387.08779999986,-41877.41749999998,-275735.3770000003,0.0,-226596.31639999896,-17353.178799999878,-23067.598699999973,-768033.1444000006,-1580070.6283,-66348.28909999877,0.0,-94224.18950000033,-307673.05929999985,-0.573864252340074,-0.7082171866038968,-0.7083839043973443,0.6947399096604975,0.460518420736832,-0.7079948962126189,3.886848570369185,-5.16221619143812,-0.48993609773949204,0.0,nan,-3.0466578548746215,-1.0497104029618989,0.0,-0.9168294700425933,46.484715120490016,-3.856364960260154,nan,0.0,nan,nan,nan,nan,nan,-1.7503708335776451,-1.750370831912015,-1.7503708294187983,-1.1920927343150665,nan,-1.2680446129423095,-0.3622389585059311,-0.48986458970597113,-0.6043954055303127,-100.0,-0.5940970243396806,nan,-1.7503708317246298,-14.436244288522213,Lower safety stock policy (x0.5).,19653032.6723,0.148892,0.085081,0.172767,0.401826,0.191433,616545.7954,17964132.9337,0.883724,5302452.7143,0.0,121979374.9908,27627808.0051,5302452.7143,103733424.431,41318000.0,99097358.9984,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4113569.0642,11753054.4693,2350610.8939,22854627.6445,0.0,17643146.9156,4773180.3606,4685906.9189,126306583.4679,0.0,11101573.1752,0.0,5288874.5112,1823581.117,safety_stock_low
inventory_policy,154865.27139999717,-0.0005010000000000014,-0.0002859999999999946,0.0006509999999999849,0.0007820000000000049,-0.0006440000000000057,-4812.285800000071,-316465.66729999706,0.0009070000000001022,0.0,0.0,-57197.16489998996,10607.171800002456,0.0,117492.22849999368,12513977.454299998,15974.597999989986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12413.104199999943,-35466.011900000274,-7093.202399999835,-9389.050099998713,0.0,18423.985500000417,19996.221900000237,4812.285799999721,253187.96430000663,-1040993.689,26076.96190000139,0.0,-15959.705299999565,-48921.68169999984,0.7834747824195382,-0.33410245808714767,-0.3337690225002271,0.3794259070377298,0.19550782031281375,-0.3340283612900578,-0.810861431400405,-1.670712560912215,0.10213101370943921,0.0,nan,-0.04546224555338258,0.03799008307941149,0.0,0.11222518273416428,44.36580721277337,0.015498454606064657,nan,0.0,nan,nan,nan,nan,nan,-0.29647803778671616,-0.2964780369518322,-0.2964780377902512,-0.040591883885572645,nan,0.10310156816919402,0.4174111659075182,0.10219392315701839,0.1992435397798396,-65.88273146498561,0.2334987936955007,nan,-0.29647803592983013,-2.2954409776186884,Higher safety stock policy (x2.0).,19921330.6223,0.149453,0.085402,0.172226,0.400766,0.192154,588665.9108,18625492.076,0.888982,5302452.7143,0.0,125755252.7125,27931503.7327,5302452.7143,104810775.534,40720333.2956,103088173.769,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4174441.4408,11926975.5452,2385395.109,23120973.9714,0.0,17888167.2175,4810529.7613,4713786.8034,127327804.5766,539076.9393,11193998.4262,0.0,5367138.9954,2082332.4946,safety_stock_high
inventory_policy,1181624.6306999996,0.018875000000000003,0.010786000000000004,-0.028655000000000014,-0.02527400000000002,0.024268000000000012,1678700.562,1320517.9108000025,-0.3165899999999999,0.0,0.0,-19674856.95449999,-2061713.6871999986,0.0,-16378906.069199994,-28206355.8413,-16192615.088699996,0.0,1004.0907000000007,0.0,0.0,0.0,0.0,0.0,178934.83719999995,511242.39210000075,102248.4783999999,-966985.5830000006,0.0,-2769655.899600001,-1094728.1042,-1678700.5619,-20238039.540599987,42133883.1797,-1478227.9749999996,0.0,230059.07639999967,324129.2544,5.977925793628035,12.587193405977834,12.58752684156475,-16.701151100102006,-6.318752750110009,12.587267502774932,282.858000785399,6.971390859886623,-35.649016130394386,0.0,nan,-15.638243253090195,-7.384124226466248,0.0,-15.644657949455615,-100.0,-15.709973415659775,nan,2.862585007994574,nan,nan,nan,nan,nan,4.273729485388653,4.273729486239922,4.273729485439688,-4.180589738696162,nan,-15.499136521672439,-22.851903555133262,-35.64896254217946,-15.926107101582298,2666.5822669605536,-13.236375092047215,nan,4.27372948539999,15.20838096198878,Replenishment reviewed every 2 days.,20948089.9816,0.168829,0.096474,0.14292,0.37471,0.217066,2272178.7586,20262475.6541,0.571485,5302452.7143,0.0,106137592.9229,25859182.8737,5302452.7143,88314377.2363,0.0,86879584.0823,0.0,36080.4534,0.0,0.0,0.0,0.0,0.0,4365789.3822,12473683.9492,2494736.7898,22163377.4385,0.0,15100087.3324,3695805.4352,3030273.9557,106836577.0717,43713953.808,9689693.4893,0.0,5613157.7771,2455383.4307,review_period_2d
inventory_policy,-2622095.5821,0.08839,0.05050900000000001,-0.07714900000000001,-0.175394,0.11364500000000002,3568225.1198,-2243771.7804999985,-0.672939,0.0,0.0,-79780159.31279999,-9731482.991299998,0.0,-67448954.111,-28206355.8413,-66281640.444800004,0.0,6024.544000000002,0.0,0.0,0.0,0.0,0.0,148491.67169999983,424261.9190999996,84852.38379999995,-6658494.344199998,0.0,-11013261.273400001,-3072988.6471,-3568225.1196999997,-82626129.4316,384542420.6843,-7082756.2633,0.0,190917.8635999998,1002078.7606000002,-13.265374135192115,58.944743054536715,58.94524320791711,-44.96517557919278,-43.850254010160405,58.9451135385222,601.2394625855072,-11.845511487816765,-75.7750190017735,0.0,nan,-63.41197503946794,-34.85376255763871,0.0,-64.42529260848639,-100.0,-64.30603109072767,nan,17.17550947778289,nan,nan,nan,nan,nan,3.5466164421052238,3.546616441759666,3.546616440953365,-28.786812978295384,nan,-61.63077516233223,-64.14710640946441,-75.7749931829871,-65.02174205544866,24337.03999029649,-63.42054146728317,nan,3.5466164418492547,47.018266133778376,Replenishment reviewed weekly (7 days).,17144369.7688,0.238344,0.136197,0.094426,0.22459,0.306443,4161703.3164,16698185.9628,0.215136,5302452.7143,0.0,46032290.5646,18189413.5696,5302452.7143,37244329.1945,0.0,36790558.7262,0.0,41100.9067,0.0,0.0,0.0,0.0,0.0,4335346.2167,12386703.4762,2477340.6952,16471868.6773,0.0,6856481.9586,1717544.8923,1140749.3979,44448487.1807,386122491.3126,4085165.201,0.0,5574016.5643,3133332.9369,review_period_7d
supplier_risk,-297825.7069000006,-0.0012660000000000171,-0.0007230000000000014,0.003491999999999995,0.00012499999999998623,-0.0016269999999999896,495061.79610000004,63011.37430000305,-0.09336499999999992,0.0,0.0,451545.24510000646,-217782.18449999765,0.0,5242800.2788999975,13111644.1587,5118583.467999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67720.70219999971,-193487.7204,-38697.54410000006,-277144.93659999967,0.0,675793.4914999977,59362.75210000016,-495061.7960000001,-832026.8869999945,-1580070.6283,-83657.21609999985,6644346.8276,-87069.47420000006,297105.4852,-1.5067221256451906,-0.8442589060645378,-0.8437587526841581,2.0352615474282354,0.031251250049998555,-0.8438884220790618,83.4170149697459,0.33265502517706197,-10.513188638346978,0.0,nan,0.35890346745494756,-0.7799971036924958,0.0,5.00777138071146,46.484715120490016,4.966017518951065,nan,0.0,nan,nan,nan,nan,nan,-1.6174601116934602,-1.617460110266205,-1.6174601111156786,-1.1981867138980462,nan,3.7817750525358953,1.2391678632822005,-10.51315512856748,-0.6547545915786456,-100.0,-0.7490849247769441,nan,-1.617460110636237,13.940406006185288,Supplier reliability reduced to ~95%.,19468639.644,0.148688,0.084965,0.175067,0.400109,0.191171,1088539.9927,19004969.1176,0.79471,5302452.7143,0.0,126263995.1225,27703114.3764,5302452.7143,109936083.5844,41318000.0,108190782.639,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4119133.8428,11768953.8367,2353790.7673,22853218.0849,0.0,18545536.7235,4849896.2915,4213912.7216,126242589.7253,0.0,11084264.2482,6644346.8276,5296029.2265,2428359.6615,supplier_reliability_95
supplier_risk,-1115825.8994000033,-0.0027920000000000167,-0.0015949999999999992,0.009734999999999994,-0.0017590000000000106,-0.003589000000000009,1290430.0537999999,-1137045.9952999987,-0.24336499999999994,0.0,0.0,-1168211.5964999944,-481201.4853999987,0.0,17897754.547000006,13111644.1587,17616514.69399999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-148762.2925999998,-425035.1217,-85007.02430000016,-665772.109199997,0.0,2235004.227499999,184570.62380000018,-1290430.0537,-2353196.1606999934,-1580070.6283,-240736.98739999905,22009662.4326,-191265.80480000004,632681.7266000002,-5.645045179254559,-1.8619043173239904,-1.8614041639436085,5.673903540725626,-0.43976759070363075,-1.861533833338525,217.43512418700365,-6.002790264391682,-27.403653970666888,0.0,nan,-0.9285341773714583,-1.7234456792976554,0.0,17.095418141365865,46.484715120490016,17.091431865903665,nan,0.0,nan,nan,nan,nan,nan,-3.5530800270492753,-3.5530800269425877,-3.5530800253003973,-2.8783469960292125,nan,12.507198332305613,3.8528197805523994,-27.403632125783666,-1.8518223571584786,-100.0,-2.155611392590397,nan,-3.5530800275894716,29.68588794502109,Supplier reliability reduced to ~85%.,18650639.4515,0.147162,0.084093,0.18131,0.398225,0.189209,1883908.2504,17804911.748,0.64471,5302452.7143,0.0,124644238.2809,27439695.0755,5302452.7143,122591037.8525,41318000.0,120688713.865,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4038092.2524,11537406.4354,2307481.2871,22464590.9123,0.0,20104747.4595,4975104.1632,3418544.4639,124721420.4516,0.0,10927184.4769,22009662.4326,5191832.8959,2763935.9029,supplier_reliability_85
supplier_risk,578754.7195999995,0.0036720000000000086,0.0020990000000000036,-0.0031260000000000177,-0.007365999999999984,0.004722000000000004,19658.250099999947,457582.9715999998,-0.0037079999999999336,0.0,0.0,172721.86470000446,558929.3665000014,0.0,-93727.41210000217,13111644.1587,-156217.06980000436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188400.64680000022,538287.5623000003,107657.51250000019,552071.5677000023,0.0,-21065.135099999607,6857.79879999999,-19658.25,17972.75070001185,-1580070.6283,13784.00549999997,0.0,242229.40299999993,269912.82420000015,2.9279626343191794,2.448750950291428,2.4495845392587103,-1.8219437563747733,-1.8415736629465138,2.449195531073976,3.3123794964365754,2.4157110780265176,-0.41753230301494065,0.0,nan,0.13728519305387987,2.0018317294392243,0.0,-0.08952571658919235,46.484715120490016,-0.1515608195579832,nan,0.0,nan,nan,nan,nan,nan,4.4998135181216385,4.499813518257179,4.4998135199666995,2.3867829795271436,nan,-0.11788157684480603,0.1431531319757529,-0.41746350349797867,0.014143462462567214,-100.0,0.12342498596594444,nan,4.499813517602812,12.664506523974858,Lead time increased by +20%.,20345220.0705,0.153626,0.087787,0.168449,0.392618,0.19752,613136.4467,19399540.7149,0.884367,5302452.7143,0.0,125985171.7421,28479825.9274,5302452.7143,104599555.8934,41318000.0,102915982.1012,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4375255.1918,12500729.1194,2500145.8239,23682434.5892,0.0,17848678.0969,4797391.3382,4689316.2676,127092589.363,0.0,11181705.4698,0.0,5625328.1037,2401167.0005,lead_time_plus_20pct
supplier_risk,185211.32989999652,0.0009419999999999984,0.0005379999999999968,-0.0014530000000000098,-0.0012380000000000169,0.0012109999999999899,45037.166299999924,-143730.91039999947,-0.008494000000000002,0.0,0.0,583413.0780000091,-21799.011900000274,0.0,-404482.2049999982,-27871895.9525,-621596.8897000104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23011.73120000027,65747.80360000022,13149.560699999798,22476.448600001633,0.0,-11958.287599999458,-44275.460500000045,-45037.16629999969,-320867.6605999917,3369261.312,-43271.354899998754,0.0,29586.511599999852,644047.9232000001,0.9369977212013958,0.628192645744694,0.627859210157778,-0.8468599737724085,-0.309512380495224,0.628118548947598,7.588680857698744,-0.7587964895066818,-0.9564507502181687,0.0,nan,0.46371649114894875,-0.07807418308524977,0.0,-0.38634971817599784,-98.81423927755219,-0.603069396694216,nan,0.0,nan,nan,nan,nan,nan,0.549618596793175,0.5496185982281961,0.5496185973968307,0.0971729176023284,nan,-0.066919190974078,-0.9242281707424475,-0.9564113403389909,-0.2525033473671199,213.2348549270226,-0.38746113176316993,nan,0.5496185978561479,30.219198177390105,Lead time increased by +40%.,19951676.6808,0.150896,0.086226,0.170122,0.398746,0.194009,638515.3629,18798226.8329,0.879581,5302452.7143,0.0,126395862.9554,27899097.549,5302452.7143,104288801.1005,334459.8888,102450602.2813,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4209866.2762,12028189.3607,2405637.8721,23152839.4701,0.0,17857784.9444,4746258.0789,4663937.3513,126753748.9517,4949331.9403,11124650.1094,0.0,5412685.2123,2775302.0995,lead_time_plus_40pct
production_risk,-2761700.1800000034,0.0048769999999999925,0.002786999999999998,-0.0011069999999999969,-0.012826000000000004,0.006270999999999999,99791.64489999996,-2894561.4816999976,-0.018819999999999948,0.0,0.0,-8074789.78899999,-1110658.9219999984,0.0,-7069725.268700004,13111644.1587,-6926927.906300008,0.0,-602.4543999999951,0.0,0.0,0.0,0.0,0.0,-35795.53159999987,-102272.94749999978,-20454.589500000235,-890399.8504999988,0.0,-1203092.3622000013,-220259.07150000054,-99791.64489999972,-8275146.177000001,-1580070.6283,-788126.9028999992,0.0,-46022.82639999967,-156144.50989999995,-13.971644049522785,3.2523307147525187,3.252497432545978,-0.6451988926125583,-3.2066282651306057,3.2526271019408908,16.81471121798579,-15.281216022793839,-2.1191903836950647,0.0,nan,-6.418116646539036,-3.977876998245638,0.0,-6.7527973576587605,46.484715120490016,-6.720461930581319,nan,-1.7175509477782742,nan,nan,nan,nan,nan,-0.8549504458603033,-0.8549504464604745,-0.854950446467633,-3.8494849807258085,nan,-6.732566588005471,-4.597798338921291,-2.119179972773776,-6.512037098838684,-100.0,-7.057059860416906,nan,-0.8549504469240925,-7.326414260502578,Capacity degradation on M-1430 (-15%).,17004765.1709,0.154831,0.088475,0.170468,0.387158,0.199069,693269.8415,16047396.2616,0.869255,5302452.7143,0.0,117737660.0884,26810237.6389,5302452.7143,97623558.0368,41318000.0,96145271.2647,0.0,34473.9083,0.0,0.0,0.0,0.0,0.0,4151059.0134,11860168.6096,2372033.7219,22239963.171,0.0,16666650.8698,4570274.4679,4609182.8727,118799470.4353,0.0,10379794.5614,0.0,5337075.8743,1975109.6664,capacity_m1430_minus_15pct
