supplier_id,supplier_name,pair_count,max_risk_probability_proxy_4w,max_risk_probability_high_proxy_4w,mean_risk_probability_proxy_4w,max_action_priority_score,mean_action_priority_score,min_resilience_score,mean_resilience_score,early_warning_pair_count,change_point_pair_count,expected_exposure_qty_4w_proxy_sum,cvar_exposure_qty_4w_proxy_sum,worst_action_level,worst_decision_zone,recommended_action,robust_decision,top_item_id,top_dst_node_id,items_preview,destinations_preview
SDC-1450,Supplier of Raw Materials - D1450,4,0.209263,0.31612,0.174748,0.122633,0.102406,0.645,0.655,0,0,252567.0483,976296.5668,green,jaune,standard_monitoring,watch_collect_data_and_confirm_supplier_status,item:693055,M-1810,"item:693055, item:773474, item:693055, item:773474","M-1430, M-1810, SDC-1450"
SDC-VD0525412A,Supplier of Packaging - VD0525412A,1,0.212209,0.255676,0.212209,0.113151,0.113151,0.765343,0.765343,0,0,38936.0633,178214.6244,green,jaune,standard_monitoring,watch_collect_data_and_confirm_supplier_status,item:333362,M-1430,item:333362,M-1430
SDC-VD0914360C,Supplier of Packaging - VD0914360C,1,0.188177,0.233129,0.188177,0.106689,0.106689,0.85,0.85,0,0,115725.6904,559735.5639,green,jaune,standard_monitoring,watch_collect_data_and_confirm_supplier_status,item:338929,M-1810,item:338929,M-1810
SDC-VD0993480A,Supplier of Packaging - VD0993480A,1,0.192948,0.238891,0.192948,0.10301,0.10301,0.789666,0.789666,0,0,20725.4775,63594.0759,green,jaune,standard_monitoring,watch_collect_data_and_confirm_supplier_status,item:344135,M-1430,item:344135,M-1430
SDC-VD0951020A,Supplier of Raw Materials - VD0951020A,4,0.185096,0.282762,0.166307,0.095744,0.086026,0.748679,0.761256,0,0,164.4284,625.1825,green,jaune,standard_monitoring,watch_collect_data_and_confirm_supplier_status,item:001757,M-1810,"item:001757, item:007923, item:001848, item:001848","M-1430, M-1810"
SDC-VD0901566A,Supplier of Packaging - VD0901566A,1,0.18264,0.224126,0.18264,0.085255,0.085255,0.822916,0.822916,0,1,37783.7443,174297.0855,green,jaune,standard_monitoring,watch_collect_data_and_confirm_supplier_status,item:338928,M-1810,item:338928,M-1810
SDC-VD0508918A,Supplier of Packaging - VD0508918A,1,0.150802,0.217379,0.150802,0.077544,0.077544,0.775283,0.775283,0,0,4389.597,4960.0168,green,vert,standard_monitoring,routine_monitoring,item:730384,M-1430,item:730384,M-1430
SDC-VD0520132A,Supplier of Raw Materials - VD0520132A,2,0.155385,0.228983,0.151303,0.069986,0.068147,0.833077,0.833461,0,0,367.179,419.7265,green,vert,standard_monitoring,routine_monitoring,item:038005,M-1430,"item:038005, item:049371","M-1430, M-1810"
SDC-VD0520115A,Supplier of Packaging - VD0520115A,1,0.140125,0.203177,0.140125,0.067518,0.067518,0.775885,0.775885,0,0,101.1173,112.1947,green,vert,standard_monitoring,routine_monitoring,item:708073,M-1430,item:708073,M-1430
SDC-VD1095770A,Supplier of Packaging - VD1095770A,1,0.131169,0.186769,0.131169,0.060809,0.060809,0.791407,0.791407,0,0,91.1524,101.1029,green,vert,standard_monitoring,routine_monitoring,item:734545,M-1430,item:734545,M-1430
SDC-VD0914690A,Supplier of Raw Materials - VD0914690A,1,0.122858,0.20242,0.122858,0.058361,0.058361,0.833846,0.833846,0,0,739179.604,856145.6926,green,vert,standard_monitoring,routine_monitoring,item:042342,M-1430,item:042342,M-1430
SDC-VD0989480A,Supplier of Packaging - VD0989480A,1,0.11511,0.186539,0.11511,0.046821,0.046821,0.834615,0.834615,0,0,207.8507,231.6525,green,vert,standard_monitoring,routine_monitoring,item:426331,M-1810,item:426331,M-1810
SDC-VD0505677A,Supplier of Raw Materials - VD0505677A,1,0.113894,0.178785,0.113894,0.04478,0.04478,0.834615,0.834615,0,0,40.3585,44.6012,green,vert,standard_monitoring,routine_monitoring,item:099439,M-1810,item:099439,M-1810
SDC-VD0514881A,Supplier of Raw Materials - VD0514881A,1,0.115446,0.179446,0.115446,0.044191,0.044191,0.834615,0.834615,0,0,11.6652,12.8056,green,vert,standard_monitoring,routine_monitoring,item:016332,M-1810,item:016332,M-1810
SDC-VD1096202A,Supplier of Raw Materials - VD1096202A,1,0.113463,0.207223,0.113463,0.040893,0.040893,0.815538,0.815538,0,0,0.8338,0.9017,green,vert,standard_monitoring,routine_monitoring,item:039668,M-1810,item:039668,M-1810
SDC-VD0960508A,Supplier of Raw Materials - VD0960508A,1,0.088537,0.164188,0.088537,0.033419,0.033419,0.980308,0.980308,0,0,603.064,659.7107,green,vert,standard_monitoring,routine_monitoring,item:021081,SDC-1450,item:021081,SDC-1450
SDC-VD0949099A,Supplier of Raw Materials - VD0949099A,1,0.088614,0.171275,0.088614,0.032694,0.032694,0.976769,0.976769,0,0,218.9468,238.1538,green,vert,standard_monitoring,routine_monitoring,item:021081,SDC-1450,item:021081,SDC-1450
SDC-VD0972460A,Supplier of Raw Materials - VD0972460A,1,0.086608,0.179907,0.086608,0.031128,0.031128,0.966769,0.966769,0,0,70.6449,76.3418,green,vert,standard_monitoring,routine_monitoring,item:021081,SDC-1450,item:021081,SDC-1450
SDC-VD0975221A,Supplier of Raw Materials - VD0975221A,1,0.086604,0.178805,0.086604,0.031127,0.031127,0.966769,0.966769,0,0,70.6423,76.339,green,vert,standard_monitoring,routine_monitoring,item:021081,SDC-1450,item:021081,SDC-1450
SDC-VD0956464A,SDC-VD0956464A,1,0.081833,0.17522,0.081833,0.026136,0.026136,0.883,0.883,0,0,25.4486,61.9096,green,vert,standard_monitoring,routine_monitoring,item:007923,M-1810,item:007923,M-1810
SDC-VD0519670A,Supplier of Raw Materials - VD0519670A,2,0.063211,0.153136,0.061294,0.024006,0.023277,0.965538,0.966923,0,0,4.4285,4.8518,green,vert,standard_monitoring,routine_monitoring,item:029313,M-1810,"item:029313, item:001848",M-1810
SDC-VD0910216A,Supplier of Raw Materials - VD0910216A,2,0.061344,0.156881,0.060352,0.022222,0.021862,0.966769,0.967538,0,0,68.7189,74.4067,green,vert,standard_monitoring,routine_monitoring,item:002612,M-1810,"item:002612, item:001893",M-1810
SDC-VD0518684A,Supplier of Raw Materials - VD0518684A,1,0.061718,0.155478,0.061718,0.021771,0.021771,0.965538,0.965538,0,0,22.8007,24.5247,green,vert,standard_monitoring,routine_monitoring,item:001893,M-1810,item:001893,M-1810
SDC-VD1091642A,Supplier of Raw Materials - VD1091642A,2,0.060266,0.157819,0.060003,0.021437,0.021343,0.962769,0.964153,0,0,31.3934,33.8373,green,vert,standard_monitoring,routine_monitoring,item:001893,M-1810,"item:001893, item:002612",M-1810
SDC-VD0990780A,Supplier of Raw Materials - VD0990780A,1,0.059203,0.157283,0.059203,0.020556,0.020556,0.962769,0.962769,0,0,11.327,12.1354,green,vert,standard_monitoring,routine_monitoring,item:002612,M-1810,item:002612,M-1810
SDC-VD0914320A,Supplier of Raw Materials - VD0914320A,1,0.063225,0.237065,0.063225,0.020414,0.020414,0.964686,0.964686,0,0,0.4455,0.4676,green,vert,standard_monitoring,routine_monitoring,item:055703,M-1810,item:055703,M-1810
SDC-VD0500655A,Supplier of Raw Materials - VD0500655A,1,0.058361,0.156441,0.058361,0.020217,0.020217,0.962769,0.962769,0,0,10.1466,10.8646,green,vert,standard_monitoring,routine_monitoring,item:002612,M-1810,item:002612,M-1810
SDC-VD0518550B,SDC-VD0518550B,1,0.072869,0.224643,0.072869,0.019128,0.019128,0.803769,0.803769,0,0,10.6089,10.6089,green,vert,standard_monitoring,routine_monitoring,item:049371,M-1810,item:049371,M-1810
SDC-VD0964290A,Supplier of Raw Materials - VD0964290A,1,0.057802,0.151562,0.057802,0.018288,0.018288,0.965538,0.965538,0,0,0.2705,0.2832,green,vert,standard_monitoring,routine_monitoring,item:055703,M-1810,item:055703,M-1810
SDC-VD0525906A,SDC-VD0525906A,1,0.05752,0.23672,0.05752,0.015099,0.015099,0.785769,0.785769,0,0,2.7068,2.7068,green,vert,standard_monitoring,routine_monitoring,item:734545,M-1430,item:734545,M-1430
