week_index,supplier_id,supplier_name,dst_node_id,item_id,shipped_qty,pulled_qty,shipment_count,mrp_order_count,mrp_release_qty,mrp_planned_receipt_qty,lead_days_avg_week,lead_days_q50,lead_days_q90,lead_days_q95,lead_interval_width_days,reliability_avg_week,capacity_qty_week,capacity_used_qty_week,capacity_utilization_avg_week,capacity_utilization_max_week,stock_end_of_week,stock_min_of_week,stock_coverage_days,trailing_4w_shipped_qty,trailing_12w_avg_shipped_qty,flow_velocity_4w,flow_cv_12w,capacity_utilization_trailing_4w,capacity_utilization_acceleration_4w,criticality_score,local_criticality_score,mono_source_score,performance_distance_score,performance_score_current,stock_pressure,capacity_pressure,lead_time_pressure,flow_exposure_pressure,flow_volatility_pressure,dynamic_pressure,change_point_score,change_point_flag,early_warning_score,early_warning_flag,resilience_score,performance_drop_proxy,time_to_recover_weeks_proxy,sensitivity_pressure,uncertainty_pressure,data_quality_score,risk_signal,risk_probability_proxy_4w,risk_probability_low_proxy_4w,risk_probability_high_proxy_4w,action_priority_score,expected_exposure_qty_4w_proxy,cvar_exposure_qty_4w_proxy,action_level,decision_zone,recommended_action,robust_decision
271,SDC-1450,Supplier of Raw Materials - D1450,M-1810,item:693055,0.0,0.0,0,0,0.0,0.0,70.0,70.0,73.0,74.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.364999,0.663634,1.0,0.074734,0.925266,0.0,0.0,0.298935,0.947545,0.0,0.0,0.0,0,0.032143,0,0.685,0.0,4.8565,0.0,0.257143,0.6,0.334125,0.209263,0.102406,0.31612,0.122633,66176.699,322619.4493,green,jaune,standard_monitoring,watch_collect_data_and_confirm_supplier_status
271,SDC-1450,Supplier of Raw Materials - D1450,M-1430,item:773474,0.0,0.0,0,0,0.0,0.0,10.0,10.0,10.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,14455.1667,0.0,3.316625,0.0,0.0,0.364999,0.663634,1.0,0.180238,0.819762,0.0,0.0,0.04095,1.0,1.0,0.2,0.0,0,0.324,0,0.645,0.04,5.15,0.0,0.24,0.6,0.327495,0.20383,0.10143,0.30623,0.119449,180938.2808,647032.2433,green,jaune,standard_monitoring,watch_collect_data_and_confirm_supplier_status
271,SDC-VD0525412A,Supplier of Packaging - VD0525412A,M-1430,item:333362,0.0,0.0,0,0,0.0,0.0,60.0,60.0,62.0,63.0,2.0,1.0,0.0,0.0,0.0,0.0,9993000.0,9993000.0,4537.3622,10000.0,15416.6667,-15000.0,0.765872,0.0,0.0,0.214092,0.389258,1.0,0.193836,0.806164,0.0,0.0,0.25389,0.916515,0.765872,0.154829,0.224152,0,0.236095,0,0.765343,0.138348,4.2279,0.536913,0.013333,1.0,0.337668,0.212209,0.168742,0.255676,0.113151,38936.0633,178214.6244,green,jaune,standard_monitoring,watch_collect_data_and_confirm_supplier_status
271,SDC-VD0914360C,Supplier of Packaging - VD0914360C,M-1810,item:338929,0.0,0.0,0,0,0.0,0.0,42.0,42.0,44.0,45.0,2.0,1.0,0.0,0.0,0.0,0.0,9973950.0,9973950.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.343493,0.624533,1.0,0.045045,0.954955,0.0,0.0,0.18018,0.997005,0.0,0.0,0.0,0,0.009048,0,0.85,0.0,3.4305,0.0,0.019048,1.0,0.30762,0.188177,0.143224,0.233129,0.106689,115725.6904,559735.5639,green,jaune,standard_monitoring,watch_collect_data_and_confirm_supplier_status
271,SDC-VD0993480A,Supplier of Packaging - VD0993480A,M-1430,item:344135,0.0,0.0,0,0,0.0,0.0,35.0,35.0,37.0,38.0,2.0,1.0,0.0,0.0,0.0,0.0,6228000.0,6228000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.205314,0.373298,1.0,0.037879,0.962121,0.0,0.0,0.151515,0.849423,0.0,0.0,0.0,0,0.010857,0,0.789666,0.120668,3.9379,0.603339,0.022857,1.0,0.313807,0.192948,0.147005,0.238891,0.10301,20725.4775,63594.0759,green,jaune,standard_monitoring,watch_collect_data_and_confirm_supplier_status
271,SDC-VD0951020A,Supplier of Raw Materials - VD0951020A,M-1810,item:001757,0.0,0.0,0,0,0.0,0.0,84.0,84.0,87.0,87.0,3.0,1.0,0.0,0.0,0.0,0.0,31466.5876,31466.5876,,0.0,0.0,0.0,0.0,0.0,0.0,0.188388,0.342523,1.0,0.089066,0.910934,0.0,0.0,0.356265,0.504277,0.0,0.0,0.0,0,0.006786,0,0.788679,0.122643,3.9048,0.613214,0.014286,1.0,0.303561,0.185096,0.141382,0.22881,0.095744,113.8322,514.3854,green,jaune,standard_monitoring,watch_collect_data_and_confirm_supplier_status
271,SDC-VD0951020A,Supplier of Raw Materials - VD0951020A,M-1810,item:007923,0.0,0.0,0,0,0.0,0.0,3.0,3.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1983.3912,1983.3912,5135.7476,0.0,2.7034,0.0,3.316625,0.0,0.0,0.188388,0.342523,1.0,0.174095,0.825905,0.0,0.0,0.01638,0.367869,1.0,0.2,0.0,0,0.363333,0,0.748679,0.162643,4.1378,0.613214,0.133333,1.0,0.281802,0.169245,0.094578,0.243912,0.087545,15.8267,71.5179,green,vert,standard_monitoring,routine_monitoring
271,SDC-VD0901566A,Supplier of Packaging - VD0901566A,M-1810,item:338928,25000.0,25000.0,1,1,25000.0,25000.0,70.0,70.0,71.0,74.0,1.0,1.0,0.0,0.0,0.0,0.0,13898350.0,13898350.0,1506.4018,75000.0,64583.3333,-68750.0,0.621334,0.0,0.0,0.230483,0.41906,1.0,0.179428,0.820572,0.0,0.0,0.290745,0.924258,0.621334,0.135419,0.77655,1,0.189115,0,0.822916,0.027084,3.6178,0.0,0.005714,1.0,0.300288,0.18264,0.141155,0.224126,0.085255,37783.7443,174297.0855,green,jaune,standard_monitoring,watch_collect_data_and_confirm_supplier_status
271,SDC-VD0951020A,Supplier of Raw Materials - VD0951020A,M-1810,item:001848,0.0,0.0,0,0,0.0,0.0,56.0,56.0,71.2,73.1,15.2,1.0,0.0,0.0,0.0,0.0,9371.5234,9371.5234,,0.0,0.0,0.0,0.0,0.0,0.0,0.188388,0.342523,1.0,0.072891,0.927109,0.0,0.0,0.291564,0.0,0.0,0.0,0.0,0,0.071048,0,0.756217,0.122643,4.0466,0.613214,0.303341,0.675385,0.274092,0.163893,0.045025,0.282762,0.084777,25.7782,29.1217,green,vert,standard_monitoring,routine_monitoring
271,SDC-1450,Supplier of Raw Materials - D1450,SDC-1450,item:773474,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.364999,0.663634,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.048,0,0.645,0.0,4.8072,0.0,0.48,0.2,0.2418,0.14295,0.0,0.30775,0.083772,4591.2156,5595.6835,green,vert,standard_monitoring,routine_monitoring
271,SDC-1450,Supplier of Raw Materials - D1450,SDC-1450,item:693055,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.364999,0.663634,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.048,0,0.645,0.0,4.8072,0.0,0.48,0.2,0.2418,0.14295,0.0,0.30775,0.083772,860.8529,1049.1907,green,vert,standard_monitoring,routine_monitoring
271,SDC-VD0508918A,Supplier of Packaging - VD0508918A,M-1430,item:730384,0.0,0.0,0,0,0.0,0.0,56.0,56.0,57.0,57.0,1.0,1.0,0.0,0.0,0.0,0.0,2056824.0,2056824.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.188813,0.343297,1.0,0.058354,0.941646,0.0,0.0,0.233415,0.0,0.0,0.0,0.0,0,0.012901,0,0.775283,0.117743,3.8151,0.588713,0.10222,0.841538,0.254334,0.150802,0.084224,0.217379,0.077544,4389.597,4960.0168,green,vert,standard_monitoring,routine_monitoring
271,SDC-VD0951020A,Supplier of Raw Materials - VD0951020A,M-1430,item:001848,0.0,0.0,0,0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,9371.5234,9371.5234,,0.0,0.0,0.0,0.0,0.0,0.0,0.188388,0.342523,1.0,0.020475,0.979525,0.0,0.0,0.0819,0.0,0.0,0.0,0.0,0,0.022338,0,0.751448,0.122643,3.9817,0.613214,0.223385,0.627692,0.248328,0.146996,0.048916,0.245076,0.076036,8.9913,10.1575,green,vert,standard_monitoring,routine_monitoring
271,SDC-VD0520132A,Supplier of Raw Materials - VD0520132A,M-1430,item:038005,0.0,0.0,0,0,0.0,0.0,161.0,161.0,174.0,174.8,13.0,1.0,0.0,0.0,0.0,0.0,433874.5697,433874.5697,,0.0,0.0,0.0,0.0,0.0,0.0,0.211994,0.385444,1.0,0.178133,0.821867,0.0,0.0,0.712531,0.0,0.0,0.0,0.0,0,0.025034,0,0.833846,0.0,3.3749,0.0,0.129221,0.838462,0.261405,0.155385,0.081788,0.228983,0.069986,346.1871,395.7304,green,vert,standard_monitoring,routine_monitoring
271,SDC-VD0520115A,Supplier of Packaging - VD0520115A,M-1430,item:708073,0.0,0.0,0,0,0.0,0.0,27.0,27.0,28.0,28.4,1.0,1.0,0.0,0.0,0.0,0.0,42742.7,42742.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.154592,0.281077,1.0,0.028665,0.971335,0.0,0.0,0.11466,0.0,0.0,0.0,0.0,0,0.014422,0,0.775885,0.123615,3.7415,0.618077,0.088661,0.876923,0.23715,0.140125,0.077074,0.203177,0.067518,101.1173,112.1947,green,vert,standard_monitoring,routine_monitoring
271,SDC-VD0520132A,Supplier of Raw Materials - VD0520132A,M-1810,item:049371,0.0,0.0,0,0,0.0,0.0,147.0,147.0,147.0,147.0,0.0,1.0,0.0,0.0,0.0,0.0,47089.0127,47089.0127,,0.0,0.0,0.0,0.0,0.0,0.0,0.211994,0.385444,1.0,0.150491,0.849509,0.0,0.0,0.601966,0.0,0.0,0.0,0.0,0,0.010154,0,0.833077,0.0,3.3301,0.0,0.101538,0.830769,0.248688,0.147221,0.080821,0.213621,0.066309,20.9919,23.9961,green,vert,standard_monitoring,routine_monitoring
271,SDC-VD1095770A,Supplier of Packaging - VD1095770A,M-1430,item:734545,0.0,0.0,0,0,0.0,0.0,21.0,21.0,21.0,22.6,0.0,1.0,0.0,0.0,0.0,0.0,34496.0,34496.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.153965,0.279937,1.0,0.021499,0.978501,0.0,0.0,0.085995,0.0,0.0,0.0,0.0,0,0.006,0,0.791407,0.097186,3.5562,0.485932,0.06,0.9,0.221867,0.131169,0.075569,0.186769,0.060809,91.1524,101.1029,green,vert,standard_monitoring,routine_monitoring
271,SDC-VD0914690A,Supplier of Raw Materials - VD0914690A,M-1430,item:042342,0.0,0.0,0,0,0.0,0.0,21.0,21.0,23.9,40.15,2.9,1.0,0.0,0.0,0.0,0.0,192772824.0,192772824.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.239774,0.435953,1.0,0.024468,0.975532,0.0,0.0,0.097871,0.0,0.0,0.0,0.0,0,0.03593,0,0.833846,0.0,3.1567,0.0,0.152161,0.838462,0.206872,0.122858,0.043296,0.20242,0.058361,739179.604,856145.6926,green,vert,standard_monitoring,routine_monitoring
271,SDC-VD0989480A,Supplier of Packaging - VD0989480A,M-1810,item:426331,0.0,0.0,0,0,0.0,0.0,28.0,28.0,30.0,30.0,2.0,1.0,0.0,0.0,0.0,0.0,79831.65,79831.65,,0.0,0.0,0.0,0.0,0.0,0.0,0.162739,0.295889,1.0,0.030713,0.969287,0.0,0.0,0.12285,0.0,0.0,0.0,0.0,0,0.022802,0,0.834615,0.0,3.0914,0.0,0.120879,0.846154,0.192086,0.11511,0.043682,0.186539,0.046821,207.8507,231.6525,green,vert,standard_monitoring,routine_monitoring
271,SDC-VD0505677A,Supplier of Raw Materials - VD0505677A,M-1810,item:099439,0.0,0.0,0,0,0.0,0.0,35.0,35.0,35.3,36.65,0.3,1.0,0.0,0.0,0.0,0.0,17354.673,17354.673,,0.0,0.0,0.0,0.0,0.0,0.0,0.147429,0.268053,1.0,0.036138,0.963862,0.0,0.0,0.144554,0.0,0.0,0.0,0.0,0,0.010859,0,0.834615,0.0,3.0818,0.0,0.095736,0.846154,0.189685,0.113894,0.049002,0.178785,0.04478,40.3585,44.6012,green,vert,standard_monitoring,routine_monitoring
271,SDC-VD0514881A,Supplier of Raw Materials - VD0514881A,M-1810,item:016332,0.0,0.0,0,0,0.0,0.0,49.0,49.0,49.0,49.0,0.0,1.0,0.0,0.0,0.0,0.0,6853.6938,6853.6938,,0.0,0.0,0.0,0.0,0.0,0.0,0.135702,0.246731,1.0,0.050164,0.949836,0.0,0.0,0.200655,0.0,0.0,0.0,0.0,0,0.009231,0,0.834615,0.0,3.0941,0.0,0.092308,0.846154,0.192744,0.115446,0.051446,0.179446,0.044191,11.6652,12.8056,green,vert,standard_monitoring,routine_monitoring
271,SDC-VD1096202A,Supplier of Raw Materials - VD1096202A,M-1810,item:039668,0.0,0.0,0,0,0.0,0.0,35.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,518.7889,518.7889,,0.0,0.0,0.0,0.0,0.0,0.0,0.110462,0.20084,1.0,0.035831,0.964169,0.0,0.0,0.143325,0.0,0.0,0.0,0.0,0,0.020677,0,0.815538,0.0,3.231,0.0,0.206769,0.655385,0.188831,0.113463,0.019703,0.207223,0.040893,0.8338,0.9017,green,vert,standard_monitoring,routine_monitoring
271,SDC-VD0960508A,Supplier of Raw Materials - VD0960508A,SDC-1450,item:021081,0.0,0.0,0,0,0.0,0.0,232.0,232.0,243.0,245.0,11.0,1.0,0.0,0.0,0.0,0.0,41794.8718,41794.8718,,0.0,0.0,0.0,0.0,0.0,0.0,0.129696,0.23581,0.0,0.248771,0.751229,0.0,0.0,0.995086,0.0,0.0,0.0,0.0,0,0.020824,0,0.980308,0.0,1.6922,0.0,0.137119,0.803077,0.133675,0.088537,0.012886,0.164188,0.033419,603.064,659.7107,green,vert,standard_monitoring,routine_monitoring
