category,delta::kpi::avg_inventory,delta::kpi::cost_share_holding,delta::kpi::cost_share_purchase,delta::kpi::cost_share_transport,delta::kpi::ending_backlog,delta::kpi::ending_inventory,delta::kpi::fill_rate,delta::kpi::total_arrived,delta::kpi::total_cost,delta::kpi::total_demand,delta::kpi::total_external_procured_arrived_qty,delta::kpi::total_external_procured_ordered_qty,delta::kpi::total_external_procured_qty,delta::kpi::total_external_procured_rejected_qty,delta::kpi::total_external_procurement_cost,delta::kpi::total_holding_cost,delta::kpi::total_logistics_cost,delta::kpi::total_opening_stock_bootstrap_qty,delta::kpi::total_produced,delta::kpi::total_purchase_cost,delta::kpi::total_served,delta::kpi::total_shipped,delta::kpi::total_transport_cost,delta::kpi::total_unreliable_loss_qty,delta_pct::kpi::avg_inventory,delta_pct::kpi::cost_share_holding,delta_pct::kpi::cost_share_purchase,delta_pct::kpi::cost_share_transport,delta_pct::kpi::ending_backlog,delta_pct::kpi::ending_inventory,delta_pct::kpi::fill_rate,delta_pct::kpi::total_arrived,delta_pct::kpi::total_cost,delta_pct::kpi::total_demand,delta_pct::kpi::total_external_procured_arrived_qty,delta_pct::kpi::total_external_procured_ordered_qty,delta_pct::kpi::total_external_procured_qty,delta_pct::kpi::total_external_procured_rejected_qty,delta_pct::kpi::total_external_procurement_cost,delta_pct::kpi::total_holding_cost,delta_pct::kpi::total_logistics_cost,delta_pct::kpi::total_opening_stock_bootstrap_qty,delta_pct::kpi::total_produced,delta_pct::kpi::total_purchase_cost,delta_pct::kpi::total_served,delta_pct::kpi::total_shipped,delta_pct::kpi::total_transport_cost,delta_pct::kpi::total_unreliable_loss_qty,description,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,scenario_id
reference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,Reference run with current parameters.,22701.7116,0.75786,0.10459,0.137549,81.8736,14655.5045,0.945418,37280.0003,28723.7188,1500.0,49149.966,53342.633,53342.633,19998.7226,3999.8027,21768.5663,25719.4932,29870.366,1425.1456,3004.2256,1418.1264,55453.5434,3950.9269,0.0,baseline
inventory_policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,Lower safety stock policy (x0.5).,22701.7116,0.75786,0.10459,0.137549,81.8736,14655.5045,0.945418,37280.0003,28723.7188,1500.0,49149.966,53342.633,53342.633,19998.7226,3999.8027,21768.5663,25719.4932,29870.366,1425.1456,3004.2256,1418.1264,55453.5434,3950.9269,0.0,safety_stock_low
inventory_policy,436.8000000000029,5.000000000032756e-06,-1.000000000001e-06,-2.000000000002e-06,0.0,436.8000000000011,0.0,0.0,0.524199999999837,0.0,0.0,0.0,0.0,0.0,0.0,0.5241000000023632,0.524199999999837,436.7999999999993,0.0,0.0,0.0,0.0,0.0,0.0,1.9240839972612591,0.0006597524608810013,-0.0009561143512773688,-0.0014540272920937267,0.0,2.980450110059337,0.0,0.0,0.0018249726076549565,0.0,0.0,0.0,0.0,0.0,0.0,0.002407599989726302,0.0020381428044617808,1.4623188748340052,0.0,0.0,0.0,0.0,0.0,nan,Higher safety stock policy (x2.0).,23138.5116,0.757865,0.104589,0.137547,81.8736,15092.3045,0.945418,37280.0003,28724.243,1500.0,49149.966,53342.633,53342.633,19998.7226,3999.8027,21769.0904,25720.0174,30307.166,1425.1456,3004.2256,1418.1264,55453.5434,3950.9269,0.0,safety_stock_high
inventory_policy,14.213800000001356,0.025424000000000002,-0.013464000000000004,-0.011958999999999997,270.99719999999996,-851.7089999999989,-0.18066499999999996,-7925.4535,-1004.2855999999992,0.0,-7962.4139,-4761.3266,-4761.3266,-7319.5205000000005,-492.8932,-56.36539999999877,-526.0107000000025,1866.8979,-113.42660000000001,-478.27490000000034,-270.9972,-8563.927000000003,-469.64530000000013,0.0,0.06261113809586656,3.354709313065738,-12.873123625585622,-8.694356193065742,330.9946063199859,-5.811529722501187,-19.10953673401606,-21.259263509179746,-3.4963634304900633,0.0,-16.20024294625148,-8.9259309715739,-8.9259309715739,-36.59994013817663,-12.32293782890841,-0.2589302355663119,-2.045182989842127,6.25000008369499,-7.958948194486233,-15.920072713580508,-19.109523664463197,-15.443426109358422,-11.886965056225165,nan,Replenishment reviewed every 2 days.,22715.9254,0.783284,0.091126,0.12559,352.8708,13803.7955,0.764753,29354.5468,27719.4332,1500.0,41187.5521,48581.3064,48581.3064,12679.2021,3506.9095,21712.2009,25193.4825,31737.2639,1311.719,2525.9507,1147.1292,46889.6164,3481.2816,0.0,review_period_2d
inventory_policy,11934.178900000003,0.18559100000000006,-0.080585,-0.10500500000000001,610.035,5763.914500000003,-0.40669,-32517.6751,6542.632300000001,0.0,-37330.3412,-37823.172300000006,-37823.172300000006,8459.684399999998,-2924.866,11503.490700000002,8700.278600000001,11232.1872,-625.7824,-2157.6463000000003,-610.0350000000001,-39725.4507,-2803.2120999999997,0.0,52.56951154290941,24.488823793312758,-77.04847499760972,-76.34006790307456,745.0936565632878,39.32934891460068,-43.0169512321534,-87.22552263498775,22.777803757081767,0.0,-75.95191663001354,-70.90608425722068,-70.90608425722068,42.301123772775355,-73.12525690329676,52.84450313110424,33.82756624457904,37.6031120609637,-43.910067855522975,-71.82038193137026,-43.01696943234398,-71.63735311457121,-70.9507457604442,nan,Replenishment reviewed weekly (7 days).,34635.8905,0.943451,0.024005,0.032544,691.9086,20419.419,0.538728,4762.3252,35266.3511,1500.0,11819.6248,15519.4607,15519.4607,28458.407,1074.9367,33272.057,34419.7718,41102.5532,799.3632,846.5793,808.0914,15728.0927,1147.7148,0.0,review_period_7d
supplier_risk,-95.92459999999846,-0.004724999999999979,0.0022230000000000028,0.0025030000000000052,114.6878,327.1587000000018,-0.07645899999999994,247.36480000000302,184.912900000003,0.0,1991.948599999996,3182.7342999999964,3182.7342999999964,675.9981000000007,216.58399999999983,3.533500000001368,101.30909999999858,0.0,0.0,83.60379999999986,-114.68780000000015,-847.1768000000011,97.77559999999994,2874.0193,-0.42254347024652744,-0.623466075528459,2.1254422028874678,1.8197151560534828,140.0790975357136,2.2323264272478767,-8.087322221493556,0.6635321835016268,0.6437637872990283,0.0,4.052797513634081,5.966586426283075,5.966586426283075,3.380206393782374,5.414867088319126,0.016232120899948143,0.3939000633185049,0.0,0.0,2.7828735631571697,-8.087276282283451,-1.5277234745652,2.4747509249032156,nan,Supplier reliability reduced to ~95%.,22605.787,0.753135,0.106813,0.140052,196.5614,14982.6632,0.868959,37527.3651,28908.6317,1500.0,51141.9146,56525.3673,56525.3673,20674.7207,4216.3867,21772.0998,25820.8023,29870.366,1425.1456,3087.8294,1303.4386,54606.3666,4048.7025,2874.0193,supplier_reliability_95
supplier_risk,-621.284599999999,-0.020499999999999963,0.009551000000000004,0.010950999999999989,307.7271,3212.8644999999997,-0.205152,3160.326399999998,100.35699999999997,0.0,7070.662700000001,10036.381199999996,10036.381199999996,2837.3754999999983,707.7044999999998,-514.8518000000004,-185.4164000000019,0.0,0.0,285.7733999999996,-307.72710000000006,-2091.0576,329.43539999999985,9416.9093,-2.7367302120074464,-2.7049850895943797,9.131848169041021,7.96152643785123,375.85631998592953,21.922578646132585,-21.69960800407862,8.477270318047712,0.34938721096239106,0.0,14.385895404281666,18.81493401347473,18.81493401347473,14.187783673743231,17.693485231159023,-2.3651157954302224,-0.7209177823146293,0.0,0.0,9.512381493586886,-21.699553721022333,-3.7708277447965575,8.338180086298227,nan,Supplier reliability reduced to ~85%.,22080.427,0.73736,0.114141,0.1485,389.6007,17868.369,0.740266,40440.3267,28824.0758,1500.0,56220.6287,63379.0142,63379.0142,22836.0981,4707.5072,21253.7145,25534.0768,29870.366,1425.1456,3289.999,1110.3993,53362.4858,4280.3623,9416.9093,supplier_reliability_85
supplier_risk,2988.4314000000013,0.02427299999999999,-0.010498000000000007,-0.01377500000000001,40.7089,7920.6473000000005,-0.027139999999999942,2307.5448000000033,3207.7296000000024,0.0,0.0,0.0,0.0,0.0,0.0,3206.0763000000006,3207.4465999999993,5600.693599999999,0.0,0.2829999999999018,-40.708900000000085,28.300100000000384,1.3701999999998407,0.0,13.16390346532286,3.202834296571925,-10.037288459699786,-10.014612974285534,49.72164409528835,54.04554513971185,-2.870687886204826,6.189766044610261,11.167528906459015,0.0,0.0,0.0,0.0,0.0,0.0,14.728008523005032,12.470877925386178,18.749999916305004,0.0,0.009420064857975438,-2.8706115336404485,0.05103388938713046,0.03468046953741009,nan,Lead time increased by +20%.,25690.143,0.782133,0.094092,0.123774,122.5825,22576.1518,0.918278,39587.5451,31931.4484,1500.0,49149.966,53342.633,53342.633,19998.7226,3999.8027,24974.6426,28926.9398,35471.0596,1425.1456,3004.5086,1377.4175,55481.8435,3952.2971,0.0,lead_time_plus_20pct
supplier_risk,7212.332400000003,0.05003100000000005,-0.021581000000000003,-0.028450000000000003,155.9712,9422.412500000002,-0.10398099999999999,-2005.1857999999993,7459.1888,0.0,0.0,0.0,0.0,0.0,0.0,7463.2919,7459.891200000002,11201.387199999997,0.0,-0.7024000000001251,-155.97120000000018,-70.23990000000049,-3.4007000000001426,0.0,31.769993941778395,6.601615074024232,-20.633903814896264,-20.68353823001258,190.50243301870202,64.2926519520362,-10.998415515676662,-5.378717231394441,25.96874329517528,0.0,0.0,0.0,0.0,0.0,0.0,34.28471952238766,29.004814138406125,37.49999983261001,0.0,-0.02338040125881775,-10.998399014361496,-0.12666440355910688,-0.08607347303743187,nan,Lead time increased by +40%.,29914.044,0.807891,0.083009,0.109099,237.8448,24077.917,0.841437,35274.8145,36182.9076,1500.0,49149.966,53342.633,53342.633,19998.7226,3999.8027,29231.8582,33179.3844,41071.7532,1425.1456,3003.5232,1262.1552,55383.3035,3947.5262,0.0,lead_time_plus_40pct
production_risk,-2262.4651999999987,0.0034770000000000634,-7.500000000000562e-05,-0.003401000000000015,30.5334,-707.347099999999,-0.02035599999999993,-4430.093000000001,-3300.1918000000005,0.0,-5575.4326,-8843.064400000003,-8843.064400000003,-1331.3840999999993,-604.0141000000003,-2412.690699999999,-2953.1055000000015,-4334.5288,-108.82040000000006,-347.0863000000004,-30.53340000000003,-5849.574100000005,-540.4148,0.0,-9.966055599085308,0.458791861293651,-0.07170857634573632,-2.47257341020292,37.29333997772176,-4.826494372813976,-2.1531216879729316,-11.883296578192358,-11.48943081840782,0.0,-11.3437160872095,-16.57785509013026,-16.57785509013026,-6.657345704670154,-15.10109736162737,-11.083369785358805,-11.48197391385613,-14.51113387763645,-7.635739113252714,-11.553270167193848,-2.1530802895990107,-10.548602923000958,-13.678177644845821,nan,Capacity degradation on M-1430 (-15%).,20439.2464,0.761337,0.104515,0.134148,112.407,13948.1574,0.925062,32849.9073,25423.527,1500.0,43574.5334,44499.5686,44499.5686,18667.3385,3395.7886,19355.8756,22766.3877,25535.8372,1316.3252,2657.1393,1387.593,49603.9693,3410.5121,0.0,capacity_m1430_minus_15pct
