active_days,avg_capacity_utilization,avg_stock_end_of_day,capacity_metric_mode,dest_nodes_count,destinations_preview,first_shipment_day,initial_stock_total,items_supplied_count,last_shipment_day,local_criticality_score,max_capacity_utilization,min_stock_end_of_day,observed_sourcing_share,overall_criticality_score,rank,shared_source_pairs,shortage_supported_events,shortage_supported_qty,sole_source_pairs,standard_backlog_impact,standard_best_driver,standard_fill_impact,structural_backlog_impact,structural_best_driver,structural_fill_impact,supplier_id,supplier_name,system_criticality_score,target_sourcing_share,top_items_preview,total_shipped_qty
365,0.19207,968895.1096,explicit_capacity,2,"M-1430, M-1810",0,3540.0,3,364,0.758201,1.0,0.0,1.0,0.63995,1,0,0,0.0,3,731.4689,capacite process locale,0.959867,0.0,,0.0,SDC-1450,Supplier of Raw Materials - D1450,0.495421,1.0,"007923, 693055, 773474",120065.0704
365,0.852186,36182.9851,sourcing_share,1,M-1430,0,180.0,1,364,0.633333,1.0,4714.2188,1.0,0.571209,2,0,0,0.0,1,728.5,stock fournisseur local,0.959867,0.0,,0.0,SDC-VD0914690A,Supplier of Raw Materials - VD0914690A,0.495279,1.0,042342,586539.3255
365,0.726944,978.1255,sourcing_share,1,M-1430,0,180.0,1,364,0.530979,1.0,0.0,1.0,0.514914,3,0,0,0.0,1,728.5,stock fournisseur local,0.959867,0.0,,0.0,SDC-VD0525412A,Supplier of Packaging - VD0525412A,0.495279,1.0,333362,12060.659
365,1.0,73.2812,sourcing_share,1,M-1810,0,180.0,1,364,0.529509,1.0,73.2812,1.0,0.514105,4,0,0,0.0,1,728.5,stock fournisseur local,0.959867,0.0,,0.0,SDC-VD0901566A,Supplier of Packaging - VD0901566A,0.495279,1.0,338928,11406.25
365,1.0,73.2812,sourcing_share,1,M-1430,0,180.0,1,364,0.529509,1.0,73.2812,1.0,0.514105,5,0,0,0.0,1,728.5,stock fournisseur local,0.959867,0.0,,0.0,SDC-VD0993480A,Supplier of Packaging - VD0993480A,0.495279,1.0,344135,11406.25
365,0.367069,2275.6164,sourcing_share,1,M-1810,0,180.0,1,364,0.522373,0.44854,2245.8737,1.0,0.51018,6,0,0,0.0,1,728.5,stock fournisseur local,0.959867,0.0,,0.0,SDC-VD0914360C,Supplier of Packaging - VD0914360C,0.495279,1.0,338929,8700.0
365,0.006614,175.018,sourcing_share,2,"M-1430, M-1810",0,360.0,2,364,0.501424,0.014373,170.3032,1.0,0.500783,7,0,0,0.0,2,797.5,lead time sortant local,0.962811,0.0,,0.0,SDC-VD0520132A,Supplier of Raw Materials - VD0520132A,0.5,1.0,"038005, 049371",165.3118
365,0.206854,482.4307,sourcing_share,1,M-1430,0,180.0,1,364,0.481508,0.252766,476.1252,1.0,0.487705,8,0,0,0.0,1,728.5,stock fournisseur local,0.959867,0.0,,0.0,SDC-VD0508918A,Supplier of Packaging - VD0508918A,0.495279,1.0,730384,1844.4
365,0.010733,174.2318,sourcing_share,1,M-1810,0,180.0,1,364,0.403802,0.013115,173.9046,1.0,0.444967,9,0,0,0.0,1,728.5,stock fournisseur local,0.959867,0.0,,0.0,SDC-VD0989480A,Supplier of Packaging - VD0989480A,0.495279,1.0,426331,95.7
365,0.007806,175.9956,sourcing_share,1,M-1430,0,180.0,1,364,0.395512,0.009538,175.7936,1.0,0.440407,10,0,0,0.0,1,728.5,stock fournisseur local,0.959867,0.0,,0.0,SDC-VD1095770A,Supplier of Packaging - VD1095770A,0.495279,1.0,734545,69.6
365,0.007738,175.8416,sourcing_share,1,M-1430,0,180.0,1,364,0.395284,0.009455,175.6058,1.0,0.440282,11,0,0,0.0,1,728.5,stock fournisseur local,0.959867,0.0,,0.0,SDC-VD0520115A,Supplier of Packaging - VD0520115A,0.495279,1.0,708073,68.9911
365,0.00027,125126.7694,sourcing_share,1,SDC-1450,0,180.0,1,364,0.366387,0.00027,125126.7694,0.7,0.424452,12,1,0,0.0,0,731.4689,lead time sortant local,0.959867,0.0,,0.0,SDC-VD0949099A,Supplier of Raw Materials - VD0949099A,0.495421,0.7,021081,551.3256
365,0.000738,210.6342,sourcing_share,1,M-1810,0,180.0,1,364,0.360449,0.000901,201.8571,1.0,0.421122,13,0,0,0.0,1,728.5,stock fournisseur local,0.959867,0.0,,0.0,SDC-VD0505677A,Supplier of Raw Materials - VD0505677A,0.495279,1.0,099439,17.6608
365,0.000867,203.5425,sourcing_share,1,M-1810,0,360.0,2,364,0.359945,0.001936,179.1001,0.700001,0.420846,14,1,0,0.0,1,728.5,stock fournisseur local,0.959867,0.0,,0.0,SDC-VD0951020A,Supplier of Raw Materials - VD0951020A,0.495279,0.700003,"001757, 001848",17.3077
365,0.000436,193.8594,sourcing_share,1,M-1810,0,360.0,2,364,0.340553,0.001017,181.705,0.709679,0.41018,15,1,0,0.0,1,728.5,stock fournisseur local,0.959867,0.0,,0.0,SDC-VD0519670A,Supplier of Raw Materials - VD0519670A,0.495279,0.709675,"001848, 029313",7.7707
