component,count_dist,mean_dist,median_dist,max_dist,count_arr,mean_arr,median_arr,max_arr
titane fibre de carbone,3,3284.3851237208078,0.0,9853.155371162424,5,21.6964,21.692,23.852
copolymere lexan fst simapro: extrusion et thermoformage,9,2285.221488120371,0.0,5141.748348270835,5,24.636000000000003,24.776,25.521
35NC6 (nickel-chrome),13,791.0382074262823,0.0,5141.748348270835,5,31.2438,31.799,33.676
Clavier,15,2737.3025018461058,0.0,6843.256254615264,5,34.0176,33.999,36.101
