day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,estimated_source_ordered_qty,estimated_source_arrived_qty,estimated_source_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,0.0,40.0,554.1983,9596832.4703,379620.4051,227.4023,22.0504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,47.5,0.0,87.5,0.0,86.228,448.9037,9594658.4806,379556.8112,176.7952,27.8748,0.0,0.0,0.0,336.1499,0.0,0.0,0.0
2,52.5,0.0,140.0,178.064,137.6902,536.8862,9592419.3529,379486.0052,225.627,35.9619,0.0,0.0,0.0,190.2971,0.0,0.0,0.0
3,60.0,0.0,200.0,105.2288,188.1764,590.2542,9589827.6039,379405.4386,244.6453,44.1542,0.0,0.0,0.0,212.1974,0.0,0.0,0.0
4,55.0,18.432,236.568,163.049,226.8583,592.1857,9587412.5335,379328.4258,256.6939,47.6193,0.0,0.0,0.0,241.6683,0.0,0.0,0.0
5,50.0,39.6288,246.9392,310.8393,252.3178,547.5471,9585371.7923,379257.6413,241.3409,48.5878,0.0,0.0,0.0,231.351,0.0,0.0,0.0
6,45.0,48.0338,243.9054,274.8864,264.5931,463.7373,9583577.1738,379195.2971,209.5539,41.5646,0.0,0.0,0.0,212.9748,0.0,0.0,0.0
7,40.0,47.1859,236.7195,339.8934,265.8641,345.2583,9582167.1002,379141.5944,153.6327,32.6677,0.0,0.0,0.0,150.9647,0.0,0.0,0.0
8,47.5,51.2852,232.9343,143.3898,268.6748,448.8719,9580324.0299,379081.3879,213.1392,34.027,0.0,0.0,0.0,86.4553,67.6667,0.0,0.0
9,52.5,0.0,285.4343,186.4675,275.2644,441.8396,9578404.5334,379014.6922,195.9437,34.6932,0.0,0.0,0.0,96.6698,77.8167,0.0,0.0
10,60.0,111.9696,233.4647,195.1993,289.3214,453.5588,9576119.6425,378938.8997,187.2152,36.3701,0.0,0.0,0.0,106.9133,86.6133,0.0,0.0
11,55.0,42.6018,245.8629,87.0009,300.5004,476.1528,9573896.6506,378866.471,210.36,37.811,0.0,0.0,0.0,121.2972,98.5227,0.0,0.0
12,50.0,21.3116,274.5513,420.1346,305.7334,499.4976,9572180.6339,378799.9165,238.5101,38.6028,0.0,0.0,0.0,116.1075,94.1379,0.0,0.0
13,45.0,71.769,247.7823,455.3447,303.2807,384.1545,9570750.47,378739.7316,170.6136,37.1657,0.0,0.0,0.0,106.9531,86.4942,0.0,0.0
14,40.0,50.4575,237.3248,184.8721,293.8687,371.1525,9569261.0829,378686.0103,173.6213,35.9905,0.0,0.0,0.0,96.9452,78.1988,0.0,0.0
15,47.5,0.0,284.8248,290.0504,288.9419,405.2933,9567683.5449,378632.5312,184.2503,35.8085,0.0,0.0,0.0,86.7161,69.7731,0.0,0.0
16,52.5,23.5607,313.7641,466.5944,289.9306,418.3747,9566060.0136,378565.8366,180.653,36.0631,0.0,0.0,0.0,96.8586,78.238,0.0,0.0
17,60.0,49.2042,324.5599,448.8485,299.9341,510.8976,9564042.4114,378490.0581,232.8622,38.1046,0.0,0.0,0.0,107.0498,86.6976,0.0,0.0
18,55.0,65.9502,313.6096,451.8949,308.18,443.613,9562202.4884,378417.6593,194.5682,38.3257,0.0,0.0,0.0,112.0483,98.5395,0.0,0.0
19,50.0,44.9169,318.6928,388.947,311.2903,388.2529,9560553.0694,378352.3224,167.3016,38.0983,0.0,0.0,0.0,104.4114,94.1412,0.0,0.0
20,45.0,40.3173,323.3754,642.5829,307.3018,398.201,9559330.9495,378292.1514,185.9063,37.7461,0.0,0.0,0.0,96.1929,86.4949,0.0,0.0
21,40.0,0.0,363.3754,351.8961,296.7784,551.7797,9558044.9599,378238.4631,266.3064,38.1151,0.0,0.0,0.0,87.2078,249.3846,0.0,0.0
22,47.5,73.7967,337.0788,126.6795,291.0473,489.7966,9556241.8279,378178.4852,222.9036,48.8913,0.0,0.0,0.0,249.0216,167.2842,0.0,0.0
23,52.5,0.0,389.5788,636.2069,291.4541,551.9245,9554786.3698,378112.0976,250.125,51.3738,0.0,0.0,0.0,178.8901,190.7425,0.0,0.0
24,60.0,74.0182,375.5606,801.1387,301.0365,601.5874,9553128.4846,378037.6711,264.9535,54.5016,0.0,0.0,0.0,201.7873,212.3143,0.0,0.0
25,55.0,85.1684,345.3922,382.596,308.9777,597.8431,9551183.3125,377965.6594,264.7597,57.4381,0.0,0.0,0.0,226.5822,241.6732,0.0,0.0
26,50.0,21.3116,374.0806,248.356,311.8676,551.1679,9549384.9688,377899.4794,245.1736,56.4953,0.0,0.0,0.0,238.0675,231.3334,0.0,0.0
27,45.0,25.6435,393.4371,579.553,307.7195,513.0924,9548121.6861,377840.0957,233.2402,54.2891,0.0,0.0,0.0,223.8989,212.9527,0.0,0.0
28,40.0,68.5434,364.8937,453.9405,297.0806,427.6779,9546900.3268,377786.7556,198.9097,44.7427,0.0,0.0,0.0,204.5434,150.9418,0.0,0.0
29,47.5,42.5665,369.8273,254.3773,291.2661,425.8116,9545242.1849,377726.892,199.2556,36.2679,0.0,0.0,0.0,142.1792,86.4785,0.0,0.0
30,47.5,25.6435,391.6837,505.2341,287.6124,414.0243,9543831.7118,377665.7458,187.789,35.7535,0.0,0.0,0.0,95.8221,96.693,0.0,0.0
31,47.5,97.3467,341.837,196.7572,286.3283,392.0011,9542065.1828,377604.4328,171.322,35.3934,0.0,0.0,0.0,98.6722,106.9457,0.0,0.0
32,47.5,67.1483,322.1887,293.0485,286.0162,394.1823,9540435.3422,377545.0053,171.9267,35.3812,0.0,0.0,0.0,100.0829,121.2851,0.0,0.0
33,47.5,0.0,369.6887,351.4711,286.0092,412.2595,9538906.7248,377484.7164,184.7775,35.5612,0.0,0.0,0.0,101.6333,116.0865,0.0,0.0
34,47.5,43.0843,374.1044,211.9496,286.0743,458.4232,9537138.2604,377423.2922,217.4064,36.03,0.0,0.0,0.0,101.0981,106.9303,0.0,0.0
35,47.5,40.3173,381.2871,466.1867,286.1427,370.0447,9535708.908,377362.8153,156.4812,35.1537,0.0,0.0,0.0,100.1458,96.9221,0.0,0.0
36,47.5,65.521,363.266,310.7719,286.1985,412.8058,9534044.2643,377301.333,186.7981,35.5874,0.0,0.0,0.0,99.11,86.7393,0.0,0.0
37,47.5,0.0,410.766,491.8961,286.2407,435.713,9532612.5879,377239.8856,202.1707,35.8211,0.0,0.0,0.0,98.0574,96.8818,0.0,0.0
38,47.5,43.7528,414.5133,622.4218,286.2717,392.9541,9531315.6895,377179.2624,171.859,35.3969,0.0,0.0,0.0,99.116,100.3157,0.0,0.0
39,47.5,43.775,418.2382,527.5901,286.2943,429.1777,9529879.6773,377125.5368,201.2765,35.7616,0.0,0.0,0.0,100.1737,93.7662,0.0,0.0
40,47.5,0.0,465.7382,572.8215,286.3107,404.4389,9528555.2774,377067.3553,185.658,35.516,0.0,0.0,0.0,92.3064,90.5864,0.0,0.0
41,47.5,65.6592,447.579,824.9295,286.3226,404.4391,9527416.7777,377007.9313,185.6589,35.5173,0.0,0.0,0.0,89.3369,90.0261,0.0,0.0
42,47.5,65.6631,429.416,289.2138,286.3312,568.5991,9525741.8798,376947.4019,262.0104,37.1598,0.0,0.0,0.0,89.337,260.3391,0.0,0.0
43,47.5,87.552,389.364,660.3035,286.3374,426.3272,9524392.6754,376887.3643,200.8875,35.7378,0.0,0.0,0.0,260.3371,88.6257,0.0,0.0
44,47.5,0.0,436.864,352.5824,286.3419,492.5592,9522846.7184,376825.9118,221.4417,48.408,0.0,0.0,0.0,89.3371,181.0295,0.0,0.0
45,47.5,87.552,396.812,700.6007,286.3452,505.7773,9521561.909,376764.5825,226.8092,50.3416,0.0,0.0,0.0,181.1288,195.4763,0.0,0.0
46,47.5,21.888,422.424,196.8418,286.3475,473.4569,9519885.5826,376703.9953,201.006,51.5797,0.0,0.0,0.0,194.8976,208.3848,0.0,0.0
47,47.5,65.664,404.26,464.9879,286.3492,532.742,9518387.7473,376643.6363,237.7586,54.286,0.0,0.0,0.0,206.8305,224.2594,0.0,0.0
48,47.5,65.664,386.096,486.0901,286.3505,527.0318,9516910.4394,376584.9294,235.44,53.451,0.0,0.0,0.0,222.9859,217.7354,0.0,0.0
49,47.5,43.776,389.82,659.7115,286.3514,538.9658,9515605.1507,376526.1935,246.6257,52.214,0.0,0.0,0.0,217.0378,206.6755,0.0,0.0
50,47.5,0.0,437.32,305.8767,286.352,487.916,9513989.0888,376468.0167,224.8002,44.1908,0.0,0.0,0.0,206.669,152.7835,0.0,0.0
51,47.5,109.44,375.38,286.6663,286.3525,434.7001,9512244.9696,376407.8001,202.0408,35.8232,0.0,0.0,0.0,153.4921,97.9429,0.0,0.0
52,47.5,21.888,400.992,258.4131,286.3528,370.0519,9510628.6448,376346.615,156.4981,35.1767,0.0,0.0,0.0,98.0589,99.0964,0.0,0.0
53,47.5,21.888,426.604,379.8618,286.3531,414.843,9509088.1829,376285.3818,187.0928,35.6247,0.0,0.0,0.0,99.117,100.1678,0.0,0.0
54,47.5,0.0,474.104,201.0288,286.3532,416.2641,9507390.7785,376223.9513,187.2884,35.6389,0.0,0.0,0.0,100.1745,101.6503,0.0,0.0
55,47.5,43.776,477.828,176.6398,286.3534,415.7363,9505625.2101,376162.5017,187.2157,35.6336,0.0,0.0,0.0,101.6547,101.1015,0.0,0.0
56,47.5,43.776,481.552,420.8991,286.3535,371.0427,9504149.502,376103.3862,156.6345,35.1867,0.0,0.0,0.0,101.1049,100.1465,0.0,0.0
57,47.5,43.776,485.276,648.43,286.3535,435.7112,9502832.9256,376041.9457,202.18,35.8334,0.0,0.0,0.0,100.1491,99.1102,0.0,0.0
58,47.5,0.0,532.776,92.1298,286.3536,456.5881,9500981.0255,375980.5003,217.2684,36.0422,0.0,0.0,0.0,99.1121,98.0575,0.0,0.0
59,47.5,131.328,448.948,345.7857,286.3536,413.8279,9499297.0537,375919.607,186.9532,35.6146,0.0,0.0,0.0,98.0589,99.116,0.0,0.0
60,47.5,87.552,408.896,361.7488,286.3536,392.955,9497695.6213,375858.9036,171.8654,35.4058,0.0,0.0,0.0,99.117,100.1737,0.0,0.0
61,47.5,0.0,456.396,548.0143,286.3537,429.1783,9496322.4067,375804.0258,201.2811,35.7681,0.0,0.0,0.0,100.1745,92.3064,0.0,0.0
62,47.5,43.776,460.12,677.2344,286.3537,404.4393,9495057.4363,375744.6495,185.6613,35.5207,0.0,0.0,0.0,92.307,89.3369,0.0,0.0
63,47.5,43.776,463.844,616.9297,286.3537,546.7113,9493754.9613,375683.773,246.7846,36.9434,0.0,0.0,0.0,89.3373,260.337,0.0,0.0
64,47.5,65.664,445.68,534.4114,286.3537,404.4393,9492325.2801,375623.0997,185.6613,35.5207,0.0,0.0,0.0,260.3373,89.3371,0.0,0.0
65,47.5,0.0,493.18,347.9501,286.3537,404.4393,9490774.8017,375564.5484,185.6613,35.5207,0.0,0.0,0.0,89.3373,89.3371,0.0,0.0
66,47.5,0.0,540.68,348.3018,286.3537,470.6713,9489247.4751,375503.3892,206.2151,48.1904,0.0,0.0,0.0,89.3373,181.1288,0.0,0.0
67,47.5,65.664,522.516,718.6523,286.3537,527.6653,9487979.235,375443.8821,242.0373,50.5615,0.0,0.0,0.0,181.1289,194.8976,0.0,0.0
68,47.5,43.776,526.24,874.745,286.3537,517.2329,9486911.7756,375383.2434,231.4614,52.0181,0.0,0.0,0.0,194.8977,206.8305,0.0,0.0
69,47.5,65.664,508.076,321.7361,286.3537,532.7421,9485269.4193,375323.6398,237.7589,54.2865,0.0,0.0,0.0,206.8306,222.9859,0.0,0.0
70,47.5,43.776,511.8,92.1373,286.3537,505.1439,9483442.1523,375263.1797,220.2128,53.2324,0.0,0.0,0.0,222.9859,217.0378,0.0,0.0
71,47.5,43.776,515.524,421.0858,286.3537,517.0778,9481921.0337,375201.9343,231.3984,51.9954,0.0,0.0,0.0,217.0378,206.669,0.0,0.0
72,47.5,43.776,519.248,244.5527,286.3537,466.028,9480223.382,375140.4939,209.5729,43.9721,0.0,0.0,0.0,206.6691,153.4921,0.0,0.0
