severity,category,record_index,tier,supplier_index,system,component,supplier_name,location,normalized_location,country,lat,lon,geocode_provider,geocode_query,detail
HIGH,DATASET_PRIMARY_MATERIAL_EMPTY,,,,,,,,,,,,,,primary_material exists on every record but is empty everywhere
HIGH,DATASET_MASS_ALL_ZERO,,,,,,,,,,,,,,mass_kg is 0.0 on all records
HIGH,DATASET_MARKET_SHARE_EMPTY,,,,,,,,,,,,,,market_share_pct is an empty string on all records
LOW,MISSING_SUPPLIER_TIER,1,primary_material,,Ens. Equipements latéraux,A5086 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,1,,,Ens. Equipements latéraux,A5086 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,1,,,Ens. Equipements latéraux,A5086 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,1,,,Ens. Equipements latéraux,A5086 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
LOW,MISSING_SUPPLIER_TIER,2,primary_material,,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,2,,,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,2,,,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,2,,,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
LOW,MISSING_SUPPLIER_TIER,3,primary_material,,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,,,,,,,,,primary_material supplier list is empty
HIGH,MASS_INVALID,3,,,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,3,,,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,COMPONENT_IS_NOT_A_MATERIAL_OR_PART,4,,,Accoudoir allée,packaging,,,,,,,,,component is a logistics/package placeholder rather than a material or part
LOW,MISSING_SUPPLIER_TIER,4,primary_material,,Accoudoir allée,packaging,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,4,,,Accoudoir allée,packaging,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,4,,,Accoudoir allée,packaging,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,4,,,Accoudoir allée,packaging,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,COMPONENT_IS_NOT_A_MATERIAL_OR_PART,5,,,Accoudoir allée,Transport,,,,,,,,,component is a logistics/package placeholder rather than a material or part
LOW,MISSING_SUPPLIER_TIER,5,primary_material,,Accoudoir allée,Transport,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,5,,,Accoudoir allée,Transport,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,5,,,Accoudoir allée,Transport,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,5,,,Accoudoir allée,Transport,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
LOW,MISSING_SUPPLIER_TIER,6,primary_material,,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,,,,,,,,,primary_material supplier list is empty
HIGH,TRANSPORT_MODE_NOT_A_TRANSPORT_MODE,6,,,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,,,,,,,,,to_first_transformation.modes contains non-mode value: Bilogistik SA
HIGH,TRANSPORT_MODE_NOT_A_TRANSPORT_MODE,6,,,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,,,,,,,,,mine_to_refinery.modes contains non-mode value: Caoutchouc naturel --> Bateau
HIGH,TRANSPORT_MODE_NOT_A_TRANSPORT_MODE,6,,,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,,,,,,,,,mine_to_refinery.modes contains non-mode value: Caoutchouc synthétique (résine) --> Bateau - Camion
LOW,TRANSPORT_MODE_COMBINED_OR_UNNORMALIZED,6,,,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,,,,,,,,,mine_to_refinery.modes mixes combined route strings with a mode list: Caoutchouc synthétique (résine) --> Bateau - Camion
HIGH,MASS_INVALID,6,,,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,6,,,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
LOW,MISSING_SUPPLIER_TIER,7,primary_material,,Bumper version porte,alliage Cu,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,7,,,Bumper version porte,alliage Cu,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,7,,,Bumper version porte,alliage Cu,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,7,,,Bumper version porte,alliage Cu,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
LOW,MISSING_SUPPLIER_TIER,8,primary_material,,Ens. Stowage latéral,cuir,,,,,,,,,primary_material supplier list is empty
HIGH,TRANSPORT_MODE_NOT_A_TRANSPORT_MODE,8,,,Ens. Stowage latéral,cuir,,,,,,,,,to_first_transformation.modes contains non-mode value: Interne entreprise
