day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,M-1810 | item:693710
0,6.57969,22688.592,376.0,376.0,2.98168,79.712,3.008,3630.173968,0.610624,0.457968,2.900464,0.76328,0.183187,0.015266,0.015266,0.564827,0.030531,0.76328,376.0,376.0,4.136,152.656,622.048
1,6.142211,21180.042,351.0,351.0,2.78343,74.412,2.808,3388.806018,0.574246,0.430685,2.72767,0.717808,0.172274,0.014356,0.014356,0.531178,0.028712,0.717808,353.6,353.6,3.8896,143.5616,627.2448
2,5.704731,19671.492,326.0,326.0,2.58518,69.112,2.608,3147.438068,0.540987,0.40574,2.569688,0.676234,0.162296,0.013525,0.013525,0.500413,0.027049,0.676234,333.12,333.12,3.66432,135.24672,560.72576
3,5.267252,18162.942,301.0,301.0,2.38693,68.9,2.408,2906.070118,0.505753,0.379314,2.402325,0.632191,0.151726,0.012644,0.012644,0.467821,0.027107,0.632191,311.424,311.424,3.425664,126.438144,629.531392
4,4.829773,16654.392,276.0,301.0,2.18868,63.6,2.208,2664.702168,0.467525,0.350644,2.405879,0.584406,0.140257,0.011688,0.011688,0.46611,0.025195,0.584406,311.8848,311.8848,3.166733,116.881229,553.07607
5,4.392293,15145.842,251.0,276.0,2.18075,58.3,2.008,2603.334218,0.426925,0.345138,2.213029,0.533656,0.128077,0.011583,0.010673,0.428555,0.023165,0.533656,286.8848,309.2848,2.891733,106.731229,542.344678
6,4.392293,13817.292,226.0,251.0,1.9825,53.0,2.008,2361.966268,0.419584,0.314688,2.020179,0.482906,0.115897,0.010568,0.009658,0.391,0.021135,0.573201,261.8848,284.2848,3.080669,96.581229,537.6
7,4.392293,12308.742,226.0,226.0,1.9825,53.0,1.808,2120.598318,0.378984,0.340754,1.827329,0.432156,0.103717,0.010568,0.009618,0.38421,0.019105,0.522451,259.2848,259.2848,2.805669,96.175229,618.8
8,3.954814,10800.192,201.0,225.0,1.78425,58.3,1.608,1879.230368,0.376612,0.338974,1.634479,0.381406,0.112429,0.009553,0.008603,0.346655,0.017075,0.519485,279.52,254.7648,2.530669,94.340109,537.6
9,3.517334,9291.642,201.0,200.0,1.78425,53.0,1.408,1637.862418,0.371246,0.308524,1.441629,0.330656,0.100249,0.009512,0.008468,0.3091,0.015045,0.468735,275.0,229.7648,2.502069,84.190109,537.6
10,3.944321,7807.251968,201.400384,175.400384,1.985675,53.084881,1.211203,1452.073294,0.331471,0.278693,1.799923,0.373262,0.098886,0.01023,0.007474,0.272308,0.014719,0.419016,300.507997,228.811997,2.496657,83.340756,620.449976
11,3.506842,9315.801968,201.400384,150.400384,1.787425,53.084881,1.403203,1503.786526,0.294934,0.277716,1.62637,0.417105,0.099393,0.009316,0.008407,0.271103,0.016952,0.373345,278.009597,206.313597,2.249174,74.206405,626.925195
12,3.069362,10824.351968,231.400384,125.400384,1.589175,47.784881,1.203203,1745.154476,0.337795,0.313647,1.635599,0.375491,0.089406,0.009499,0.00859,0.277863,0.015288,0.421245,257.509917,207.509917,2.023678,84.842111,560.342234
13,3.506842,12092.559968,206.400384,125.400384,1.589175,47.784881,1.003203,1986.522426,0.302554,0.287217,1.661055,0.38219,0.078834,0.010648,0.007709,0.245265,0.013526,0.478694,235.809981,228.694781,2.059979,76.031937,629.518608
14,3.069362,11852.217968,181.400384,100.400384,1.390925,47.784881,0.803203,1745.154476,0.303301,0.288376,1.653021,0.334404,0.079058,0.010687,0.008724,0.209904,0.013644,0.481658,212.269994,205.154794,1.801039,86.181617,623.542122
15,3.506842,13360.767968,181.400384,125.400384,1.192675,53.0,0.803203,1503.786526,0.303301,0.340748,1.811003,0.283654,0.079058,0.010687,0.008618,0.239196,0.013526,0.430908,187.269994,180.154794,1.526039,76.031617,542.342122
16,3.499835,13360.767968,156.400384,106.400384,0.994425,53.0,0.603203,1503.786526,0.303301,0.310298,1.618153,0.373988,0.066878,0.009672,0.007603,0.201641,0.013445,0.380158,187.269994,180.154794,1.757452,75.82537,537.6
17,3.937315,11852.217968,131.400384,106.400384,1.38775,47.7,1.4,1745.154476,0.262701,0.279848,1.425303,0.323238,0.054698,0.008657,0.006588,0.276751,0.013326,0.329408,162.269994,155.154794,1.482452,75.82537,618.8
18,3.499835,15085.5,106.400384,81.400384,1.38775,42.4,1.6,1503.786526,0.338542,0.249398,1.421385,0.272488,0.06663,0.007642,0.006588,0.239196,0.013326,0.278658,187.269994,180.154794,1.482452,65.67537,618.8
19,3.062356,13576.95,81.400384,56.400384,1.38775,37.1,2.0,1262.418576,0.297942,0.249398,1.386669,0.221738,0.06663,0.008464,0.005573,0.308354,0.017077,0.227908,162.269994,267.8848,1.757452,73.998241,618.8
20,3.506842,12092.559964,119.800768,56.800768,1.390925,31.884881,1.803203,1024.916219,0.291459,0.250017,1.390588,0.217691,0.054698,0.008484,0.006507,0.308354,0.016753,0.228939,200.507997,243.392797,1.48804,64.054488,620.449976
21,3.506842,10584.009964,94.800768,81.800768,1.390925,42.484881,1.603203,783.548269,0.295521,0.283513,1.384429,0.269524,0.055917,0.007571,0.007544,0.274557,0.020813,0.227318,178.009597,220.894397,2.065558,93.164662,626.925195
22,3.506842,9075.459964,69.800768,100.800768,1.589175,37.184881,1.603203,1262.418575,0.30283,0.284975,1.793581,0.377194,0.045929,0.006738,0.008608,0.243762,0.019148,0.278068,232.509917,232.509917,2.109473,94.991791,633.417039
23,3.506842,9075.459964,44.800768,119.800768,1.390925,31.884881,1.603203,1697.306837,0.267589,0.258545,1.626188,0.383893,0.035357,0.006872,0.009574,0.211164,0.017386,0.329408,210.809981,260.809981,2.33497,86.181617,562.935647
24,3.069362,7566.909964,50.400384,94.800768,1.390925,31.884881,1.603203,1886.961555,0.265898,0.229873,1.811003,0.385826,0.045811,0.005917,0.008618,0.250913,0.015475,0.281622,187.269994,237.269994,2.07603,76.624383,623.542122
25,2.631883,6058.359964,25.400384,119.800768,1.390925,47.7,1.603203,1645.593605,0.346273,0.228095,1.618153,0.436576,0.080032,0.007744,0.007603,0.213358,0.013445,0.281622,187.269994,212.269994,2.592925,93.694464,542.342122
26,3.069362,4814.311932,50.400384,144.800768,1.192675,42.4,1.8,1693.441243,0.380439,0.228095,1.425303,0.436576,0.067852,0.006729,0.006588,0.211164,0.015356,0.332372,162.269994,218.392797,2.867925,83.544464,618.8
27,3.069362,3305.761932,25.400384,119.800768,1.1895,42.4,1.6,1452.073293,0.339839,0.225048,1.390588,0.431498,0.077839,0.005714,0.006588,0.210401,0.017118,0.281622,211.761996,242.8848,2.818421,73.394464,537.6
28,3.069362,4814.311932,75.400384,125.400384,1.38775,42.4,1.4,1210.705343,0.378068,0.225048,1.390588,0.523335,0.090019,0.006729,0.005573,0.172846,0.015088,0.230872,192.8848,217.8848,2.543421,78.668771,618.8
29,2.631883,6322.861932,50.400384,150.400384,1.586,42.4,1.4,1017.185031,0.337468,0.219567,1.197738,0.564949,0.087827,0.006708,0.005439,0.172846,0.01482,0.323236,167.8848,192.8848,2.268421,68.518771,537.6
