date_entree,date_livraison,fia_suppliers,item_id,qty,source_row,supplier,uom,value_eur
2025-01-31T00:00:00,2025-01-23T00:00:00,,item:007923,19140000.0,19,SDC-VD0956464A,G,
2025-06-03T00:00:00,2025-05-21T00:00:00,SDC-VD0520132A,item:049371,1800000.0,58,SDC-VD0518550B,G,26370.0
2025-04-14T00:00:00,2025-04-02T00:00:00,SDC-VD0520132A,item:049371,1800000.0,59,SDC-VD0518550B,G,26370.0
2025-05-26T00:00:00,2025-05-14T00:00:00,SDC-VD0520132A,item:049371,1800000.0,60,SDC-VD0518550B,G,26370.0
2025-05-02T00:00:00,2025-04-18T00:00:00,SDC-VD0520132A,item:049371,1800000.0,61,SDC-VD0518550B,G,26370.0
2025-02-28T00:00:00,2025-02-18T00:00:00,SDC-VD0520132A,item:049371,1800000.0,62,SDC-VD0518550B,G,26370.0
2025-01-29T00:00:00,2025-01-17T00:00:00,SDC-VD0520132A,item:049371,1800000.0,63,SDC-VD0518550B,G,26370.0
2025-03-05T00:00:00,2025-02-21T00:00:00,SDC-VD0520132A,item:049371,1800000.0,64,SDC-VD0518550B,G,26370.0
2025-05-07T00:00:00,2025-04-24T00:00:00,SDC-VD0520132A,item:049371,1800000.0,65,SDC-VD0518550B,G,26370.0
2025-01-29T00:00:00,2025-01-17T00:00:00,SDC-VD0520132A,item:049371,1800000.0,66,SDC-VD0518550B,G,26370.0
2025-01-27T00:00:00,2025-01-15T00:00:00,SDC-VD0520132A,item:049371,1800000.0,67,SDC-VD0518550B,G,26370.0
2025-04-16T00:00:00,2025-04-04T00:00:00,SDC-VD0520132A,item:049371,1800000.0,68,SDC-VD0518550B,G,26370.0
