date_entree,date_livraison,fia_suppliers,item_id,qty,source_row,supplier,uom,value_eur
2025-01-29T00:00:00,2025-01-10T00:00:00,SDC-VD0951020A,item:001757,2000000.0,2,SDC-VD0951020A,G,10860.0
2025-03-24T00:00:00,2025-03-05T00:00:00,SDC-VD0951020A,item:001757,2000000.0,3,SDC-VD0951020A,G,10860.0
2025-02-14T00:00:00,2025-01-28T00:00:00,SDC-VD0951020A,item:001757,4000000.0,4,SDC-VD0951020A,G,21720.0
2025-03-11T00:00:00,2025-02-20T00:00:00,"SDC-VD0519670A,SDC-VD0951020A",item:001848,6000000.0,8,SDC-VD0951020A,G,17340.0
2025-01-30T00:00:00,2025-01-20T00:00:00,"SDC-VD0500655A,SDC-VD0910216A,SDC-VD0990780A,SDC-VD1091642A",item:002612,22500.0,14,SDC-VD0910216A,KG,28350.0
2025-02-17T00:00:00,2025-02-05T00:00:00,"SDC-VD0500655A,SDC-VD0910216A,SDC-VD0990780A,SDC-VD1091642A",item:002612,22500.0,15,SDC-VD0910216A,KG,28350.0
2025-01-31T00:00:00,2025-01-23T00:00:00,,item:007923,19140000.0,19,SDC-VD0956464A,G,
2025-06-03T00:00:00,2025-05-21T00:00:00,SDC-VD0520132A,item:049371,1800000.0,58,SDC-VD0518550B,G,26370.0
2025-04-14T00:00:00,2025-04-02T00:00:00,SDC-VD0520132A,item:049371,1800000.0,59,SDC-VD0518550B,G,26370.0
2025-05-26T00:00:00,2025-05-14T00:00:00,SDC-VD0520132A,item:049371,1800000.0,60,SDC-VD0518550B,G,26370.0
2025-05-02T00:00:00,2025-04-18T00:00:00,SDC-VD0520132A,item:049371,1800000.0,61,SDC-VD0518550B,G,26370.0
2025-02-28T00:00:00,2025-02-18T00:00:00,SDC-VD0520132A,item:049371,1800000.0,62,SDC-VD0518550B,G,26370.0
2025-01-29T00:00:00,2025-01-17T00:00:00,SDC-VD0520132A,item:049371,1800000.0,63,SDC-VD0518550B,G,26370.0
2025-03-05T00:00:00,2025-02-21T00:00:00,SDC-VD0520132A,item:049371,1800000.0,64,SDC-VD0518550B,G,26370.0
2025-05-07T00:00:00,2025-04-24T00:00:00,SDC-VD0520132A,item:049371,1800000.0,65,SDC-VD0518550B,G,26370.0
2025-01-29T00:00:00,2025-01-17T00:00:00,SDC-VD0520132A,item:049371,1800000.0,66,SDC-VD0518550B,G,26370.0
2025-01-27T00:00:00,2025-01-15T00:00:00,SDC-VD0520132A,item:049371,1800000.0,67,SDC-VD0518550B,G,26370.0
2025-04-16T00:00:00,2025-04-04T00:00:00,SDC-VD0520132A,item:049371,1800000.0,68,SDC-VD0518550B,G,26370.0
2025-02-05T00:00:00,2025-01-17T00:00:00,"SDC-VD0914320A,SDC-VD0964290A",item:055703,300000.0,69,SDC-VD0914320A,G,10432.500000000002
2025-01-17T00:00:00,2025-01-09T00:00:00,SDC-VD0901566A,item:338928,153617.0,98,SDC-VD0901566A,UN,21707.61827
2025-01-17T00:00:00,2025-01-09T00:00:00,SDC-VD0901566A,item:338928,27576.0,99,SDC-VD0901566A,UN,3896.7645599999996
2025-01-17T00:00:00,2025-01-09T00:00:00,SDC-VD0901566A,item:338928,183840.0,100,SDC-VD0901566A,UN,25978.430399999997
2025-01-15T00:00:00,2025-01-09T00:00:00,SDC-VD0914360C,item:338929,57600.0,101,SDC-VD0914360C,UN,12432.96
2025-01-30T00:00:00,2025-01-29T00:00:00,SDC-VD0989480A,item:426331,19200.0,102,SDC-VD0989480A,UN,9675.456
