component_code,cost_per_1000,item_id,price_uom,qty_per_1000,row,type,unit_price,uom
001757,8.81832,item:001757,KG,1624.0,2,MP,5.43,G
001848,3.52002,item:001848,KG,1218.0,3,MP,2.89,G
001893,35.79296,item:001893,KG,7.714,4,MP,4.64,KG
002612,2.5578,item:002612,KG,2.03,5,MP,1.26,KG
016332,13.456464,item:016332,KG,487.2,6,MP,27.62,G
029313,0.084042,item:029313,KG,40.6,7,MP,2.07,G
039668,0.4957260000000001,item:039668,KG,40.6,8,MP,12.21,G
049371,22.00723,item:049371,KG,1502.2,9,MP,14.65,G
055703,2.8237300000000007,item:055703,KG,81.2,10,MP,34.775000000000006,G
099439,18.615099999999998,item:099439,KG,2030.0,11,MP,9.17,G
693055,,item:693055,G,406.0,12,MP,,G
007923,,item:007923,,3248.0,13,MP,,G
338928,141.31,item:338928,UN,1000.0,14,Pack,0.14131,UN
338929,215.85,item:338929,UN,1000.0,15,Pack,0.21585,UN
426331,5.543229999999999,item:426331,UN,11.0,16,Pack,0.50393,UN
