Date de photo DMP;Sum_Valeur totale du stock
2025-01-06 00:05:56;220644.25
2025-01-13 00:06:03;202836.97
2025-01-20 00:06:36;229908.04
2025-01-27 00:06:40;207844.71
2025-02-03 00:06:15;204819.55
2025-02-10 00:06:11;204816.91
2025-02-17 00:06:22;235695.96
2025-02-24 00:07:08;284703.12
2025-03-03 00:06:40;267389.54
2025-03-10 00:06:22;248241.29
2025-03-17 00:06:59;262994.07
2025-03-24 00:06:50;199951.95
2025-03-31 00:07:56;217097.43
2025-04-07 00:06:16;188514.27
2025-04-14 00:06:44;181337.72
2025-04-21 00:06:39;227641.26
2025-04-28 00:07:06;212287.90
2025-05-05 00:06:41;206964.49
2025-05-12 00:06:56;242401.58
2025-05-19 00:07:01;234418.65
2025-05-26 00:06:36;275919.95
2025-06-02 00:06:28;281205.25
2025-06-09 00:06:41;263831.65
2025-06-16 00:06:31;245626.38
2025-06-23 13:27:48;226080.81
2025-06-30 00:06:46;260360.09
2025-07-07 00:08:05;244808.06
2025-07-14 00:08:02;222549.86
2025-07-21 00:06:34;238918.79
2025-07-28 00:07:35;264882.35
2025-08-04 00:06:53;259584.68
2025-08-11 00:06:43;307672.96
2025-08-18 00:06:33;307672.96
2025-08-25 00:08:15;311416.01
2025-09-01 00:08:34;304896.32
2025-09-08 00:08:41;302209.28
2025-09-15 00:09:32;283236.31
2025-09-22 00:06:49;251514.18
2025-09-29 00:06:39;225804.87
2025-10-06 00:07:10;263501.20
2025-10-13 00:06:49;242881.18
2025-10-20 00:07:14;263748.53
2025-10-27 00:07:23;248721.20
2025-11-03 00:07:33;232963.05
2025-11-10 00:07:18;306353.26
2025-11-17 00:07:25;321401.26
2025-11-24 00:07:21;349564.46
2025-12-01 00:07:45;334234.98
2025-12-08 00:07:59;330780.69
2025-12-15 00:07:28;334550.57
2025-12-22 00:06:55;333222.01
2025-12-29 00:06:59;382653.99
