supplier_id,public_maturity_signal,public_resilience_signal,geographic_hazard_signal,industrial_hazard_signal,confidence,source_count,evidence_basis
SDC-VD0949099A,0.50,0.50,0.35,0.30,0.30,2,public_registry
SDC-VD0960508A,0.72,0.68,0.35,0.25,0.72,2,official_site_and_registry
SDC-VD0972460A,0.52,0.48,0.72,0.25,0.35,2,public_registry
SDC-VD0975221A,0.50,0.45,0.72,0.25,0.15,0,simulation_only
SDC-VD0500655A,0.84,0.76,0.28,0.62,0.82,3,official_site_and_certificates
SDC-VD0505677A,0.94,0.90,0.28,0.82,0.94,5,official_site_and_reporting
SDC-VD0508918A,0.86,0.78,0.30,0.40,0.86,2,official_certificate
SDC-VD0514881A,0.86,0.82,0.30,0.68,0.82,4,official_site_and_certificates
SDC-VD0518684A,0.87,0.80,0.28,0.65,0.84,3,official_site_and_certificates
SDC-VD0519670A,0.90,0.84,0.30,0.66,0.92,4,official_site_and_certificates
SDC-VD0520115A,0.91,0.84,0.28,0.46,0.92,4,official_site_and_certificates
SDC-VD0520132A,0.91,0.86,0.30,0.66,0.92,3,official_site_and_reporting
SDC-VD0525412A,0.72,0.76,0.30,0.38,0.64,2,official_site
SDC-VD0901566A,0.85,0.78,0.32,0.42,0.82,4,official_site_and_quality_policy
SDC-VD0910216A,0.77,0.75,0.30,0.42,0.76,3,official_site_and_public_registry
SDC-VD0914320A,0.86,0.80,0.38,0.58,0.86,2,official_certificates
SDC-VD0914360C,0.91,0.84,0.30,0.46,0.92,4,official_site_certificates_and_registry
SDC-VD0914690A,0.91,0.86,0.28,0.42,0.91,3,official_certificates
SDC-VD0951020A,0.84,0.80,0.30,0.60,0.70,2,group_policy
SDC-VD0964290A,0.91,0.86,0.30,0.64,0.84,3,official_group_reporting
SDC-VD0989480A,0.73,0.68,0.32,0.44,0.66,3,public_registry_and_industry_source
SDC-VD0990780A,0.90,0.82,0.38,0.64,0.91,4,official_site_and_certificates
SDC-VD0993480A,0.50,0.50,0.30,0.42,0.10,0,audit_workbook_only
SDC-VD1091642A,0.93,0.88,0.30,0.66,0.94,5,official_site_certificates_and_reporting
SDC-VD1095770A,0.93,0.88,0.32,0.44,0.95,5,official_site_and_certificates
SDC-VD1096202A,0.70,0.68,0.30,0.62,0.40,1,group_affiliation_uncertain
SDC-VD0956464A,0.76,0.72,0.30,0.50,0.65,3,group_site_and_public_registry
SDC-VD0518550B,0.50,0.50,0.30,0.45,0.00,0,simulation_only
SDC-VD0525906A,0.50,0.50,0.30,0.45,0.00,0,simulation_only
