SKU Code;Year Week Snapshot;Nb_Semaine_Rupture_Produit;Répétition_Rupture_Produit
268091;2025|01;0;0
268091;2025|05;2;1
268091;2025|09;3;2
268091;2025|14;2;2
268091;2025|18;3;3
268091;2025|22;0;0
268091;2025|27;0;0
268091;2025|31;0;0
268091;2025|35;0;0
268091;2025|40;0;0
268091;2025|44;0;0
268091;2025|48;0;0
268091;2026|01;0;0
268091;2026|05;0;0
268091;2026|09;0;0
268091;2026|10;0;0
268091;2026|11;0;0
268091;2026|12;0;0
268091;2026|13;0;0
268091;2026|14;0;0
268091;2026|15;0;0
268091;2026|16;0;0
268091;2026|17;0;0
268091;2026|18;0;0
268091;2026|19;0;0
268091;2026|20;0;0
268091;2026|21;0;0
268091;2026|22;0;0
268091;2026|23;0;0
268091;2026|24;0;0
268091;2026|25;0;0
268091;2026|26;0;0
268967;2025|01;0;0
268967;2025|05;0;0
268967;2025|09;0;0
268967;2025|14;0;0
268967;2025|18;0;0
268967;2025|22;0;0
268967;2025|27;0;0
268967;2025|31;0;0
268967;2025|35;0;0
268967;2025|40;0;0
268967;2025|44;0;0
268967;2025|48;0;0
268967;2026|01;0;0
268967;2026|05;0;0
268967;2026|09;5;4
268967;2026|10;5;4
268967;2026|11;6;3
268967;2026|12;6;5
268967;2026|13;6;5
268967;2026|14;6;5
268967;2026|15;11;6
268967;2026|16;5;3
268967;2026|17;4;2
268967;2026|18;5;3
268967;2026|19;5;4
268967;2026|20;6;5
268967;2026|21;4;3
268967;2026|22;3;3
268967;2026|23;5;4
268967;2026|24;6;4
268967;2026|25;4;4
268967;2026|26;6;4
