Date de photo DMP;Sum_Valeur totale du stock
2025-01-06 00:05:56;656921.88
2025-01-13 00:06:03;720134.07
2025-01-20 00:06:36;606978.55
2025-01-27 00:06:40;692705.41
2025-02-03 00:06:15;613334.50
2025-02-10 00:06:11;656472.97
2025-02-17 00:06:22;695644.81
2025-02-24 00:07:08;740448.32
2025-03-03 00:06:40;715265.49
2025-03-10 00:06:22;823262.17
2025-03-17 00:06:59;899331.26
2025-03-24 00:06:50;826291.24
2025-03-31 00:07:56;860620.24
2025-04-07 00:06:16;844469.28
2025-04-14 00:06:44;949947.40
2025-04-21 00:06:39;986757.36
2025-04-28 00:07:06;950013.26
2025-05-05 00:06:41;952816.20
2025-05-12 00:06:56;904276.21
2025-05-19 00:07:01;977680.69
2025-05-26 00:06:36;964313.13
2025-06-02 00:06:28;913515.99
2025-06-09 00:06:41;901349.11
2025-06-16 00:06:31;1030088.41
2025-06-23 13:27:48;1018792.36
2025-06-30 00:06:46;1056984.52
2025-07-07 00:08:05;955981.86
2025-07-14 00:08:02;943812.41
2025-07-21 00:06:34;979933.29
2025-07-28 00:07:35;927498.18
2025-08-04 00:06:53;927498.18
2025-08-11 00:06:43;927498.18
2025-08-18 00:06:33;927498.18
2025-08-25 00:08:15;951028.42
2025-09-01 00:08:34;936323.01
2025-09-08 00:08:41;954057.28
2025-09-15 00:09:32;1070103.57
2025-09-22 00:06:49;1134444.24
2025-09-29 00:06:39;991637.45
2025-10-06 00:07:10;896029.67
2025-10-13 00:06:49;888479.56
2025-10-20 00:07:14;878742.00
2025-10-27 00:07:23;820347.49
2025-11-03 00:07:33;839166.59
2025-11-10 00:07:18;922272.23
2025-11-17 00:07:25;940190.38
2025-11-24 00:07:21;1054580.85
2025-12-01 00:07:45;1185097.87
2025-12-08 00:07:59;1273667.17
2025-12-15 00:07:28;1241546.58
2025-12-22 00:06:55;1434836.30
2025-12-29 00:06:59;1435465.25
