node_id,item_id,node_type,graph_initial_qty,graph_uom,graph_initial_source,graph_policy_source,graph_safety_time_days,graph_safety_stock_qty,graph_safety_stock_uom,source_stock_qty,source_stock_uom,source_stock_rows,source_stock_row_count,source_type,source_division,source_safety_time_workdays,source_explicit_safety_stock_qty,source_policy_uom,source_policy_rows,source_policy_row_count,source_type_policy,source_policy_division,source_fixed_lot_qty,source_min_lot_qty,source_max_lot_qty,scope,uom,safety_time_days,planned_avg_daily_demand_qty,observed_avg_daily_flow_qty,stock_equiv_safety_time_qty,explicit_safety_stock_qty,effective_reference_stock_qty,soft_simulated_target_qty,max_mrp_demand_signal_qty,max_mrp_safety_floor_qty,max_soft_simulated_target_qty,safety_reference_basis,soft_safety_factor,served_avg_daily_qty,trace_days,target_positive_days,mean_target_stock_qty,max_target_stock_qty,mean_target_display_qty,max_target_display_qty,mean_target_with_backlog_qty,max_target_with_backlog_qty,mean_safety_floor_qty,max_safety_floor_qty,mean_soft_safety_target_qty,max_soft_safety_target_qty,mean_coverage_target_qty,max_coverage_target_qty,mean_inventory_position_qty,min_inventory_position_qty,max_inventory_position_qty,days_under_target,days_under_safety_floor,trace_planned_order_count,trace_planned_receipt_qty,share_days_under_target,share_days_under_safety_floor,day0_target_stock_qty,day0_target_stock_display_qty,day0_inventory_position_qty,final_inventory_position_qty,stock_series_sources,mean_physical_stock_qty,min_physical_stock_qty,max_physical_stock_qty,day0_physical_stock_qty,final_physical_stock_qty,mrp_order_count,mrp_order_planned_receipt_qty,mrp_order_release_qty,first_arrival_day,last_arrival_day,order_types,source_open_order_count,source_open_order_qty,source_open_order_first_usable_day,source_open_order_last_usable_day,source_open_order_types,product_scopes,mean_stock_value_eur,mean_useful_stock_value_eur,mean_immobilized_stock_value_eur,max_immobilized_stock_value_eur,has_source_stock,has_source_policy,has_graph_policy,has_positive_target,has_orders,target_minus_source_initial_qty,mean_stock_minus_mean_target_qty,target_semantics,alerts
M-1810,item:338928,factory,404065.0,UN,mrp_snapshot_2025-01-01T03:03:48+00:00,mrp_policy_sheet,10.0,0.0,UN,404065.0,UN,23,1.0,AC,1810,10.0,0.0,UN,17,1.0,AC,1810,,,,input_material,UN,10.0,203550.0,9823.561644,2035500.0,0.0,2035500.0,1526625.0,203550.0,2035500.0,1526625.0,mrp_trace_demand_signal,0.75,0.0,1825.0,1825.0,1526625.0,1526625.0,1526625.0,1526625.0,1526625.0,1526625.0,2035500.0,2035500.0,1526625.0,1526625.0,1424850.0,1424850.0,1477725.4191780821,50065.0,1551465.0,100.0,1825.0,763.0,19075000.0,0.0547945205479452,1.0,1526625.0,1526625.0,389665.0,1551065.0,factory_input_stock,698971.9945205479,0.0,1118465.0,389665.0,576065.0,763.0,19075000.0,19075000.0,109.0,2027.0,lane_release,3.0,365033.0,16.0,16.0,AVICDE,item:268091,592630.3952741919,592630.3952741919,0.0,0.0,True,True,True,True,True,1122560.0,-827653.0054794521,delai securite source converti en couverture dynamique,position sous safety floor plus de 80% du run
M-1810,item:338929,factory,354000.0,UN,mrp_snapshot_2025-01-01T03:03:48+00:00,mrp_policy_sheet,10.0,0.0,UN,354000.0,UN,24,1.0,AC,1810,10.0,0.0,UN,18,1.0,AC,1810,,,,input_material,UN,10.0,203550.0,9823.561644,2035500.0,0.0,2035500.0,1526625.0,203550.0,2035500.0,1526625.0,mrp_trace_demand_signal,0.75,0.0,1825.0,1825.0,1526625.0,1526625.0,1526625.0,1526625.0,1526625.0,1526625.0,2035500.0,2035500.0,1526625.0,1526625.0,1424850.0,1424850.0,1499279.597260274,166800.0,1531600.0,47.0,1825.0,3821.0,19105000.0,0.025753424657534246,1.0,1526625.0,1526625.0,339600.0,1531000.0,factory_input_stock,681830.2821917809,0.0,936600.0,339600.0,416000.0,3821.0,19105000.0,19105000.0,71.0,1975.0,lane_release,1.0,57600.0,14.0,14.0,AVICDE,item:268091,883038.3984665752,883038.3984665752,0.0,0.0,True,True,True,True,True,1172625.0,-844794.7178082191,delai securite source converti en couverture dynamique,position sous safety floor plus de 80% du run
M-1810,item:693055,factory,1010000.0,G,mrp_snapshot_2025-01-01T03:03:48+00:00,mrp_policy_sheet,20.0,0.0,G,1010000.0,G,21,1.0,MP,1810,20.0,0.0,G,15,1.0,MP,1810,,,,input_material,G,20.0,82641.3,3988.366027,1652826.0,0.0,1652826.0,1239619.5,82641.3,1652826.0,1239619.5,mrp_trace_demand_signal,0.75,0.0,1825.0,1825.0,1239619.5,1239619.5,1239619.5,1239619.5,1239619.5,1239619.5,1652826.0,1652826.0,1239619.5,1239619.5,578489.1,578489.1,1236430.9532,1192847.4,1239620.4,497.0,1825.0,128803.0,7508388.0,0.2723287671232877,1.0,1239619.5,1239619.5,1239619.6,1239620.0,factory_input_stock,721109.3132,388619.6,1004153.6,1004153.6,584664.0,128803.0,7508388.0,7508388.0,49.0,2059.0,lane_release,,,,,,,,,,,True,True,True,True,True,229619.5,-518510.1868,delai securite source converti en couverture dynamique,position sous safety floor plus de 80% du run | nervosite MRP tres elevee: trop d'ordres
SDC-1450,item:001893,,,,,,,,,1094.0,KG,5,1.0,MP,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,0.0,0.0,pas de cible stock positive dans le run,stock source SDC-1450 sans politique MRP source
SDC-1450,item:002612,,,,,,,,,414.0,KG,7,1.0,MP,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,0.0,0.0,pas de cible stock positive dans le run,stock source SDC-1450 sans politique MRP source
SDC-1450,item:021081,factory,1142100.0,KG,mrp_snapshot_2025-01-01T03:03:48+00:00,,0.0,0.0,KG,1142100.0,KG,12,1.0,MP,1450,,,,,,,,,,,input_material,KG,0.0,0.0,329.187945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mrp_trace_demand_signal,0.75,0.0,1825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867541.5780821918,541332.0,1142100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1142100.0,541332.0,factory_input_stock,867541.5780821918,541332.0,1142100.0,1142100.0,541332.0,,,,,,,23.0,1320000.0,112.0,261.0,"AVICDE,ECHCDE",item:773474,63113649.80547946,0.0,63113649.80547946,13847962.5,True,False,False,False,False,-1142100.0,867541.5780821918,pas de cible stock positive dans le run,stock source SDC-1450 sans politique MRP source
SDC-1450,item:693055,factory,1800000.0,G,mrp_snapshot_2025-01-01T03:03:48+00:00,,0.0,0.0,G,1800000.0,G,20,1.0,MP,1450,,,,,,,,,,,supply_pair,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mrp_trace_demand_signal,0.75,0.0,1825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247023.5970410959,0.1,1564534.0,0.0,0.0,383.0,5819469.1,0.0,0.0,0.0,0.0,1564534.0,111081.1,,,,,,,383.0,5819469.1,5819469.1,418.0,1824.0,external_procurement,1.0,600000.0,55.0,55.0,O.Proc,,,,,,True,False,False,False,True,-1800000.0,247023.5970410959,"approvisionnement fournisseur: cible stock nulle, commandes amont","stock source SDC-1450 sans politique MRP source | ordres sans cible stock positive: politique d'appro, pas stock cible"
SDC-1450,item:773474,factory,9600000.0,G,mrp_snapshot_2025-01-01T03:03:48+00:00,,0.0,0.0,G,9600000.0,G,31,1.0,PFI,1450,,,,,,,,3200000.0,0.0,0.0,semi_finished_or_output,G,0.0,0.0,36821.917808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mrp_trace_demand_signal,0.75,0.0,1825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1506895.0323287672,0.0,3164372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1890601.0,1439992.0,factory_output_stock,1548188.1873972602,10892.0,9600000.0,9600000.0,1439992.0,,,,,,,1.0,3200000.0,61.0,61.0,O.Proc,,,,,,True,False,False,False,False,-9600000.0,1548188.1873972602,pas de cible stock positive dans le run,stock source SDC-1450 sans politique MRP source
SDC-VD0500655A,item:002612,supplier_dc,180.0,KG,simulation_prep_assumption,,0.0,0.0,KG,,,,,,,,,,,,,,,,,supply_pair,KG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mrp_trace_demand_signal,0.75,0.0,1825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21394.021255456984,773.406593,21600.0,0.0,0.0,37.0,21419.999985000002,0.0,0.0,0.0,0.0,773.406593,21600.0,supplier_stock,21065.38563901863,180.0,21600.0,180.0,21600.0,37.0,21419.999985000002,21419.999985000002,28.0,64.0,external_procurement_proactive,,,,,,,,,,,False,False,False,False,True,-180.0,21065.38563901863,"approvisionnement fournisseur: cible stock nulle, commandes amont","ordres sans cible stock positive: politique d'appro, pas stock cible"
SDC-VD0505677A,item:099439,supplier_dc,180.0,KG,simulation_prep_assumption,,0.0,0.0,KG,,,,,,,,,,,,,,,,,supply_pair,KG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mrp_trace_demand_signal,0.75,0.0,1825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17138.271437260275,770.295,17354.673,0.0,0.0,102.0,54974.672999999995,0.0,0.0,0.0,0.0,770.295,17354.673,supplier_stock,16134.741675616437,180.0,17354.673,180.0,13154.673,102.0,54974.672999999995,54974.672999999995,35.0,1851.0,external_procurement_proactive,,,,,,,,,,,False,False,False,False,True,-180.0,16134.741675616437,"approvisionnement fournisseur: cible stock nulle, commandes amont","ordres sans cible stock positive: politique d'appro, pas stock cible"
