day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_qty
0,50.0,0.0,50.0,0.0,55.0,2364.3086,23866.1532,722.6387,4.06,27.4137,1739.9015
1,50.0,0.0,100.0,81.2,55.0,2364.3086,21428.6375,640.7681,4.06,27.4137,2099.9015
2,50.0,0.0,150.0,81.2,55.0,2364.3086,18991.1218,558.8975,4.06,27.4137,2099.9015
3,50.0,0.0,200.0,81.2,55.0,2364.3086,16553.6062,477.0269,4.06,27.4137,2099.9015
4,50.0,0.0,250.0,81.2,55.0,2364.3086,14116.0905,395.1563,4.06,27.4137,2099.9015
5,50.0,0.0,300.0,136.2,55.0,2414.3086,11683.5748,313.4857,4.06,27.4137,2099.9015
6,50.0,0.0,350.0,136.2,55.0,2419.3086,9306.0591,234.0151,4.06,27.4137,2159.9015
7,50.0,0.0,400.0,136.2,55.0,2419.3086,6968.5434,156.1445,4.06,27.4137,2199.9015
8,50.0,55.0,395.0,2419.3086,55.0,2419.3086,6869.1364,155.8185,4.06,27.4137,2209.9015
9,50.0,55.0,390.0,2419.3086,55.0,2419.3086,6769.7293,155.4926,4.06,27.4137,2209.9015
10,50.0,55.0,385.0,2414.3086,55.0,2414.3086,6670.3222,155.1666,4.06,27.4137,2209.9015
11,50.0,55.0,380.0,2419.3086,55.0,2414.3086,6575.9152,155.0407,4.06,27.4137,2209.9015
12,50.0,55.0,375.0,2419.3086,55.0,2419.3086,6476.5081,154.7148,4.06,27.4137,2209.9015
13,50.0,50.0,375.0,2414.3086,55.0,2419.3086,6377.101,154.3888,4.06,27.4137,2209.9015
14,50.0,55.0,370.0,2419.3086,55.0,2419.3086,6277.6939,154.0629,4.06,27.4137,2209.9015
15,50.0,55.0,365.0,2419.3086,55.0,2419.3086,6178.2869,153.737,4.06,27.4137,2209.9015
16,50.0,55.0,360.0,2414.3086,55.0,2414.3086,6078.8798,153.411,4.06,27.4137,2209.9015
17,50.0,55.0,355.0,2419.3086,55.0,2414.3086,5987.1727,153.2852,4.06,27.4137,2212.6015
18,50.0,55.0,350.0,2419.3086,55.0,2419.3086,5897.9157,152.9597,4.06,27.4137,2220.0515
19,50.0,50.0,350.0,2414.3086,55.0,2419.3086,5808.6586,152.6341,4.06,27.4137,2220.0515
20,50.0,55.0,345.0,2419.3086,55.0,2419.3086,5719.4015,152.3086,4.06,27.4137,2220.0515
21,50.0,55.0,340.0,2419.3086,55.0,2419.3086,5630.1445,151.9831,4.06,27.4137,2220.0515
22,50.0,55.0,335.0,2414.3086,55.0,2414.3086,5540.8874,151.6575,4.06,27.4137,2220.0515
23,50.0,55.0,330.0,2419.3086,55.0,2414.3086,5456.6303,151.532,4.06,27.4137,2220.0515
24,50.0,55.0,325.0,2419.3086,55.0,2419.3086,5367.3732,151.2065,4.06,27.4137,2220.0515
25,50.0,50.0,325.0,2414.3086,55.0,2419.3086,5278.1162,150.881,4.06,27.4137,2220.0515
26,50.0,55.0,320.0,2419.3086,55.0,2419.3086,5188.8591,150.5554,4.06,27.4137,2220.0515
27,50.0,55.0,315.0,2419.3086,55.0,2419.3086,5099.602,150.2299,4.06,27.4137,2220.0515
28,50.0,55.0,310.0,2414.3086,55.0,2414.3086,5014.785,150.082,4.06,27.4137,2224.4915
29,50.0,55.0,305.0,2419.3086,55.0,2414.3086,4936.8879,150.2108,4.06,27.4137,2226.4115
