scope,item_code,node_id,required_qty,initial_stock_qty,delivered_qty,consumed_qty,gap_vs_requirement_qty,unit,diagnostic
produit_fini,268091,DC / client final,17882210.000025,430538.0,17882210.000025,17882210.000025,0.0,UN,demande finale issue du scenario courant
produit_fini,268967,DC / client final,7879929.999865,1101534.0,7879929.999865,7879929.999865,0.0,UN,demande finale issue du scenario courant
matiere,001757,M-1810,29040.70904,8499.654,78844.955201,29465.856,425.14696,KG,stock balance mismatch vs BOM consumption
matiere,001848,M-1810,21780.53178,10262.646,42696.237603,22099.392,318.86022,KG,stock balance mismatch vs BOM consumption
matiere,001893,M-1810,137943.36794,9783.5,317697.784905,139962.816,2019.44806,KG,stock balance mismatch vs BOM consumption
matiere,002612,M-1810,36300.8863,153521.636719,36949.248001,36832.32,531.4337,KG,stock balance mismatch vs BOM consumption
matiere,007923,M-1810,58081.41808,55018.98,58931.712,58931.712,850.29392,KG,stock balance mismatch vs BOM consumption
matiere,016332,M-1810,8712.212712,883.02,17780.58888,8839.7568,127.544088,KG,stock balance mismatch vs BOM consumption
matiere,021081,SDC-1450,680141.807955,1142100.0,716764.0,715200.0,35058.192045,KG,stock balance mismatch vs BOM consumption
matiere,029313,M-1810,726.017726,226.83,1435.90443,736.6464,10.628674,KG,stock balance mismatch vs BOM consumption
matiere,038005,M-1430,137892.281935,37598.5325,925010.140249,141480.83796,3588.556025,KG,stock balance mismatch vs BOM consumption
matiere,039668,M-1810,726.017726,459.695,880.738358,736.6464,10.628674,KG,stock balance mismatch vs BOM consumption
matiere,042342,M-1430,475490736.051853,78749996.0,830336396.799961,487865070.0,12374333.948147,UN,stock balance mismatch vs BOM consumption
matiere,049371,M-1810,26862.655862,4138.93,118231.033098,27255.9168,393.260938,KG,stock balance mismatch vs BOM consumption
matiere,055703,M-1810,1452.035452,569.805001,2700.232679,1473.2928,21.257348,KG,stock balance mismatch vs BOM consumption
matiere,099439,M-1810,36300.8863,4972.616,62049.052001,36832.32,531.4337,KG,stock balance mismatch vs BOM consumption
matiere,333362,M-1430,7879929.999865,142250.0,26578750.0,8085000.0,205070.000135,UN,stock balance mismatch vs BOM consumption
matiere,338928,M-1810,17882210.000025,404065.0,46050285.0,18144000.0,261789.999975,UN,stock balance mismatch vs BOM consumption
matiere,338929,M-1810,17882210.000025,354000.0,35704200.0,18144000.0,261789.999975,UN,stock balance mismatch vs BOM consumption
matiere,344135,M-1430,7879929.999865,0.0,19690900.0,8085000.0,205070.000135,UN,stock balance mismatch vs BOM consumption
matiere,426331,M-1810,196704.31,24159.0,312144.0,199584.0,2879.69,UN,stock balance mismatch vs BOM consumption
matiere,693055,M-1810,7260177.26001,1010000.0,18670018.499997,7366464.0,106286.73999,G,stock balance mismatch vs BOM consumption
matiere,708073,M-1430,62487.844899,10326.88,132189.494,64114.05,1626.205101,KG,stock balance mismatch vs BOM consumption
matiere,730384,M-1430,1670545.159971,68387.0,5406682.6,1714020.0,43474.840029,M,stock balance mismatch vs BOM consumption
matiere,734545,M-1430,63039.439999,1641.0,126117.4,64680.0,1640.560001,UN,stock balance mismatch vs BOM consumption
matiere,773474,M-1430,76078502.008437,14593000.0,122938458.3096,78058395.03,1979893.021563,G,stock balance mismatch vs BOM consumption
