case_id,case_input,case_output_dir,direction,factor_value,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,notes,parameter_group,parameter_key,parameter_label,status,study
baseline_baseline_base,etudecas/simulation/sensibility/annual_realistic_result/cases/baseline/baseline_baseline_base/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/baseline/baseline_baseline_base/simulation_output,base,1.0,1028769.1852,0.973651,0.00362,0.022729,1710.3884,1027272.0898,0.901702,667254.1516,15310958.7581,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,14907532.2588,15255538.3195,1064676.8487,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,348006.0607,29247.6162,,baseline,baseline,Baseline annuelle,ok,baseline
baseline_baseline_repeat,etudecas/simulation/sensibility/annual_realistic_result/cases/baseline/baseline_baseline_repeat/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/baseline/baseline_baseline_repeat/simulation_output,repeat,1.0,1028769.1852,0.973651,0.00362,0.022729,1710.3884,1027272.0898,0.901702,667254.1516,15310958.7581,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,14907532.2588,15255538.3195,1064676.8487,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,348006.0607,29247.6162,,baseline,baseline,Baseline annuelle repeat,ok,baseline
local_lead_time_scale_low,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_lead_time_scale_low/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_lead_time_scale_low/simulation_output,low,0.9,928940.8828,0.970906,0.003997,0.025098,1644.7244,922948.4435,0.905476,665072.8895,13867149.8108,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,13463692.4188,13811728.9345,962645.7285,103536.9683,55420.8763,15755.2756,701986.5657,672742.3959,348036.5156,29249.4402,,lead_time,lead_time_scale,Lead time global,ok,local
local_lead_time_scale_high,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_lead_time_scale_high/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_lead_time_scale_high/simulation_output,high,1.1,1126581.5312,0.97588,0.003313,0.020807,1622.8364,1124120.4605,0.906734,663811.9322,16727231.0233,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,16323773.6314,16671810.147,1165100.5908,103536.9683,55420.8763,15777.1636,701986.5657,672742.3959,348036.5156,29249.4402,,lead_time,lead_time_scale,Lead time global,ok,local
local_transport_cost_scale_low,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_transport_cost_scale_low/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_transport_cost_scale_low/simulation_output,low,0.9,1028769.1852,0.975869,0.003628,0.020503,1710.3884,1027272.0898,0.901702,667254.1516,15276158.152,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,53970.4932,14907532.2588,15220737.7134,1064676.8487,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,313205.4546,29247.6162,,transport_cost,transport_cost_scale,Cout transport global,ok,local
local_transport_cost_scale_high,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_transport_cost_scale_high/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_transport_cost_scale_high/simulation_output,high,1.1,1028769.1852,0.971443,0.003611,0.024945,1710.3884,1027272.0898,0.901702,667254.1516,15345759.3641,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,58892.3045,14907532.2588,15290338.9256,1064676.8487,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,382806.6667,29247.6162,,transport_cost,transport_cost_scale,Cout transport global,ok,local
local_supplier_stock_scale_low,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_stock_scale_low/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_stock_scale_low/simulation_output,low,0.9,1027860.8945,0.973588,0.003665,0.022748,1666.6124,1020654.6103,0.904218,661048.8013,15298257.118,17400.0,605405.4211,615269.0067,615269.0067,555423.2998,57082.0196,14894191.9535,15242192.0198,1064676.8487,103536.9683,56065.0982,15733.3876,701942.4148,673092.9036,348000.0663,29247.6006,,supplier_stock,supplier_stock_scale,Stock fournisseur global,ok,local
local_supplier_stock_scale_high,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_stock_scale_high/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_supplier_stock_scale_high/simulation_output,high,1.1,1029928.9221,0.973729,0.003566,0.022705,1688.5004,1024858.4522,0.90296,664490.958,15327068.2608,17400.0,605068.2458,615139.1451,615139.1451,555496.7327,55670.1868,14924409.4799,15272406.5033,1064676.8487,103536.9683,54661.7575,15711.4996,701926.3132,673551.346,347997.0233,29246.9297,,supplier_stock,supplier_stock_scale,Stock fournisseur global,ok,local
local_production_stock_scale_low,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_production_stock_scale_low/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_production_stock_scale_low/simulation_output,low,0.9,1029260.9248,0.973664,0.003618,0.022718,1666.6124,1021512.8282,0.904218,661631.466,15320159.9875,17400.0,605662.505,615705.5085,615705.5085,555853.6437,56460.1442,14916683.0358,15264728.784,1064712.8487,103536.9683,55431.2034,15733.3876,702061.1003,672742.3959,348045.7482,29252.5458,,production_stock,production_stock_scale,Stock production global,ok,local
local_production_stock_scale_high,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_production_stock_scale_high/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_production_stock_scale_high/simulation_output,high,1.1,1029100.7802,0.97366,0.003618,0.022722,1644.7244,1022704.8463,0.905476,662659.7721,15314990.4962,17400.0,605257.5257,614703.9605,614703.9605,554720.4042,56400.0513,14911590.8541,15259577.5437,1064640.8487,103536.9683,55412.9525,15755.2756,702239.1042,672742.3959,347986.6896,29259.9627,,production_stock,production_stock_scale,Stock production global,ok,local
local_capacity_scale_low,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_capacity_scale_low/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_capacity_scale_low/simulation_output,low,0.95,974914.0843,0.972267,0.003812,0.023921,1681.5884,976229.6044,0.903357,665157.2392,14532730.9435,17400.0,607204.5243,620037.5683,620037.5683,602976.4254,56701.8911,14129697.5464,14477338.069,1011425.0063,103295.8283,55392.8744,15718.4116,700929.5352,798739.2537,347640.5227,29205.3973,,capacity_global,capacity_scale,Capacite globale,ok,local
local_capacity_scale_high,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_capacity_scale_high/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/local/local_capacity_scale_high/simulation_output,high,1.05,1082578.5304,0.974782,0.003455,0.021763,1617.5658,1085603.3343,0.907036,668672.5218,16091513.691,17400.0,615047.4712,617344.8993,617344.8993,508654.9914,56665.2666,15685718.6641,16035922.7283,1117928.6912,103714.6223,55590.9627,15782.4342,706817.3917,584712.8833,350204.0642,29450.7247,,capacity_global,capacity_scale,Capacite globale,ok,local
