baseline::avg_inventory,baseline::ending_backlog,baseline::fill_rate,baseline::total_cost,baseline::total_external_procured_ordered_qty,case_id,case_input,case_output_dir,delta::avg_inventory,delta::ending_backlog,delta::fill_rate,delta::total_cost,delta::total_external_procured_ordered_qty,delta_pct::avg_inventory,delta_pct::ending_backlog,delta_pct::fill_rate,delta_pct::total_cost,delta_pct::total_external_procured_ordered_qty,direction,factor_value,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,notes,parameter_group,parameter_key,parameter_label,status,study
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_lead_time_scale_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_lead_time_scale_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_lead_time_scale_stress/simulation_output,93676.82120000012,-18.011999999999944,0.0010350000000000081,1347232.1225000005,-46.02710000006482,9.105718031570774,-1.0530941393194635,0.11478293272056711,8.79913625126363,-0.0074813269608919155,stress,1.25,1122446.0064,0.975784,0.003326,0.02089,1692.3764,1115745.3177,0.902737,654306.5204,16658190.8806,17400.0,605220.8786,615180.3925,615180.3925,555242.4982,56420.1005,16254799.9927,16602781.9544,1166066.0626,103532.7626,55408.9262,15707.6236,701891.7627,673100.1834,347981.9617,29245.4901,,lead_time,lead_time_scale,Lead time global,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_transport_cost_scale_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_transport_cost_scale_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_transport_cost_scale_stress/simulation_output,0.0,0.0,0.0,87001.51510000043,0.0,0.0,0.0,0.0,0.5682303536607319,0.0,stress,1.25,1028769.1852,0.96815,0.003599,0.028251,1710.3884,1027272.0898,0.901702,667254.1516,15397960.2732,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,62583.6631,14907532.2588,15342539.8347,1064676.8487,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,435007.5758,29247.6162,,transport_cost,transport_cost_scale,Cout transport global,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_supplier_stock_scale_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_stock_scale_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_stock_scale_stress/simulation_output,-176.67859999998473,21.88799999999992,-0.0012579999999999814,-684.9725999999791,80.95549999992363,-0.017173784221155224,1.2797093338565626,-0.13951394141301465,-0.004473740742313777,0.013158651420164667,stress,0.8,1028592.5066,0.973548,0.00372,0.022731,1732.2764,1019739.4318,0.900444,660512.4334,15310273.7855,17400.0,605528.5799,615307.3751,615307.3751,555609.7333,57973.1811,14905293.2327,15253316.0645,1064676.8487,103536.9683,56957.721,15667.7236,701978.447,673462.012,348022.8318,29249.102,,supplier_stock,supplier_stock_scale,Stock fournisseur global,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_production_stock_scale_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_production_stock_scale_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_production_stock_scale_stress/simulation_output,-1032.2542999999132,-64.46590000000015,0.0037049999999999583,-11179.742799999192,963.2073000000091,-0.10033876547334918,-3.7690795844967226,0.41088962872434115,-0.07301791466249455,0.1565614332079976,stress,0.8,1027736.9309,0.973627,0.003624,0.022749,1645.9225,1026400.2352,0.905407,666569.691,15299779.0153,17400.0,606176.0617,616189.6269,616189.6269,556326.2353,56488.5792,14896281.2179,15244337.8509,1064757.2487,103535.6683,55441.1644,15754.0775,702224.4646,672796.6906,348056.633,29259.3527,,production_stock,production_stock_scale,Stock production global,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_supplier_capacity_scale_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_capacity_scale_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_capacity_scale_stress/simulation_output,-789.1126999999397,-43.77600000000007,0.0025159999999999627,-10139.077099999413,-426.6598000000231,-0.07670454280242954,-2.5594186677131385,0.2790278828260293,-0.06622104637722642,-0.0693500451878226,stress,0.8,1027980.0725,0.973678,0.003618,0.022703,1666.6124,1026295.8222,0.904218,664693.5902,15300819.681,17400.0,605506.0781,614799.7598,614799.7598,567900.9973,56378.8589,14898078.818,15245456.6055,1064676.8487,103536.9683,55363.0755,15733.3876,700631.3755,1683872.387,347377.7875,29192.974,,supplier_capacity_global,supplier_capacity_scale,Debit fournisseur global,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_supplier_reliability_scale_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_reliability_scale_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_supplier_reliability_scale_stress/simulation_output,647.0624000000535,2945.5677000000005,-0.16928600000000005,21337.48909999989,70703.6533,0.06289675170181735,172.21630478784823,-18.774051737713794,0.13936089461877532,11.492297965027118,stress,0.9,1029416.2476,0.973166,0.004076,0.022758,4655.9561,1024046.0456,0.732416,653938.4039,15332296.2472,17400.0,679041.5858,685930.0729,685930.0729,677183.0394,65359.3981,14920868.4188,15269798.5296,1064676.8487,113115.1794,62497.7176,12744.0439,697538.6263,1094284.0089,348930.1108,109797.7467,,supplier_reliability_global,supplier_reliability_scale,Fiabilite fournisseur globale,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_safety_stock_days_scale_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_safety_stock_days_scale_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_safety_stock_days_scale_stress/simulation_output,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stress,0.8,1028769.1852,0.973651,0.00362,0.022729,1710.3884,1027272.0898,0.901702,667254.1516,15310958.7581,17400.0,605244.0648,615226.4196,615226.4196,555247.0628,56431.3989,14907532.2588,15255538.3195,1064676.8487,103536.9683,55420.4386,15689.6116,701942.7897,672742.3959,348006.0607,29247.6162,,safety_stock,safety_stock_days_scale,Safety stock global,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_demand_item_item_268091_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_demand_item_item_268091_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_demand_item_item_268091_stress/simulation_output,-820.577699999907,1260.5795999999998,-0.056925,-8441.817299999297,2895.3660999999847,-0.07976305198530816,73.70136514022194,-6.313061299631142,-0.055135784984942884,0.4706179721414527,stress,1.2,1027948.6075,0.97353,0.003659,0.022811,2970.968,1016654.307,0.844777,660319.2729,15302516.9408,19140.0,608065.2544,618121.7857,618121.7857,560548.9827,56910.1799,14897460.251,15246520.5906,1064676.8487,103993.4227,55996.3502,16169.032,705674.9431,675583.4293,349060.3396,29403.1226,,demand_item,demand_item::item:268091,Demande 268091,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_demand_item_item_268967_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_demand_item_item_268967_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_demand_item_item_268967_stress/simulation_output,-1382.1632999998983,1304.3556,-0.05921200000000004,2826.3595000002533,35345.26650000003,-0.1343511566913035,76.2607838079351,-6.566692765459104,0.01845971597634287,5.745082684027184,stress,1.2,1027387.0219,0.972322,0.003803,0.023875,3014.744,1020821.0888,0.84249,692248.5317,15313785.1176,19140.0,637419.263,650571.6861,650571.6861,636180.9512,59684.3607,14889935.836,15255548.6154,1064676.8487,108533.6988,58236.5021,16125.256,735701.9852,843308.6987,365612.7795,30654.2494,,demand_item,demand_item::item:268967,Demande 268967,ok,stress
1028769.1852,1710.3884,0.901702,15310958.7581,615226.4196,stress_capacity_node_M-1430_stress,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_capacity_node_M-1430_stress/input_case.json,etudecas/simulation/sensibility/annual_realistic_result/cases/stress/stress_capacity_node_M-1430_stress/simulation_output,-8050.096699999995,723.7266999999999,-0.04159400000000002,-139713.50729999878,-55344.30660000001,-0.7824978445903781,42.313587954642344,-4.61283217737124,-0.9125065876497496,-8.995762346484252,stress,0.85,1020719.0885,0.976016,0.003303,0.020682,2434.1151,1020610.4272,0.860108,601958.3431,15171245.2508,17400.0,548631.1784,559882.113,559882.113,546858.3072,50927.0245,14807372.4126,15121139.6297,1053413.3139,93530.9593,50105.621,14965.8849,635050.8633,717719.9068,313767.2171,26460.4526,,capacity_node,capacity_node::M-1430,Capacite M-1430,ok,stress
