shock_name,type,target,exogenous_severity,amplitude_rel,lost_area_rel,area_rel_norm,recovery_time,cost_delta_rel,score
mode_ban::road,mode_ban,road,10.0,0.5559633027522936,0.055596608251321226,0.0055596608251321225,14,0.003474788015707683,0.7208242780528564
material_block::Al,material_block,Al,5.405405405405405,0.4324324324324324,0.043243459455135205,0.008000039999200013,14,0.002702716215945884,0.7657206646407613
site_shutdown::PLANT_FR,site_shutdown,PLANT_FR,4.2105263157894735,0.42105263157894735,0.04210547368000008,0.01000004999900002,14,0.0026315921050000194,0.7694297699572324
node_closed::PLANT_FR,node_closed,PLANT_FR,10.0,0.34128440366972485,0.03412861100576154,0.003412861100576154,14,0.0021330381878601657,0.7925852003888821
material_block::Foam,material_block,Foam,4.324324324324325,0.34594594594594597,0.034594767564108175,0.008000039999200015,14,0.0021621729727568585,0.7939098650459423
"route_blocked::('SUP_Al', 'PLANT_FR', 'road')",route_blocked,"('SUP_Al', 'PLANT_FR', 'road')",4.587155963302752,0.3211009174311927,0.03211025229036703,0.007000034999300012,14,0.002006890768147779,0.7993319537709017
site_shutdown::PLANT_US,site_shutdown,PLANT_US,3.1578947368421053,0.31578947368421056,0.03157910526000006,0.010000049999000019,14,0.001973694078750062,0.8037389941345909
"route_drop60::('SUP_Al', 'PLANT_FR', 'road')",capacity_drop,"('SUP_Al', 'PLANT_FR', 'road')",2.7522935779816518,0.2752293577981652,0.02752307339174318,0.010000049999000022,14,0.001720192086983919,0.8146654841845824
node_closed::SUP_Al,node_closed,SUP_Al,10.0,0.2752293577981652,0.02752307339174318,0.0027523073391743182,14,0.001720192086983919,0.8146654841845824
material_drop50::Al,material_capacity_drop,Al,2.7027027027027026,0.27027027027027034,0.027027162159459515,0.01000004999900002,14,0.001689197634966225,0.8185754154004757
site_shutdown::PLANT_UK,site_shutdown,PLANT_UK,2.631578947368421,0.26315789473684204,0.026315921050000052,0.01000004999900002,14,0.001644745065625178,0.8208936062232702
material_drop50::Foam,material_capacity_drop,Foam,2.1621621621621623,0.21621621621621628,0.021621729727567613,0.01000004999900002,13,0.001351358107972942,0.8428603323203806
site_drop40::PLANT_FR,site_capacity_drop,PLANT_FR,1.6842105263157894,0.16842105263157892,0.01684218947200003,0.010000049999000019,13,0.0010526368419999698,0.8584385746495596
"leadtime_spike+3::('SUP_Al', 'PLANT_FR', 'road')",leadtime_spike,"('SUP_Al', 'PLANT_FR', 'road')",13.761467889908257,0.15,0.01500007499850003,0.001090005449891002,13,0.0009375046874062794,0.8631926888805974
