case_id,delta::kpi::avg_inventory,delta::kpi::cost_share_holding,delta::kpi::cost_share_purchase,delta::kpi::cost_share_transport,delta::kpi::ending_backlog,delta::kpi::ending_inventory,delta::kpi::fill_rate,delta::kpi::total_arrived,delta::kpi::total_cost,delta::kpi::total_demand,delta::kpi::total_external_procured_arrived_qty,delta::kpi::total_external_procured_ordered_qty,delta::kpi::total_external_procured_qty,delta::kpi::total_external_procured_rejected_qty,delta::kpi::total_external_procurement_cost,delta::kpi::total_holding_cost,delta::kpi::total_logistics_cost,delta::kpi::total_opening_stock_bootstrap_qty,delta::kpi::total_produced,delta::kpi::total_purchase_cost,delta::kpi::total_served,delta::kpi::total_shipped,delta::kpi::total_supplier_capacity_binding_qty,delta::kpi::total_transport_cost,delta::kpi::total_unreliable_loss_qty,delta_pct::kpi::avg_inventory,delta_pct::kpi::cost_share_holding,delta_pct::kpi::cost_share_purchase,delta_pct::kpi::cost_share_transport,delta_pct::kpi::ending_backlog,delta_pct::kpi::ending_inventory,delta_pct::kpi::fill_rate,delta_pct::kpi::total_arrived,delta_pct::kpi::total_cost,delta_pct::kpi::total_demand,delta_pct::kpi::total_external_procured_arrived_qty,delta_pct::kpi::total_external_procured_ordered_qty,delta_pct::kpi::total_external_procured_qty,delta_pct::kpi::total_external_procured_rejected_qty,delta_pct::kpi::total_external_procurement_cost,delta_pct::kpi::total_holding_cost,delta_pct::kpi::total_logistics_cost,delta_pct::kpi::total_opening_stock_bootstrap_qty,delta_pct::kpi::total_produced,delta_pct::kpi::total_purchase_cost,delta_pct::kpi::total_served,delta_pct::kpi::total_shipped,delta_pct::kpi::total_supplier_capacity_binding_qty,delta_pct::kpi::total_transport_cost,delta_pct::kpi::total_unreliable_loss_qty,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,level,parameter,value
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,510732.0373,0.983887,0.00816,0.007952,1305.4388,498260.0882,0.551781,9704.5484,1240862.8524,2912.5,0.0,0.0,0.0,0.0,0.0,1220869.2002,1230736.8043,529924.7449,4283.4377,10126.0482,1607.0612,11210.4754,2401.7599,9867.6041,0.0,base,baseline,1.0
baseline_repeat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,510732.0373,0.983887,0.00816,0.007952,1305.4388,498260.0882,0.551781,9704.5484,1240862.8524,2912.5,0.0,0.0,0.0,0.0,0.0,1220869.2002,1230736.8043,529924.7449,4283.4377,10126.0482,1607.0612,11210.4754,2401.7599,9867.6041,0.0,repeat,baseline,1.0
lead_time_scale_low,-252232.45760000002,-0.013749999999999929,0.007297999999999999,0.006451999999999999,661.5782000000002,-241650.5316,-0.22715199999999997,-1528.9534999999996,-607884.8698,0.0,0.0,0.0,0.0,0.0,0.0,-606793.7465000001,-607543.6203,-261905.47750000004,-694.2047000000002,-341.2496999999985,-661.5782000000002,-2227.7187999999987,-73.39899999999989,-749.8738000000012,0.0,-49.38645692434615,-1.3975182109327524,89.43627450980391,81.13682092555331,50.67860707066468,-48.49887384578197,-41.16705722016524,-15.755019574120519,-48.988884518886735,0.0,nan,nan,nan,nan,nan,-49.70178184531124,-49.36421972409848,-49.42314545991302,-16.206718729678272,-3.3700185231193993,-41.166957425143494,-19.871760300192076,-3.056050690162655,-7.599350282000077,nan,258499.5797,0.970137,0.015458,0.014404,1967.017,256609.5566,0.324629,8175.5949,632977.9826,2912.5,0.0,0.0,0.0,0.0,0.0,614075.4537,623193.184,268019.2674,3589.233,9784.7985,945.483,8982.7566,2328.3609,9117.7303,0.0,low,lead_time_scale,0.5
lead_time_scale_high,47902.073799999955,0.0014010000000000966,-0.0006620000000000003,-0.0007380000000000008,220.79880000000003,47637.15989999997,-0.07581099999999996,-1144.5298000000003,114091.76530000009,0.0,0.0,0.0,0.0,0.0,0.0,114151.39599999995,114057.93280000007,50332.554999999935,-70.04040000000077,33.83230000000003,-220.79880000000003,-199.04569999999876,65.8116,-93.46320000000014,0.0,9.379101035689024,0.14239440098304953,-8.112745098039218,-9.280684104627776,16.913761104695222,9.560701534833465,-13.739327740534735,-11.793746115996498,9.19455079820714,0.0,nan,nan,nan,nan,nan,9.350010302602435,9.267451204961098,9.498057126865813,-1.6351445942589704,0.3341115836284488,-13.739290078062991,-1.7755330875620028,2.740140677675566,-0.9471721712061809,nan,558634.1111,0.985288,0.007498,0.007214,1526.2376,545897.2481,0.47597,8560.0186,1354954.6177,2912.5,0.0,0.0,0.0,0.0,0.0,1335020.5962,1344794.7371,580257.2999,4213.3973,10159.8805,1386.2624,11011.4297,2467.5715,9774.1409,0.0,high,lead_time_scale,1.8
transport_cost_scale_low,0.0,0.006300000000000083,5.299999999999923e-05,-0.006351000000000001,0.0,0.0,0.0,0.0,-7894.083300000057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7894.083300000057,0.0,0.0,0.0,0.0,0.0,0.0,-7894.0833,0.0,0.0,0.640317434827382,0.6495098039215591,-79.86670020120724,0.0,0.0,0.0,0.0,-0.6361769380662666,0.0,nan,nan,nan,nan,nan,0.0,-0.6414111670683266,0.0,0.0,0.0,0.0,0.0,0.0,-80.00000020268344,nan,510732.0373,0.990187,0.008213,0.001601,1305.4388,498260.0882,0.551781,9704.5484,1232968.7691,2912.5,0.0,0.0,0.0,0.0,0.0,1220869.2002,1222842.721,529924.7449,4283.4377,10126.0482,1607.0612,11210.4754,2401.7599,1973.5208,0.0,low,transport_cost_scale,0.2
transport_cost_scale_high,0.0,-0.007761999999999936,-6.399999999999982e-05,0.007827,0.0,0.0,0.0,0.0,9867.604100000113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9867.604100000113,0.0,0.0,0.0,0.0,0.0,0.0,9867.6041,0.0,0.0,-0.7889117347825446,-0.7843137254901938,98.42806841046277,0.0,0.0,0.0,0.0,0.7952211705681096,0.0,nan,nan,nan,nan,nan,0.0,0.8017639568041082,0.0,0.0,0.0,0.0,0.0,0.0,100.0,nan,510732.0373,0.976125,0.008096,0.015779,1305.4388,498260.0882,0.551781,9704.5484,1250730.4565,2912.5,0.0,0.0,0.0,0.0,0.0,1220869.2002,1240604.4084,529924.7449,4283.4377,10126.0482,1607.0612,11210.4754,2401.7599,19735.2082,0.0,high,transport_cost_scale,2.0
supplier_stock_scale_low,-3386.0867000000435,0.010460000000000025,-0.006145000000000001,-0.004314,159.50160000000005,-2803.9824999999837,-0.05476499999999995,-1056.4575999999997,-21509.638599999947,0.0,0.0,0.0,0.0,0.0,0.0,-8408.844000000041,-13840.838699999964,0.0,-164.09110000000055,-7668.799999999999,-159.50160000000005,-1793.4902999999995,-1657.0311000000002,-5431.9947,0.0,-0.6629869388849563,1.0631302171895782,-75.30637254901961,-54.25050301810865,12.218236504078174,-0.56275478739017,-9.925133340945042,-10.88621084109385,-1.7334420607722552,0.0,nan,nan,nan,nan,nan,-0.6887587956697181,-1.1245977735972679,0.0,-3.830827281554732,-75.73339419814336,-9.925048280675313,-15.99834294270874,-68.99237096930464,-55.048770146747174,nan,507345.9506,0.994347,0.002015,0.003638,1464.9404,495456.1057,0.497016,8648.0908,1219353.2138,2912.5,0.0,0.0,0.0,0.0,0.0,1212460.3562,1216895.9656,529924.7449,4119.3466,2457.2482,1447.5596,9416.9851,744.7288,4435.6094,0.0,low,supplier_stock_scale,0.2
supplier_stock_scale_high,3233.3290999999736,-0.00987299999999991,0.005807,0.0040669999999999994,60.04860000000008,3454.842400000023,-0.020617999999999914,375.45470000000023,20373.563599999994,0.0,0.0,0.0,0.0,0.0,0.0,7592.654600000009,12884.023599999957,0.0,0.0,7489.5398000000005,-60.04860000000008,1444.6609000000008,2501.2771000000002,5291.368999999999,0.0,0.6330773994701925,-1.003468894293746,71.1642156862745,51.14436619718309,4.599878600207079,0.6933813246974863,-3.736627393839207,3.868852877275569,1.6418868177570722,0.0,nan,nan,nan,nan,nan,0.6219056553114942,1.046854498458583,0.0,0.0,73.9631063577201,-3.736547183143994,12.886705054452916,104.14351159747484,53.62364507509982,nan,513965.3664,0.974014,0.013967,0.012019,1365.4874,501714.9306,0.531163,10080.0031,1261236.416,2912.5,0.0,0.0,0.0,0.0,0.0,1228461.8548,1243620.8279,529924.7449,4283.4377,17615.588,1547.0126,12655.1363,4903.037,15158.9731,0.0,high,supplier_stock_scale,1.8
supplier_capacity_scale_low,87.83859999995911,6.60000000000105e-05,-8.000000000001062e-06,-5.800000000000076e-05,85.2447000000002,-8.71850000001723,-0.02926899999999999,-490.2960000000003,-42.124599999981,0.0,0.0,0.0,0.0,0.0,0.0,40.19790000002831,-31.853899999987334,0.0,-83.78260000000046,-10.270799999998417,-85.2447000000002,-167.67479999999887,11837.0681,-72.0518000000011,0.0,0.017198568639696165,0.0067080874124783125,-0.09803921568628751,-0.7293762575452811,6.529965249998713,-0.0017497889569107231,-5.304459559136685,-5.052228911548324,-0.003394782905984027,0.0,nan,nan,nan,nan,nan,0.0032925640186060212,-0.0025881975649622926,0.0,-1.9559663491779151,-0.10142949941714101,-5.304384176532928,-1.4956974973603607,492.8497682053897,-0.730185354720515,nan,510819.8759,0.983953,0.008152,0.007894,1390.6835,498251.3697,0.522512,9214.2524,1240820.7278,2912.5,0.0,0.0,0.0,0.0,0.0,1220909.3981,1230704.9504,529924.7449,4199.6551,10115.7774,1521.8165,11042.8006,14238.828,9795.5523,0.0,low,supplier_capacity_scale,0.2
supplier_capacity_scale_high,-184.69800000003306,-1.599999999990498e-05,2.999999999999531e-06,1.2999999999999123e-05,-9.321899999999914,-63.36999999999534,0.0031999999999999806,-35.40439999999944,-403.5830999999307,0.0,0.0,0.0,0.0,0.0,0.0,-416.7399999999907,-403.7695999999996,0.0,0.0,0.1864000000005035,9.321899999999914,18.643700000000536,-1294.5261,12.970400000000154,0.0,-0.03616338637702159,-0.0016262030090757355,0.03676470588234719,0.1634808853118602,-0.7140817325178258,-0.012718257291874206,0.5799402299100513,-0.3648227464144488,-0.03252439213724106,0.0,nan,nan,nan,nan,nan,-0.03413469681532807,-0.03280714435363373,0.0,0.0,0.001840797084103387,0.5800588054767244,0.16630606049053492,-53.89906376569948,0.1314442682190721,nan,510547.3393,0.983871,0.008163,0.007965,1296.1169,498196.7182,0.554981,9669.144,1240459.2693,2912.5,0.0,0.0,0.0,0.0,0.0,1220452.4602,1230333.0347,529924.7449,4283.4377,10126.2346,1616.3831,11229.1191,1107.2338,9880.5745,0.0,high,supplier_capacity_scale,1.8
