acceptable_levels,baseline_fill_rate,baseline_total_cost,cost_warning_level,ending_backlog_cross_threshold_at,ending_backlog_monotonicity,fill_rate_cross_service_threshold_at,fill_rate_max,fill_rate_min,fill_rate_monotonicity,first_unacceptable_level,levels,max_external_procured_qty_delta,max_fill_rate_drop,max_total_cost_increase,parameter_group,parameter_key,parameter_label,safe_band_high,safe_band_low,safe_direction,total_cost_cross_threshold_at,total_cost_monotonicity
"[0.01, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,70614106.5952,,,flat,0.05,1.0,1.0,flat,0.05,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",0.0,0.0,0.0,supplier_capacity_node,supplier_capacity_node::SDC-VD0993480A,Capacite fournisseur SDC-VD0993480A,1.0,0.01,lower_is_riskier,,increasing
"[0.01, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,70614106.5952,,,flat,0.05,1.0,1.0,flat,0.05,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",0.0,0.0,0.0,supplier_capacity_global,supplier_capacity_scale,Capacite fournisseur globale,1.0,0.01,lower_is_riskier,,non_monotonic
"[0.25, 0.5, 0.75, 0.9, 1.0]",1.0,70614106.5952,0.01,,flat,0.01,1.0,1.0,flat,0.01,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",932824480.2062001,0.0,32961409.223800004,supplier_stock_global,supplier_stock_scale,Stock fournisseur global,1.0,0.25,lower_is_riskier,0.01,non_monotonic
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,70614106.5952,,,flat,,1.0,1.0,flat,,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",0.0,0.0,0.0,supplier_capacity_node,supplier_capacity_node::SDC-VD0500655A,Capacite fournisseur SDC-VD0500655A,1.0,0.01,lower_is_riskier,,flat
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,70614106.5952,,,flat,,1.0,1.0,flat,,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",0.0,0.0,0.0,supplier_capacity_node,supplier_capacity_node::SDC-VD0505677A,Capacite fournisseur SDC-VD0505677A,1.0,0.01,lower_is_riskier,,flat
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,70614106.5952,,,flat,,1.0,1.0,flat,,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",0.0,0.0,0.0,supplier_capacity_node,supplier_capacity_node::SDC-VD0508918A,Capacite fournisseur SDC-VD0508918A,1.0,0.01,lower_is_riskier,,increasing
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,70614106.5952,,,flat,,1.0,1.0,flat,,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",0.0,0.0,0.0,supplier_capacity_node,supplier_capacity_node::SDC-VD0514881A,Capacite fournisseur SDC-VD0514881A,1.0,0.01,lower_is_riskier,,flat
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,70614106.5952,,,flat,,1.0,1.0,flat,,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",215343.6684000492,0.0,151262.91210000217,supplier_capacity_node,supplier_capacity_node::SDC-VD0518684A,Capacite fournisseur SDC-VD0518684A,1.0,0.01,lower_is_riskier,,non_monotonic
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,70614106.5952,,,flat,,1.0,1.0,flat,,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",707882.7439000607,0.0,26116.691799998283,supplier_capacity_node,supplier_capacity_node::SDC-VD0519670A,Capacite fournisseur SDC-VD0519670A,1.0,0.01,lower_is_riskier,,decreasing
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,70614106.5952,,,flat,,1.0,1.0,flat,,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",276023.0404000282,0.0,31783.33339999616,supplier_capacity_node,supplier_capacity_node::SDC-VD0520115A,Capacite fournisseur SDC-VD0520115A,1.0,0.01,lower_is_riskier,,non_monotonic
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,70614106.5952,,,flat,,1.0,1.0,flat,,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",0.0,0.0,0.0,supplier_capacity_node,supplier_capacity_node::SDC-VD0520132A,Capacite fournisseur SDC-VD0520132A,1.0,0.01,lower_is_riskier,,flat
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,70614106.5952,,,flat,,1.0,1.0,flat,,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",0.0,0.0,0.0,supplier_capacity_node,supplier_capacity_node::SDC-VD0525412A,Capacite fournisseur SDC-VD0525412A,1.0,0.01,lower_is_riskier,,increasing
