case_id,case_input,case_output_dir,guard::backlog_days,guard::max_daily_backlog_qty,guard::min_daily_service_rate,guard::raw_material_max_safety_floor_gap_qty,guard::raw_material_max_target_gap_qty,guard::raw_material_safety_floor_breach_days,guard::raw_material_safety_floor_breach_pairs,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_inventory_risk,kpi::cost_share_production,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::cost_share_warehouse_operating,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::measured_required_total,kpi::measurement_starting_backlog,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_estimated_source_ordered_qty,kpi::total_estimated_source_rejected_qty,kpi::total_estimated_source_replenished_qty,kpi::total_explicit_initialization_pipeline_qty,kpi::total_explicit_initialization_stock_qty,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_inventory_cost_legacy_raw_holding,kpi::total_inventory_risk_cost,kpi::total_logistics_cost,kpi::total_opening_open_order_qty,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_production_cost,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,kpi::total_warehouse_operating_cost,kpi::warmup_backlog_cleared_qty,level,parameter_group,parameter_key,parameter_label,safe_direction,status
baseline,etudecas\simulation\sensibility\active_supplier_parameter_result_external_procurement_leads\cases\baseline\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_external_procurement_leads\cases\baseline\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,140.0,8.0,591479052.893,0.145215,0.08298,0.3,0.206543,0.078556,0.186705,0.0,511042420.1437,1.0,25762139.9999,0.0,709205613.0108,70614106.5952,25762139.9999,0.0,0.0,0.0,68338188.0,208012846.7465,605393055.0019,611862556.7491,611862556.7491,0.0,261664373.574,10254244.9942,29297842.8405,5859568.5681,34845003.1971,68338188.0,0.0,106327600.0,21184231.9786,14584871.4195,25762139.9999,643752744.0108,0.0,5547160.3566,0.0,13184029.2782,0.0,1.0,baseline,baseline,Baseline,baseline,ok
supplier_stock_scale_0_01,etudecas\simulation\sensibility\active_supplier_parameter_result_external_procurement_leads\cases\supplier_stock_scale_0_01\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_external_procurement_leads\cases\supplier_stock_scale_0_01\simulation_output,35.0,151557.272252,0.0,7595955.6435,52719042.0,172.0,10.0,1107930989.6942,0.17423,0.09956,0.3,0.149551,0.05265,0.22401,0.0,1384297088.1597,1.0,25762139.9999,0.0,773617385.2105,103575515.819,25762139.9999,0.0,0.0,0.0,68338188.0,208018727.3465,1543072198.7517,1544687036.9553,1544687036.9553,0.0,345992503.5288,18045930.5446,51559801.5559,10311960.3112,57013037.2916,68338188.0,0.0,117423200.0,31072654.7457,15489823.7817,25762139.9999,706937284.2105,0.0,5453235.7357,0.0,23201910.7002,0.0,0.01,supplier_stock_global,supplier_stock_scale,Stock fournisseur global,lower_is_riskier,ok
supplier_stock_scale_0_25,etudecas\simulation\sensibility\active_supplier_parameter_result_external_procurement_leads\cases\supplier_stock_scale_0_25\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_external_procurement_leads\cases\supplier_stock_scale_0_25\simulation_output,2.0,5653.408164,0.0,7263350.6084,26699571.6,106.0,8.0,597031741.757,0.152959,0.087405,0.3,0.191963,0.071012,0.196662,0.0,486992259.03,1.0,25762139.9999,0.0,708790353.213,76136575.8006,25762139.9999,0.0,0.0,0.0,68338188.0,208017301.7465,625043708.7527,626585171.4346,626585171.4346,0.0,271173826.3254,11645771.493,33273632.8373,6654726.5675,38680210.18,68338188.0,0.0,113799000.0,22840972.7402,14615392.8804,25762139.9999,641737458.213,0.0,5406577.3428,0.0,14973134.7768,0.0,0.25,supplier_stock_global,supplier_stock_scale,Stock fournisseur global,lower_is_riskier,ok
supplier_stock_scale_0_5,etudecas\simulation\sensibility\active_supplier_parameter_result_external_procurement_leads\cases\supplier_stock_scale_0_5\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_external_procurement_leads\cases\supplier_stock_scale_0_5\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,109.0,8.0,579406686.6677,0.147416,0.084238,0.3,0.200024,0.078788,0.189535,0.0,460069530.7566,1.0,25762139.9999,0.0,698542069.8132,67771428.8118,25762139.9999,0.0,0.0,0.0,68338188.0,208015816.7465,589552321.3555,597456440.1327,597456440.1327,0.0,259021826.1034,9990598.5067,28544567.162,5708913.4324,33884118.7087,68338188.0,0.0,113482600.0,20331428.6435,13555881.4596,25762139.9999,633736386.8132,0.0,5339551.5467,0.0,12845055.2229,0.0,0.5,supplier_stock_global,supplier_stock_scale,Stock fournisseur global,lower_is_riskier,ok
supplier_stock_scale_0_75,etudecas\simulation\sensibility\active_supplier_parameter_result_external_procurement_leads\cases\supplier_stock_scale_0_75\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_external_procurement_leads\cases\supplier_stock_scale_0_75\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,119.0,8.0,598012468.6507,0.148385,0.084791,0.3,0.193266,0.082777,0.190781,0.0,498862109.2058,1.0,25762139.9999,0.0,707487714.0258,67864610.5203,25762139.9999,0.0,0.0,0.0,68338188.0,208014331.7465,601991633.1878,603822221.9228,603822221.9228,0.0,258418150.8109,10070094.561,28771698.7457,5754339.7491,34389316.3527,68338188.0,0.0,109844000.0,20359383.1561,13115911.0115,25762139.9999,640737450.0258,0.0,5617617.607,0.0,12947264.4356,0.0,0.75,supplier_stock_global,supplier_stock_scale,Stock fournisseur global,lower_is_riskier,ok
supplier_stock_scale_0_9,etudecas\simulation\sensibility\active_supplier_parameter_result_external_procurement_leads\cases\supplier_stock_scale_0_9\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_external_procurement_leads\cases\supplier_stock_scale_0_9\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,128.0,8.0,580958054.276,0.141025,0.080585,0.3,0.220504,0.076569,0.181317,0.0,495317874.3789,1.0,25762139.9999,0.0,702100290.4077,70138033.2658,25762139.9999,0.0,0.0,0.0,68338188.0,208013440.7465,601363698.9853,607578278.7849,607578278.7849,0.0,262974778.215,9891181.611,28260518.8886,5652103.7777,33630936.1964,68338188.0,0.0,106478600.0,21041409.9798,15465687.0897,25762139.9999,642882421.4077,0.0,5370417.3079,0.0,12717233.4999,0.0,0.9,supplier_stock_global,supplier_stock_scale,Stock fournisseur global,lower_is_riskier,ok
supplier_stock_scale_1_0,etudecas\simulation\sensibility\active_supplier_parameter_result_external_procurement_leads\cases\supplier_stock_scale_1_0\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_external_procurement_leads\cases\supplier_stock_scale_1_0\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,140.0,8.0,591479052.893,0.145215,0.08298,0.3,0.206543,0.078556,0.186705,0.0,511042420.1437,1.0,25762139.9999,0.0,709205613.0108,70614106.5952,25762139.9999,0.0,0.0,0.0,68338188.0,208012846.7465,605393055.0019,611862556.7491,611862556.7491,0.0,261664373.574,10254244.9942,29297842.8405,5859568.5681,34845003.1971,68338188.0,0.0,106327600.0,21184231.9786,14584871.4195,25762139.9999,643752744.0108,0.0,5547160.3566,0.0,13184029.2782,0.0,1.0,supplier_stock_global,supplier_stock_scale,Stock fournisseur global,lower_is_riskier,ok
supplier_capacity_scale_0_01,etudecas\simulation\sensibility\active_supplier_parameter_result_external_procurement_leads\cases\supplier_capacity_scale_0_01\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_external_procurement_leads\cases\supplier_capacity_scale_0_01\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,131.0,8.0,592603250.585,0.145717,0.083267,0.3,0.204945,0.07872,0.18735,0.0,515452068.6808,1.0,25762139.9999,0.0,709189787.1288,70415425.6226,25762139.9999,0.0,0.0,0.0,68338188.0,208012846.7465,605250971.539,607405473.2862,607405473.2862,0.0,260263262.1747,10260726.1519,29316360.4339,5863272.0868,34859495.1217,68338188.0,0.0,106327600.0,21124627.6868,14431302.8141,25762139.9999,642735186.1288,7092920.204,5543134.6877,0.0,13192362.1953,0.0,0.01,supplier_capacity_global,supplier_capacity_scale,Capacite fournisseur globale,lower_is_riskier,ok
supplier_capacity_scale_0_05,etudecas\simulation\sensibility\active_supplier_parameter_result_external_procurement_leads\cases\supplier_capacity_scale_0_05\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_external_procurement_leads\cases\supplier_capacity_scale_0_05\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,144.0,8.0,592038518.487,0.145428,0.083102,0.3,0.205777,0.078715,0.186979,0.0,510751043.7991,1.0,25762139.9999,0.0,708533289.5896,70330376.8302,25762139.9999,0.0,0.0,0.0,68338188.0,208012846.7465,604554946.6573,610539459.8793,610539459.8793,0.0,261337914.5636,10227995.0693,29222843.0551,5844568.611,34758908.8337,68338188.0,0.0,106327600.0,21099113.0491,14472354.9475,25762139.9999,642788688.5896,3117907.604,5536065.7786,0.0,13150279.3748,0.0,0.05,supplier_capacity_global,supplier_capacity_scale,Capacite fournisseur globale,lower_is_riskier,ok
supplier_capacity_scale_0_1,etudecas\simulation\sensibility\active_supplier_parameter_result_external_procurement_leads\cases\supplier_capacity_scale_0_1\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_external_procurement_leads\cases\supplier_capacity_scale_0_1\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,140.0,8.0,591479052.893,0.145215,0.08298,0.3,0.206543,0.078556,0.186705,0.0,511042420.1437,1.0,25762139.9999,0.0,709205613.0108,70614106.5952,25762139.9999,0.0,0.0,0.0,68338188.0,208012846.7465,605393055.0019,611862556.7491,611862556.7491,0.0,261664373.574,10254244.9942,29297842.8405,5859568.5681,34845003.1971,68338188.0,0.0,106327600.0,21184231.9786,14584871.4195,25762139.9999,643752744.0108,453981.0,5547160.3566,0.0,13184029.2782,0.0,0.1,supplier_capacity_global,supplier_capacity_scale,Capacite fournisseur globale,lower_is_riskier,ok
