acceptable_levels,first_unacceptable_level,max_external_procured_qty_delta,max_fill_rate_drop,parameter,supplier_id,tested_levels,tested_max_acceptable_scale,tested_min_acceptable_scale
"[0.01, 0.1, 0.25, 0.5, 0.75, 1.0]",0.05,0.0,0.0,capacite_fournisseur_globale,GLOBAL,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
"[0.25, 0.5, 0.75, 0.9, 1.0]",0.01,932824480.2062001,0.0,stock_fournisseur_global,GLOBAL,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",1.0,0.25
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",,0.0,0.0,capacite_fournisseur,SDC-VD0500655A,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",,0.0,0.0,stock_fournisseur,SDC-VD0500655A,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",1.0,0.01
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",,0.0,0.0,capacite_fournisseur,SDC-VD0505677A,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",,0.0,0.0,stock_fournisseur,SDC-VD0505677A,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",1.0,0.01
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",,0.0,0.0,capacite_fournisseur,SDC-VD0508918A,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",,0.0,0.0,stock_fournisseur,SDC-VD0508918A,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",1.0,0.01
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",,0.0,0.0,capacite_fournisseur,SDC-VD0514881A,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",,0.0,0.0,stock_fournisseur,SDC-VD0514881A,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",1.0,0.01
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",,215343.6684000492,0.0,capacite_fournisseur,SDC-VD0518684A,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",,0.0,0.0,stock_fournisseur,SDC-VD0518684A,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",1.0,0.01
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",,707882.7439000607,0.0,capacite_fournisseur,SDC-VD0519670A,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",,0.0,0.0,stock_fournisseur,SDC-VD0519670A,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",1.0,0.01
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",,276023.0404000282,0.0,capacite_fournisseur,SDC-VD0520115A,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",,0.0,0.0,stock_fournisseur,SDC-VD0520115A,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",1.0,0.01
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",,0.0,0.0,capacite_fournisseur,SDC-VD0520132A,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",,0.0,0.0,stock_fournisseur,SDC-VD0520132A,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",1.0,0.01
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",,0.0,0.0,capacite_fournisseur,SDC-VD0525412A,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",,0.0,0.0,stock_fournisseur,SDC-VD0525412A,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",1.0,0.01
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",,0.0,0.0,capacite_fournisseur,SDC-VD0901566A,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",,0.0,0.0,stock_fournisseur,SDC-VD0901566A,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",1.0,0.01
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",,272687.9603999853,0.0,capacite_fournisseur,SDC-VD0910216A,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",,0.0,0.0,stock_fournisseur,SDC-VD0910216A,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",1.0,0.01
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",,355437.8806999922,0.0,capacite_fournisseur,SDC-VD0914320A,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",,44.1311000585556,0.0,stock_fournisseur,SDC-VD0914320A,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",1.0,0.01
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",,0.0,0.0,capacite_fournisseur,SDC-VD0914360C,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",,0.0,0.0,stock_fournisseur,SDC-VD0914360C,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",1.0,0.01
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",,0.0,0.0,capacite_fournisseur,SDC-VD0914690A,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
