event_id,trigger_day,start_day,end_day,supplier_id,item_id,risk_family,risk_type,multiplier,trigger_metric,trigger_value,threshold,consecutive_days,effect,notes
state_stock_stock_cover_below_5d_SDC_VD0525412A_item_333362_d30,30,31,37,SDC-VD0525412A,item:333362,stock,availability,0.95,stock_cover_below_5d,2.538961,5.0,24,Disponibilite fournisseur x0.95 pendant 7 jours,Alerte legere: declenche quand le stock fournisseur couvre moins de 5 jours de besoin pendant 5 jours consecutifs.
state_stock_stock_cover_below_3d_SDC_VD0525412A_item_333362_d30,30,31,44,SDC-VD0525412A,item:333362,stock,availability,0.85,stock_cover_below_3d,2.538961,3.0,20,Disponibilite fournisseur x0.85 pendant 14 jours,Tension stock: declenche quand le stock fournisseur couvre moins de 3 jours de besoin pendant 2 jours consecutifs.
state_stock_stock_cover_below_5d_SDC_VD0949099A_item_021081_d30,30,31,37,SDC-VD0949099A,item:021081,stock,availability,0.95,stock_cover_below_5d,3.398428,5.0,28,Disponibilite fournisseur x0.95 pendant 7 jours,Alerte legere: declenche quand le stock fournisseur couvre moins de 5 jours de besoin pendant 5 jours consecutifs.
state_stock_stock_cover_below_5d_SDC_VD0960508A_item_021081_d30,30,31,37,SDC-VD0960508A,item:021081,stock,availability,0.95,stock_cover_below_5d,3.398428,5.0,28,Disponibilite fournisseur x0.95 pendant 7 jours,Alerte legere: declenche quand le stock fournisseur couvre moins de 5 jours de besoin pendant 5 jours consecutifs.
state_stock_stock_cover_below_5d_SDC_VD0972460A_item_021081_d30,30,31,37,SDC-VD0972460A,item:021081,stock,availability,0.95,stock_cover_below_5d,3.398428,5.0,28,Disponibilite fournisseur x0.95 pendant 7 jours,Alerte legere: declenche quand le stock fournisseur couvre moins de 5 jours de besoin pendant 5 jours consecutifs.
state_stock_stock_cover_below_5d_SDC_VD0975221A_item_021081_d30,30,31,37,SDC-VD0975221A,item:021081,stock,availability,0.95,stock_cover_below_5d,3.398428,5.0,28,Disponibilite fournisseur x0.95 pendant 7 jours,Alerte legere: declenche quand le stock fournisseur couvre moins de 5 jours de besoin pendant 5 jours consecutifs.
state_stock_stock_cover_below_3d_SDC_VD0989480A_item_426331_d30,30,31,44,SDC-VD0989480A,item:426331,stock,availability,0.85,stock_cover_below_3d,0.699739,3.0,3,Disponibilite fournisseur x0.85 pendant 14 jours,Tension stock: declenche quand le stock fournisseur couvre moins de 3 jours de besoin pendant 2 jours consecutifs.
state_stock_stock_cover_below_5d_SDC_VD0993480A_item_344135_d30,30,31,37,SDC-VD0993480A,item:344135,stock,availability,0.95,stock_cover_below_5d,3.675325,5.0,24,Disponibilite fournisseur x0.95 pendant 7 jours,Alerte legere: declenche quand le stock fournisseur couvre moins de 5 jours de besoin pendant 5 jours consecutifs.
state_lead_observed_lead_ratio_above_110pct_SDC_VD0914690A_item_042342_d30,30,31,37,SDC-VD0914690A,item:042342,lead,lead_time,1.1,observed_lead_ratio_above_110pct,3.142857,1.1,13,Delai fournisseur x1.10 pendant 7 jours,Alerte delai: declenche quand le delai observe depasse 110% du delai prevu pendant 3 jours observes.
state_lead_observed_lead_ratio_above_125pct_SDC_VD0914690A_item_042342_d30,30,31,44,SDC-VD0914690A,item:042342,lead,lead_time_extra_days,3.0,observed_lead_ratio_above_125pct,3.142857,1.25,13,Delai fournisseur +3 jours pendant 14 jours,Tension delai: declenche quand le delai observe depasse 125% du delai prevu pendant 2 jours observes.
