acceptable_is_contiguous,acceptable_levels,acceptable_ranges,baseline_contiguous_safe_high,baseline_contiguous_safe_low,baseline_fill_rate,baseline_inventory_cost,baseline_line_adherence,baseline_margin_pct,baseline_product_availability,baseline_total_cost,capacity_reduction_margin_pct,cost_warning_level,delay_increase_margin_pct,ending_backlog_cross_threshold_at,ending_backlog_monotonicity,fill_rate_cross_service_threshold_at,fill_rate_max,fill_rate_min,fill_rate_monotonicity,first_unacceptable_level,inventory_cost_cross_threshold_at,inventory_cost_max,inventory_cost_monotonicity,levels,line_adherence_cross_baseline_at,line_adherence_min,line_adherence_monotonicity,line_nervousness_max,material_delay_days_max,max_external_procured_qty_delta,max_fill_rate_drop,max_inventory_cost_increase,max_line_adherence_drop,max_line_nervousness_increase,max_material_delay_days_increase,max_product_availability_drop,max_production_replanning_count_increase,max_raw_material_safety_floor_gap_increase,max_raw_material_stockout_days_increase,max_raw_material_target_gap_increase,max_supplier_upstream_ordered_qty_delta,max_total_cost_increase,parameter_group,parameter_key,parameter_label,product_availability_cross_baseline_at,product_availability_min,product_availability_monotonicity,production_replanning_count_max,raw_material_stockout_days_max,reliability_reduction_margin_pct,safe_band_high,safe_band_low,safe_direction,stock_reduction_margin_pct,target_stock_gap_cross_baseline_at,total_cost_cross_threshold_at,total_cost_monotonicity,upstream_capacity_reduction_margin_pct,upstream_delay_increase_margin_pct
False,"[0.95, 0.99, 1.0]","[[0.95, 0.95], [0.99, 1.0]]",1.0,0.99,1.0,7772700.3728,0.998945883,1.0000000000000009,0.999142857,61148676.1216,nan,,nan,,flat,,1.0,1.0,flat,0.97,,7775115.1981,non_monotonic,"[0.95, 0.97, 0.99, 1.0]",0.99,0.998910221,non_monotonic,39.0,0.0,5021030.380900025,0.0,2414.8252999996766,3.5661999999936356e-05,2.0,0.0,0.0,1.0,0.0,1.0,0.0,5021030.380900025,154483.37299999595,supplier_reliability_node,supplier_reliability_node::SDC-VD0901566A,Fiabilite fournisseur SDC-VD0901566A,,0.999142857,flat,13.0,13.0,1.0000000000000009,1.0,0.95,lower_is_riskier,nan,,,non_monotonic,nan,nan
False,"[0.95, 0.99, 1.0]","[[0.95, 0.95], [0.99, 1.0]]",1.0,0.99,1.0,7772700.3728,0.998945883,1.0000000000000009,0.999142857,61148676.1216,nan,,nan,,flat,,1.0,1.0,flat,0.97,,7773197.0973,non_monotonic,"[0.95, 0.97, 0.99, 1.0]",0.97,0.998921482,non_monotonic,39.0,0.0,0.0,0.0,496.7244999995455,2.4401000000007222e-05,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,supplier_reliability_node,supplier_reliability_node::SDC-VD0914690A,Fiabilite fournisseur SDC-VD0914690A,,0.999142857,flat,13.0,13.0,1.0000000000000009,1.0,0.95,lower_is_riskier,nan,,,increasing,nan,nan
True,[1.0],"[[1.0, 1.0]]",1.0,1.0,1.0,7772700.3728,0.998945883,0.0,0.999142857,61148676.1216,nan,,nan,,flat,,1.0,1.0,flat,0.95,,7776592.3618,non_monotonic,"[0.95, 0.97, 0.99, 1.0]",0.97,0.998816386,non_monotonic,40.0,0.0,98123.04330003262,0.0,3891.9890000000596,0.00012949699999997843,3.0,0.0,0.0002857140000001035,2.0,0.0,2.0,0.0,98123.04330003262,11608.800200000405,supplier_reliability_node,supplier_reliability_node::SDC-VD0951020A,Fiabilite fournisseur SDC-VD0951020A,0.95,0.998857143,non_monotonic,14.0,14.0,0.0,1.0,1.0,lower_is_riskier,nan,,,non_monotonic,nan,nan
True,[1.0],"[[1.0, 1.0]]",1.0,1.0,1.0,7772700.3728,0.998945883,0.0,0.999142857,61148676.1216,nan,,nan,,flat,,1.0,1.0,flat,0.95,,7772700.3728,increasing,"[0.95, 0.97, 0.99, 1.0]",0.95,0.998863301,non_monotonic,41.0,0.0,20091.63960003853,0.0,0.0,8.258199999999771e-05,4.0,0.0,0.0,2.0,0.0,2.0,0.0,20091.63960003853,4508.487099997699,supplier_reliability_node,supplier_reliability_node::SDC-VD0519670A,Fiabilite fournisseur SDC-VD0519670A,,0.999142857,flat,14.0,14.0,0.0,1.0,1.0,lower_is_riskier,nan,,,non_monotonic,nan,nan
True,"[0.99, 1.0]","[[0.99, 1.0]]",1.0,0.99,1.0,7772700.3728,0.998945883,1.0000000000000009,0.999142857,61148676.1216,nan,,nan,,flat,,1.0,1.0,flat,0.95,,7774654.4981,non_monotonic,"[0.95, 0.97, 0.99, 1.0]",0.95,0.998863301,non_monotonic,39.0,0.0,97297.04000008106,0.0,1954.1253000004217,8.258199999999771e-05,2.0,0.0,0.0,1.0,0.0,1.0,0.0,97297.04000008106,22694.841099999845,supplier_reliability_node,supplier_reliability_node::SDC-VD0989480A,Fiabilite fournisseur SDC-VD0989480A,,0.999142857,flat,13.0,13.0,1.0000000000000009,1.0,0.99,lower_is_riskier,nan,,,non_monotonic,nan,nan
False,"[0.97, 1.0]","[[0.97, 0.97], [1.0, 1.0]]",1.0,1.0,1.0,7772700.3728,0.998945883,0.0,0.999142857,61148676.1216,nan,,nan,,flat,,1.0,1.0,flat,0.95,,7772700.3728,non_monotonic,"[0.95, 0.97, 0.99, 1.0]",0.95,0.998869084,non_monotonic,39.0,0.0,29485.845100045204,0.0,0.0,7.679900000001627e-05,2.0,0.0,0.0,1.0,0.0,2.0,0.0,29485.845100045204,0.0,supplier_reliability_node,supplier_reliability_node::SDC-VD0514881A,Fiabilite fournisseur SDC-VD0514881A,,0.999142857,flat,13.0,14.0,0.0,1.0,0.97,lower_is_riskier,nan,,,increasing,nan,nan
True,"[0.99, 1.0]","[[0.99, 1.0]]",1.0,0.99,1.0,7772700.3728,0.998945883,1.0000000000000009,0.999142857,61148676.1216,nan,,nan,,flat,,1.0,1.0,flat,0.95,,7773986.3557,non_monotonic,"[0.95, 0.97, 0.99, 1.0]",0.95,0.998910221,increasing,39.0,0.0,46148.461199998856,0.0,1285.9829000001773,3.5661999999936356e-05,2.0,0.0,0.0,1.0,0.0,1.0,0.0,46148.461199998856,0.0,supplier_reliability_node,supplier_reliability_node::SDC-VD0505677A,Fiabilite fournisseur SDC-VD0505677A,,0.999142857,flat,13.0,13.0,1.0000000000000009,1.0,0.99,lower_is_riskier,nan,,,non_monotonic,nan,nan
True,"[0.97, 0.99, 1.0]","[[0.97, 1.0]]",1.0,0.97,1.0,7772700.3728,0.998945883,3.0000000000000027,0.999142857,61148676.1216,nan,,nan,,flat,,1.0,1.0,flat,0.95,,7773534.9482,non_monotonic,"[0.95, 0.97, 0.99, 1.0]",0.95,0.998910221,increasing,39.0,0.0,0.0,0.0,834.5754000004381,3.5661999999936356e-05,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,supplier_reliability_node,supplier_reliability_node::SDC-VD0910216A,Fiabilite fournisseur SDC-VD0910216A,,0.999142857,flat,13.0,13.0,3.0000000000000027,1.0,0.97,lower_is_riskier,nan,,,increasing,nan,nan
True,[1.0],"[[1.0, 1.0]]",1.0,1.0,1.0,7772700.3728,0.998945883,0.0,0.999142857,61148676.1216,nan,,nan,,flat,,1.0,1.0,flat,0.95,,7800796.2867,non_monotonic,"[0.95, 0.97, 0.99, 1.0]",0.95,0.998910221,increasing,39.0,0.0,465759.6919000149,0.0,28095.913900000043,3.5661999999936356e-05,2.0,0.0,0.0,1.0,0.0,1.0,0.0,465759.6919000149,115817.6840999946,supplier_reliability_node,supplier_reliability_node::SDC-VD0993480A,Fiabilite fournisseur SDC-VD0993480A,,0.999142857,flat,13.0,13.0,0.0,1.0,1.0,lower_is_riskier,nan,,,non_monotonic,nan,nan
True,[1.0],"[[1.0, 1.0]]",1.0,1.0,1.0,7772700.3728,0.998945883,0.0,0.999142857,61148676.1216,nan,,nan,,flat,,1.0,1.0,flat,0.95,,7801869.8696,non_monotonic,"[0.95, 0.97, 0.99, 1.0]",0.95,0.998921482,increasing,39.0,0.0,1255430.3792999983,0.0,29169.496799999848,2.4401000000007222e-05,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1255430.3792999983,127790.32029999793,supplier_reliability_node,supplier_reliability_node::SDC-VD1095770A,Fiabilite fournisseur SDC-VD1095770A,,0.999142857,flat,13.0,13.0,0.0,1.0,1.0,lower_is_riskier,nan,,,non_monotonic,nan,nan
