case_id,case_input,case_output_dir,guard::backlog_days,guard::max_daily_backlog_qty,guard::min_daily_service_rate,guard::raw_material_max_safety_floor_gap_qty,guard::raw_material_max_target_gap_qty,guard::raw_material_safety_floor_breach_days,guard::raw_material_safety_floor_breach_pairs,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_inventory_risk,kpi::cost_share_production,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::cost_share_warehouse_operating,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::inventory_cost,kpi::inventory_holding_cost_node_count,kpi::inventory_holding_cost_node_max,kpi::inventory_holding_cost_proxy_total,kpi::line_adherence,kpi::line_nervousness,kpi::material_delay_days,kpi::material_delay_days_total,kpi::material_delayed_order_count,kpi::measured_required_total,kpi::measurement_starting_backlog,kpi::product_availability,kpi::production_replanning_count,kpi::raw_material_stockout_days,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_estimated_source_ordered_qty,kpi::total_estimated_source_rejected_qty,kpi::total_estimated_source_replenished_qty,kpi::total_explicit_initialization_pipeline_qty,kpi::total_explicit_initialization_stock_qty,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_inventory_cost_legacy_raw_holding,kpi::total_inventory_risk_cost,kpi::total_logistics_cost,kpi::total_opening_open_order_qty,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_production_cost,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,kpi::total_warehouse_operating_cost,kpi::warmup_backlog_cleared_qty,level,parameter_group,parameter_key,parameter_label,safe_direction,status
supplier_lead_time_scale_1_0,etudecas\simulation\sensibility\active_supplier_parameter_result_60_75_guarded\cases\supplier_lead_time_scale_1_0\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_60_75_guarded\cases\supplier_lead_time_scale_1_0\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,136.0,8.0,664489289.4203,0.127112,0.072635,0.3,0.246181,0.090643,0.163429,0.0,620121739.5996,1.0,7772700.3728,31.0,141363288.95315,245778179.179554,0.998945883,37.0,0.0,0.0,0.0,25762139.9999,0.0,0.999142857,12.0,12.0,888545020.1141,61148676.1216,25762139.9999,0.0,0.0,0.0,303596359.9729,754600.0,711625982.1517,546130544.8797,546130544.8797,2083710077.7581,53327515.4047,7772700.3728,22207715.3507,4441543.0701,27750410.9045,68338188.0,0.0,106327600.0,18344602.8365,15053662.3807,25762139.9999,823730758.808,773234.3333,5542695.5537,0.0,9993471.9078,0.0,1.0,supplier_lead_time_global,supplier_lead_time_scale,Delai fournisseur global,higher_is_riskier,ok
supplier_lead_time_scale_1_25,etudecas\simulation\sensibility\active_supplier_parameter_result_60_75_guarded\cases\supplier_lead_time_scale_1_25\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_60_75_guarded\cases\supplier_lead_time_scale_1_25\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,85.0,8.0,776273843.641,0.130816,0.074752,0.3,0.234512,0.091728,0.168192,0.0,561505192.3057,1.0,7903638.6823,31.0,142749440.713648,249939098.9175,1.0,22.0,0.0,0.0,0.0,25762139.9999,0.0,0.999142857,0.0,0.0,708635993.4489,60417867.954,25762139.9999,0.0,0.0,0.0,359912171.9729,754600.0,654069390.9455,367126221.6055,367126221.6055,922831354.7444,42015743.5338,7903638.6823,22581824.8067,4516364.9613,28123819.8329,68338188.0,0.0,106327600.0,18125360.3862,14168687.7349,25762139.9999,643046688.2304,1709158.6,5541995.0262,0.0,10161821.163,0.0,1.25,supplier_lead_time_global,supplier_lead_time_scale,Delai fournisseur global,higher_is_riskier,ok
supplier_lead_time_scale_1_5,etudecas\simulation\sensibility\active_supplier_parameter_result_60_75_guarded\cases\supplier_lead_time_scale_1_5\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_60_75_guarded\cases\supplier_lead_time_scale_1_5\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,84.0,7.0,893502555.3157,0.128243,0.073281,0.3,0.245567,0.088026,0.164883,0.0,683143202.8068,1.0,8072112.823,31.0,144931190.784488,255337624.437833,1.0,22.0,0.0,0.0,0.0,25762139.9999,0.0,0.999142857,0.0,0.0,766561785.0361,62944126.6408,25762139.9999,0.0,0.0,0.0,425366651.9729,754600.0,784283905.665,433711180.4902,433711180.4902,984410812.2687,48319392.1312,8072112.823,23063179.4942,4612635.8988,28603886.0466,68338188.0,0.0,106327600.0,18883237.9922,15457002.602,25762139.9999,709593984.0361,4849463.1333,5540706.5524,0.0,10378430.7724,0.0,1.5,supplier_lead_time_global,supplier_lead_time_scale,Delai fournisseur global,higher_is_riskier,ok
supplier_lead_time_scale_2_0,etudecas\simulation\sensibility\active_supplier_parameter_result_60_75_guarded\cases\supplier_lead_time_scale_2_0\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_60_75_guarded\cases\supplier_lead_time_scale_2_0\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,143.0,8.0,1035298021.9037,0.129916,0.074238,0.3,0.24276,0.086052,0.167035,0.0,843300808.6961,1.0,8365896.357,31.0,147139689.503392,264692408.771395,0.996390311,62.0,0.0,0.0,0.0,25762139.9999,0.0,0.999142857,39.0,40.0,807443242.8658,64394613.938,25762139.9999,0.0,0.0,0.0,538004942.6396,754600.0,933423243.5543,465817707.7589,465817707.7589,1115077841.708,50782772.0146,8365896.357,23902561.0201,4780512.204,29443823.0504,68338188.0,0.0,106327600.0,19318384.1814,15632406.7062,25762139.9999,741142173.8658,7921182.0667,5541262.0303,0.0,10756152.4591,0.0,2.0,supplier_lead_time_global,supplier_lead_time_scale,Delai fournisseur global,higher_is_riskier,ok
supplier_reliability_scale_0_95,etudecas\simulation\sensibility\active_supplier_parameter_result_60_75_guarded\cases\supplier_reliability_scale_0_95\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_60_75_guarded\cases\supplier_reliability_scale_0_95\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,125.0,8.0,665857654.7904,0.127654,0.072945,0.3,0.244504,0.090771,0.164126,0.0,662272117.7963,1.0,7788614.7224,31.0,141310120.240464,246288242.763277,0.999162725,35.0,0.0,0.0,0.0,25762139.9999,0.0,0.999142857,12.0,12.0,861400628.1466,61013635.0012,25762139.9999,0.0,0.0,0.0,303596359.9729,754600.0,783978052.6546,549180735.3825,549180735.3825,2079026551.0657,54168229.3832,7788614.7224,22253184.9212,4450636.9842,27791450.5709,68338188.0,0.0,106327600.0,18304090.5003,14918093.9299,25762139.9999,793940309.1466,970001.0526,5538265.6497,33537750.0,10013933.2145,0.0,0.95,supplier_reliability_global,supplier_reliability_scale,Fiabilite fournisseur globale,lower_is_riskier,ok
supplier_reliability_scale_0_97,etudecas\simulation\sensibility\active_supplier_parameter_result_60_75_guarded\cases\supplier_reliability_scale_0_97\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_60_75_guarded\cases\supplier_reliability_scale_0_97\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,125.0,8.0,673206995.605,0.128251,0.073286,0.3,0.242399,0.091171,0.164894,0.0,662940373.0757,1.0,7791246.2356,31.0,141327441.399138,246355523.40034,0.99935477,34.0,0.0,0.0,0.0,25762139.9999,0.0,0.999142857,11.0,11.0,869612024.6446,60750161.0996,25762139.9999,0.0,0.0,0.0,303596359.9729,754600.0,778605657.934,551130987.4331,551130987.4331,2083881586.6481,54674483.7261,7791246.2356,22260703.5302,4452140.706,27799350.4746,68338188.0,0.0,106327600.0,18225048.3299,14725762.2951,25762139.9999,804742455.6446,827664.2612,5538646.9444,20041350.0,10017316.5886,0.0,0.97,supplier_reliability_global,supplier_reliability_scale,Fiabilite fournisseur globale,lower_is_riskier,ok
supplier_reliability_scale_0_99,etudecas\simulation\sensibility\active_supplier_parameter_result_60_75_guarded\cases\supplier_reliability_scale_0_99\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_60_75_guarded\cases\supplier_reliability_scale_0_99\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,106.0,8.0,660769689.6276,0.13177,0.075297,0.3,0.229494,0.094019,0.169419,0.0,608442104.9101,1.0,7763771.7586,31.0,141264860.908036,245495139.025065,0.999217655,36.0,0.0,0.0,0.0,25762139.9999,0.0,0.999142857,12.0,12.0,876844499.4278,58918955.1598,25762139.9999,0.0,0.0,0.0,303596359.9729,754600.0,705068937.3331,539548565.8214,539548565.8214,2076587218.1008,50174565.6117,7763771.7586,22182205.0246,4436441.0049,27721697.5985,68338188.0,0.0,106327600.0,17675686.5479,13521571.0134,25762139.9999,810549027.9925,791011.1111,5539492.5738,6603800.0,9981992.2611,0.0,0.99,supplier_reliability_global,supplier_reliability_scale,Fiabilite fournisseur globale,lower_is_riskier,ok
supplier_reliability_scale_1_0,etudecas\simulation\sensibility\active_supplier_parameter_result_60_75_guarded\cases\supplier_reliability_scale_1_0\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_60_75_guarded\cases\supplier_reliability_scale_1_0\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,136.0,8.0,664489289.4203,0.127112,0.072635,0.3,0.246181,0.090643,0.163429,0.0,620121739.5996,1.0,7772700.3728,31.0,141363288.95315,245778179.179554,0.998945883,37.0,0.0,0.0,0.0,25762139.9999,0.0,0.999142857,12.0,12.0,888545020.1141,61148676.1216,25762139.9999,0.0,0.0,0.0,303596359.9729,754600.0,711625982.1517,546130544.8797,546130544.8797,2083710077.7581,53327515.4047,7772700.3728,22207715.3507,4441543.0701,27750410.9045,68338188.0,0.0,106327600.0,18344602.8365,15053662.3807,25762139.9999,823730758.808,773234.3333,5542695.5537,0.0,9993471.9078,0.0,1.0,supplier_reliability_global,supplier_reliability_scale,Fiabilite fournisseur globale,lower_is_riskier,ok
external_procurement_enabled_0_01,etudecas\simulation\sensibility\active_supplier_parameter_result_60_75_guarded\cases\external_procurement_enabled_0_01\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_60_75_guarded\cases\external_procurement_enabled_0_01\simulation_output,955.0,9399357.000025,0.0,7263350.6084,20793472.4136,1110.0,8.0,234583716.2465,0.174572,0.099755,0.3,0.131609,0.069614,0.22445,12810127.9999,172001658.9038,0.502754,6393589.8598,27.0,134355258.36752,202514307.783729,0.391347845,26.0,0.0,0.0,0.0,25762139.9999,0.0,0.511235955,1930.0,1003.0,348340818.3047,36624346.2259,25762139.9999,0.0,0.0,0.0,68338188.0,754600.0,0.0,0.0,0.0,0.0,0.0,6393589.8598,18267399.5994,3653479.9199,20816965.8607,68338188.0,0.0,57474225.0,10987303.8678,4820076.4974,12952012.0,280002630.3047,750281028.3,2549566.2612,0.0,8220329.8197,0.0,0.01,supplier_upstream_supply,external_procurement_enabled,Appro amont fournisseur active,lower_is_riskier,ok
external_procurement_enabled_1_0,etudecas\simulation\sensibility\active_supplier_parameter_result_60_75_guarded\cases\external_procurement_enabled_1_0\input_case.json,etudecas\simulation\sensibility\active_supplier_parameter_result_60_75_guarded\cases\external_procurement_enabled_1_0\simulation_output,2.0,5653.408164,0.0,7263350.6084,20793472.4136,136.0,8.0,664489289.4203,0.127112,0.072635,0.3,0.246181,0.090643,0.163429,0.0,620121739.5996,1.0,7772700.3728,31.0,141363288.95315,245778179.179554,0.998945883,37.0,0.0,0.0,0.0,25762139.9999,0.0,0.999142857,12.0,12.0,888545020.1141,61148676.1216,25762139.9999,0.0,0.0,0.0,303596359.9729,754600.0,711625982.1517,546130544.8797,546130544.8797,2083710077.7581,53327515.4047,7772700.3728,22207715.3507,4441543.0701,27750410.9045,68338188.0,0.0,106327600.0,18344602.8365,15053662.3807,25762139.9999,823730758.808,773234.3333,5542695.5537,0.0,9993471.9078,0.0,1.0,supplier_upstream_supply,external_procurement_enabled,Appro amont fournisseur active,lower_is_riskier,ok
