day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,M-1810 | item:693710
0,6.649687,22929.96,380.0,380.0,3.0134,80.56,3.04,3668.79284,0.610624,0.457968,2.900464,0.76328,0.183187,0.015266,0.015266,0.564827,0.030531,0.76328,376.0,376.0,4.136,152.656,622.048
1,6.271705,21626.5728,358.4,358.4,2.842112,75.9808,2.8672,3460.250931,0.574246,0.430685,2.72767,0.717808,0.172274,0.014356,0.014356,0.531178,0.028712,0.717808,353.6,353.6,3.8896,143.5616,627.2448
2,5.860124,20207.32896,334.88,334.88,2.655598,70.99456,2.67904,3233.171964,0.540987,0.40574,2.569688,0.676234,0.162296,0.013525,0.013525,0.500413,0.027049,0.676234,333.12,333.12,3.66432,135.24672,560.72576
3,5.422645,18698.77896,309.88,309.88,2.457348,69.93456,2.47904,2991.804014,0.505753,0.379314,2.402325,0.632191,0.151726,0.012644,0.012644,0.467821,0.027107,0.632191,311.424,311.424,3.425664,126.438144,629.531392
4,4.985165,17190.22896,284.88,308.4,2.259098,64.63456,2.27904,2750.436064,0.467525,0.350644,2.405879,0.584406,0.140257,0.011688,0.011688,0.46611,0.025195,0.584406,311.8848,311.8848,3.166733,116.881229,553.07607
5,4.547686,15681.67896,259.88,283.4,2.219448,59.33456,2.07904,2689.068114,0.426925,0.345138,2.213029,0.533656,0.128077,0.011583,0.010673,0.428555,0.023165,0.533656,286.8848,309.2848,2.891733,106.731229,542.344678
6,4.488189,14353.12896,234.88,258.4,2.021198,54.03456,2.05184,2447.700164,0.419584,0.314688,2.020179,0.482906,0.115897,0.010568,0.009658,0.391,0.021135,0.573201,261.8848,284.2848,3.080669,96.581229,537.6
7,4.488189,12844.57896,209.88,258.4,1.994236,53.31376,1.85184,2206.332214,0.378984,0.340754,1.827329,0.432156,0.103717,0.010568,0.009618,0.38421,0.019105,0.522451,259.2848,259.2848,2.805669,96.175229,618.8
8,4.059599,11366.682619,185.387999,253.907999,1.800015,58.407696,1.655904,1969.868848,0.376612,0.338974,1.634479,0.381406,0.112429,0.009553,0.008603,0.346655,0.017075,0.519485,279.52,254.7648,2.530669,94.340109,618.8
9,3.665895,10009.084151,187.889598,231.409598,1.819853,53.638035,1.475917,1752.653138,0.371246,0.308524,1.441629,0.330656,0.100249,0.009512,0.008468,0.3091,0.015045,0.468735,275.0,229.7648,2.502069,84.190109,618.8
10,4.094631,8772.092457,188.989918,210.909918,2.05379,54.592103,1.311919,1567.828868,0.331471,0.278693,1.799923,0.322512,0.111066,0.01023,0.007474,0.272308,0.014719,0.419016,275.507997,206.696797,2.771657,83.340756,620.449976
11,4.108603,7462.674918,192.289982,204.089982,1.88171,55.291716,1.49832,1579.958374,0.294934,0.277716,1.62637,0.366355,0.111573,0.009316,0.007392,0.271103,0.012892,0.424095,270.894397,184.198397,2.799174,74.206405,547.375171
12,4.134152,6042.22501,238.749995,180.549995,1.893287,50.301239,1.31,1352.686436,0.33862,0.283197,2.01738,0.324741,0.101586,0.008484,0.00859,0.240308,0.011228,0.471995,250.394717,195.740317,2.573678,74.692111,560.342234
13,3.696673,9881.00221,213.749995,180.549995,1.695037,49.7709,1.51,1111.318486,0.303379,0.256767,2.042837,0.33144,0.091014,0.007603,0.008724,0.245265,0.011496,0.427944,228.694781,174.040381,2.884979,76.031937,629.518608
14,3.259193,9399.29221,188.749995,155.549995,1.496787,44.4709,1.31,869.950536,0.344726,0.228095,1.861249,0.333372,0.102199,0.006647,0.008724,0.28425,0.009584,0.430908,230.154794,150.500394,2.626039,76.031617,623.542122
15,3.233295,10907.84221,187.269995,155.549995,1.496787,44.363204,1.505936,1309.237116,0.304126,0.197645,1.984517,0.379044,0.102199,0.006647,0.009633,0.282748,0.01316,0.380158,205.154794,125.500394,2.351039,65.881617,542.342122
