demand_anchor_item,component,consuming_node,material_type,annual_requirement_from_xlsx,initial_stock_from_xlsx,coverage_1y_source,coverage_5y_source,fia_suppliers,sim5y_bb_qty,sim5y_bn_qty,sim5y_supplier_ship_qty,sim5y_active_supplier_count,diagnostic
item:268091,001757,M-1810,MP,5808141.808,8499654.0,1.46,0.2926806638327175,1,3.085600,0.000000,2700.000000,1,active on 5y
item:268091,001848,M-1810,MP,4356106.356,10262646.0,2.36,0.471184363341564,2,2.314200,0.000000,0.000000,0,inactive despite 5y source gap
item:268091,001893,M-1810,MP,27588.674,9783.5,0.35,0.07092403208650043,3,14.656600,0.000000,49371.428574,1,active on 5y
item:268091,002612,M-1810,MP,7260.177,153521.637,21.15,4.229143091139514,4,3.857000,0.000000,0.000000,0,coherent dormant: source stock still covers 5y
item:268091,007923,M-1810,MP,11616283.616,55018980.0,4.74,0.947273358997849,0,6.171200,0.000000,0.000000,0,inactive despite 5y source gap
item:268091,016332,M-1810,MP,1742442.542,883020.0,0.51,0.10135427467082586,1,0.925680,0.000000,3300.000000,1,active on 5y
item:268091,029313,M-1810,MP,145203.545,226830.0,1.56,0.3124303886657863,1,0.077140,0.000000,300.000000,1,active on 5y
item:268091,039668,M-1810,MP,145203.545,459695.0,3.17,0.6331732465622654,1,0.077140,0.000000,0.000000,0,inactive despite 5y source gap
item:268091,049371,M-1810,MP,5372531.172,4138930.0,0.77,0.15407746804972844,1,2.854180,0.000000,6400.000000,1,active on 5y
item:268091,055703,M-1810,MP,290407.09,569805.0,1.96,0.3924181052191253,2,0.154280,0.000000,300.000000,1,active on 5y
item:268091,099439,M-1810,MP,7260177.26,4972616.0,0.68,0.13698332208489358,1,3.857000,0.000000,12600.000000,1,active on 5y
item:268091,338928,M-1810,Pack,3576442.0,404065.0,0.11,0.022595920750287577,1,1900.000000,143400.000000,6212635.000000,1,active on 5y
item:268091,338929,M-1810,Pack,3576442.0,354000.0,0.1,0.019796210871027686,1,1900.000000,0.000000,6680000.000000,1,active on 5y
item:268091,426331,M-1810,Pack,39340.862,24159.0,0.61,0.12281886451801692,1,20.900000,0.000000,58520.000000,1,active on 5y
item:268091,693055,M-1810,MP,1452035.452,1010000.0,0.7,0.13911506067002005,1,771.400000,0.000000,1805417.000000,1,active on 5y
item:268967,021081,SDC-1450,MP,136028.361,1142100.0,8.39604323395472,1.6792086467909437,4,221.208347,0.000000,0.000000,0,coherent dormant: source stock still covers 5y
item:268967,038005,M-1430,MP,27578456.388,37598532.5,1.36,0.27266596774691104,1,44.847888,0.000000,70000.000000,1,active on 5y
item:268967,042342,M-1430,MP,95098147.212,78749996.0,0.83,0.16561836020725942,1,154647.925723,0.000000,300000000.000000,1,active on 5y
item:268967,333362,M-1430,Pack,1575986.0,142250.0,0.09,0.018052190818953977,1,2562.857143,0.000000,5600000.000000,1,active on 5y
item:268967,344135,M-1430,Pack,1575986.0,0.0,0.0,0.0,1,2562.857143,0.000000,5760000.000000,1,active on 5y
item:268967,708073,M-1430,Pack,12497568.98,10326880.0,0.83,0.1652622204610548,1,20.323457,0.000000,41142.857145,1,active on 5y
item:268967,730384,M-1430,Pack,334109.032,68387.0,0.2,0.04093693582040009,1,543.325714,0.000000,1303981.714356,1,active on 5y
item:268967,734545,M-1430,Pack,12607.888,1641.0,0.13,0.026031322613271943,1,20.502857,0.000000,50400.000000,1,active on 5y
item:268967,773474,M-1430,MP,15215700.402,14593000.0,0.96,0.191815028088774,1,24743.662990,0.000000,41199229.227500,2,active multi-source on 5y
