day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,warehouse_operating_cost_day,inventory_risk_cost_day,legacy_raw_holding_cost_day,transport_cost_day,opening_open_order_transport_cost_day,external_procurement_transport_cost_day,operational_transport_cost_day,purchase_cost_day,opening_open_order_purchase_cost_day,external_procurement_purchase_cost_day,operational_purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,estimated_source_ordered_qty,estimated_source_arrived_qty,estimated_source_rejected_qty,supplier_capacity_binding_qty
0,4462.8571,0.0,4462.8571,11630278.0883,622200.0,1265355.8571,448708070.3425,19165.9376,24641.9198,10951.9643,54759.8217,9473.7488,9472.9774,254.6253,0.7713,473501.672,364252.672,61918.9144,109249.0,6365.6334,0.0,59198.4881,0.0,78973615.0527,0.0,1786885.0
1,4462.8571,8925.7143,0.0,11697220.9455,500000.0,702020.4286,539247099.1978,21173.1641,27222.6395,12098.9509,60494.7545,4190.2031,1058.6637,0.0,3131.5394,125382.0,119985.75,0.0,5396.25,0.0,0.0,0.0,0.0,78973615.0527,0.0,1736885.0
2,4462.8571,4462.8571,0.0,11630278.0883,514400.0,673496.7143,629736993.7399,23178.2179,29800.5658,13244.6959,66223.4796,1312.6584,404.6531,0.0,908.0054,14106.4,8710.15,0.0,5396.25,0.0,0.0,0.0,0.0,78973615.0527,0.0,1701285.0
3,4462.8571,4462.8571,0.0,11647240.9455,514400.0,695258.7143,720248452.1392,25199.3796,32399.2023,14399.6455,71998.2274,1140.0452,446.901,0.0,693.1442,14106.4,8710.15,0.0,5396.25,0.0,0.0,0.0,0.0,78973615.0527,0.0,1665685.0
4,4462.8571,4462.8571,0.0,11643140.9455,500000.0,836574.7143,810803715.1993,27223.0314,35001.0404,15556.0179,77780.0897,1140.0387,160.2134,0.0,979.8254,13510.75,8114.5,0.0,5396.25,0.0,6365.6334,0.0,0.0,78973615.0527,0.0,1615685.0
5,4462.8571,4462.8571,0.0,11658469.5169,500000.0,742890.7143,901367941.1975,29252.4974,37610.3538,16715.7128,83578.5641,1139.9745,160.1484,0.0,979.8262,13027.15,7630.9,0.0,5396.25,0.0,0.0,0.0,0.0,78973615.0527,0.0,1565685.0
6,4462.8571,4462.8571,0.0,11637816.9579,200000.0,753417.7143,991914196.6367,31268.8223,40202.7716,17867.8985,89339.4923,1139.9749,160.1313,0.0,979.8436,13027.15,7630.9,0.0,5396.25,0.0,0.0,0.0,0.0,78973615.0527,0.0,1515685.0
7,11359.4286,11359.4286,0.0,11631516.9579,514400.0,888228.2857,1082289007.8192,33191.995,42675.4222,18966.8543,94834.2715,15535.1481,161.4703,0.0,15373.6778,14106.4,8710.15,0.0,5396.25,0.0,0.0,0.0,0.0,78963036.9663,0.0,1480085.0
8,11359.4286,11359.4286,0.0,11633416.9579,500000.0,893700.1429,1172723102.172,35128.3391,45165.0074,20073.3366,100366.6831,9255.0943,161.3988,0.0,9093.6954,13027.15,7630.9,0.0,5396.25,0.0,0.0,0.0,0.0,78963036.9663,0.0,1430085.0
9,11359.4286,11359.4286,0.0,11740091.2437,622200.0,1105548.1429,1255376941.3174,36461.99,46879.7015,20835.4229,104177.1144,2988.0647,162.9365,0.0,2825.1282,16439.65,11043.4,0.0,5396.25,0.0,0.0,0.0,0.0,78963036.9663,0.0,1394485.0
10,11359.4286,11359.4286,0.0,11701317.3865,514400.0,886910.1429,1345901911.0713,38497.3291,49496.566,21998.4738,109992.3689,2989.132,164.0021,0.0,2825.1298,14106.4,8710.15,0.0,5396.25,0.0,0.0,0.0,0.0,78963036.9663,0.0,1358885.0
11,11359.4286,11359.4286,0.0,11696982.3865,514400.0,908121.0,1436427695.968,40533.2771,52114.2135,23161.8727,115809.3633,2795.6855,165.2681,0.0,2630.4175,14106.4,8710.15,0.0,5396.25,0.0,0.0,0.0,0.0,78963036.9663,0.0,1323285.0
12,11359.4286,11359.4286,0.0,11688910.5294,514400.0,930335.8571,1526949556.1504,42566.2934,54728.0916,24323.5962,121617.9812,2640.2281,166.5323,0.0,2473.6957,14106.4,8710.15,0.0,5396.25,0.0,0.0,0.0,0.0,78963036.9663,0.0,1287685.0
13,11359.4286,11359.4286,0.0,12249797.6722,514400.0,956697.8571,1618037303.4757,45018.4917,57880.9179,25724.8524,128624.2621,2641.4948,167.7974,0.0,2473.6974,14106.4,8710.15,0.0,5396.25,0.0,0.0,0.0,0.0,78963036.9663,0.0,1252085.0
14,11535.7143,11535.7143,0.0,12287883.5294,514400.0,1135750.2857,1709130268.9439,47477.3449,61042.3006,27129.9114,135649.5568,6495.7422,169.1328,0.0,6326.6094,15956.05,10076.2,0.0,5879.85,0.0,0.0,0.0,0.0,78963036.9663,0.0,1216485.0
15,11535.7143,11535.7143,0.0,12325507.6722,500000.0,1022065.8571,1800312399.011,49972.4614,64250.3075,28555.6922,142778.4611,2443.2913,168.9908,0.0,2274.3005,13027.15,7630.9,0.0,5396.25,0.0,0.0,0.0,0.0,78963036.9663,0.0,1166485.0
16,11535.7143,11535.7143,0.0,12337668.5294,514400.0,1033756.5714,1891484821.1934,52491.4386,67488.9925,29995.1078,149975.5388,1701.0935,169.063,0.0,1532.0305,14106.4,8710.15,0.0,5396.25,0.0,0.0,0.0,0.0,78963036.9663,0.0,1130885.0
17,11535.7143,11535.7143,0.0,12351246.2437,514400.0,1054110.7143,1982676826.9473,55025.0445,70746.4857,31442.8825,157214.4127,1475.3011,168.8508,0.0,1306.4502,14106.4,4098.15,0.0,10008.25,0.0,0.0,0.0,0.0,78963036.9663,0.0,1095285.0
18,11535.7143,11535.7143,0.0,12391361.6722,514400.0,1196934.7143,2073995933.1297,57651.5737,74123.4519,32943.7564,164718.7821,1477.0058,170.7021,0.0,1306.3037,44972.0,39092.15,0.0,5879.85,0.0,0.0,0.0,0.0,78963036.9663,0.0,1059685.0
19,11535.7143,11535.7143,0.0,10853060.2431,414400.0,555601.7143,2164090647.883,59366.9293,76328.9091,33923.9596,169619.798,1477.944,171.7219,0.0,1306.2221,18159.022,12762.772,0.0,5396.25,0.0,0.0,0.0,0.0,78963036.9663,0.0,1024085.0
20,11535.7143,11535.7143,0.0,10905053.3859,514400.0,518031.7143,2179983112.8165,61159.2306,78633.2965,34948.1318,174740.659,1479.0821,172.8608,0.0,1306.2213,14106.4,8710.15,0.0,5396.25,0.0,0.0,0.0,0.0,4609689.0037,0.0,988485.0
21,15580.2857,15580.2857,0.0,10970380.9574,514400.0,556574.1429,2191262361.3178,62183.8626,79950.6805,35533.6358,177668.179,10498.2094,174.0544,0.0,10324.1549,14106.4,7630.9,0.0,6475.5,0.0,0.0,0.0,0.0,0.0,0.0,952885.0
22,15580.2857,15580.2857,0.0,10982244.2431,514400.0,637162.8571,2202571613.3905,63248.7937,81319.8776,36142.1678,180710.8392,4283.8166,175.3926,0.0,4108.424,14590.0,8710.15,0.0,5879.85,0.0,0.0,0.0,0.0,0.0,0.0,917285.0
23,15580.2857,15580.2857,0.0,11105844.1002,514400.0,458379.8571,2214031979.3204,64406.9667,82808.9571,36803.981,184019.9048,3328.9364,175.3926,0.0,3153.5438,14106.4,8710.15,0.0,5396.25,0.0,0.0,0.0,0.0,0.0,0.0,881685.0
24,15580.2857,15580.2857,0.0,11043314.2431,514400.0,432109.8571,2225429815.3931,65541.5967,84267.7672,37452.341,187261.7049,3330.2015,176.6586,0.0,3153.5429,14106.4,8710.15,0.0,5396.25,0.0,0.0,0.0,0.0,0.0,0.0,846085.0
25,15580.2857,15580.2857,0.0,11052149.1002,514400.0,426628.8571,2236836485.3229,66674.9247,85724.9032,38099.957,190499.7848,3331.5365,177.854,0.0,3153.6826,15472.45,6543.45,0.0,8929.0,0.0,0.0,0.0,0.0,0.0,0.0,810485.0
