active_days,avg_capacity_utilization,avg_procurement_lead_days,avg_stock_end_of_day,capacity_metric_mode,dest_nodes_count,destinations_preview,first_shipment_day,initial_stock_total,items_supplied_count,last_shipment_day,local_criticality_score,max_capacity_utilization,min_stock_end_of_day,observed_sourcing_share,overall_criticality_score,rank,shared_source_pairs,shortage_supported_events,shortage_supported_qty,sole_source_pairs,standard_backlog_impact,standard_best_driver,standard_fill_impact,structural_backlog_impact,structural_best_driver,structural_fill_impact,supplier_id,supplier_name,system_criticality_score,target_sourcing_share,top_items_preview,total_shipped_qty
28,0.003794,150.5,41131.4538,sourcing_share,2,"M-1430, M-1810",171,360.0,2,1792,0.663203,0.88125,6961.6387,1.0,0.364762,1,0,6,25117.9575,2,0.0,,0.0,0.0,,0.0,SDC-VD0520132A,Supplier of Raw Materials - VD0520132A,0.0,1.0,"038005, 049371",145600.0
1115,0.224569,40.0,3692103.121,explicit_capacity,2,"M-1430, M-1810",142,12542100.0,2,1820,0.616255,1.0,541332.0,1.0,0.33894,2,1,0,0.0,1,0.0,,0.0,0.0,,0.0,SDC-1450,Supplier of Raw Materials - D1450,0.0,0.726453,"693055, 773474",76451240.0147
1202,0.494221,42.0,318835.9075,sourcing_share,1,M-1810,0,180.0,1,1820,0.605001,1.0,90506.5008,1.0,0.332751,3,0,0,0.0,1,0.0,,0.0,0.0,,0.0,SDC-VD0914360C,Supplier of Packaging - VD0914360C,0.0,1.0,338929,18741883.1216
743,0.407123,21.0,45598297.8739,sourcing_share,1,M-1430,171,180.0,1,1824,0.589838,1.0,38037527.9342,1.0,0.324411,4,0,0,0.0,1,0.0,,0.0,0.0,,0.0,SDC-VD0914690A,Supplier of Raw Materials - VD0914690A,0.0,1.0,042342,448341060.0
871,0.47726,35.0,479937.5343,sourcing_share,1,M-1430,0,180.0,1,1824,0.540379,1.0,364080.0,1.0,0.297209,5,0,6,0.0,1,0.0,,0.0,0.0,,0.0,SDC-VD0993480A,Supplier of Packaging - VD0993480A,0.0,1.0,344135,8710000.0
710,0.163897,70.0,335530.6849,sourcing_share,1,M-1810,0,180.0,1,1817,0.528914,1.0,0.0,1.0,0.290903,6,0,0,0.0,1,0.0,,0.0,0.0,,0.0,SDC-VD0901566A,Supplier of Packaging - VD0901566A,0.0,1.0,338928,18694500.0
620,0.323664,60.0,479317.1109,sourcing_share,1,M-1430,0,180.0,1,1821,0.501345,1.0,256807.2728,1.0,0.27574,7,0,0,0.0,1,0.0,,0.0,0.0,,0.0,SDC-VD0525412A,Supplier of Packaging - VD0525412A,0.0,1.0,333362,8591818.1816
229,0.125479,56.0,892718.6039,sourcing_share,1,M-1430,0,180.0,1,1816,0.413354,1.0,742166.8602,1.0,0.227345,8,0,0,0.0,1,0.0,,0.0,0.0,,0.0,SDC-VD0508918A,Supplier of Packaging - VD0508918A,0.0,1.0,730384,1790125.6829
323,0.000529,47.6667,6165.1242,sourcing_share,1,M-1810,422,540.0,3,1817,0.352628,0.012792,4403.411,0.568603,0.193945,9,2,0,0.0,1,0.0,,0.0,0.0,,0.0,SDC-VD0951020A,Supplier of Raw Materials - VD0951020A,0.0,0.664224,"001757, 001848, 007923",24697.1209
24,0.013151,28.0,60431.7828,sourcing_share,1,M-1810,107,180.0,1,1786,0.342039,1.0,54876.2573,1.0,0.188121,10,0,0,0.0,1,0.0,,0.0,0.0,,0.0,SDC-VD0989480A,Supplier of Packaging - VD0989480A,0.0,1.0,426331,187611.4253
11,0.004964,21.0,32449.1178,sourcing_share,1,M-1430,0,180.0,1,1704,0.322912,1.0,25446.8573,1.0,0.177602,11,0,0,0.0,1,0.0,,0.0,0.0,,0.0,SDC-VD1095770A,Supplier of Packaging - VD1095770A,0.0,1.0,734545,70817.1427
8,0.004384,28.0,33440.2876,sourcing_share,1,M-1430,171,180.0,1,1704,0.320264,1.0,26377.0173,1.0,0.176145,12,0,0,0.0,1,0.0,,0.0,0.0,,0.0,SDC-VD0520115A,Supplier of Packaging - VD0520115A,0.0,1.0,708073,62537.1418
9,0.000986,35.0,11139.4258,sourcing_share,1,M-1810,140,180.0,1,1814,0.311573,0.2,7369.782,1.0,0.171365,13,0,0,0.0,1,0.0,,0.0,0.0,,0.0,SDC-VD0505677A,Supplier of Raw Materials - VD0505677A,0.0,1.0,099439,37800.0
10,0.00051,38.5,1020.7434,sourcing_share,1,M-1810,476,360.0,2,1747,0.294941,0.253003,0.0,1.0,0.162218,14,1,0,0.0,1,0.0,,0.0,0.0,,0.0,SDC-VD0519670A,Supplier of Raw Materials - VD0519670A,0.0,0.714324,"001848, 029313",14538.5363
8,0.000617,49.0,2670.6655,sourcing_share,1,M-1810,67,180.0,1,1700,0.285812,0.140716,1676.7477,1.0,0.157197,15,0,0,0.0,1,0.0,,0.0,0.0,,0.0,SDC-VD0514881A,Supplier of Raw Materials - VD0514881A,0.0,1.0,016332,8800.0
2,3.2e-05,35.0,225.8168,sourcing_share,1,M-1810,1080,180.0,1,1638,0.233175,0.029601,0.0,1.0,0.128246,16,0,0,0.0,1,0.0,,0.0,0.0,,0.0,SDC-VD1096202A,Supplier of Raw Materials - VD1096202A,0.0,1.0,039668,462.7913
