record_index,system,component,mass_kg,role_hint,primary_supplier,primary_country,primary_region,primary_distance_to_downstream_km,alternate_supplier,alternate_country,alternate_region,alternate_distance_to_downstream_km,distance_delta_vs_primary_km,downstream_supplier,downstream_role,locality_gain_flag,distance_gain_flag,coordinate_status
8,Padding (rembourrage),AIRVOLT LAMINAT,0.95,tier4_raw_material,Klabin S.A.,Brazil,Outside_Europe,11064.8,Nordic Paper,Sweden,Europe_non_FR,666.345,-10398.454,Kronotex GmbH & Co,tier3_first_transformation,yes,yes,ok
8,Padding (rembourrage),AIRVOLT LAMINAT,0.95,tier4_raw_material,Klabin S.A.,Brazil,Outside_Europe,11064.8,Billerud,Sweden,Europe_non_FR,727.01,-10337.789,Kronotex GmbH & Co,tier3_first_transformation,yes,yes,ok
8,Padding (rembourrage),AIRVOLT LAMINAT,0.95,tier4_raw_material,Klabin S.A.,Brazil,Outside_Europe,11064.8,Gascogne Papier,France,France,1406.145,-9658.655,Kronotex GmbH & Co,tier3_first_transformation,yes,yes,ok
33,Ens. Structure fauteuil,4140 (acier),0.002,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,SUMPAR,France,France,83.803,-9480.97,Safran Seats / Safran internal group,oem,yes,yes,ok
51,Ens. Structure fauteuil,35NC6 (nickel-chrome),1.417,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,SUMPAR,France,France,83.803,-9480.97,Safran Seats / Safran internal group,oem,yes,yes,ok
81,Ens. Structure fauteuil,inox,0.045,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,SUMPAR,France,France,83.803,-9480.97,Safran Seats / Safran internal group,oem,yes,yes,ok
94,Accoudoir allée,inox,0.018054,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,SUMPAR,France,France,83.803,-9480.97,Safran Seats / Safran internal group,oem,yes,yes,ok
95,Ens. Palette optimisée,inox,0.023743,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,SUMPAR,France,France,83.803,-9480.97,Safran Seats / Safran internal group,oem,yes,yes,ok
96,Ensemble porte,inox,0.0047592,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,SUMPAR,France,France,83.803,-9480.97,Safran Seats / Safran internal group,oem,yes,yes,ok
98,Ens. Tablette cocktail,inox,0.012,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,SUMPAR,France,France,83.803,-9480.97,Safran Seats / Safran internal group,oem,yes,yes,ok
99,Ens. Tablette repas,inox,0.014,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,SUMPAR,France,France,83.803,-9480.97,Safran Seats / Safran internal group,oem,yes,yes,ok
100,Ens. Têtière,inox,0.001,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,SUMPAR,France,France,83.803,-9480.97,Safran Seats / Safran internal group,oem,yes,yes,ok
101,Stowage assemblé avec porte,inox,0.00928,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,SUMPAR,France,France,83.803,-9480.97,Safran Seats / Safran internal group,oem,yes,yes,ok
102,Support écran,inox,0.014,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,SUMPAR,France,France,83.803,-9480.97,Safran Seats / Safran internal group,oem,yes,yes,ok
138,Ens. Structure fixe,inox,0.027,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,SUMPAR,France,France,83.803,-9480.97,Safran Seats / Safran internal group,oem,yes,yes,ok
81,Ens. Structure fauteuil,inox,0.045,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,ETS Gattefin,France,France,186.911,-9377.862,Safran Seats / Safran internal group,oem,yes,yes,ok
94,Accoudoir allée,inox,0.018054,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,ETS Gattefin,France,France,186.911,-9377.862,Safran Seats / Safran internal group,oem,yes,yes,ok
95,Ens. Palette optimisée,inox,0.023743,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,ETS Gattefin,France,France,186.911,-9377.862,Safran Seats / Safran internal group,oem,yes,yes,ok
96,Ensemble porte,inox,0.0047592,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,ETS Gattefin,France,France,186.911,-9377.862,Safran Seats / Safran internal group,oem,yes,yes,ok
98,Ens. Tablette cocktail,inox,0.012,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,ETS Gattefin,France,France,186.911,-9377.862,Safran Seats / Safran internal group,oem,yes,yes,ok
99,Ens. Tablette repas,inox,0.014,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,ETS Gattefin,France,France,186.911,-9377.862,Safran Seats / Safran internal group,oem,yes,yes,ok
100,Ens. Têtière,inox,0.001,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,ETS Gattefin,France,France,186.911,-9377.862,Safran Seats / Safran internal group,oem,yes,yes,ok
101,Stowage assemblé avec porte,inox,0.00928,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,ETS Gattefin,France,France,186.911,-9377.862,Safran Seats / Safran internal group,oem,yes,yes,ok
102,Support écran,inox,0.014,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,ETS Gattefin,France,France,186.911,-9377.862,Safran Seats / Safran internal group,oem,yes,yes,ok
138,Ens. Structure fixe,inox,0.027,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,ETS Gattefin,France,France,186.911,-9377.862,Safran Seats / Safran internal group,oem,yes,yes,ok
78,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",1.928,tier4_raw_material,Mitsubishi Chemical,Japan,Outside_Europe,9383.318,BASF,Germany,Europe_non_FR,211.633,-9171.685,Aurubis,tier3_first_transformation,yes,yes,ok
121,Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4),"Display, liquid crystal, 17 pouces",2.378,tier4_raw_material,Mitsubishi Chemical,Japan,Outside_Europe,9383.318,BASF,Germany,Europe_non_FR,211.633,-9171.685,Aurubis,tier3_first_transformation,yes,yes,ok
153,Support écran Screen Display (COTS),"Display, liquid crystal, 17 pouces",0.45,tier4_raw_material,Mitsubishi Chemical,Japan,Outside_Europe,9383.318,BASF,Germany,Europe_non_FR,211.633,-9171.685,Aurubis,tier3_first_transformation,yes,yes,ok
130,Remote extender unit,télécommande,0.07,tier3_first_transformation,Toray Industries,Japan,Outside_Europe,9470.757,Aurubis,Germany,Europe_non_FR,312.523,-9158.234,Ensinger,tier2_second_transformation,yes,yes,ok
159,Siége,Moulage plastique,6.69155662,tier1,JAMCO Aircraft Interiors - Niigata,Japan,Outside_Europe,9489.625,Airbus Atlantic / STELIA Aerospace,France,France,387.84,-9101.785,Safran Seats / Safran internal group,oem,yes,yes,ok
172,Siége,Moulage plastique,6.69155662,tier1,JAMCO Aircraft Interiors - Niigata,Japan,Outside_Europe,9489.625,Airbus Atlantic / STELIA Aerospace,France,France,387.84,-9101.785,Safran Seats / Safran internal group,oem,yes,yes,ok
173,Siége,Moulage plastique,6.69155662,tier1,JAMCO Aircraft Interiors - Niigata,Japan,Outside_Europe,9489.625,Airbus Atlantic / STELIA Aerospace,France,France,387.84,-9101.785,Safran Seats / Safran internal group,oem,yes,yes,ok
81,Ens. Structure fauteuil,inox,0.045,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Figeac Aero,France,France,469.478,-9095.294,Safran Seats / Safran internal group,oem,yes,yes,ok
94,Accoudoir allée,inox,0.018054,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Figeac Aero,France,France,469.478,-9095.294,Safran Seats / Safran internal group,oem,yes,yes,ok
95,Ens. Palette optimisée,inox,0.023743,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Figeac Aero,France,France,469.478,-9095.294,Safran Seats / Safran internal group,oem,yes,yes,ok
96,Ensemble porte,inox,0.0047592,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Figeac Aero,France,France,469.478,-9095.294,Safran Seats / Safran internal group,oem,yes,yes,ok
98,Ens. Tablette cocktail,inox,0.012,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Figeac Aero,France,France,469.478,-9095.294,Safran Seats / Safran internal group,oem,yes,yes,ok
99,Ens. Tablette repas,inox,0.014,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Figeac Aero,France,France,469.478,-9095.294,Safran Seats / Safran internal group,oem,yes,yes,ok
100,Ens. Têtière,inox,0.001,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Figeac Aero,France,France,469.478,-9095.294,Safran Seats / Safran internal group,oem,yes,yes,ok
101,Stowage assemblé avec porte,inox,0.00928,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Figeac Aero,France,France,469.478,-9095.294,Safran Seats / Safran internal group,oem,yes,yes,ok
102,Support écran,inox,0.014,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Figeac Aero,France,France,469.478,-9095.294,Safran Seats / Safran internal group,oem,yes,yes,ok
138,Ens. Structure fixe,inox,0.027,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,Figeac Aero,France,France,469.478,-9095.294,Safran Seats / Safran internal group,oem,yes,yes,ok
33,Ens. Structure fauteuil,4140 (acier),0.002,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,MGA Villeneuve St Lot,France,France,499.647,-9065.125,Safran Seats / Safran internal group,oem,yes,yes,ok
51,Ens. Structure fauteuil,35NC6 (nickel-chrome),1.417,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,MGA Villeneuve St Lot,France,France,499.647,-9065.125,Safran Seats / Safran internal group,oem,yes,yes,ok
81,Ens. Structure fauteuil,inox,0.045,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,MGA Villeneuve St Lot,France,France,499.647,-9065.125,Safran Seats / Safran internal group,oem,yes,yes,ok
94,Accoudoir allée,inox,0.018054,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,MGA Villeneuve St Lot,France,France,499.647,-9065.125,Safran Seats / Safran internal group,oem,yes,yes,ok
95,Ens. Palette optimisée,inox,0.023743,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,MGA Villeneuve St Lot,France,France,499.647,-9065.125,Safran Seats / Safran internal group,oem,yes,yes,ok
96,Ensemble porte,inox,0.0047592,tier1,Senior Aerospace Thailand,Thailand,Outside_Europe,9564.772,MGA Villeneuve St Lot,France,France,499.647,-9065.125,Safran Seats / Safran internal group,oem,yes,yes,ok
