day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,estimated_source_ordered_qty,estimated_source_arrived_qty,estimated_source_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,0.0,40.0,554.1983,1072122.0805,42313.4301,227.4023,22.0504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,47.5,0.0,87.5,0.0,86.228,448.9037,1069948.0908,42249.8362,176.7952,27.8748,0.0,0.0,0.0,336.1499,0.0,0.0,0.0
2,52.5,0.0,140.0,178.064,136.4902,525.1851,1067766.7061,42180.6885,221.0955,35.3496,0.0,0.0,0.0,190.2971,0.0,0.0,0.0
3,60.0,0.0,200.0,103.28,178.7296,509.8955,1065635.9925,42111.512,213.4361,39.8179,0.0,0.0,0.0,207.2429,67.6667,0.0,0.0
4,55.0,18.432,236.568,145.712,211.7165,533.2304,1063547.8137,42042.3131,231.9955,43.6601,0.0,0.0,0.0,207.6362,77.8167,0.0,0.0
5,50.0,39.6288,246.9392,309.6873,236.2556,535.293,1061631.3513,41973.1033,235.1603,46.3654,0.0,0.0,0.0,207.9434,84.5833,0.0,0.0
6,45.0,44.2368,247.7024,254.6581,250.4232,490.8407,1059862.6089,41909.4202,218.8998,45.1536,0.0,0.0,0.0,208.1719,84.5833,0.0,0.0
7,40.0,46.08,241.6224,338.2453,254.6807,344.6378,1058526.1393,41855.7286,152.4126,31.438,0.0,0.0,0.0,184.6194,84.5833,0.0,0.0
8,47.5,46.08,243.0424,133.6855,260.3254,444.4797,1056691.7871,41795.5285,209.495,33.0696,0.0,0.0,0.0,86.3511,84.5833,0.0,0.0
9,52.5,0.0,295.5424,186.4675,267.9019,432.0977,1054824.2076,41730.46,191.8382,33.7864,0.0,0.0,0.0,96.5921,78.1988,0.0,0.0
10,60.0,107.1316,248.4108,188.3316,275.3716,389.5627,1052894.6452,41665.3835,162.7731,34.1783,0.0,0.0,0.0,104.3,69.7731,0.0,0.0
11,55.0,42.6018,260.809,87.0009,282.0762,432.2457,1050898.9298,41600.2995,192.9404,35.3386,0.0,0.0,0.0,104.3695,78.238,0.0,0.0
12,50.0,21.3116,289.4975,397.6169,287.2869,481.8292,1049194.9807,41535.2234,227.8029,36.4045,0.0,0.0,0.0,104.432,84.5833,0.0,0.0
13,45.0,67.3916,267.1059,413.9808,287.3826,383.4917,1047710.854,41475.0479,169.0318,35.4198,0.0,0.0,0.0,104.4805,84.5833,0.0,0.0
14,40.0,46.08,261.0259,175.4051,281.4339,367.9171,1046213.8085,41421.3353,170.4939,34.5977,0.0,0.0,0.0,96.7971,84.5833,0.0,0.0
15,47.5,0.0,308.5259,287.3379,279.6867,402.6071,1044641.994,41367.8631,181.729,34.7691,0.0,0.0,0.0,86.6003,84.5833,0.0,0.0
16,52.5,23.04,337.9859,426.2963,281.9126,408.627,1043029.5376,41302.7946,176.4972,35.0845,0.0,0.0,0.0,96.7724,78.199,0.0,0.0
17,60.0,46.08,351.9059,437.2795,285.5101,454.8468,1041352.0182,41237.731,209.1562,35.9403,0.0,0.0,0.0,104.4304,69.7731,0.0,0.0
18,55.0,63.3467,343.5592,408.5712,289.4125,400.8498,1039697.103,41172.6736,177.2801,35.8272,0.0,0.0,0.0,103.9969,78.238,0.0,0.0
19,50.0,44.3409,349.2182,378.5953,292.5955,379.5667,1038062.8875,41108.7914,162.6978,35.9626,0.0,0.0,0.0,93.9274,84.5833,0.0,0.0
20,45.0,40.3173,353.9009,632.5809,291.224,395.4537,1036815.7817,41048.6311,182.8617,35.9597,0.0,0.0,0.0,93.957,84.5833,0.0,0.0
21,40.0,0.0,393.9009,346.7855,284.2136,382.6092,1035523.6471,40994.944,185.584,35.0487,0.0,0.0,0.0,87.058,84.5833,0.0,0.0
22,47.5,44.3516,397.0493,159.709,281.6981,397.2707,1033787.4043,40934.7468,183.3981,34.9358,0.0,0.0,0.0,77.9046,84.5833,0.0,0.0
23,52.5,46.08,403.4693,630.7811,283.368,422.0861,1032343.8152,40869.7074,191.628,35.3783,0.0,0.0,0.0,87.0114,78.199,0.0,0.0
24,60.0,69.12,394.3493,645.2978,286.5632,445.1759,1030862.3917,40805.6415,207.9169,35.9588,0.0,0.0,0.0,93.8711,69.7731,0.0,0.0
25,55.0,21.3009,428.0484,493.693,290.1746,444.6308,1029289.7942,40740.6015,207.7922,36.3484,0.0,0.0,0.0,93.9008,78.238,0.0,0.0
26,50.0,21.3116,456.7368,369.4867,293.1469,444.6574,1027602.2432,40675.5247,208.0203,36.6739,0.0,0.0,0.0,93.9345,84.5833,0.0,0.0
27,45.0,109.4373,392.2995,713.8711,291.623,397.1857,1026365.8989,40615.7833,184.0948,36.0207,0.0,0.0,0.0,93.9621,84.5833,0.0,0.0
28,40.0,46.08,386.2195,433.5407,284.5023,380.8727,1025116.5345,40562.1067,184.3963,35.063,0.0,0.0,0.0,87.0617,84.5833,0.0,0.0
29,47.5,63.3467,370.3728,327.6307,281.907,372.4935,1023555.2348,40501.9304,166.1753,34.7108,0.0,0.0,0.0,77.9072,84.5833,0.0,0.0
30,47.5,44.3409,373.5318,383.8039,280.769,396.7388,1021997.3635,40440.4429,180.5208,34.8319,0.0,0.0,0.0,87.0133,78.199,0.0,0.0
31,47.5,67.3809,353.6509,389.8259,281.3567,381.553,1020422.6528,40378.7561,169.5091,34.745,0.0,0.0,0.0,88.8288,69.7731,0.0,0.0
32,47.5,59.3231,341.8278,669.127,282.4133,380.7999,1019144.0381,40318.8456,169.7157,34.8532,0.0,0.0,0.0,89.1994,78.238,0.0,0.0
33,47.5,0.0,389.3278,371.235,283.4006,399.2247,1017610.0216,40258.253,184.3179,35.1455,0.0,0.0,0.0,87.6933,79.9309,0.0,0.0
34,47.5,21.7727,415.055,144.9184,284.1863,399.358,1015828.8318,40196.6439,184.4622,35.2328,0.0,0.0,0.0,84.0615,80.2695,0.0,0.0
35,47.5,43.6377,418.9174,122.3557,284.7764,355.6136,1014049.4216,40135.0794,154.0701,34.8599,0.0,0.0,0.0,84.0716,80.3372,0.0,0.0
36,47.5,0.0,466.4174,146.9553,285.2098,421.2726,1012270.2944,40073.5083,199.7794,35.5639,0.0,0.0,0.0,84.0777,80.3508,0.0,0.0
37,47.5,43.752,470.1654,637.5117,285.5253,399.3958,1010961.0747,40011.9149,184.5819,35.3796,0.0,0.0,0.0,84.0818,80.3535,0.0,0.0
38,47.5,43.7712,473.8942,485.4816,285.754,420.7105,1009477.8301,39951.1184,199.4267,35.6178,0.0,0.0,0.0,84.0848,80.354,0.0,0.0
39,47.5,43.7714,477.6228,636.0949,285.9197,399.4004,1008167.5609,39889.5135,184.613,35.4228,0.0,0.0,0.0,84.0869,80.3541,0.0,0.0
40,47.5,86.9754,438.1474,260.3062,286.0396,563.5615,1006438.6024,39829.9158,260.973,37.0776,0.0,0.0,0.0,84.0884,251.5398,0.0,0.0
41,47.5,43.7751,441.8723,411.6096,286.1264,355.6263,1004949.8607,39770.2783,154.1739,35.0077,0.0,0.0,0.0,255.0896,80.5676,0.0,0.0
42,47.5,43.776,445.5964,823.5203,269.8757,247.5816,1005147.8697,39750.4979,112.3716,32.1149,0.0,0.0,0.0,84.0904,80.5862,0.0,0.0
