day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,estimated_source_replenished_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,0.0,40.0,554.1983,1072122.0805,42313.4301,227.4023,22.0504,0.0,0.0,0.0,0.0,0.0
1,47.5,0.0,87.5,0.0,86.228,448.9037,1069948.0908,42249.8362,176.7952,27.8748,0.0,0.0,0.0,0.0,0.0
2,52.5,0.0,140.0,178.064,136.4902,525.1851,1067766.7061,42180.6885,221.0955,35.3496,0.0,0.0,0.0,0.0,0.0
3,60.0,0.0,200.0,103.28,178.7296,509.8955,1065568.3258,42111.5093,213.4361,39.8179,0.0,0.0,0.0,0.0,0.0
4,55.0,18.432,236.568,145.712,211.7165,533.2304,1063402.3304,42042.3073,231.9955,43.6601,0.0,0.0,0.0,0.0,0.0
5,50.0,39.6288,246.9392,309.6873,236.2556,535.293,1061401.2846,41973.0941,235.1603,46.3654,0.0,0.0,0.0,0.0,0.0
6,45.0,44.2368,247.7024,254.6581,250.4232,490.8407,1059547.9589,41909.4077,218.8998,45.1536,0.0,0.0,0.0,0.0,0.0
7,40.0,46.08,241.6224,338.2453,254.6807,344.6378,1058126.906,41855.7126,152.4126,31.438,0.0,0.0,0.0,0.0,0.0
8,47.5,46.08,243.0424,133.6855,260.3254,444.4797,1056207.9704,41795.5091,209.495,33.0696,0.0,0.0,0.0,0.0,0.0
9,52.5,0.0,295.5424,186.4675,267.9019,432.0977,1054262.1921,41730.4375,191.8382,33.7864,0.0,0.0,0.0,0.0,0.0
10,60.0,107.1316,248.4108,188.3316,275.3716,389.5627,1052262.8565,41665.3582,162.7731,34.1783,0.0,0.0,0.0,0.0,0.0
11,55.0,42.6018,260.809,87.0009,282.0762,432.2457,1050188.9032,41600.2711,192.9404,35.3386,0.0,0.0,0.0,0.0,0.0
12,50.0,21.3116,289.4975,397.6169,287.2869,481.8292,1048400.3708,41535.1916,227.8029,36.4045,0.0,0.0,0.0,0.0,0.0
