day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,cum_demand,cum_served,cum_fill_rate
0.0,40.0,0.0,40.0,0.0,40.0,558.5439,1067772.4675,42324.1876,269.8735,40.0,0.0,0.0
1.0,47.5,0.0,87.5,64.96,82.0,264.6474,1065862.2082,42260.7715,180.8992,87.5,0.0,0.0
2.0,52.5,0.0,140.0,20.0,93.2,311.7661,1063715.158,42191.8353,228.5825,140.0,0.0,0.0
3.0,60.0,0.0,200.0,178.904,94.64,316.219,1061723.9861,42122.9042,231.4983,200.0,0.0,0.0
4.0,55.0,0.0,255.0,149.2,94.928,1388.3496,1059658.1049,42053.97,740.5538,255.0,0.0,0.0
5.0,50.0,43.0,262.0,174.2,94.9856,2758.2737,1057592.2228,41985.0357,1373.5609,305.0,43.0,0.140984
6.0,45.0,43.0,264.0,199.2,91.223,3366.9463,1055688.3449,41921.3025,1665.916,350.0,86.0,0.245714
7.0,40.0,0.0,304.0,205.002,86.2446,3265.284,1054124.0121,41865.515,1557.4564,390.0,86.0,0.220513
8.0,47.5,75.0,276.5,141.9822,91.2489,3190.0961,1052306.8918,41805.8281,1453.3819,437.5,161.0,0.368
9.0,52.5,25.0,304.0,148.1839,95.0,1750.2452,1051843.4303,41801.2355,794.7892,490.0,186.0,0.379592
10.0,60.0,48.113,315.887,210.9041,95.0,1789.6149,1051380.2063,41796.651,822.1787,550.0,234.113,0.42566
11.0,55.0,75.0,295.887,307.3971,95.0,1754.0744,1049644.2217,41735.8698,790.3836,605.0,309.113,0.510931
12.0,50.0,25.0,320.887,119.7943,95.0,1846.5725,1046158.3836,41611.5982,830.463,655.0,334.113,0.510096
13.0,45.0,0.0,365.887,1262.3645,91.226,1850.2068,1044060.3096,41536.8524,843.9441,700.0,334.113,0.477304
14.0,40.0,160.6072,245.2799,292.0665,86.2452,619.6722,1042250.946,41475.2198,303.436,740.0,494.7202,0.668541
15.0,47.5,0.0,292.7799,3382.8714,91.249,453.0885,1043669.6225,41542.8433,283.6777,787.5,494.7202,0.628216
16.0,52.5,25.0,320.2799,213.382,95.0,380.318,1041824.1862,41480.2937,265.4197,840.0,519.7202,0.618715
17.0,60.0,95.6226,284.6573,225.234,95.0,341.6952,1039958.6022,41419.3713,249.1766,900.0,615.3428,0.683714
18.0,55.0,71.2375,268.4197,264.7068,95.0,1376.3042,1038087.6406,41356.3718,736.3804,955.0,686.5803,0.718932
19.0,50.0,0.0,318.4197,171.3834,95.0,2721.1853,1036137.5899,41289.867,1354.4136,1005.0,686.5803,0.683164
20.0,45.0,48.1245,315.2952,213.3995,91.226,3357.5657,1034252.1674,41226.1454,1665.4385,1050.0,734.7048,0.699719
21.0,40.0,43.7356,311.5596,3287.1066,86.2452,3256.9119,1035734.5757,41291.0429,1557.4954,1090.0,778.4404,0.714166
22.0,47.5,100.0,259.0596,193.3349,91.249,3241.6887,1033895.6138,41230.9885,1491.2463,1137.5,878.4404,0.772255
23.0,52.5,25.0,286.5596,160.6533,95.0,1728.6437,1033479.7716,41226.4201,778.6764,1190.0,903.4404,0.759194
24.0,60.0,48.113,298.4466,237.0102,79.4918,825.9204,1035131.4843,41298.2462,366.6188,1250.0,951.5534,0.761243
25.0,55.0,23.113,330.3336,352.0419,79.3219,844.2711,1035548.5482,41315.3343,374.4557,1305.0,974.6664,0.746871
26.0,50.0,70.6226,309.711,281.5105,74.6594,613.4917,1034881.2898,41292.2943,254.6257,1355.0,1045.289,0.771431
27.0,45.0,23.1245,331.5865,173.688,72.7739,660.0353,1034196.4511,41267.7322,274.0557,1400.0,1068.4135,0.763152
28.0,40.0,78.2389,293.3476,1627.8485,70.2835,597.6512,1034984.702,41304.4734,268.6277,1440.0,1146.6524,0.796286
29.0,47.5,25.0,315.8476,1731.0095,72.7855,559.3631,1035949.2243,41343.5876,232.7408,1487.5,1171.6524,0.787665
