avg_inventory_max,avg_inventory_min,baseline_avg_inventory,baseline_backlog,baseline_external_procured_qty,baseline_fill_rate,baseline_total_cost,ending_backlog_cross_threshold_at,ending_backlog_max,ending_backlog_min,ending_backlog_monotonicity,external_procured_qty_max,external_procured_qty_min,fill_rate_cross_service_threshold_at,fill_rate_cross_soft_threshold_at,fill_rate_max,fill_rate_min,fill_rate_monotonicity,levels,max_backlog_increase,max_fill_rate_drop,max_total_cost_increase,parameter_group,parameter_key,parameter_label,realism_focus,safe_band_high,safe_band_low,steepest_fill_segment,total_cost_cross_threshold_at,total_cost_max,total_cost_min,total_cost_monotonicity
19766465.3509,19766465.3509,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,593478.1966,593478.1966,flat,0.0,0.0,0.0,,0.888075,0.888075,flat,"[0.0, 1.0]",0.0,0.0,0.0,global,external_procurement_enabled,Appro externe activee,model_protection,,,"[0.0, 1.0]",,27920896.5609,27920896.5609,flat
19958592.4527,19633707.0723,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,616545.7954,572950.6044,non_monotonic,0.0,0.0,0.25,,0.891946,0.883724,non_monotonic,"[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 2.0]",23067.59879999992,0.004350999999999994,10607.171800002456,global,safety_stock_days_scale,Safety stock global,buffer_policy,,,"[0.5, 0.75]",,27931503.7327,27611187.9891,non_monotonic
19766465.3509,19766465.3509,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,593478.1966,593478.1966,flat,0.0,0.0,0.25,,0.888075,0.888075,flat,"[0.25, 0.5, 0.75, 1.0, 1.25]",0.0,0.0,0.0,global,opening_stock_bootstrap_scale,Bootstrap stock initial,model_protection,,,"[0.25, 0.5]",,27920896.5609,27920896.5609,flat
19766465.3509,19766465.3509,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,593478.1966,593478.1966,flat,0.0,0.0,0.4,,0.888075,0.888075,flat,"[0.4, 0.7, 1.0, 1.3, 1.6]",0.0,0.0,0.0,global,external_procurement_daily_cap_days_scale,Capacite appro externe,model_protection,,,"[0.4, 0.7]",,27920896.5609,27920896.5609,flat
20401029.1142,19367549.3808,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,716509.2605,593478.1966,non_monotonic,0.0,0.0,0.5,,0.888075,0.864872,non_monotonic,"[0.5, 0.75, 1.0, 1.25, 1.5]",123031.06389999995,0.023202999999999974,59796.153599999845,global,supplier_stock_scale,Stock fournisseur global,buffer_policy,,,"[1.25, 1.5]",,27980692.7145,27214709.85,non_monotonic
19766465.3509,19766465.3509,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,593478.1966,593478.1966,flat,0.0,0.0,0.5,,0.888075,0.888075,flat,"[0.5, 0.75, 1.0, 1.25, 1.5]",0.0,0.0,5981220.778600004,global,holding_cost_scale,Cout de stock,economic_penalty,,,"[0.5, 0.75]",1.25,33902117.3395,21939675.7823,increasing
19766474.0836,19766456.6727,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,593478.1966,593478.1966,flat,0.0,0.0,0.5,,0.888075,0.888075,flat,"[0.5, 0.75, 1.0, 1.25, 1.5]",0.0,0.0,21.17680000141263,global,production_stock_scale,Stock production global,buffer_policy,,,"[0.5, 0.75]",,27920917.7377,27920875.5162,increasing
20655484.4993,18865662.1886,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,0.6,1838989.2294,580718.4739,non_monotonic,0.0,0.0,0.6,0.6,0.890481,0.653181,non_monotonic,"[0.6, 0.8, 1.0, 1.2, 1.4]",1245511.0328000002,0.23489399999999994,0.0,supplier_capacity_node,supplier_capacity_node::SDC-VD0901566A,Debit fournisseur SDC-VD0901566A,supplier_capacity,,,"[0.6, 0.8]",,27920896.5609,26128747.0714,non_monotonic
20527346.8342,19617261.323,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,670112.2582,584963.0755,non_monotonic,0.0,0.0,0.6,,0.889681,0.873622,non_monotonic,"[0.6, 0.8, 1.0, 1.2, 1.4]",76634.06160000002,0.014452999999999938,71984.87420000136,supplier_capacity_node,supplier_capacity_node::SDC-1450,Debit fournisseur SDC-1450,supplier_capacity,,,"[1.0, 1.2]",,27992881.4351,27153612.1897,non_monotonic
20304925.842,19646448.163,19766465.3509,593478.1966,0.0,0.888075,27920896.5609,,620659.5954,572509.2259,non_monotonic,0.0,0.0,0.6,,0.892029,0.882949,non_monotonic,"[0.6, 0.8, 1.0, 1.2, 1.4]",27181.398799999966,0.005125999999999964,165183.31190000102,supplier_capacity_node,supplier_capacity_node::SDC-VD0914360C,Debit fournisseur SDC-VD0914360C,supplier_capacity,,,"[1.2, 1.4]",,28086079.8728,27464936.8763,non_monotonic
