case_id,case_input,case_output_dir,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_inventory_risk,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::cost_share_warehouse_operating,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::measured_required_total,kpi::measurement_starting_backlog,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_estimated_source_ordered_qty,kpi::total_estimated_source_rejected_qty,kpi::total_estimated_source_replenished_qty,kpi::total_explicit_initialization_pipeline_qty,kpi::total_explicit_initialization_stock_qty,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_inventory_cost_legacy_raw_holding,kpi::total_inventory_risk_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,kpi::total_warehouse_operating_cost,kpi::warmup_backlog_cleared_qty,level,parameter_group,parameter_key,parameter_label,realism_focus,status
supplier_reliability_scale_1_0,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_threshold\cases\supplier_reliability_scale_1_0\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_threshold\cases\supplier_reliability_scale_1_0\simulation_output,19766465.3509,0.149954,0.085688,0.171575,0.399984,0.192798,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812449.8774,27920896.5609,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4186854.545,11962441.5571,2392488.3114,23130363.0215,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,5383098.7007,2131254.1763,1.0,global,supplier_reliability_scale,Fiabilite fournisseur globale,exogenous_network,ok
supplier_stock_scale_0_5,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_threshold\cases\supplier_stock_scale_0_5\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_threshold\cases\supplier_stock_scale_0_5\simulation_output,19367549.3808,0.150192,0.085824,0.171656,0.399224,0.193104,598693.9673,18234856.7586,0.887091,5302452.7143,0.0,125551546.3089,27980692.7145,5302452.7143,104516949.6466,41318000.0,102895863.325,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4202475.0471,12007071.5631,2401414.3126,23177627.5967,0.0,17836633.5534,4803065.1178,4703758.747,127006531.2123,0.0,11170556.0336,0.0,5403182.2034,1942379.4324,0.5,global,supplier_stock_scale,Stock fournisseur global,buffer_policy,ok
supplier_stock_scale_0_75,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_threshold\cases\supplier_stock_scale_0_75\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_threshold\cases\supplier_stock_scale_0_75\simulation_output,19928705.0043,0.150668,0.086096,0.170397,0.399123,0.193716,606197.2512,19344212.7175,0.885676,5302452.7143,0.0,125415129.9899,27881195.0051,5302452.7143,104271649.8662,129994.3557,102613910.472,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4200804.8855,12002299.6729,2400459.9346,23130324.0264,0.0,17847128.3145,4750870.9786,4696255.4631,126737733.3304,4900461.8028,11128024.3535,0.0,5401034.8528,2388529.9374,0.75,global,supplier_stock_scale,Stock fournisseur global,buffer_policy,ok
supplier_stock_scale_1_0,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_threshold\cases\supplier_stock_scale_1_0\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_threshold\cases\supplier_stock_scale_1_0\simulation_output,19766465.3509,0.149954,0.085688,0.171575,0.399984,0.192798,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812449.8774,27920896.5609,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4186854.545,11962441.5571,2392488.3114,23130363.0215,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,5383098.7007,2131254.1763,1.0,global,supplier_stock_scale,Stock fournisseur global,buffer_policy,ok
supplier_stock_scale_1_25,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_threshold\cases\supplier_stock_scale_1_25\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_threshold\cases\supplier_stock_scale_1_25\simulation_output,20063328.6197,0.152116,0.086924,0.170666,0.394717,0.195578,609730.445,17311669.9206,0.88501,5302452.7143,0.0,122666616.9125,27746460.6292,5302452.7143,102611106.5949,41318000.0,100950594.8136,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4220684.9136,12059099.7531,2411819.9506,23011088.1765,0.0,17512853.3416,4735372.4528,4692722.2693,124744191.3889,0.0,10951988.4234,0.0,5426594.8889,1904127.4639,1.25,global,supplier_stock_scale,Stock fournisseur global,buffer_policy,ok
supplier_stock_scale_1_5,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_threshold\cases\supplier_stock_scale_1_5\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_threshold\cases\supplier_stock_scale_1_5\simulation_output,20401029.1142,0.154714,0.088408,0.169561,0.3884,0.198917,716509.2605,19666103.6549,0.864872,5302452.7143,0.0,120305672.2131,27214709.85,5302452.7143,99071000.1106,41318000.0,96692909.0091,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4210485.0319,12029957.2339,2405991.4468,22600163.931,0.0,16854076.4382,4614545.919,4585943.4538,120779068.7135,0.0,10570206.6971,0.0,5413480.7553,1891633.5344,1.5,global,supplier_stock_scale,Stock fournisseur global,buffer_policy,ok
production_stock_scale_0_5,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_threshold\cases\production_stock_scale_0_5\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_threshold\cases\production_stock_scale_0_5\simulation_output,19766456.6727,0.149954,0.085688,0.171575,0.399985,0.192798,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812526.6552,27920875.5162,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35166.3627,0.0,0.0,0.0,0.0,0.0,4186847.1793,11962420.5124,2392484.1025,23130341.9767,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,5383089.2306,2131254.1763,0.5,global,production_stock_scale,Stock production global,buffer_policy,ok
production_stock_scale_0_75,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_threshold\cases\production_stock_scale_0_75\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_threshold\cases\production_stock_scale_0_75\simulation_output,19766460.9994,0.149954,0.085688,0.171575,0.399984,0.192798,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812488.4074,27920886.0084,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35121.3627,0.0,0.0,0.0,0.0,0.0,4186850.8516,11962431.0047,2392486.2009,23130352.469,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,5383093.9521,2131254.1763,0.75,global,production_stock_scale,Stock production global,buffer_policy,ok
production_stock_scale_1_0,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_threshold\cases\production_stock_scale_1_0\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_threshold\cases\production_stock_scale_1_0\simulation_output,19766465.3509,0.149954,0.085688,0.171575,0.399984,0.192798,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812449.8774,27920896.5609,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4186854.545,11962441.5571,2392488.3114,23130363.0215,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,5383098.7007,2131254.1763,1.0,global,production_stock_scale,Stock production global,buffer_policy,ok
production_stock_scale_1_25,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_threshold\cases\production_stock_scale_1_25\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_threshold\cases\production_stock_scale_1_25\simulation_output,19766469.7173,0.149954,0.085688,0.171575,0.399984,0.192798,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812411.1789,27920907.1493,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35031.3627,0.0,0.0,0.0,0.0,0.0,4186858.2509,11962452.1455,2392490.4291,23130373.6099,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,5383103.4655,2131254.1763,1.25,global,production_stock_scale,Stock production global,buffer_policy,ok
